,Unnamed: 0,Unnamed: 0.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential
0,2460,1138,ATL,1,2015-10-27,Home,DET,L,94,106,37,82,0.451,8,27,0.29600000000000004,12,15,0.8,7,40,22,9,4,15,25,37,96,0.385,12,29,0.414,20,26,0.769,23,59,23,5,3,15,15,2015-10-27,-12,0,-14,0.066,-4,-2,-0.11799999999999994,-8,-11,0.031000000000000028,-16,-19,-1,4,1,0,10
1,2461,2138,ATL,2,2015-10-29,Away,NYK,W,112,101,42,83,0.506,10,24,0.417,18,26,0.6920000000000001,7,39,26,11,4,15,18,38,93,0.409,6,29,0.207,19,21,0.905,16,48,21,10,4,21,24,2015-10-29,11,4,-10,0.09700000000000003,4,-5,0.21,-1,5,-0.21299999999999997,-9,-9,5,1,0,-6,-6
2,2462,3138,ATL,3,2015-10-30,Home,CHO,W,97,94,36,83,0.434,8,23,0.348,17,22,0.773,8,45,23,9,4,15,17,36,88,0.409,12,30,0.4,10,13,0.769,13,54,23,7,6,18,20,2015-10-30,3,0,-5,0.025000000000000022,-4,-7,-0.052000000000000046,7,9,0.0040000000000000036,-5,-9,0,2,-2,-3,-3
3,2463,4138,ATL,4,2015-11-01,Away,CHO,W,94,92,37,88,0.42,7,29,0.241,13,14,0.929,9,48,22,9,6,11,16,32,86,0.3720000000000001,14,37,0.378,14,15,0.933,9,45,27,7,13,11,14,2015-11-01,2,5,2,0.047999999999999876,-7,-8,-0.137,-1,-1,-0.0040000000000000036,0,3,-5,2,-7,0,2
4,2464,5138,ATL,5,2015-11-03,Away,MIA,W,98,92,37,90,0.411,7,21,0.333,17,22,0.773,16,51,25,10,1,15,14,38,86,0.442,5,28,0.179,11,16,0.688,13,49,13,10,9,18,21,2015-11-03,6,-1,4,-0.031000000000000028,2,-7,0.15400000000000003,6,6,0.08500000000000008,3,2,12,0,-8,-3,-7
5,2465,6138,ATL,6,2015-11-04,Home,BRK,W,101,87,37,76,0.487,8,22,0.364,19,24,0.792,6,34,27,15,10,13,17,36,83,0.434,5,21,0.238,10,13,0.769,14,43,24,9,4,19,19,2015-11-04,14,1,-7,0.05299999999999999,3,1,0.126,9,11,0.02300000000000002,-8,-9,3,6,6,-6,-2
6,2466,7138,ATL,7,2015-11-06,Away,NOP,W,121,115,41,77,0.532,9,21,0.429,30,35,0.857,6,41,30,10,6,15,21,42,84,0.5,10,30,0.333,21,24,0.875,6,32,30,9,7,12,24,2015-11-06,6,-1,-7,0.03200000000000003,-1,-9,0.09599999999999997,9,11,-0.018000000000000016,0,9,0,1,-1,3,-3
7,2467,849,ATL,8,2015-11-07,Home,WAS,W,114,99,43,92,0.467,13,33,0.394,15,15,1.0,10,39,37,12,4,14,15,38,78,0.487,8,24,0.333,15,17,0.882,8,41,27,11,3,24,18,2015-11-07,15,5,14,-0.019999999999999962,5,9,0.061,0,-2,0.118,2,-2,10,1,1,-10,-3
8,2468,930,ATL,9,2015-11-09,Home,MIN,L,107,117,44,86,0.512,13,31,0.419,6,7,0.857,4,27,30,13,6,17,19,46,80,0.575,7,15,0.467,18,22,0.818,8,40,27,10,5,19,18,2015-11-09,-10,-2,6,-0.06299999999999994,6,16,-0.04800000000000004,-12,-15,0.039000000000000035,-4,-13,3,3,1,-2,1
9,2469,1030,ATL,10,2015-11-11,Home,NOP,W,106,98,42,86,0.488,10,26,0.385,12,16,0.75,8,44,26,10,7,12,16,37,83,0.446,14,29,0.483,10,15,0.667,8,40,21,6,0,19,21,2015-11-11,8,5,3,0.04199999999999998,-4,-3,-0.09799999999999998,2,1,0.08299999999999996,0,4,5,4,7,-7,-5
