,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential,cumalitive_Points,cumalitive_Points_differential,cumalitive_FieldGoals,cumalitive_FieldGoals_differential,cumalitive_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted_differential,cumalitive_FieldGoals.,cumalitive_FieldGoals._differential,cumalitive_3PointShots,cumalitive_3PointShots_differential,cumalitive_3PointShotsAttempted,cumalitive_3PointShotsAttempted_differential,cumalitive_3PointShots.,cumalitive_3PointShots._differential,cumalitive_FreeThrows,cumalitive_FreeThrows_differential,cumalitive_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted_differential,cumalitive_FreeThrows.,cumalitive_FreeThrows._differential,cumalitive_OffRebounds,cumalitive_OffRebounds_differential,cumalitive_TotalRebounds,cumalitive_TotalRebounds_differential,cumalitive_Assists,cumalitive_Assists_differential,cumalitive_Steals,cumalitive_Steals_differential,cumalitive_Blocks,cumalitive_Blocks_differential,cumalitive_Turnovers,cumalitive_Turnovers_differential,cumalitive_TotalFouls,cumalitive_TotalFouls_differential
0,0,4920,1198,ATL,1,2016-10-27,Home,WAS,W,114,99,44,88,0.5,12,26,0.462,14,18,0.778,14,52,28,13,7,21,19,40,94,0.426,6,20,0.3,13,18,0.722,12,40,25,14,4,19,20,2016-10-27,15,4,-6,0.07400000000000001,6,6,0.16200000000000006,1,0,0.05600000000000005,2,12,3,-1,3,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4921,2198,ATL,2,2016-10-29,Away,PHI,W,104,72,42,85,0.494,5,20,0.25,15,23,0.652,6,47,31,11,7,12,14,28,80,0.35,5,18,0.278,11,15,0.733,4,39,16,9,5,20,20,2016-10-29,32,14,5,0.14400000000000002,0,2,-0.028000000000000025,4,8,-0.08099999999999996,2,8,15,2,2,-8,-6,114.0,15.0,44.0,4.0,88.0,-6.0,0.5,0.07400000000000001,12.0,6.0,26.0,6.0,0.462,0.16200000000000006,14.0,1.0,18.0,0.0,0.778,0.05600000000000005,14.0,2.0,52.0,12.0,28.0,3.0,13.0,-1.0,7.0,3.0,21.0,2.0,19.0,-1.0
2,2,4922,3198,ATL,3,2016-10-31,Home,SAC,W,106,95,33,79,0.418,11,30,0.3670000000000001,29,47,0.617,17,43,24,11,6,13,20,36,75,0.48,10,23,0.435,13,19,0.684,6,38,26,10,6,19,34,2016-10-31,11,-3,4,-0.062,1,7,-0.0679999999999999,16,28,-0.06700000000000006,11,5,-2,1,0,-6,-14,218.0,47.0,86.0,18.0,173.0,-1.0,0.994,0.21800000000000003,17.0,6.0,46.0,8.0,0.712,0.13400000000000004,29.0,5.0,41.0,8.0,1.4300000000000002,-0.02499999999999991,20.0,4.0,99.0,20.0,59.0,18.0,24.0,1.0,14.0,5.0,33.0,-6.0,33.0,-7.0
3,3,4923,4198,ATL,4,2016-11-02,Home,LAL,L,116,123,41,85,0.48200000000000004,11,32,0.344,23,29,0.7929999999999999,10,37,30,10,1,18,19,48,90,0.5329999999999999,9,22,0.409,18,20,0.9,11,42,24,11,9,15,25,2016-11-02,-7,-7,-5,-0.050999999999999934,2,10,-0.065,5,9,-0.1070000000000001,-1,-5,6,-1,-8,3,-6,324.0,58.0,119.0,15.0,252.0,3.0,1.412,0.15600000000000003,28.0,7.0,76.0,15.0,1.0790000000000002,0.06600000000000014,58.0,21.0,88.0,36.0,2.047,-0.09199999999999997,37.0,15.0,142.0,25.0,83.0,16.0,35.0,2.0,20.0,5.0,46.0,-12.0,53.0,-21.0
4,4,4924,5198,ATL,5,2016-11-04,Away,WAS,L,92,95,32,83,0.386,5,25,0.2,23,36,0.639,10,47,22,12,3,18,24,31,80,0.38799999999999996,5,20,0.25,28,35,0.8,11,46,13,7,3,19,23,2016-11-04,-3,1,3,-0.0020000000000000018,0,5,-0.04999999999999999,-5,1,-0.16100000000000006,-1,1,9,5,0,-1,1,440.0,51.0,160.0,8.0,337.0,-2.0,1.894,0.1050000000000001,39.0,9.0,108.0,25.0,1.423,0.0010000000000001397,81.0,26.0,117.0,45.0,2.84,-0.19900000000000007,47.0,14.0,179.0,20.0,113.0,22.0,45.0,1.0,21.0,-3.0,64.0,-9.0,72.0,-27.0
5,5,4925,6198,ATL,6,2016-11-05,Home,HOU,W,112,97,45,85,0.529,8,20,0.4,14,24,0.583,13,44,29,17,6,19,13,37,85,0.435,12,36,0.33299999999999996,11,13,0.846,12,43,22,9,7,26,26,2016-11-05,15,8,0,0.09400000000000004,-4,-16,0.067,3,11,-0.263,1,1,7,8,-1,-7,-13,532.0,48.0,192.0,9.0,420.0,1.0,2.28,0.10300000000000009,44.0,9.0,133.0,30.0,1.623,-0.04899999999999985,104.0,21.0,153.0,46.0,3.479,-0.3600000000000001,57.0,13.0,226.0,21.0,135.0,31.0,57.0,6.0,24.0,-3.0,82.0,-10.0,96.0,-26.0
6,6,4926,7198,ATL,7,2016-11-08,Away,CLE,W,110,106,41,81,0.506,11,29,0.379,17,24,0.708,11,50,22,1,4,19,21,37,99,0.374,11,42,0.262,21,25,0.84,13,39,21,12,1,6,20,2016-11-08,4,4,-18,0.132,0,-13,0.117,-4,-1,-0.132,-2,11,1,-11,3,13,1,644.0,63.0,237.0,17.0,505.0,1.0,2.8089999999999997,0.19700000000000012,52.0,5.0,153.0,14.0,2.023,0.018000000000000155,118.0,24.0,177.0,57.0,4.062,-0.6230000000000001,70.0,14.0,270.0,22.0,164.0,38.0,74.0,14.0,30.0,-4.0,101.0,-17.0,109.0,-39.0
7,7,4927,879,ATL,8,2016-11-09,Home,CHI,W,115,107,42,83,0.506,9,20,0.45,22,27,0.815,13,48,24,8,7,21,20,41,91,0.451,9,27,0.33299999999999996,16,21,0.762,8,31,24,14,3,13,21,2016-11-09,8,1,-8,0.054999999999999986,0,-7,0.117,6,6,0.052999999999999936,5,17,0,-6,4,8,-1,754.0,67.0,278.0,21.0,586.0,-17.0,3.3149999999999995,0.3290000000000001,63.0,5.0,182.0,1.0,2.402,0.13500000000000018,135.0,20.0,201.0,56.0,4.7700000000000005,-0.7550000000000001,81.0,12.0,320.0,33.0,186.0,39.0,75.0,3.0,34.0,-1.0,120.0,-4.0,130.0,-38.0
8,8,4928,960,ATL,9,2016-11-12,Home,PHI,W,117,96,48,95,0.505,13,32,0.406,8,14,0.5710000000000001,15,52,31,10,6,16,14,36,83,0.434,11,29,0.379,13,20,0.65,10,39,21,14,4,19,20,2016-11-12,21,12,12,0.07100000000000001,2,3,0.027000000000000024,-5,-6,-0.07899999999999996,5,13,10,-4,2,-3,-6,869.0,75.0,320.0,22.0,669.0,-25.0,3.8209999999999997,0.3840000000000001,72.0,5.0,202.0,-6.0,2.8520000000000003,0.25200000000000017,157.0,26.0,228.0,62.0,5.585000000000001,-0.7020000000000002,94.0,17.0,368.0,50.0,210.0,39.0,83.0,-3.0,41.0,3.0,141.0,4.0,150.0,-39.0
9,9,4929,1060,ATL,10,2016-11-15,Away,MIA,W,93,90,37,80,0.46299999999999997,6,17,0.353,13,19,0.684,6,35,18,14,4,19,13,36,89,0.40399999999999997,7,23,0.304,11,14,0.7859999999999999,17,48,13,11,7,23,23,2016-11-15,3,1,-9,0.059000000000000004,-1,-6,0.04899999999999999,2,5,-0.10199999999999987,-11,-13,5,3,-3,-4,-10,986.0,96.0,368.0,34.0,764.0,-13.0,4.326,0.4550000000000001,85.0,7.0,234.0,-3.0,3.2580000000000005,0.2790000000000002,165.0,21.0,242.0,56.0,6.156000000000001,-0.7810000000000001,109.0,22.0,420.0,63.0,241.0,49.0,93.0,-7.0,47.0,5.0,157.0,1.0,164.0,-45.0
