,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,ATL,1,2017-10-18,Away,DAL,W,117,111,48,94,0.511,9,18,0.5,12,15,0.8,14,50,20,11,6,13,18,38,86,0.442,17,45,0.37799999999999995,18,21,0.857,9,41,27,5,4,15,19,6,0.0,0.0,0.0,10,0.0,0.0,0.0,8,0.0,0.0,0.0,0.069,0.0,0.0,0.0,-8,0.0,0.0,0.0,-27,0.0,0.0,0.0,0.12200000000000005,0.0,0.0,0.0,-6,0.0,0.0,0.0,-6,0.0,0.0,0.0,-0.05699999999999994,0.0,0.0,0.0,5,0.0,0.0,0.0,9,0.0,0.0,0.0,-7,0.0,0.0,0.0,6,0.0,0.0,0.0,2,0.0,0.0,0.0,-2,0.0,0.0,0.0,-1,0.0,0.0,0.0
1,ATL,2,2017-10-20,Away,CHO,L,91,109,36,95,0.379,7,30,0.233,12,14,0.857,6,38,19,11,4,13,29,37,86,0.43,11,36,0.306,24,30,0.8,12,57,17,5,4,21,18,-18,117.0,111.0,6.0,-1,48.0,38.0,10.0,9,94.0,86.0,8.0,-0.05099999999999999,0.511,0.442,0.069,-4,9.0,17.0,-8.0,-6,18.0,45.0,-27.0,-0.07299999999999998,0.5,0.37799999999999995,0.12200000000000005,-12,12.0,18.0,-6.0,-16,15.0,21.0,-6.0,0.05699999999999994,0.8,0.857,-0.05699999999999994,-6,14.0,9.0,5.0,-19,50.0,41.0,9.0,2,20.0,27.0,-7.0,6,11.0,5.0,6.0,0,6.0,4.0,2.0,-8,13.0,15.0,-2.0,11,18.0,19.0,-1.0
2,ATL,3,2017-10-22,Away,BRK,L,104,116,32,94,0.34,7,27,0.259,33,36,0.917,16,48,21,6,2,16,25,41,87,0.47100000000000003,11,27,0.40700000000000003,23,34,0.6759999999999999,13,51,27,12,8,18,27,-12,104.0,110.0,-6.0,-9,42.0,37.5,4.5,7,94.5,86.0,8.5,-0.131,0.445,0.436,0.009000000000000008,-4,8.0,14.0,-6.0,0,24.0,40.5,-16.5,-0.14800000000000002,0.3665,0.34199999999999997,0.024500000000000036,10,12.0,21.0,-9.0,2,14.5,25.5,-11.0,0.2410000000000001,0.8285,0.8285,0.0,3,10.0,10.5,-0.5,-3,44.0,49.0,-5.0,-6,19.5,22.0,-2.5,-6,11.0,5.0,6.0,-6,5.0,4.0,1.0,-2,13.0,18.0,-5.0,-2,23.5,18.5,5.0
3,ATL,4,2017-10-23,Away,MIA,L,93,104,36,76,0.474,7,17,0.41200000000000003,14,18,0.778,6,41,14,9,1,20,17,39,85,0.45899999999999996,14,37,0.37799999999999995,12,18,0.667,10,41,21,12,6,19,19,-11,104.0,112.0,-8.0,-3,38.666666666666664,38.666666666666664,0.0,-9,94.33333333333333,86.33333333333333,8.0,0.015000000000000013,0.41,0.44766666666666666,-0.03766666666666666,-7,7.666666666666667,13.0,-5.333333333333333,-20,25.0,36.0,-11.0,0.034000000000000086,0.33066666666666666,0.36366666666666664,-0.03299999999999998,2,19.0,21.666666666666668,-2.6666666666666665,0,21.666666666666668,28.333333333333332,-6.666666666666667,0.11099999999999999,0.858,0.7776666666666667,0.08033333333333337,-4,12.0,11.333333333333334,0.6666666666666666,0,45.333333333333336,49.666666666666664,-4.333333333333333,-7,20.0,23.666666666666668,-3.6666666666666665,-3,9.333333333333334,7.333333333333333,2.0,-5,4.0,5.333333333333333,-1.3333333333333333,1,14.0,18.0,-4.0,-2,24.0,21.333333333333332,2.6666666666666665
4,ATL,5,2017-10-26,Away,CHI,L,86,91,32,81,0.395,11,28,0.39299999999999996,11,13,0.846,7,40,22,10,5,10,23,31,86,0.36,7,32,0.21899999999999997,22,29,0.759,18,62,20,5,4,13,15,-5,101.25,110.0,-8.75,1,38.0,38.75,-0.75,-5,89.75,86.0,3.75,0.03500000000000003,0.426,0.4505,-0.024499999999999994,4,7.5,13.25,-5.75,-4,23.0,36.25,-13.25,0.174,0.351,0.36724999999999997,-0.016249999999999966,-11,17.75,19.25,-1.5,-16,20.75,25.75,-5.0,0.08699999999999997,0.838,0.75,0.08800000000000002,-11,10.5,11.0,-0.5,-22,44.25,47.5,-3.25,2,18.5,23.0,-4.5,5,9.25,8.5,0.75,1,3.25,5.5,-2.25,-3,15.5,18.25,-2.75,8,22.25,20.75,1.5
5,ATL,6,2017-10-27,Home,DEN,L,100,105,37,89,0.41600000000000004,14,33,0.424,12,12,1.0,11,43,23,7,4,12,21,42,91,0.462,4,20,0.2,17,23,0.7390000000000001,11,46,24,8,4,11,12,-5,98.2,106.2,-8.0,-5,36.8,37.2,-0.4,-2,88.0,86.0,2.0,-0.045999999999999985,0.41980000000000006,0.4324,-0.01259999999999999,10,8.2,12.0,-3.8,13,24.0,35.4,-11.4,0.22399999999999998,0.3594,0.33759999999999996,0.021800000000000024,-5,16.4,19.8,-3.4,-11,19.2,26.4,-7.2,0.2609999999999999,0.8395999999999999,0.7518,0.08780000000000002,0,9.8,12.4,-2.6,-3,43.4,50.4,-7.0,-1,19.2,22.4,-3.2,-1,9.4,7.8,1.6,0,3.6,5.2,-1.6,1,14.4,17.2,-2.8,9,22.4,19.6,2.8
6,ATL,7,2017-10-29,Home,MIL,L,106,117,36,77,0.46799999999999997,13,29,0.44799999999999995,21,26,0.8079999999999999,3,31,27,9,2,16,21,44,81,0.5429999999999999,13,26,0.5,16,21,0.762,5,43,30,9,3,14,27,-11,98.5,106.0,-7.5,-8,36.833333333333336,38.0,-1.1666666666666667,-4,88.16666666666667,86.83333333333333,1.3333333333333333,-0.07499999999999996,0.4191666666666667,0.43733333333333335,-0.018166666666666654,0,9.166666666666666,10.666666666666666,-1.5,3,25.5,32.833333333333336,-7.333333333333333,-0.052000000000000046,0.3701666666666667,0.3146666666666666,0.055500000000000015,5,15.666666666666666,19.333333333333332,-3.6666666666666665,5,18.0,25.833333333333332,-7.833333333333333,0.04599999999999993,0.8663333333333333,0.7496666666666667,0.11666666666666665,-2,10.0,12.166666666666666,-2.1666666666666665,-12,43.333333333333336,49.666666666666664,-6.333333333333333,-3,19.833333333333332,22.666666666666668,-2.8333333333333335,0,9.0,7.833333333333333,1.1666666666666667,-1,3.6666666666666665,5.0,-1.3333333333333333,2,14.0,16.166666666666668,-2.1666666666666665,-6,22.166666666666668,18.333333333333332,3.8333333333333335
7,ATL,8,2017-11-01,Away,PHI,L,109,119,41,94,0.436,8,23,0.348,19,27,0.7040000000000001,12,49,22,11,4,18,28,46,99,0.465,13,35,0.371,14,25,0.56,15,53,36,10,4,16,26,-10,99.57142857142857,107.57142857142857,-8.0,-5,36.714285714285715,38.857142857142854,-2.142857142857143,-5,86.57142857142857,86.0,0.5714285714285714,-0.029000000000000026,0.42614285714285716,0.4524285714285714,-0.02628571428571427,-5,9.714285714285714,11.0,-1.2857142857142858,-12,26.0,31.857142857142858,-5.857142857142857,-0.02300000000000002,0.3812857142857143,0.34114285714285714,0.04014285714285715,5,16.428571428571427,18.857142857142858,-2.4285714285714284,2,19.142857142857142,25.142857142857142,-6.0,0.14400000000000002,0.8579999999999999,0.7514285714285714,0.10657142857142855,-3,9.0,11.142857142857142,-2.142857142857143,-4,41.57142857142857,48.714285714285715,-7.142857142857143,-14,20.857142857142858,23.714285714285715,-2.857142857142857,1,9.0,8.0,1.0,0,3.4285714285714284,4.714285714285714,-1.2857142857142858,2,14.285714285714286,15.857142857142858,-1.5714285714285714,2,22.0,19.571428571428573,2.4285714285714284
8,ATL,9,2017-11-03,Home,HOU,L,104,119,39,81,0.48100000000000004,11,33,0.33299999999999996,15,18,0.833,5,41,16,8,8,18,16,42,89,0.47200000000000003,16,47,0.34,19,23,0.826,9,44,28,14,4,12,16,-15,100.75,109.0,-8.25,-3,37.25,39.75,-2.5,-8,87.5,87.625,-0.125,0.009000000000000008,0.427375,0.45399999999999996,-0.02662499999999999,-5,9.5,11.25,-1.75,-14,25.625,32.25,-6.625,-0.007000000000000062,0.377125,0.344875,0.03225,-4,16.75,18.25,-1.5,-5,20.125,25.125,-5.0,0.007000000000000006,0.8387499999999999,0.7275,0.11124999999999999,-4,9.375,11.625,-2.25,-3,42.5,49.25,-6.75,-12,21.0,25.25,-4.25,-6,9.25,8.25,1.0,4,3.5,4.625,-1.125,6,14.75,15.875,-1.125,0,22.75,20.375,2.375
9,ATL,10,2017-11-05,Away,CLE,W,117,115,41,86,0.47700000000000004,11,25,0.44,24,34,0.706,11,44,24,4,6,17,20,42,96,0.43799999999999994,10,36,0.278,21,23,0.9129999999999999,15,47,27,6,6,13,29,2,101.11111111111111,110.11111111111111,-9.0,-1,37.44444444444444,40.0,-2.5555555555555554,-10,86.77777777777777,87.77777777777777,-1.0,0.03900000000000009,0.43333333333333335,0.456,-0.022666666666666654,1,9.666666666666666,11.777777777777779,-2.111111111111111,-11,26.444444444444443,33.888888888888886,-7.444444444444445,0.16199999999999998,0.3722222222222222,0.3443333333333333,0.027888888888888883,3,16.555555555555557,18.333333333333332,-1.7777777777777777,11,19.88888888888889,24.88888888888889,-5.0,-0.20699999999999996,0.838111111111111,0.7384444444444445,0.09966666666666665,-4,8.88888888888889,11.333333333333334,-2.4444444444444446,-3,42.333333333333336,48.666666666666664,-6.333333333333333,-3,20.444444444444443,25.555555555555557,-5.111111111111111,-2,9.11111111111111,8.88888888888889,0.2222222222222222,0,4.0,4.555555555555555,-0.5555555555555556,4,15.11111111111111,15.444444444444445,-0.3333333333333333,-9,22.0,19.88888888888889,2.111111111111111
