,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,BOS,1,2015-10-28,Home,PHI,W,112,95,39,85,0.45899999999999996,8,24,0.33299999999999996,26,27,0.963,10,41,31,10,7,17,23,34,83,0.41,7,22,0.318,20,23,0.87,14,46,12,11,6,22,22,17,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.0,0.0,0.0,0.04899999999999999,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.014999999999999958,0.0,0.0,0.0,6,0.0,0.0,0.0,4,0.0,0.0,0.0,0.09299999999999997,0.0,0.0,0.0,-4,0.0,0.0,0.0,-5,0.0,0.0,0.0,19,0.0,0.0,0.0,-1,0.0,0.0,0.0,1,0.0,0.0,0.0,-5,0.0,0.0,0.0,1,0.0,0.0,0.0
1,BOS,2,2015-10-30,Home,TOR,L,103,113,32,85,0.376,7,26,0.26899999999999996,32,41,0.78,7,38,23,14,3,17,28,36,82,0.439,11,26,0.423,30,35,0.857,9,53,23,11,3,21,33,-10,112.0,95.0,17.0,-4,39.0,34.0,5.0,3,85.0,83.0,2.0,-0.063,0.45899999999999996,0.41,0.04899999999999999,-4,8.0,7.0,1.0,0,24.0,22.0,2.0,-0.15400000000000003,0.33299999999999996,0.318,0.014999999999999958,2,26.0,20.0,6.0,6,27.0,23.0,4.0,-0.07699999999999996,0.963,0.87,0.09299999999999997,-2,10.0,14.0,-4.0,-15,41.0,46.0,-5.0,0,31.0,12.0,19.0,3,10.0,11.0,-1.0,0,7.0,6.0,1.0,-4,17.0,22.0,-5.0,-5,23.0,22.0,1.0
2,BOS,3,2015-11-01,Home,SAS,L,87,95,35,98,0.35700000000000004,6,29,0.207,11,14,0.7859999999999999,16,45,21,10,5,16,23,36,83,0.434,5,19,0.263,18,25,0.72,10,51,22,10,6,18,16,-8,107.5,104.0,3.5,-1,35.5,35.0,0.5,15,85.0,82.5,2.5,-0.07699999999999996,0.4175,0.4245,-0.007000000000000006,1,7.5,9.0,-1.5,10,25.0,24.0,1.0,-0.05600000000000002,0.30099999999999993,0.3705,-0.06950000000000003,-7,29.0,25.0,4.0,-11,34.0,29.0,5.0,0.06599999999999995,0.8714999999999999,0.8634999999999999,0.008000000000000007,6,8.5,11.5,-3.0,-6,39.5,49.5,-10.0,-1,27.0,17.5,9.5,0,12.0,11.0,1.0,-1,5.0,4.5,0.5,-2,17.0,21.5,-4.5,7,25.5,27.5,-2.0
3,BOS,4,2015-11-04,Away,IND,L,98,100,35,83,0.42200000000000004,10,27,0.37,18,22,0.818,15,49,20,7,5,19,22,35,91,0.385,8,23,0.348,22,29,0.759,21,53,18,10,1,14,20,-2,100.66666666666667,101.0,-0.3333333333333333,0,35.333333333333336,35.333333333333336,0.0,-8,89.33333333333333,82.66666666666667,6.666666666666667,0.03700000000000003,0.3973333333333333,0.42766666666666664,-0.030333333333333323,2,7.0,7.666666666666667,-0.6666666666666666,4,26.333333333333332,22.333333333333332,4.0,0.02200000000000002,0.2696666666666666,0.33466666666666667,-0.06500000000000003,-4,23.0,22.666666666666668,0.3333333333333333,-7,27.333333333333332,27.666666666666668,-0.3333333333333333,0.05899999999999994,0.843,0.8156666666666667,0.02733333333333332,-6,11.0,11.0,0.0,-4,41.333333333333336,50.0,-8.666666666666666,2,25.0,19.0,6.0,-3,11.333333333333334,10.666666666666666,0.6666666666666666,4,5.0,5.0,0.0,5,16.666666666666668,20.333333333333332,-3.6666666666666665,2,24.666666666666668,23.666666666666668,1.0
4,BOS,5,2015-11-06,Home,WAS,W,118,98,44,97,0.45399999999999996,12,30,0.4,18,23,0.7829999999999999,15,53,24,18,5,17,21,36,88,0.409,8,25,0.32,18,23,0.7829999999999999,10,45,23,10,8,24,27,20,100.0,100.75,-0.75,8,35.25,35.25,0.0,9,87.75,84.75,3.0,0.044999999999999984,0.40349999999999997,0.417,-0.013499999999999984,4,7.75,7.75,0.0,5,26.5,22.5,4.0,0.08000000000000002,0.29474999999999996,0.33799999999999997,-0.04325000000000002,0,21.75,22.5,-0.75,0,26.0,28.0,-2.0,0.0,0.83675,0.8015,0.035249999999999976,5,12.0,13.5,-1.5,8,43.25,50.75,-7.5,1,23.75,18.75,5.0,8,10.25,10.5,-0.25,-3,5.0,4.0,1.0,-7,17.25,18.75,-1.5,-6,24.0,22.75,1.25
5,BOS,6,2015-11-10,Away,MIL,W,99,83,38,86,0.442,7,30,0.233,16,19,0.8420000000000001,14,45,21,11,6,12,18,30,73,0.41100000000000003,6,17,0.353,17,23,0.7390000000000001,9,41,14,10,2,17,18,16,103.6,100.2,3.4,8,37.0,35.4,1.6,13,89.6,85.4,4.2,0.030999999999999972,0.4135999999999999,0.4154,-0.0017999999999999904,1,8.6,7.8,0.8,13,27.2,23.0,4.2,-0.11999999999999997,0.31579999999999997,0.3344,-0.018600000000000012,-1,21.0,21.6,-0.6,-4,25.4,27.0,-1.6,0.10299999999999998,0.826,0.7978,0.028199999999999982,5,12.6,12.8,-0.2,4,45.2,49.6,-4.4,7,23.8,19.6,4.2,1,11.8,10.4,1.4,4,5.0,4.8,0.2,-5,17.2,19.8,-2.6,0,23.4,23.6,-0.2
6,BOS,7,2015-11-11,Home,IND,L,91,102,32,77,0.41600000000000004,4,24,0.16699999999999998,23,32,0.7190000000000001,8,36,18,10,3,18,26,38,79,0.48100000000000004,6,17,0.353,20,31,0.645,10,41,20,9,6,18,28,-11,102.83333333333333,97.33333333333333,5.5,-6,37.166666666666664,34.5,2.6666666666666665,-2,89.0,83.33333333333333,5.666666666666667,-0.065,0.4183333333333333,0.4146666666666667,0.00366666666666667,-2,8.333333333333334,7.5,0.8333333333333334,7,27.666666666666668,22.0,5.666666666666667,-0.186,0.302,0.33749999999999997,-0.035500000000000004,3,20.166666666666668,20.833333333333332,-0.6666666666666666,1,24.333333333333332,26.333333333333332,-2.0,0.07400000000000007,0.8286666666666666,0.7879999999999999,0.04066666666666665,-2,12.833333333333334,12.166666666666666,0.6666666666666666,-5,45.166666666666664,48.166666666666664,-3.0,-2,23.333333333333332,18.666666666666668,4.666666666666667,1,11.666666666666666,10.333333333333334,1.3333333333333333,-3,5.166666666666667,4.333333333333333,0.8333333333333334,0,16.333333333333332,19.333333333333332,-3.0,-2,22.5,22.666666666666668,-0.16666666666666666
7,BOS,8,2015-11-13,Home,ATL,W,106,93,42,103,0.408,11,33,0.33299999999999996,11,12,0.917,17,50,27,10,7,10,18,36,76,0.474,6,20,0.3,15,20,0.75,5,35,26,3,2,16,14,13,101.14285714285714,98.0,3.142857142857143,6,36.42857142857143,35.0,1.4285714285714286,27,87.28571428571429,82.71428571428571,4.571428571428571,-0.066,0.418,0.4241428571428571,-0.00614285714285714,5,7.714285714285714,7.285714285714286,0.42857142857142855,13,27.142857142857142,21.285714285714285,5.857142857142857,0.032999999999999974,0.2827142857142857,0.33971428571428575,-0.057,-4,20.571428571428573,20.714285714285715,-0.14285714285714285,-8,25.428571428571427,27.0,-1.5714285714285714,0.16700000000000004,0.813,0.7675714285714285,0.04542857142857142,12,12.142857142857142,11.857142857142858,0.2857142857142857,15,43.857142857142854,47.142857142857146,-3.2857142857142856,1,22.571428571428573,18.857142857142858,3.7142857142857144,7,11.428571428571429,10.142857142857142,1.2857142857142858,5,4.857142857142857,4.571428571428571,0.2857142857142857,-6,16.571428571428573,19.142857142857142,-2.5714285714285716,4,23.0,23.428571428571427,-0.42857142857142855
8,BOS,9,2015-11-15,Away,OKC,W,100,85,39,82,0.47600000000000003,9,23,0.391,13,20,0.65,12,47,25,12,7,18,26,28,77,0.364,6,25,0.24,23,29,0.7929999999999999,10,34,18,10,6,18,20,15,101.75,97.375,4.375,11,37.125,35.125,2.0,5,89.25,81.875,7.375,0.11200000000000004,0.41674999999999995,0.43037499999999995,-0.013624999999999998,3,8.125,7.125,1.0,-2,27.875,21.125,6.75,0.15100000000000002,0.289,0.33475,-0.045750000000000006,-10,19.375,20.0,-0.625,-9,23.75,26.125,-2.375,-0.1429999999999999,0.826,0.7653749999999999,0.060625,2,12.75,11.0,1.75,13,44.625,45.625,-1.0,7,23.125,19.75,3.375,2,11.25,9.25,2.0,1,5.125,4.25,0.875,0,15.75,18.75,-3.0,6,22.375,22.25,0.125
9,BOS,10,2015-11-16,Away,HOU,W,111,95,44,93,0.473,11,36,0.306,12,17,0.706,16,49,27,16,3,19,22,36,85,0.424,11,32,0.344,12,23,0.522,14,46,23,10,6,22,20,16,101.55555555555556,96.0,5.555555555555555,8,37.333333333333336,34.333333333333336,3.0,8,88.44444444444444,81.33333333333333,7.111111111111111,0.04899999999999999,0.4233333333333333,0.42299999999999993,0.0003333333333333398,0,8.222222222222221,7.0,1.2222222222222223,4,27.333333333333332,21.555555555555557,5.777777777777778,-0.03799999999999998,0.30033333333333334,0.32422222222222224,-0.02388888888888889,0,18.666666666666668,20.333333333333332,-1.6666666666666667,-6,23.333333333333332,26.444444444444443,-3.111111111111111,0.18399999999999994,0.8064444444444444,0.7684444444444444,0.038000000000000006,2,12.666666666666666,10.88888888888889,1.7777777777777777,3,44.888888888888886,44.333333333333336,0.5555555555555556,4,23.333333333333332,19.555555555555557,3.7777777777777777,6,11.333333333333334,9.333333333333334,2.0,-3,5.333333333333333,4.444444444444445,0.8888888888888888,-3,16.0,18.666666666666668,-2.6666666666666665,2,22.77777777777778,22.0,0.7777777777777778
