,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential,cumalitive_Points,cumalitive_Points_differential,cumalitive_FieldGoals,cumalitive_FieldGoals_differential,cumalitive_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted_differential,cumalitive_FieldGoals.,cumalitive_FieldGoals._differential,cumalitive_3PointShots,cumalitive_3PointShots_differential,cumalitive_3PointShotsAttempted,cumalitive_3PointShotsAttempted_differential,cumalitive_3PointShots.,cumalitive_3PointShots._differential,cumalitive_FreeThrows,cumalitive_FreeThrows_differential,cumalitive_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted_differential,cumalitive_FreeThrows.,cumalitive_FreeThrows._differential,cumalitive_OffRebounds,cumalitive_OffRebounds_differential,cumalitive_TotalRebounds,cumalitive_TotalRebounds_differential,cumalitive_Assists,cumalitive_Assists_differential,cumalitive_Steals,cumalitive_Steals_differential,cumalitive_Blocks,cumalitive_Blocks_differential,cumalitive_Turnovers,cumalitive_Turnovers_differential,cumalitive_TotalFouls,cumalitive_TotalFouls_differential
82,82,5002,1200,BOS,1,2016-10-26,Home,BRK,W,122,117,48,89,0.539,11,32,0.344,15,18,0.833,12,47,36,13,9,19,20,43,97,0.44299999999999995,15,44,0.341,16,20,0.8,15,44,22,8,3,16,19,2016-10-26,5,5,-8,0.09600000000000004,-4,-12,0.0029999999999999467,-1,-2,0.03299999999999992,-3,3,14,5,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,83,5003,2200,BOS,2,2016-10-27,Away,CHI,L,99,105,38,76,0.5,8,23,0.348,15,24,0.625,3,36,22,6,6,11,25,36,92,0.391,11,25,0.44,22,30,0.733,18,55,25,5,1,12,21,2016-10-27,-6,2,-16,0.109,-3,-2,-0.09200000000000004,-7,-6,-0.10799999999999997,-15,-19,-3,1,5,-1,4,122.0,5.0,48.0,5.0,89.0,-8.0,0.539,0.09600000000000004,11.0,-4.0,32.0,-12.0,0.344,0.0029999999999999467,15.0,-1.0,18.0,-2.0,0.833,0.03299999999999992,12.0,-3.0,47.0,3.0,36.0,14.0,13.0,5.0,9.0,6.0,19.0,3.0,20.0,1.0
84,84,5004,3200,BOS,3,2016-10-29,Away,CHO,W,104,98,39,81,0.48100000000000004,15,31,0.484,11,17,0.647,4,42,25,4,6,13,26,32,79,0.405,9,32,0.281,25,33,0.758,6,38,22,8,6,8,17,2016-10-29,6,7,2,0.07599999999999996,6,-1,0.203,-14,-16,-0.111,-2,4,3,-4,0,5,9,221.0,-1.0,86.0,7.0,165.0,-24.0,1.0390000000000001,0.20500000000000004,19.0,-7.0,55.0,-14.0,0.692,-0.08900000000000009,30.0,-8.0,42.0,-8.0,1.458,-0.07500000000000005,15.0,-18.0,83.0,-16.0,58.0,11.0,19.0,6.0,15.0,11.0,30.0,2.0,45.0,5.0
85,85,5005,4200,BOS,4,2016-11-02,Home,CHI,W,107,100,41,87,0.47100000000000003,14,32,0.43799999999999994,11,17,0.647,10,39,28,10,4,12,24,35,81,0.4320000000000001,7,20,0.35,23,31,0.742,15,49,21,7,7,19,19,2016-11-02,7,6,6,0.03899999999999987,7,12,0.08800000000000002,-12,-14,-0.09499999999999996,-5,-10,7,3,-3,-7,5,325.0,5.0,125.0,14.0,246.0,-22.0,1.5200000000000002,0.281,34.0,-1.0,86.0,-15.0,1.176,0.11399999999999992,41.0,-22.0,59.0,-24.0,2.105,-0.18600000000000005,19.0,-20.0,125.0,-12.0,83.0,14.0,23.0,2.0,21.0,11.0,43.0,7.0,71.0,14.0
86,86,5006,5200,BOS,5,2016-11-03,Away,CLE,L,122,128,46,96,0.479,11,32,0.344,19,22,0.8640000000000001,10,39,25,4,6,8,28,41,84,0.488,14,34,0.41200000000000003,32,37,0.865,7,42,24,6,6,8,19,2016-11-03,-6,5,12,-0.009000000000000008,-3,-2,-0.068,-13,-15,-0.00099999999999989,3,-3,1,-2,0,0,9,432.0,12.0,166.0,20.0,333.0,-16.0,1.9910000000000003,0.3199999999999999,48.0,6.0,118.0,-3.0,1.6139999999999999,0.20199999999999996,52.0,-34.0,76.0,-38.0,2.752,-0.281,29.0,-25.0,164.0,-22.0,111.0,21.0,33.0,5.0,25.0,8.0,55.0,0.0,95.0,19.0
87,87,5007,6200,BOS,6,2016-11-06,Home,DEN,L,107,123,41,90,0.456,8,25,0.32,17,21,0.81,11,39,31,3,4,11,24,44,84,0.524,11,23,0.478,24,31,0.774,9,47,21,7,6,17,23,2016-11-06,-16,-3,6,-0.068,-3,2,-0.15799999999999995,-7,-10,0.03600000000000003,2,-8,10,-4,-2,-6,1,554.0,6.0,212.0,25.0,429.0,-4.0,2.47,0.3109999999999999,59.0,3.0,150.0,-5.0,1.9579999999999997,0.13399999999999995,71.0,-47.0,98.0,-53.0,3.6159999999999997,-0.2819999999999999,39.0,-22.0,203.0,-25.0,136.0,22.0,37.0,3.0,31.0,8.0,63.0,0.0,123.0,28.0
88,88,5008,7200,BOS,7,2016-11-09,Away,WAS,L,93,118,35,81,0.4320000000000001,10,31,0.32299999999999995,13,22,0.591,7,31,21,5,4,11,19,46,92,0.5,10,21,0.47600000000000003,16,20,0.8,19,54,29,9,7,11,26,2016-11-09,-25,-11,-11,-0.0679999999999999,0,10,-0.15300000000000002,-3,2,-0.20900000000000007,-12,-23,-8,-4,-3,0,-7,661.0,-10.0,253.0,22.0,519.0,2.0,2.926,0.24299999999999988,67.0,0.0,175.0,-3.0,2.2779999999999996,-0.023999999999999994,88.0,-54.0,119.0,-63.0,4.426,-0.24599999999999989,50.0,-20.0,242.0,-33.0,167.0,32.0,40.0,-1.0,35.0,6.0,74.0,-6.0,147.0,29.0
89,89,5009,880,BOS,8,2016-11-11,Home,NYK,W,115,87,35,90,0.389,11,27,0.40700000000000003,34,43,0.7909999999999999,19,53,23,16,3,15,18,33,94,0.35100000000000003,6,23,0.261,15,17,0.882,21,57,19,7,11,25,26,2016-11-11,28,2,-4,0.03799999999999998,5,4,0.14599999999999996,19,26,-0.09100000000000008,-2,-4,4,9,-8,-10,-8,754.0,-35.0,288.0,11.0,600.0,-9.0,3.358,0.175,77.0,0.0,206.0,7.0,2.6009999999999995,-0.17700000000000002,101.0,-57.0,141.0,-61.0,5.017,-0.45499999999999996,57.0,-32.0,273.0,-56.0,188.0,24.0,45.0,-5.0,39.0,3.0,85.0,-6.0,166.0,22.0
90,90,5010,961,BOS,9,2016-11-12,Away,IND,W,105,99,35,80,0.43799999999999994,8,25,0.32,27,33,0.818,15,47,22,7,7,13,21,36,86,0.419,6,27,0.222,21,28,0.75,11,40,17,9,9,13,22,2016-11-12,6,-1,-6,0.019000000000000017,2,-2,0.098,6,5,0.06799999999999995,4,7,5,-2,-2,0,-1,869.0,-7.0,323.0,13.0,690.0,-13.0,3.747,0.21299999999999997,88.0,5.0,233.0,11.0,3.0079999999999996,-0.031000000000000055,135.0,-38.0,184.0,-35.0,5.808,-0.546,76.0,-34.0,326.0,-60.0,211.0,28.0,61.0,4.0,42.0,-5.0,100.0,-16.0,184.0,14.0
91,91,5011,1061,BOS,10,2016-11-14,Away,NOP,L,105,106,38,95,0.4,12,41,0.293,17,20,0.85,11,44,19,9,0,10,27,35,79,0.44299999999999995,6,21,0.28600000000000003,30,36,0.833,8,46,16,9,4,16,17,2016-11-14,-1,3,16,-0.04299999999999998,6,20,0.006999999999999951,-13,-16,0.017000000000000015,3,-2,3,0,-4,-6,10,974.0,-1.0,358.0,12.0,770.0,-19.0,4.185,0.23199999999999998,96.0,7.0,258.0,9.0,3.3279999999999994,0.06699999999999995,162.0,-32.0,217.0,-30.0,6.6259999999999994,-0.4780000000000001,91.0,-30.0,373.0,-53.0,233.0,33.0,68.0,2.0,49.0,-7.0,113.0,-16.0,205.0,13.0
