,Unnamed: 0,Unnamed: 0.1.1.1.1.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,cumalitive_Points,cumalitive_Opp.Points,cumalitive_differential_Points,average_Points,average_Opp.{},average_Points_differential,differential_FieldGoals,cumalitive_FieldGoals,cumalitive_Opp.FieldGoals,cumalitive_differential_FieldGoals,average_FieldGoals,average_FieldGoals_differential,differential_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted,cumalitive_Opp.FieldGoalsAttempted,cumalitive_differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_FieldGoalsAttempted_differential,differential_FieldGoals.,cumalitive_FieldGoals.,cumalitive_Opp.FieldGoals.,cumalitive_differential_FieldGoals.,average_FieldGoals.,average_FieldGoals._differential,differential_3PointShots,cumalitive_3PointShots,cumalitive_Opp.3PointShots,cumalitive_differential_3PointShots,average_3PointShots,average_3PointShots_differential,differential_3PointShotsAttempted,cumalitive_3PointShotsAttempted,cumalitive_Opp.3PointShotsAttempted,cumalitive_differential_3PointShotsAttempted,average_3PointShotsAttempted,average_3PointShotsAttempted_differential,differential_3PointShots.,cumalitive_3PointShots.,cumalitive_Opp.3PointShots.,cumalitive_differential_3PointShots.,average_3PointShots.,average_3PointShots._differential,differential_FreeThrows,cumalitive_FreeThrows,cumalitive_Opp.FreeThrows,cumalitive_differential_FreeThrows,average_FreeThrows,average_FreeThrows_differential,differential_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted,cumalitive_Opp.FreeThrowsAttempted,cumalitive_differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_FreeThrowsAttempted_differential,differential_FreeThrows.,cumalitive_FreeThrows.,cumalitive_Opp.FreeThrows.,cumalitive_differential_FreeThrows.,average_FreeThrows.,average_FreeThrows._differential,differential_OffRebounds,cumalitive_OffRebounds,cumalitive_Opp.OffRebounds,cumalitive_differential_OffRebounds,average_OffRebounds,average_OffRebounds_differential,differential_TotalRebounds,cumalitive_TotalRebounds,cumalitive_Opp.TotalRebounds,cumalitive_differential_TotalRebounds,average_TotalRebounds,average_TotalRebounds_differential,differential_Assists,cumalitive_Assists,cumalitive_Opp.Assists,cumalitive_differential_Assists,average_Assists,average_Assists_differential,differential_Steals,cumalitive_Steals,cumalitive_Opp.Steals,cumalitive_differential_Steals,average_Steals,average_Steals_differential,differential_Blocks,cumalitive_Blocks,cumalitive_Opp.Blocks,cumalitive_differential_Blocks,average_Blocks,average_Blocks_differential,differential_Turnovers,cumalitive_Turnovers,cumalitive_Opp.Turnovers,cumalitive_differential_Turnovers,average_Turnovers,average_Turnovers_differential,differential_TotalFouls,cumalitive_TotalFouls,cumalitive_Opp.TotalFouls,cumalitive_differential_TotalFouls,average_TotalFouls,average_TotalFouls_differential
0,0,112,BRK,1,2014-10-29,Away,BOS,L,105,121,39,80,0.488,7,19,0.368,20,26,0.769,9,39,20,6,7,20,21,49,88,0.557,8,22,0.364,15,23,0.652,9,35,28,11,5,12,25,-16,105,121,-16,105.0,25.0,-16.0,-10,39,49,-10,39.0,-10.0,-8,80,88,-8,80.0,-8.0,-0.06900000000000006,0.488,0.557,-0.06900000000000006,0.488,-0.06900000000000006,-1,7,8,-1,7.0,-1.0,-3,19,22,-3,19.0,-3.0,0.0040000000000000036,0.368,0.364,0.0040000000000000036,0.368,0.0040000000000000036,5,20,15,5,20.0,5.0,3,26,23,3,26.0,3.0,0.11699999999999999,0.769,0.652,0.11699999999999999,0.769,0.11699999999999999,0,9,9,0,9.0,0.0,4,39,35,4,39.0,4.0,-8,20,28,-8,20.0,-8.0,-5,6,11,-5,6.0,-5.0,2,7,5,2,7.0,2.0,8,20,12,8,20.0,8.0,-4,21,25,-4,21.0,-4.0
1,1,212,BRK,2,2014-11-01,Away,DET,W,102,90,42,87,0.483,7,26,0.26899999999999996,11,13,0.846,12,48,18,3,3,8,23,32,76,0.42100000000000004,1,17,0.059000000000000004,25,35,0.7140000000000001,10,41,21,3,3,7,15,12,207,211,-4,103.5,20.0,-2.0,10,81,81,0,40.5,0.0,11,167,164,3,83.5,1.5,0.061999999999999944,0.971,0.9780000000000001,-0.007000000000000117,0.4855,-0.0035000000000000586,6,14,9,5,7.0,2.5,9,45,39,6,22.5,3.0,0.20999999999999996,0.637,0.423,0.21399999999999997,0.3185,0.10699999999999998,-14,31,40,-9,15.5,-4.5,-22,39,58,-19,19.5,-9.5,0.1319999999999999,1.615,1.366,0.2489999999999999,0.8075,0.12449999999999994,2,21,19,2,10.5,1.0,7,87,76,11,43.5,5.5,-3,38,49,-11,19.0,-5.5,0,9,14,-5,4.5,-2.5,0,10,8,2,5.0,1.0,1,28,19,9,14.0,4.5,8,44,40,4,22.0,2.0
2,2,312,BRK,3,2014-11-03,Home,OKC,W,116,85,44,84,0.524,11,23,0.478,17,19,0.895,9,42,25,11,3,8,21,32,82,0.39,8,23,0.348,13,21,0.619,15,44,14,3,3,17,17,31,323,296,27,107.66666666666667,19.0,9.0,12,125,113,12,41.666666666666664,4.0,2,251,246,5,83.66666666666667,1.6666666666666667,0.134,1.495,1.368,0.1269999999999999,0.49833333333333335,0.0423333333333333,3,25,17,8,8.333333333333334,2.6666666666666665,0,68,62,6,22.666666666666668,2.0,0.13,1.115,0.7709999999999999,0.344,0.37166666666666665,0.11466666666666665,4,48,53,-5,16.0,-1.6666666666666667,-2,58,79,-21,19.333333333333332,-7.0,0.276,2.51,1.985,0.5249999999999999,0.8366666666666666,0.17499999999999996,-6,30,34,-4,10.0,-1.3333333333333333,-2,129,120,9,43.0,3.0,11,63,63,0,21.0,0.0,8,20,17,3,6.666666666666667,1.0,0,13,11,2,4.333333333333333,0.6666666666666666,-9,36,36,0,12.0,0.0,4,65,57,8,21.666666666666668,2.6666666666666665
3,3,412,BRK,4,2014-11-05,Home,MIN,L,91,98,36,82,0.439,8,21,0.381,11,17,0.647,7,42,17,6,5,18,22,37,90,0.41100000000000003,7,17,0.41200000000000003,17,22,0.773,13,51,22,9,4,11,21,-7,414,394,20,103.5,19.5,5.0,-1,161,150,11,40.25,2.75,-8,333,336,-3,83.25,-0.75,0.02799999999999997,1.9340000000000002,1.7790000000000001,0.15499999999999986,0.48350000000000004,0.038749999999999965,1,33,24,9,8.25,2.25,4,89,79,10,22.25,2.5,-0.031000000000000028,1.496,1.1829999999999998,0.31299999999999994,0.374,0.07824999999999999,-6,59,70,-11,14.75,-2.75,-5,75,101,-26,18.75,-6.5,-0.126,3.157,2.758,0.3989999999999999,0.78925,0.09974999999999998,-6,37,47,-10,9.25,-2.5,-9,171,171,0,42.75,0.0,-5,80,85,-5,20.0,-1.25,-3,26,26,0,6.5,0.0,1,18,15,3,4.5,0.75,7,54,47,7,13.5,1.75,1,87,78,9,21.75,2.25
4,4,512,BRK,5,2014-11-07,Home,NYK,W,110,99,38,74,0.514,14,24,0.583,20,26,0.769,7,42,18,6,6,16,24,37,90,0.41100000000000003,8,19,0.42100000000000004,17,21,0.81,15,43,22,7,2,14,24,11,524,493,31,104.8,20.4,6.2,1,199,187,12,39.8,2.4,-16,407,426,-19,81.4,-3.8,0.10299999999999998,2.4480000000000004,2.1900000000000004,0.25799999999999984,0.4896000000000001,0.051599999999999965,6,47,32,15,9.4,3.0,5,113,98,15,22.6,3.0,0.16199999999999992,2.0789999999999997,1.6039999999999999,0.47499999999999987,0.41579999999999995,0.09499999999999997,3,79,87,-8,15.8,-1.6,5,101,122,-21,20.2,-4.2,-0.041000000000000036,3.926,3.568,0.3579999999999999,0.7852,0.07159999999999997,-8,44,62,-18,8.8,-3.6,-1,213,214,-1,42.6,-0.2,-4,98,107,-9,19.6,-1.8,-1,32,33,-1,6.4,-0.2,4,24,17,7,4.8,1.4,2,70,61,9,14.0,1.8,0,111,102,9,22.2,1.8
5,5,612,BRK,6,2014-11-09,Home,ORL,W,104,96,40,83,0.48200000000000004,4,14,0.28600000000000003,20,23,0.87,14,45,23,10,5,14,21,39,75,0.52,8,15,0.5329999999999999,10,16,0.625,5,31,25,7,2,17,24,8,628,589,39,104.66666666666667,21.0,6.5,1,239,226,13,39.833333333333336,2.1666666666666665,8,490,501,-11,81.66666666666667,-1.8333333333333333,-0.03799999999999998,2.9300000000000006,2.7100000000000004,0.21999999999999986,0.48833333333333345,0.036666666666666646,-4,51,40,11,8.5,1.8333333333333333,-1,127,113,14,21.166666666666668,2.3333333333333335,-0.2469999999999999,2.3649999999999998,2.1369999999999996,0.22799999999999998,0.3941666666666666,0.038,10,99,97,2,16.5,0.3333333333333333,7,124,138,-14,20.666666666666668,-2.3333333333333335,0.245,4.796,4.193,0.6029999999999999,0.7993333333333333,0.10049999999999998,9,58,67,-9,9.666666666666666,-1.5,14,258,245,13,43.0,2.1666666666666665,-2,121,132,-11,20.166666666666668,-1.8333333333333333,3,42,40,2,7.0,0.3333333333333333,3,29,19,10,4.833333333333333,1.6666666666666667,-3,84,78,6,14.0,1.0,-3,132,126,6,22.0,1.0
6,6,712,BRK,7,2014-11-12,Away,PHO,L,104,112,35,74,0.473,9,21,0.429,25,32,0.7809999999999999,8,37,17,9,4,19,25,39,81,0.48100000000000004,8,24,0.33299999999999996,26,29,0.897,12,44,20,10,2,20,22,-8,732,701,31,104.57142857142857,21.142857142857142,4.428571428571429,-4,274,265,9,39.142857142857146,1.2857142857142858,-7,564,582,-18,80.57142857142857,-2.5714285714285716,-0.008000000000000063,3.4030000000000005,3.1910000000000003,0.2119999999999998,0.4861428571428572,0.030285714285714256,1,60,48,12,8.571428571428571,1.7142857142857142,-3,148,137,11,21.142857142857142,1.5714285714285714,0.09600000000000003,2.7939999999999996,2.4699999999999998,0.324,0.3991428571428571,0.046285714285714284,-1,124,123,1,17.714285714285715,0.14285714285714285,3,156,167,-11,22.285714285714285,-1.5714285714285714,-0.1160000000000001,5.577,5.09,0.48699999999999977,0.7967142857142857,0.06957142857142853,-4,66,79,-13,9.428571428571429,-1.8571428571428572,-7,295,289,6,42.142857142857146,0.8571428571428571,-3,138,152,-14,19.714285714285715,-2.0,-1,51,50,1,7.285714285714286,0.14285714285714285,2,33,21,12,4.714285714285714,1.7142857142857142,-1,103,98,5,14.714285714285714,0.7142857142857143,3,157,148,9,22.428571428571427,1.2857142857142858
7,7,84,BRK,8,2014-11-13,Away,GSW,L,99,107,39,89,0.43799999999999994,3,16,0.188,18,20,0.9,7,41,19,5,2,12,22,41,90,0.456,11,34,0.324,14,21,0.667,14,45,30,7,10,10,16,-8,831,808,23,103.875,20.5,2.875,-2,313,306,7,39.125,0.875,-1,653,672,-19,81.625,-2.375,-0.01800000000000007,3.841,3.6470000000000002,0.19399999999999973,0.480125,0.024249999999999966,-8,63,59,4,7.875,0.5,-18,164,171,-7,20.5,-0.875,-0.136,2.9819999999999998,2.7939999999999996,0.188,0.37274999999999997,0.0235,4,142,137,5,17.75,0.625,-1,176,188,-12,22.0,-1.5,0.23299999999999998,6.477,5.757,0.7199999999999998,0.809625,0.08999999999999997,-7,73,93,-20,9.125,-2.5,-4,336,334,2,42.0,0.25,-11,157,182,-25,19.625,-3.125,-2,56,57,-1,7.0,-0.125,-8,35,31,4,4.375,0.5,2,115,108,7,14.375,0.875,6,179,164,15,22.375,1.875
8,8,92,BRK,9,2014-11-15,Away,POR,L,87,97,35,89,0.39299999999999996,1,19,0.053,16,17,0.941,12,43,15,7,2,9,24,33,78,0.423,11,26,0.423,20,27,0.741,13,47,26,6,3,14,16,-10,918,905,13,102.0,20.0,1.4444444444444444,2,348,339,9,38.666666666666664,1.0,11,742,750,-8,82.44444444444444,-0.8888888888888888,-0.030000000000000027,4.234,4.07,0.1639999999999997,0.47044444444444444,0.01822222222222219,-10,64,70,-6,7.111111111111111,-0.6666666666666666,-7,183,197,-14,20.333333333333332,-1.5555555555555556,-0.37,3.0349999999999997,3.2169999999999996,-0.182,0.3372222222222222,-0.02022222222222222,-4,158,157,1,17.555555555555557,0.1111111111111111,-10,193,215,-22,21.444444444444443,-2.4444444444444446,0.19999999999999996,7.418,6.497999999999999,0.9199999999999997,0.8242222222222222,0.10222222222222219,-1,85,106,-21,9.444444444444445,-2.3333333333333335,-4,379,381,-2,42.111111111111114,-0.2222222222222222,-11,172,208,-36,19.11111111111111,-4.0,1,63,63,0,7.0,0.0,-1,37,34,3,4.111111111111111,0.3333333333333333,-5,124,122,2,13.777777777777779,0.2222222222222222,8,203,180,23,22.555555555555557,2.5555555555555554
9,9,102,BRK,10,2014-11-17,Home,MIA,L,83,95,29,70,0.414,9,23,0.391,16,26,0.615,11,35,18,10,5,12,19,31,72,0.431,9,27,0.33299999999999996,24,27,0.889,10,41,19,6,2,14,24,-12,1001,1000,1,100.1,20.4,0.1,-2,377,370,7,37.7,0.7,-2,812,822,-10,81.2,-1.0,-0.017000000000000015,4.648,4.501,0.1469999999999997,0.4648,0.014699999999999968,0,73,79,-6,7.3,-0.6,-4,206,224,-18,20.6,-1.8,0.05800000000000005,3.4259999999999997,3.55,-0.12399999999999994,0.34259999999999996,-0.012399999999999994,-8,174,181,-7,17.4,-0.7,-1,219,242,-23,21.9,-2.3,-0.274,8.033,7.387,0.6459999999999997,0.8032999999999999,0.06459999999999996,1,96,116,-20,9.6,-2.0,-6,414,422,-8,41.4,-0.8,-1,190,227,-37,19.0,-3.7,4,73,69,4,7.3,0.4,3,42,36,6,4.2,0.6,-2,136,136,0,13.6,0.0,-5,222,204,18,22.2,1.8
