,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,BRK,1,2017-10-18,Away,IND,L,131,140,45,94,0.479,12,30,0.4,29,32,0.9059999999999999,11,43,22,7,2,20,25,53,102,0.52,9,34,0.265,25,32,0.7809999999999999,14,47,29,12,9,14,25,-9,0.0,0.0,0.0,-8,0.0,0.0,0.0,-8,0.0,0.0,0.0,-0.041000000000000036,0.0,0.0,0.0,3,0.0,0.0,0.0,-4,0.0,0.0,0.0,0.135,0.0,0.0,0.0,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,-3,0.0,0.0,0.0,-4,0.0,0.0,0.0,-7,0.0,0.0,0.0,-5,0.0,0.0,0.0,-7,0.0,0.0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0
1,BRK,2,2017-10-20,Home,ORL,W,126,121,46,92,0.5,9,27,0.33299999999999996,25,35,0.7140000000000001,15,48,22,13,6,18,17,45,89,0.506,18,33,0.545,13,15,0.867,9,40,30,9,3,22,27,5,131.0,140.0,-9.0,1,45.0,53.0,-8.0,3,94.0,102.0,-8.0,-0.006000000000000005,0.479,0.52,-0.041000000000000036,-9,12.0,9.0,3.0,-6,30.0,34.0,-4.0,-0.21200000000000008,0.4,0.265,0.135,12,29.0,25.0,4.0,20,32.0,32.0,0.0,-0.1529999999999999,0.9059999999999999,0.7809999999999999,0.125,6,11.0,14.0,-3.0,8,43.0,47.0,-4.0,-8,22.0,29.0,-7.0,4,7.0,12.0,-5.0,3,2.0,9.0,-7.0,-4,20.0,14.0,6.0,-10,25.0,25.0,0.0
2,BRK,3,2017-10-22,Home,ATL,W,116,104,41,87,0.47100000000000003,11,27,0.40700000000000003,23,34,0.6759999999999999,13,51,27,12,8,18,27,32,94,0.34,7,27,0.259,33,36,0.917,16,48,21,6,2,16,25,12,128.5,130.5,-2.0,9,45.5,49.0,-3.5,-7,93.0,95.5,-2.5,0.131,0.4895,0.513,-0.02350000000000002,4,10.5,13.5,-3.0,0,28.5,33.5,-5.0,0.14800000000000002,0.3665,0.405,-0.038500000000000034,-10,27.0,19.0,8.0,-2,33.5,23.5,10.0,-0.2410000000000001,0.81,0.824,-0.013999999999999957,-3,13.0,11.5,1.5,3,45.5,43.5,2.0,6,22.0,29.5,-7.5,6,10.0,10.5,-0.5,6,4.0,6.0,-2.0,2,19.0,18.0,1.0,2,21.0,26.0,-5.0
3,BRK,4,2017-10-24,Away,ORL,L,121,125,40,96,0.41700000000000004,11,35,0.314,30,34,0.882,14,49,21,8,4,15,27,41,83,0.494,8,23,0.348,35,40,0.875,6,44,20,8,5,11,23,-4,124.33333333333333,121.66666666666667,2.6666666666666665,-1,44.0,43.333333333333336,0.6666666666666666,13,91.0,95.0,-4.0,-0.07699999999999996,0.48333333333333334,0.45533333333333337,0.027999999999999987,3,10.666666666666666,11.333333333333334,-0.6666666666666666,12,28.0,31.333333333333332,-3.3333333333333335,-0.033999999999999975,0.38000000000000006,0.35633333333333334,0.023666666666666652,-5,25.666666666666668,23.666666666666668,2.0,-6,33.666666666666664,27.666666666666668,6.0,0.007000000000000006,0.7653333333333334,0.855,-0.08966666666666667,8,13.0,13.0,0.0,5,47.333333333333336,45.0,2.3333333333333335,1,23.666666666666668,26.666666666666668,-3.0,0,10.666666666666666,9.0,1.6666666666666667,-1,5.333333333333333,4.666666666666667,0.6666666666666666,4,18.666666666666668,17.333333333333332,1.3333333333333333,4,23.0,25.666666666666668,-2.6666666666666665
4,BRK,5,2017-10-25,Home,CLE,W,112,107,40,93,0.43,17,46,0.37,15,21,0.7140000000000001,10,38,22,11,3,12,22,39,81,0.48100000000000004,12,35,0.34299999999999997,17,26,0.654,9,47,21,5,7,21,17,5,123.5,122.5,1.0,1,43.0,42.75,0.25,12,92.25,92.0,0.25,-0.051000000000000045,0.46675,0.465,0.0017500000000000016,5,10.75,10.5,0.25,11,29.75,29.25,0.5,0.027000000000000024,0.36350000000000005,0.35424999999999995,0.009249999999999994,-2,26.75,26.5,0.25,-5,33.75,30.75,3.0,0.06000000000000005,0.7945000000000001,0.86,-0.0655,1,13.25,11.25,2.0,-9,47.75,44.75,3.0,1,23.0,25.0,-2.0,6,10.0,8.75,1.25,-4,5.0,4.75,0.25,-9,17.75,15.75,2.0,5,24.0,25.0,-1.0
5,BRK,6,2017-10-27,Away,NYK,L,86,107,30,75,0.4,11,30,0.3670000000000001,15,21,0.7140000000000001,5,35,18,5,1,16,20,44,98,0.449,9,27,0.33299999999999996,10,17,0.588,19,55,19,7,6,11,19,-21,121.2,119.4,1.8,-14,42.4,42.0,0.4,-23,92.4,89.8,2.6,-0.04899999999999999,0.45940000000000003,0.46820000000000006,-0.008800000000000007,2,12.0,10.8,1.2,3,33.0,30.4,2.6,0.03400000000000014,0.36480000000000007,0.352,0.0128,5,24.4,24.6,-0.2,4,31.2,29.8,1.4,0.1260000000000001,0.7784000000000001,0.8188000000000001,-0.04039999999999999,-14,12.6,10.8,1.8,-20,45.8,45.2,0.6,-1,22.8,24.2,-1.4,-2,10.2,8.0,2.2,-5,4.6,5.2,-0.6,5,16.6,16.8,-0.2,1,23.6,23.4,0.2
6,BRK,7,2017-10-29,Home,DEN,L,111,124,39,96,0.406,12,31,0.387,21,31,0.677,17,56,24,5,4,15,18,47,94,0.5,11,20,0.55,19,22,0.8640000000000001,4,46,23,7,7,6,22,-13,115.33333333333333,117.33333333333333,-2.0,-8,40.333333333333336,42.333333333333336,-2.0,2,89.5,91.16666666666667,-1.6666666666666667,-0.09399999999999997,0.4495,0.465,-0.015500000000000005,1,11.833333333333334,10.5,1.3333333333333333,11,32.5,29.833333333333332,2.6666666666666665,-0.16300000000000003,0.3651666666666667,0.34883333333333333,0.016333333333333356,2,22.833333333333332,22.166666666666668,0.6666666666666666,9,29.5,27.666666666666668,1.8333333333333333,-0.18700000000000006,0.7676666666666668,0.7803333333333334,-0.01266666666666664,13,11.333333333333334,12.166666666666666,-0.8333333333333334,10,44.0,46.833333333333336,-2.8333333333333335,1,22.0,23.333333333333332,-1.3333333333333333,-2,9.333333333333334,7.833333333333333,1.5,-3,4.0,5.333333333333333,-1.3333333333333333,9,16.5,15.833333333333334,0.6666666666666666,-4,23.0,22.666666666666668,0.3333333333333333
7,BRK,8,2017-10-31,Home,PHO,L,114,122,42,102,0.41200000000000003,9,31,0.29,21,30,0.7,7,44,15,9,4,7,22,45,96,0.469,10,22,0.455,22,24,0.917,10,66,18,5,5,18,26,-8,114.71428571428571,118.28571428571429,-3.5714285714285716,-3,40.142857142857146,43.0,-2.857142857142857,6,90.42857142857143,91.57142857142857,-1.1428571428571428,-0.05699999999999994,0.44328571428571434,0.47000000000000003,-0.026714285714285715,-1,11.857142857142858,10.571428571428571,1.2857142857142858,9,32.285714285714285,28.428571428571427,3.857142857142857,-0.16500000000000004,0.3682857142857143,0.37757142857142856,-0.00928571428571427,-1,22.571428571428573,21.714285714285715,0.8571428571428571,6,29.714285714285715,26.857142857142858,2.857142857142857,-0.21700000000000008,0.7547142857142859,0.7922857142857144,-0.037571428571428554,-3,12.142857142857142,11.0,1.1428571428571428,-22,45.714285714285715,46.714285714285715,-1.0,-3,22.285714285714285,23.285714285714285,-1.0,4,8.714285714285714,7.714285714285714,1.0,-1,4.0,5.571428571428571,-1.5714285714285714,-11,16.285714285714285,14.428571428571429,1.8571428571428572,-4,22.285714285714285,22.571428571428573,-0.2857142857142857
8,BRK,9,2017-11-03,Away,LAL,L,112,124,37,91,0.40700000000000003,9,38,0.237,29,38,0.763,8,43,23,8,5,16,22,48,94,0.511,9,21,0.429,19,27,0.7040000000000001,7,57,26,10,7,16,29,-12,114.625,118.75,-4.125,-11,40.375,43.25,-2.875,-3,91.875,92.125,-0.25,-0.10399999999999998,0.439375,0.469875,-0.030499999999999992,0,11.5,10.5,1.0,17,32.125,27.625,4.5,-0.192,0.35850000000000004,0.38725,-0.02874999999999999,10,22.375,21.75,0.625,11,29.75,26.5,3.25,0.05899999999999994,0.7478750000000002,0.807875,-0.06,1,11.5,10.875,0.625,-14,45.5,49.125,-3.625,-3,21.375,22.625,-1.25,-2,8.75,7.375,1.375,-2,4.0,5.5,-1.5,0,15.125,14.875,0.25,-7,22.25,23.0,-0.75
9,BRK,10,2017-11-06,Away,PHO,W,98,92,35,87,0.402,8,32,0.25,20,29,0.69,11,48,20,10,4,16,30,30,86,0.349,6,25,0.24,26,35,0.743,14,52,13,8,7,17,29,6,114.33333333333333,119.33333333333333,-5.0,5,40.0,43.77777777777778,-3.7777777777777777,1,91.77777777777777,92.33333333333333,-0.5555555555555556,0.05300000000000005,0.4357777777777778,0.4744444444444444,-0.038666666666666655,2,11.222222222222221,10.333333333333334,0.8888888888888888,7,32.77777777777778,26.88888888888889,5.888888888888889,0.010000000000000009,0.34500000000000003,0.39188888888888884,-0.04688888888888888,-6,23.11111111111111,21.444444444444443,1.6666666666666667,-6,30.666666666666668,26.555555555555557,4.111111111111111,-0.05300000000000005,0.7495555555555558,0.7963333333333333,-0.04677777777777778,-3,11.11111111111111,10.444444444444445,0.6666666666666666,-4,45.22222222222222,50.0,-4.777777777777778,7,21.555555555555557,23.0,-1.4444444444444444,2,8.666666666666666,7.666666666666667,1.0,-3,4.111111111111111,5.666666666666667,-1.5555555555555556,-1,15.222222222222221,15.0,0.2222222222222222,1,22.22222222222222,23.666666666666668,-1.4444444444444444
