,Unnamed: 0,Unnamed: 0.1.1.1.1.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,cumalitive_Points,cumalitive_Opp.Points,cumalitive_differential_Points,average_Points,average_Opp.{},average_Points_differential,differential_FieldGoals,cumalitive_FieldGoals,cumalitive_Opp.FieldGoals,cumalitive_differential_FieldGoals,average_FieldGoals,average_FieldGoals_differential,differential_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted,cumalitive_Opp.FieldGoalsAttempted,cumalitive_differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_FieldGoalsAttempted_differential,differential_FieldGoals.,cumalitive_FieldGoals.,cumalitive_Opp.FieldGoals.,cumalitive_differential_FieldGoals.,average_FieldGoals.,average_FieldGoals._differential,differential_3PointShots,cumalitive_3PointShots,cumalitive_Opp.3PointShots,cumalitive_differential_3PointShots,average_3PointShots,average_3PointShots_differential,differential_3PointShotsAttempted,cumalitive_3PointShotsAttempted,cumalitive_Opp.3PointShotsAttempted,cumalitive_differential_3PointShotsAttempted,average_3PointShotsAttempted,average_3PointShotsAttempted_differential,differential_3PointShots.,cumalitive_3PointShots.,cumalitive_Opp.3PointShots.,cumalitive_differential_3PointShots.,average_3PointShots.,average_3PointShots._differential,differential_FreeThrows,cumalitive_FreeThrows,cumalitive_Opp.FreeThrows,cumalitive_differential_FreeThrows,average_FreeThrows,average_FreeThrows_differential,differential_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted,cumalitive_Opp.FreeThrowsAttempted,cumalitive_differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_FreeThrowsAttempted_differential,differential_FreeThrows.,cumalitive_FreeThrows.,cumalitive_Opp.FreeThrows.,cumalitive_differential_FreeThrows.,average_FreeThrows.,average_FreeThrows._differential,differential_OffRebounds,cumalitive_OffRebounds,cumalitive_Opp.OffRebounds,cumalitive_differential_OffRebounds,average_OffRebounds,average_OffRebounds_differential,differential_TotalRebounds,cumalitive_TotalRebounds,cumalitive_Opp.TotalRebounds,cumalitive_differential_TotalRebounds,average_TotalRebounds,average_TotalRebounds_differential,differential_Assists,cumalitive_Assists,cumalitive_Opp.Assists,cumalitive_differential_Assists,average_Assists,average_Assists_differential,differential_Steals,cumalitive_Steals,cumalitive_Opp.Steals,cumalitive_differential_Steals,average_Steals,average_Steals_differential,differential_Blocks,cumalitive_Blocks,cumalitive_Opp.Blocks,cumalitive_differential_Blocks,average_Blocks,average_Blocks_differential,differential_Turnovers,cumalitive_Turnovers,cumalitive_Opp.Turnovers,cumalitive_differential_Turnovers,average_Turnovers,average_Turnovers_differential,differential_TotalFouls,cumalitive_TotalFouls,cumalitive_Opp.TotalFouls,cumalitive_differential_TotalFouls,average_TotalFouls,average_TotalFouls_differential
0,0,116,CHI,1,2014-10-29,Away,NYK,W,104,80,36,71,0.507,7,24,0.292,25,30,0.833,10,47,21,9,4,15,18,31,85,0.365,3,17,0.17600000000000002,15,17,0.882,14,38,19,9,5,11,22,24,104,80,24,104.0,22.0,24.0,5,36,31,5,36.0,5.0,-14,71,85,-14,71.0,-14.0,0.14200000000000002,0.507,0.365,0.14200000000000002,0.507,0.14200000000000002,4,7,3,4,7.0,4.0,7,24,17,7,24.0,7.0,0.11599999999999996,0.292,0.17600000000000002,0.11599999999999996,0.292,0.11599999999999996,10,25,15,10,25.0,10.0,13,30,17,13,30.0,13.0,-0.049000000000000044,0.833,0.882,-0.049000000000000044,0.833,-0.049000000000000044,-4,10,14,-4,10.0,-4.0,9,47,38,9,47.0,9.0,2,21,19,2,21.0,2.0,0,9,9,0,9.0,0.0,-1,4,5,-1,4.0,-1.0,4,15,11,4,15.0,4.0,-4,18,22,-4,18.0,-4.0
1,1,216,CHI,2,2014-10-31,Home,CLE,L,108,114,41,90,0.456,13,31,0.419,13,17,0.765,11,42,25,4,14,19,28,41,104,0.39399999999999996,3,15,0.2,29,33,0.879,20,52,18,8,4,9,18,-6,212,194,18,106.0,20.0,9.0,0,77,72,5,38.5,2.5,-14,161,189,-28,80.5,-14.0,0.062000000000000055,0.9630000000000001,0.7589999999999999,0.20400000000000007,0.48150000000000004,0.10200000000000004,10,20,6,14,10.0,7.0,16,55,32,23,27.5,11.5,0.21899999999999997,0.711,0.376,0.33499999999999996,0.3555,0.16749999999999998,-16,38,44,-6,19.0,-3.0,-16,47,50,-3,23.5,-1.5,-0.11399999999999999,1.5979999999999999,1.7610000000000001,-0.16300000000000003,0.7989999999999999,-0.08150000000000002,-9,21,34,-13,10.5,-6.5,-10,89,90,-1,44.5,-0.5,7,46,37,9,23.0,4.5,-4,13,17,-4,6.5,-2.0,10,18,9,9,9.0,4.5,10,34,20,14,17.0,7.0,10,46,40,6,23.0,3.0
2,2,316,CHI,3,2014-11-01,Away,MIN,W,106,105,33,69,0.478,9,23,0.391,31,40,0.775,5,38,15,3,8,14,24,38,85,0.447,4,12,0.33299999999999996,25,31,0.8059999999999999,13,42,26,9,4,10,29,1,318,299,19,106.0,23.0,6.333333333333333,-5,110,110,0,36.666666666666664,0.0,-16,230,274,-44,76.66666666666667,-14.666666666666666,0.030999999999999972,1.441,1.206,0.23500000000000004,0.48033333333333333,0.07833333333333335,5,29,10,19,9.666666666666666,6.333333333333333,11,78,44,34,26.0,11.333333333333334,0.05800000000000005,1.1019999999999999,0.709,0.393,0.3673333333333333,0.131,6,69,69,0,23.0,0.0,9,87,81,6,29.0,2.0,-0.030999999999999917,2.3729999999999998,2.567,-0.19399999999999995,0.7909999999999999,-0.06466666666666665,-8,26,47,-21,8.666666666666666,-7.0,-4,127,132,-5,42.333333333333336,-1.6666666666666667,-11,61,63,-2,20.333333333333332,-0.6666666666666666,-6,16,26,-10,5.333333333333333,-3.3333333333333335,4,26,13,13,8.666666666666666,4.333333333333333,4,48,30,18,16.0,6.0,-5,70,69,1,23.333333333333332,0.3333333333333333
3,3,416,CHI,4,2014-11-04,Home,ORL,W,98,90,35,75,0.467,7,15,0.467,21,27,0.778,10,44,23,6,9,12,18,38,88,0.4320000000000001,6,14,0.429,8,14,0.5710000000000001,14,48,21,6,6,11,22,8,416,389,27,104.0,22.75,6.75,-3,145,148,-3,36.25,-0.75,-13,305,362,-57,76.25,-14.25,0.03499999999999992,1.9080000000000001,1.6380000000000001,0.26999999999999996,0.47700000000000004,0.06749999999999999,1,36,16,20,9.0,5.0,1,93,58,35,23.25,8.75,0.038000000000000034,1.569,1.138,0.43100000000000005,0.39225,0.10775000000000001,13,90,77,13,22.5,3.25,13,114,95,19,28.5,4.75,0.20699999999999996,3.151,3.1380000000000003,0.013000000000000012,0.78775,0.003250000000000003,-4,36,61,-25,9.0,-6.25,-4,171,180,-9,42.75,-2.25,2,84,84,0,21.0,0.0,0,22,32,-10,5.5,-2.5,3,35,19,16,8.75,4.0,1,60,41,19,15.0,4.75,-4,88,91,-3,22.0,-0.75
4,4,516,CHI,5,2014-11-05,Away,MIL,W,95,86,34,73,0.466,5,16,0.313,22,30,0.733,7,42,24,8,3,16,18,33,89,0.371,3,15,0.2,17,20,0.85,18,50,19,10,3,14,28,9,511,475,36,102.2,23.8,7.2,1,179,181,-2,35.8,-0.4,-16,378,451,-73,75.6,-14.6,0.09500000000000003,2.374,2.0090000000000003,0.365,0.4748,0.073,2,41,19,22,8.2,4.4,1,109,73,36,21.8,7.2,0.11299999999999999,1.882,1.3379999999999999,0.544,0.37639999999999996,0.10880000000000001,5,112,94,18,22.4,3.6,10,144,115,29,28.8,5.8,-0.11699999999999999,3.884,3.9880000000000004,-0.10399999999999998,0.7767999999999999,-0.020799999999999996,-11,43,79,-36,8.6,-7.2,-8,213,230,-17,42.6,-3.4,5,108,103,5,21.6,1.0,-2,30,42,-12,6.0,-2.4,0,38,22,16,7.6,3.2,2,76,55,21,15.2,4.2,-10,106,119,-13,21.2,-2.6
5,5,616,CHI,6,2014-11-07,Away,PHI,W,118,115,40,78,0.513,12,24,0.5,26,34,0.765,12,40,25,4,6,17,21,43,91,0.473,12,30,0.4,17,25,0.68,17,42,29,7,2,12,29,3,629,590,39,104.83333333333333,24.666666666666668,6.5,-3,219,224,-5,36.5,-0.8333333333333334,-13,456,542,-86,76.0,-14.333333333333334,0.040000000000000036,2.887,2.482,0.405,0.4811666666666667,0.0675,0,53,31,22,8.833333333333334,3.6666666666666665,-6,133,103,30,22.166666666666668,5.0,0.09999999999999998,2.3819999999999997,1.738,0.644,0.39699999999999996,0.10733333333333334,9,138,111,27,23.0,4.5,9,178,140,38,29.666666666666668,6.333333333333333,0.08499999999999996,4.649,4.668,-0.019000000000000017,0.7748333333333334,-0.0031666666666666696,-5,55,96,-41,9.166666666666666,-6.833333333333333,-2,253,272,-19,42.166666666666664,-3.1666666666666665,-4,133,132,1,22.166666666666668,0.16666666666666666,-3,34,49,-15,5.666666666666667,-2.5,4,44,24,20,7.333333333333333,3.3333333333333335,5,93,67,26,15.5,4.333333333333333,-8,127,148,-21,21.166666666666668,-3.5
6,6,716,CHI,7,2014-11-08,Home,BOS,L,101,106,42,92,0.457,8,18,0.444,9,15,0.6,11,38,26,5,2,8,16,42,81,0.519,7,19,0.368,15,20,0.75,7,45,25,6,3,12,17,-5,730,696,34,104.28571428571429,23.571428571428573,4.857142857142857,0,261,266,-5,37.285714285714285,-0.7142857142857143,11,548,623,-75,78.28571428571429,-10.714285714285714,-0.062,3.344,3.0010000000000003,0.343,0.4777142857142857,0.049,1,61,38,23,8.714285714285714,3.2857142857142856,-1,151,122,29,21.571428571428573,4.142857142857143,0.07600000000000001,2.8259999999999996,2.106,0.72,0.40371428571428564,0.10285714285714286,-6,147,126,21,21.0,3.0,-5,193,160,33,27.571428571428573,4.714285714285714,-0.15000000000000002,5.249,5.418,-0.16900000000000004,0.7498571428571428,-0.02414285714285715,4,66,103,-37,9.428571428571429,-5.285714285714286,-7,291,317,-26,41.57142857142857,-3.7142857142857144,1,159,157,2,22.714285714285715,0.2857142857142857,-1,39,55,-16,5.571428571428571,-2.2857142857142856,-1,46,27,19,6.571428571428571,2.7142857142857144,-4,101,79,22,14.428571428571429,3.142857142857143,-1,143,165,-22,20.428571428571427,-3.142857142857143
7,7,86,CHI,8,2014-11-10,Home,DET,W,102,91,39,88,0.44299999999999995,7,20,0.35,17,20,0.85,9,49,22,6,8,10,19,34,80,0.425,7,14,0.5,16,25,0.64,9,46,19,5,6,15,21,11,832,787,45,104.0,23.25,5.625,5,300,300,0,37.5,0.0,8,636,703,-67,79.5,-8.375,0.01799999999999996,3.787,3.426,0.361,0.473375,0.045125,0,68,45,23,8.5,2.875,6,171,136,35,21.375,4.375,-0.15000000000000002,3.1759999999999997,2.606,0.57,0.39699999999999996,0.07125,1,164,142,22,20.5,2.75,-5,213,185,28,26.625,3.5,0.20999999999999996,6.098999999999999,6.058,0.040999999999999925,0.7623749999999999,0.005124999999999991,0,75,112,-37,9.375,-4.625,3,340,363,-23,42.5,-2.875,3,181,176,5,22.625,0.625,1,45,60,-15,5.625,-1.875,2,54,33,21,6.75,2.625,-5,111,94,17,13.875,2.125,-2,162,186,-24,20.25,-3.0
8,8,94,CHI,9,2014-11-13,Away,TOR,W,100,93,37,77,0.48100000000000004,4,15,0.267,22,32,0.688,13,48,26,7,7,19,18,35,89,0.39299999999999996,8,25,0.32,15,21,0.7140000000000001,13,38,17,11,7,14,28,7,932,880,52,103.55555555555556,23.77777777777778,5.777777777777778,2,337,335,2,37.44444444444444,0.2222222222222222,-12,713,792,-79,79.22222222222223,-8.777777777777779,0.08800000000000008,4.268,3.819,0.44900000000000007,0.4742222222222222,0.0498888888888889,-4,72,53,19,8.0,2.111111111111111,-10,186,161,25,20.666666666666668,2.7777777777777777,-0.05299999999999999,3.4429999999999996,2.9259999999999997,0.5169999999999999,0.38255555555555554,0.05744444444444444,7,186,157,29,20.666666666666668,3.2222222222222223,11,245,206,39,27.22222222222222,4.333333333333333,-0.026000000000000134,6.786999999999999,6.772,0.014999999999999791,0.754111111111111,0.0016666666666666436,0,88,125,-37,9.777777777777779,-4.111111111111111,10,388,401,-13,43.111111111111114,-1.4444444444444444,9,207,193,14,23.0,1.5555555555555556,-4,52,71,-19,5.777777777777778,-2.111111111111111,0,61,40,21,6.777777777777778,2.3333333333333335,5,130,108,22,14.444444444444445,2.4444444444444446,-10,180,214,-34,20.0,-3.7777777777777777
9,9,104,CHI,10,2014-11-15,Home,IND,L,90,99,35,83,0.42200000000000004,4,17,0.235,16,23,0.696,10,34,18,6,7,13,19,37,77,0.48100000000000004,7,18,0.389,18,25,0.72,10,46,18,5,6,14,22,-9,1022,979,43,102.2,23.6,4.3,-2,372,372,0,37.2,0.0,6,796,869,-73,79.6,-7.3,-0.059,4.6899999999999995,4.3,0.39000000000000007,0.469,0.03900000000000001,-3,76,60,16,7.6,1.6,-1,203,179,24,20.3,2.4,-0.15400000000000003,3.6779999999999995,3.3149999999999995,0.3629999999999999,0.36779999999999996,0.036299999999999985,-2,202,175,27,20.2,2.7,-2,268,231,37,26.8,3.7,-0.02400000000000002,7.482999999999999,7.492,-0.00900000000000023,0.7482999999999999,-0.000900000000000023,0,98,135,-37,9.8,-3.7,-12,422,447,-25,42.2,-2.5,0,225,211,14,22.5,1.4,1,58,76,-18,5.8,-1.8,1,68,46,22,6.8,2.2,-1,143,122,21,14.3,2.1,-3,199,236,-37,19.9,-3.7
