,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,CHI,1,2015-10-27,Home,CLE,W,97,95,37,87,0.425,7,19,0.368,16,23,0.696,7,47,13,6,10,13,22,38,94,0.40399999999999997,9,29,0.31,10,17,0.588,11,50,26,5,7,10,21,2,0.0,0.0,0.0,-1,0.0,0.0,0.0,-7,0.0,0.0,0.0,0.02100000000000002,0.0,0.0,0.0,-2,0.0,0.0,0.0,-10,0.0,0.0,0.0,0.057999999999999996,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,0.10799999999999998,0.0,0.0,0.0,-4,0.0,0.0,0.0,-3,0.0,0.0,0.0,-13,0.0,0.0,0.0,1,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,1,0.0,0.0,0.0
1,CHI,2,2015-10-28,Away,BRK,W,115,100,42,78,0.5379999999999999,14,28,0.5,17,20,0.85,5,39,20,9,3,19,24,39,93,0.419,0,9,0.0,22,28,0.7859999999999999,16,45,19,11,5,13,18,15,97.0,95.0,2.0,3,37.0,38.0,-1.0,-15,87.0,94.0,-7.0,0.11899999999999994,0.425,0.40399999999999997,0.02100000000000002,14,7.0,9.0,-2.0,19,19.0,29.0,-10.0,0.5,0.368,0.31,0.057999999999999996,-5,16.0,10.0,6.0,-8,23.0,17.0,6.0,0.06400000000000006,0.696,0.588,0.10799999999999998,-11,7.0,11.0,-4.0,-6,47.0,50.0,-3.0,1,13.0,26.0,-13.0,-2,6.0,5.0,1.0,-2,10.0,7.0,3.0,6,13.0,10.0,3.0,6,22.0,21.0,1.0
2,CHI,3,2015-10-30,Away,DET,L,94,98,34,84,0.405,7,22,0.318,19,26,0.731,8,50,18,8,8,19,24,39,104,0.375,6,28,0.214,14,28,0.5,20,61,18,9,2,14,19,-4,106.0,97.5,8.5,-5,39.5,38.5,1.0,-20,82.5,93.5,-11.0,0.030000000000000027,0.48149999999999993,0.4115,0.06999999999999998,1,10.5,4.5,6.0,-6,23.5,19.0,4.5,0.10400000000000001,0.434,0.155,0.279,5,16.5,16.0,0.5,-2,21.5,22.5,-1.0,0.23099999999999998,0.7729999999999999,0.6869999999999999,0.08600000000000002,-12,6.0,13.5,-7.5,-11,43.0,47.5,-4.5,0,16.5,22.5,-6.0,-1,7.5,8.0,-0.5,6,6.5,6.0,0.5,5,16.0,11.5,4.5,5,23.0,19.5,3.5
3,CHI,4,2015-11-01,Home,ORL,W,92,87,33,87,0.379,7,28,0.25,19,22,0.8640000000000001,11,47,23,7,8,13,16,35,90,0.389,7,23,0.304,10,17,0.588,12,43,21,7,11,16,19,5,102.0,97.66666666666667,4.333333333333333,-2,37.666666666666664,38.666666666666664,-1.0,-3,83.0,97.0,-14.0,-0.010000000000000009,0.45599999999999996,0.3993333333333333,0.056666666666666664,0,9.333333333333334,5.0,4.333333333333333,5,23.0,22.0,1.0,-0.05399999999999999,0.3953333333333333,0.17466666666666666,0.22066666666666668,9,17.333333333333332,15.333333333333334,2.0,5,23.0,24.333333333333332,-1.3333333333333333,0.27600000000000013,0.7589999999999999,0.6246666666666666,0.13433333333333333,-1,6.666666666666667,15.666666666666666,-9.0,4,45.333333333333336,52.0,-6.666666666666667,2,17.0,21.0,-4.0,0,7.666666666666667,8.333333333333334,-0.6666666666666666,-3,7.0,4.666666666666667,2.3333333333333335,-3,17.0,12.333333333333334,4.666666666666667,-3,23.333333333333332,19.333333333333332,4.0
4,CHI,5,2015-11-03,Away,CHO,L,105,130,44,90,0.489,14,30,0.467,3,8,0.375,4,33,26,5,0,12,19,47,91,0.516,14,23,0.609,22,23,0.9570000000000001,12,52,26,6,4,9,11,-25,99.5,95.0,4.5,-3,36.5,37.75,-1.25,-1,84.0,95.25,-11.25,-0.027000000000000024,0.43674999999999997,0.39675,0.039999999999999994,0,8.75,5.5,3.25,7,24.25,22.25,2.0,-0.14199999999999996,0.359,0.20700000000000002,0.15200000000000002,-19,17.75,14.0,3.75,-15,22.75,22.5,0.25,-0.5820000000000001,0.78525,0.6154999999999999,0.16975000000000004,-8,7.75,14.75,-7.0,-19,45.75,49.75,-4.0,0,18.5,21.0,-2.5,-1,7.5,8.0,-0.5,-4,7.25,6.25,1.0,3,16.0,13.25,2.75,8,21.5,19.25,2.25
5,CHI,6,2015-11-05,Home,OKC,W,104,98,40,90,0.444,7,18,0.389,17,21,0.81,11,47,20,3,7,6,17,38,84,0.452,5,13,0.385,17,20,0.85,9,44,21,2,8,9,18,6,100.6,102.0,-1.4,2,38.0,39.6,-1.6,6,85.2,94.4,-9.2,-0.008000000000000007,0.44719999999999993,0.4206,0.02659999999999999,2,9.8,7.2,2.6,5,25.4,22.4,3.0,0.0040000000000000036,0.3806,0.2874,0.09320000000000003,0,14.8,15.6,-0.8,1,19.8,22.6,-2.8,-0.039999999999999925,0.7032,0.6838,0.019400000000000018,2,7.0,14.2,-7.2,3,43.2,50.2,-7.0,-1,20.0,22.0,-2.0,1,7.0,7.6,-0.6,-1,5.8,5.8,0.0,-3,15.2,12.4,2.8,-1,21.0,17.6,3.4
6,CHI,7,2015-11-07,Home,MIN,L,93,102,33,93,0.355,11,32,0.344,16,23,0.696,10,50,20,7,6,18,26,39,96,0.406,7,16,0.43799999999999994,17,27,0.63,14,58,26,8,7,15,23,-9,101.16666666666667,101.33333333333333,-0.16666666666666666,-6,38.333333333333336,39.333333333333336,-1.0,-3,86.0,92.66666666666667,-6.666666666666667,-0.051000000000000045,0.4466666666666666,0.4258333333333333,0.020833333333333325,4,9.333333333333334,6.833333333333333,2.5,16,24.166666666666668,20.833333333333332,3.3333333333333335,-0.09399999999999997,0.38199999999999995,0.3036666666666667,0.07833333333333335,-1,15.166666666666666,15.833333333333334,-0.6666666666666666,-4,20.0,22.166666666666668,-2.1666666666666665,0.06599999999999995,0.7210000000000001,0.7114999999999999,0.009500000000000028,-4,7.666666666666667,13.333333333333334,-5.666666666666667,-8,43.833333333333336,49.166666666666664,-5.333333333333333,-6,20.0,21.833333333333332,-1.8333333333333333,-1,6.333333333333333,6.666666666666667,-0.3333333333333333,-1,6.0,6.166666666666667,-0.16666666666666666,3,13.666666666666666,11.833333333333334,1.8333333333333333,3,20.333333333333332,17.666666666666668,2.6666666666666665
7,CHI,8,2015-11-09,Away,PHI,W,111,88,41,96,0.4270000000000001,10,25,0.4,19,23,0.826,13,58,28,6,10,14,19,35,100,0.35,5,25,0.2,13,23,0.565,15,52,19,6,9,13,13,23,100.0,101.42857142857143,-1.4285714285714286,6,37.57142857142857,39.285714285714285,-1.7142857142857142,-4,87.0,93.14285714285714,-6.142857142857143,0.07700000000000012,0.43357142857142855,0.423,0.010571428571428556,5,9.571428571428571,6.857142857142857,2.7142857142857144,0,25.285714285714285,20.142857142857142,5.142857142857143,0.2,0.3765714285714285,0.32285714285714284,0.053714285714285735,6,15.285714285714286,16.0,-0.7142857142857143,0,20.428571428571427,22.857142857142858,-2.4285714285714284,0.261,0.7174285714285714,0.6998571428571427,0.01757142857142859,-2,8.0,13.428571428571429,-5.428571428571429,6,44.714285714285715,50.42857142857143,-5.714285714285714,9,20.0,22.428571428571427,-2.4285714285714284,0,6.428571428571429,6.857142857142857,-0.42857142857142855,1,6.0,6.285714285714286,-0.2857142857142857,1,14.285714285714286,12.285714285714286,2.0,6,21.142857142857142,18.428571428571427,2.7142857142857144
8,CHI,9,2015-11-13,Home,CHO,W,102,97,37,84,0.44,4,16,0.25,24,31,0.774,10,57,27,4,6,11,16,36,95,0.379,15,33,0.455,10,12,0.833,9,45,21,9,4,6,21,5,101.375,99.75,1.625,1,38.0,38.75,-0.75,-11,88.125,94.0,-5.875,0.061,0.43274999999999997,0.413875,0.018875000000000003,-11,9.625,6.625,3.0,-17,25.25,20.75,4.5,-0.20500000000000002,0.37949999999999995,0.3075,0.07200000000000002,14,15.75,15.625,0.125,19,20.75,22.875,-2.125,-0.05899999999999994,0.731,0.6829999999999998,0.048000000000000015,1,8.625,13.625,-5.0,12,46.375,50.625,-4.25,6,21.0,22.0,-1.0,-5,6.375,6.75,-0.375,2,6.5,6.625,-0.125,5,14.25,12.375,1.875,-5,20.875,17.75,3.125
9,CHI,10,2015-11-16,Home,IND,W,96,95,35,86,0.40700000000000003,6,15,0.4,20,32,0.625,10,48,26,9,9,8,20,35,87,0.402,9,21,0.429,16,24,0.667,11,50,19,4,5,12,21,1,101.44444444444444,99.44444444444444,2.0,0,37.888888888888886,38.44444444444444,-0.5555555555555556,-1,87.66666666666667,94.11111111111111,-6.444444444444445,0.0050000000000000044,0.4335555555555555,0.41,0.02355555555555556,-3,9.0,7.555555555555555,1.4444444444444444,-6,24.22222222222222,22.11111111111111,2.111111111111111,-0.02899999999999997,0.36511111111111105,0.3238888888888889,0.04122222222222224,4,16.666666666666668,15.0,1.6666666666666667,8,21.88888888888889,21.666666666666668,0.2222222222222222,-0.04200000000000004,0.7357777777777778,0.6996666666666665,0.03611111111111113,-1,8.777777777777779,13.11111111111111,-4.333333333333333,-2,47.55555555555556,50.0,-2.4444444444444446,7,21.666666666666668,21.88888888888889,-0.2222222222222222,5,6.111111111111111,7.0,-0.8888888888888888,4,6.444444444444445,6.333333333333333,0.1111111111111111,-4,13.88888888888889,11.666666666666666,2.2222222222222223,-1,20.333333333333332,18.11111111111111,2.2222222222222223
