,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,CHO,1,2016-10-26,Away,MIL,W,107,96,40,89,0.449,7,23,0.304,20,24,0.833,11,51,27,5,10,10,22,39,92,0.424,3,16,0.188,15,20,0.75,10,46,23,4,5,8,22,11,0.0,0.0,0.0,1,0.0,0.0,0.0,-3,0.0,0.0,0.0,0.025000000000000022,0.0,0.0,0.0,4,0.0,0.0,0.0,7,0.0,0.0,0.0,0.11599999999999999,0.0,0.0,0.0,5,0.0,0.0,0.0,4,0.0,0.0,0.0,0.08299999999999996,0.0,0.0,0.0,1,0.0,0.0,0.0,5,0.0,0.0,0.0,4,0.0,0.0,0.0,1,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0
1,CHO,2,2016-10-28,Away,MIA,W,97,91,35,92,0.38,7,22,0.318,20,24,0.833,13,49,20,10,9,8,20,32,86,0.3720000000000001,14,34,0.41200000000000003,13,20,0.65,11,52,19,2,4,19,23,6,107.0,96.0,11.0,3,40.0,39.0,1.0,6,89.0,92.0,-3.0,0.007999999999999896,0.449,0.424,0.025000000000000022,-7,7.0,3.0,4.0,-12,23.0,16.0,7.0,-0.09400000000000003,0.304,0.188,0.11599999999999999,7,20.0,15.0,5.0,4,24.0,20.0,4.0,0.18299999999999994,0.833,0.75,0.08299999999999996,2,11.0,10.0,1.0,-3,51.0,46.0,5.0,1,27.0,23.0,4.0,8,5.0,4.0,1.0,5,10.0,5.0,5.0,-11,10.0,8.0,2.0,-3,22.0,22.0,0.0
2,CHO,3,2016-10-29,Home,BOS,L,98,104,32,79,0.405,9,32,0.281,25,33,0.758,6,38,22,8,6,8,17,39,81,0.48100000000000004,15,31,0.484,11,17,0.647,4,42,25,4,6,13,26,-6,102.0,93.5,8.5,-7,37.5,35.5,2.0,-2,90.5,89.0,1.5,-0.07600000000000001,0.4145,0.398,0.01649999999999996,-6,7.0,8.5,-1.5,1,22.5,25.0,-2.5,-0.20299999999999996,0.311,0.30000000000000004,0.010999999999999982,14,20.0,14.0,6.0,16,24.0,20.0,4.0,0.11099999999999999,0.833,0.7,0.13299999999999995,2,12.0,10.5,1.5,-4,50.0,49.0,1.0,-3,23.5,21.0,2.5,4,7.5,3.0,4.5,0,9.5,4.5,5.0,-5,9.0,13.5,-4.5,-9,21.0,22.5,-1.5
3,CHO,4,2016-11-02,Home,PHI,W,109,93,39,79,0.494,13,34,0.382,18,26,0.6920000000000001,9,44,25,8,3,15,17,34,86,0.395,12,38,0.316,13,15,0.867,8,37,23,8,2,17,24,16,100.66666666666667,97.0,3.6666666666666665,5,35.666666666666664,36.666666666666664,-1.0,-7,86.66666666666667,86.33333333333333,0.3333333333333333,0.09899999999999998,0.41133333333333333,0.4256666666666667,-0.014333333333333365,1,7.666666666666667,10.666666666666666,-3.0,-4,25.666666666666668,27.0,-1.3333333333333333,0.066,0.301,0.36133333333333334,-0.06033333333333333,5,21.666666666666668,13.0,8.666666666666666,11,27.0,19.0,8.0,-0.17499999999999993,0.8079999999999999,0.6823333333333332,0.12566666666666662,1,10.0,8.333333333333334,1.6666666666666667,7,46.0,46.666666666666664,-0.6666666666666666,2,23.0,22.333333333333332,0.6666666666666666,0,7.666666666666667,3.3333333333333335,4.333333333333333,1,8.333333333333334,5.0,3.3333333333333335,-2,8.666666666666666,13.333333333333334,-4.666666666666667,-7,19.666666666666668,23.666666666666668,-4.0
4,CHO,5,2016-11-04,Away,BRK,W,99,95,36,86,0.419,10,30,0.33299999999999996,17,24,0.708,7,49,24,7,3,16,18,35,87,0.402,9,36,0.25,16,21,0.762,7,46,20,12,4,15,22,4,102.75,96.0,6.75,1,36.5,36.0,0.5,-1,84.75,86.25,-1.5,0.01699999999999996,0.432,0.41800000000000004,0.01399999999999997,1,9.0,11.0,-2.0,-6,27.75,29.75,-2.0,0.08299999999999996,0.32125000000000004,0.35000000000000003,-0.028749999999999998,1,20.75,13.0,7.75,3,26.75,18.0,8.75,-0.05400000000000005,0.779,0.7284999999999999,0.05049999999999999,0,9.75,8.25,1.5,3,45.5,44.25,1.25,4,23.5,22.5,1.0,-5,7.75,4.5,3.25,-1,7.0,4.25,2.75,1,10.25,14.25,-4.0,-4,19.0,23.75,-4.75
5,CHO,6,2016-11-07,Home,IND,W,122,100,41,84,0.488,12,32,0.375,28,32,0.875,3,43,30,12,4,11,15,40,94,0.426,9,33,0.273,11,15,0.733,12,52,23,8,4,18,25,22,102.0,95.8,6.2,1,36.4,35.8,0.6,-10,85.0,86.4,-1.4,0.062,0.42939999999999995,0.41480000000000006,0.014599999999999969,3,9.2,10.6,-1.4,-1,28.2,31.0,-2.8,0.10199999999999998,0.3236,0.33,-0.0064000000000000055,17,20.0,13.6,6.4,17,26.2,18.6,7.6,0.14200000000000002,0.7647999999999999,0.7352,0.02959999999999998,-9,9.2,8.0,1.2,-9,46.2,44.6,1.6,7,23.6,22.0,1.6,4,7.6,6.0,1.6,0,6.2,4.2,2.0,-7,11.4,14.4,-3.0,-10,18.8,23.4,-4.6
6,CHO,7,2016-11-09,Home,UTA,W,104,98,38,82,0.46299999999999997,8,26,0.308,20,29,0.69,5,37,24,8,3,8,19,38,82,0.46299999999999997,8,34,0.235,14,18,0.778,10,46,24,5,6,12,22,6,105.33333333333333,96.5,8.833333333333334,0,37.166666666666664,36.5,0.6666666666666666,0,84.83333333333333,87.66666666666667,-2.8333333333333335,0.0,0.43916666666666665,0.41666666666666674,0.022499999999999975,0,9.666666666666666,10.333333333333334,-0.6666666666666666,-8,28.833333333333332,31.333333333333332,-2.5,0.07300000000000001,0.33216666666666667,0.3205,0.011666666666666659,6,21.333333333333332,13.166666666666666,8.166666666666666,11,27.166666666666668,18.0,9.166666666666666,-0.08800000000000008,0.7831666666666667,0.7348333333333333,0.04833333333333332,-5,8.166666666666666,8.666666666666666,-0.5,-9,45.666666666666664,45.833333333333336,-0.16666666666666666,0,24.666666666666668,22.166666666666668,2.5,3,8.333333333333334,6.333333333333333,2.0,-3,5.833333333333333,4.166666666666667,1.6666666666666667,-4,11.333333333333334,15.0,-3.6666666666666665,-3,18.166666666666668,23.666666666666668,-5.5
7,CHO,8,2016-11-11,Home,TOR,L,111,113,38,93,0.409,17,41,0.415,18,24,0.75,18,57,22,1,4,11,16,43,90,0.478,6,22,0.273,21,22,0.955,8,45,18,8,5,5,21,-2,105.14285714285714,96.71428571428571,8.428571428571429,-5,37.285714285714285,36.714285714285715,0.5714285714285714,3,84.42857142857143,86.85714285714286,-2.4285714285714284,-0.069,0.44257142857142856,0.4232857142857144,0.019285714285714264,11,9.428571428571429,10.0,-0.5714285714285714,19,28.428571428571427,31.714285714285715,-3.2857142857142856,0.14199999999999996,0.32871428571428574,0.3082857142857143,0.020428571428571424,-3,21.142857142857142,13.285714285714286,7.857142857142857,2,27.428571428571427,18.0,9.428571428571429,-0.20499999999999996,0.7698571428571428,0.7409999999999999,0.028857142857142835,10,7.714285714285714,8.857142857142858,-1.1428571428571428,12,44.42857142857143,45.857142857142854,-1.4285714285714286,4,24.571428571428573,22.428571428571427,2.142857142857143,-7,8.285714285714286,6.142857142857143,2.142857142857143,-1,5.428571428571429,4.428571428571429,1.0,6,10.857142857142858,14.571428571428571,-3.7142857142857144,-5,18.285714285714285,23.428571428571427,-5.142857142857143
8,CHO,9,2016-11-13,Away,CLE,L,93,100,36,95,0.379,11,29,0.379,10,12,0.833,10,45,23,7,3,5,19,39,92,0.424,14,38,0.368,8,15,0.5329999999999999,12,53,25,3,8,9,13,-7,105.875,98.75,7.125,-3,37.375,37.5,-0.125,3,85.5,87.25,-1.75,-0.044999999999999984,0.43837499999999996,0.4301250000000001,0.00824999999999998,-3,10.375,9.5,0.875,-9,30.0,30.5,-0.5,0.01100000000000001,0.3395,0.303875,0.03562499999999999,2,20.75,14.25,6.5,-3,27.0,18.5,8.5,0.30000000000000004,0.7673749999999999,0.7677499999999999,-0.0003750000000000142,-2,9.0,8.75,0.25,-8,46.0,45.75,0.25,-2,24.25,21.875,2.375,4,7.375,6.375,1.0,-5,5.25,4.5,0.75,-4,10.875,13.375,-2.5,6,18.0,23.125,-5.125
9,CHO,10,2016-11-15,Away,MIN,W,115,108,43,80,0.5379999999999999,11,24,0.45799999999999996,18,22,0.818,4,37,25,10,6,13,17,38,89,0.4270000000000001,15,35,0.429,17,21,0.81,14,43,25,4,5,18,19,7,104.44444444444444,98.88888888888889,5.555555555555555,5,37.22222222222222,37.666666666666664,-0.4444444444444444,-9,86.55555555555556,87.77777777777777,-1.2222222222222223,0.11099999999999982,0.43177777777777776,0.4294444444444445,0.002333333333333317,-4,10.444444444444445,10.0,0.4444444444444444,-11,29.88888888888889,31.333333333333332,-1.4444444444444444,0.02899999999999997,0.3438888888888889,0.311,0.032888888888888884,1,19.555555555555557,13.555555555555555,6.0,1,25.333333333333332,18.11111111111111,7.222222222222222,0.007999999999999896,0.7746666666666666,0.7416666666666666,0.032999999999999995,-10,9.11111111111111,9.11111111111111,0.0,-6,45.888888888888886,46.55555555555556,-0.6666666666666666,0,24.11111111111111,22.22222222222222,1.8888888888888888,6,7.333333333333333,6.0,1.3333333333333333,1,5.0,4.888888888888889,0.1111111111111111,-5,10.222222222222221,12.88888888888889,-2.6666666666666665,-2,18.11111111111111,22.0,-3.888888888888889
