,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,CLE,1,2014-10-30,Home,NYK,L,90,95,32,70,0.457,9,24,0.375,17,20,0.85,11,33,22,5,2,19,15,37,69,0.536,6,12,0.5,15,18,0.833,9,35,30,9,1,15,26,-5,0.0,0.0,0.0,-5,0.0,0.0,0.0,1,0.0,0.0,0.0,-0.07900000000000001,0.0,0.0,0.0,3,0.0,0.0,0.0,12,0.0,0.0,0.0,-0.125,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.017000000000000015,0.0,0.0,0.0,2,0.0,0.0,0.0,-2,0.0,0.0,0.0,-8,0.0,0.0,0.0,-4,0.0,0.0,0.0,1,0.0,0.0,0.0,4,0.0,0.0,0.0,-11,0.0,0.0,0.0
1,CLE,2,2014-10-31,Away,CHI,W,114,108,41,104,0.394,3,15,0.2,29,33,0.879,20,52,18,8,4,9,18,41,90,0.456,13,31,0.419,13,17,0.765,11,42,25,4,14,19,28,6,90.0,95.0,-5.0,0,32.0,37.0,-5.0,14,70.0,69.0,1.0,-0.062,0.457,0.536,-0.07900000000000001,-10,9.0,6.0,3.0,-16,24.0,12.0,12.0,-0.21899999999999997,0.375,0.5,-0.125,16,17.0,15.0,2.0,16,20.0,18.0,2.0,0.11399999999999999,0.85,0.833,0.017000000000000015,9,11.0,9.0,2.0,10,33.0,35.0,-2.0,-7,22.0,30.0,-8.0,4,5.0,9.0,-4.0,-10,2.0,1.0,1.0,-10,19.0,15.0,4.0,-10,15.0,26.0,-11.0
2,CLE,3,2014-11-04,Away,POR,L,82,101,31,85,0.365,9,21,0.429,11,14,0.7859999999999999,13,41,18,5,3,14,19,37,75,0.493,8,25,0.32,19,25,0.76,9,48,21,7,4,11,20,-19,102.0,101.5,0.5,-6,36.5,39.0,-2.5,10,87.0,79.5,7.5,-0.128,0.4255,0.496,-0.07050000000000001,1,6.0,9.5,-3.5,-4,19.5,21.5,-2.0,0.10899999999999999,0.2875,0.4595,-0.172,-8,23.0,14.0,9.0,-11,26.5,17.5,9.0,0.025999999999999912,0.8645,0.7989999999999999,0.0655,4,15.5,10.0,5.5,-7,42.5,38.5,4.0,-3,20.0,27.5,-7.5,-2,6.5,6.5,0.0,-1,3.0,7.5,-4.5,3,14.0,17.0,-3.0,-1,16.5,27.0,-10.5
3,CLE,4,2014-11-05,Away,UTA,L,100,102,30,72,0.417,6,16,0.375,34,40,0.85,7,30,6,8,4,12,22,39,77,0.506,7,21,0.333,17,22,0.773,13,41,26,3,8,12,26,-2,95.33333333333333,101.33333333333333,-6.0,-9,34.666666666666664,38.333333333333336,-3.6666666666666665,-5,86.33333333333333,78.0,8.333333333333334,-0.08900000000000002,0.4053333333333333,0.49499999999999994,-0.08966666666666667,-1,7.0,9.0,-2.0,-5,20.0,22.666666666666668,-2.6666666666666665,0.04199999999999998,0.33466666666666667,0.41300000000000003,-0.07833333333333332,17,19.0,15.666666666666666,3.3333333333333335,18,22.333333333333332,20.0,2.3333333333333335,0.07699999999999996,0.8383333333333334,0.7859999999999999,0.05233333333333331,-6,14.666666666666666,9.666666666666666,5.0,-11,42.0,41.666666666666664,0.3333333333333333,-20,19.333333333333332,25.333333333333332,-6.0,5,6.0,6.666666666666667,-0.6666666666666666,-4,3.0,6.333333333333333,-3.3333333333333335,0,14.0,15.0,-1.0,-4,17.333333333333332,24.666666666666668,-7.333333333333333
4,CLE,5,2014-11-07,Away,DEN,W,110,101,40,84,0.476,6,23,0.261,24,33,0.727,6,42,25,5,3,8,14,40,85,0.471,11,29,0.379,10,15,0.667,8,42,22,5,5,13,22,9,96.5,101.5,-5.0,0,33.5,38.5,-5.0,-1,82.75,77.75,5.0,0.0050000000000000044,0.40825,0.49774999999999997,-0.08950000000000001,-5,6.75,8.5,-1.75,-6,19.0,22.25,-3.25,-0.118,0.34475,0.393,-0.04825,14,22.75,16.0,6.75,18,26.75,20.5,6.25,0.05999999999999994,0.84125,0.78275,0.05849999999999997,-2,12.75,10.5,2.25,0,39.0,41.5,-2.5,3,16.0,25.5,-9.5,0,6.5,5.75,0.75,-2,3.25,6.75,-3.5,-5,13.5,14.25,-0.75,-8,18.5,25.0,-6.5
5,CLE,6,2014-11-10,Home,NOP,W,118,111,40,81,0.494,13,27,0.481,25,30,0.833,12,45,26,3,5,9,13,41,93,0.441,12,27,0.444,17,20,0.85,14,40,31,8,5,5,20,7,99.2,101.4,-2.2,-1,34.8,38.8,-4.0,-12,83.0,79.2,3.8,0.05299999999999999,0.4218,0.49239999999999995,-0.07060000000000001,1,6.6,9.0,-2.4,0,19.8,23.6,-3.8,0.03699999999999998,0.328,0.3902,-0.0622,8,23.0,14.8,8.2,10,28.0,19.4,8.6,-0.017000000000000015,0.8184000000000001,0.7596,0.05879999999999996,-2,11.4,10.0,1.4,5,39.6,41.6,-2.0,-5,17.8,24.8,-7.0,-5,6.2,5.6,0.6,0,3.2,6.4,-3.2,4,12.4,14.0,-1.6,-7,17.6,24.4,-6.8
6,CLE,7,2014-11-14,Away,BOS,W,122,121,43,85,0.506,8,23,0.348,28,37,0.757,8,40,22,5,5,11,21,48,88,0.545,6,20,0.3,19,23,0.826,8,39,32,7,1,14,26,1,102.33333333333333,103.0,-0.6666666666666666,-5,35.666666666666664,39.166666666666664,-3.5,-3,82.66666666666667,81.5,1.1666666666666667,-0.039000000000000035,0.4338333333333333,0.4838333333333333,-0.05000000000000001,2,7.666666666666667,9.5,-1.8333333333333333,3,21.0,24.166666666666668,-3.1666666666666665,0.04799999999999999,0.3535,0.39916666666666667,-0.04566666666666667,9,23.333333333333332,15.166666666666666,8.166666666666666,14,28.333333333333332,19.5,8.833333333333334,-0.06899999999999995,0.8208333333333334,0.7746666666666666,0.046166666666666634,0,11.5,10.666666666666666,0.8333333333333334,1,40.5,41.333333333333336,-0.8333333333333334,-10,19.166666666666668,25.833333333333332,-6.666666666666667,-2,5.666666666666667,6.0,-0.3333333333333333,4,3.5,6.166666666666667,-2.6666666666666665,-3,11.833333333333334,12.5,-0.6666666666666666,-5,16.833333333333332,23.666666666666668,-6.833333333333333
7,CLE,8,2014-11-15,Home,ATL,W,127,94,49,90,0.544,19,31,0.613,10,13,0.769,12,47,39,12,2,13,14,40,90,0.444,3,22,0.136,11,13,0.846,11,37,26,6,8,18,12,33,105.14285714285714,105.57142857142857,-0.42857142857142855,9,36.714285714285715,40.42857142857143,-3.7142857142857144,0,83.0,82.42857142857143,0.5714285714285714,0.10000000000000003,0.4441428571428571,0.4925714285714285,-0.04842857142857144,16,7.714285714285714,9.0,-1.2857142857142858,9,21.285714285714285,23.571428571428573,-2.2857142857142856,0.477,0.3527142857142857,0.38499999999999995,-0.03228571428571429,-1,24.0,15.714285714285714,8.285714285714286,0,29.571428571428573,20.0,9.571428571428571,-0.07699999999999996,0.8117142857142857,0.7819999999999999,0.029714285714285693,1,11.0,10.285714285714286,0.7142857142857143,10,40.42857142857143,41.0,-0.5714285714285714,13,19.571428571428573,26.714285714285715,-7.142857142857143,6,5.571428571428571,6.142857142857143,-0.5714285714285714,-6,3.7142857142857144,5.428571428571429,-1.7142857142857142,-5,11.714285714285714,12.714285714285714,-1.0,2,17.428571428571427,24.0,-6.571428571428571
8,CLE,9,2014-11-17,Home,DEN,L,97,106,34,79,0.43,10,29,0.345,19,23,0.826,9,42,18,7,8,15,15,41,85,0.482,12,31,0.387,12,15,0.8,9,39,25,10,4,15,18,-9,107.875,104.125,3.75,-7,38.25,40.375,-2.125,-6,83.875,83.375,0.5,-0.05199999999999999,0.456625,0.48649999999999993,-0.029875000000000006,-2,9.125,8.25,0.875,-2,22.5,23.375,-0.875,-0.04200000000000004,0.38525,0.353875,0.03137499999999999,7,22.25,15.125,7.125,8,27.5,19.125,8.375,0.025999999999999912,0.8063750000000001,0.7899999999999999,0.016374999999999987,0,11.125,10.375,0.75,3,41.25,40.5,0.75,-7,22.0,26.625,-4.625,-3,6.375,6.125,0.25,4,3.5,5.75,-2.25,0,11.875,13.375,-1.5,-3,17.0,22.5,-5.5
9,CLE,10,2014-11-19,Home,SAS,L,90,92,37,83,0.446,7,18,0.389,9,13,0.6920000000000001,10,38,23,7,5,16,21,35,74,0.473,5,16,0.313,17,25,0.68,10,42,26,11,4,15,20,-2,106.66666666666667,104.33333333333333,2.3333333333333335,2,37.77777777777778,40.44444444444444,-2.6666666666666665,9,83.33333333333333,83.55555555555556,-0.2222222222222222,-0.02699999999999997,0.45366666666666666,0.486,-0.03233333333333334,2,9.222222222222221,8.666666666666666,0.5555555555555556,2,23.22222222222222,24.22222222222222,-1.0,0.07600000000000001,0.3807777777777777,0.35755555555555557,0.023222222222222214,-8,21.88888888888889,14.777777777777779,7.111111111111111,-12,27.0,18.666666666666668,8.333333333333334,0.01200000000000001,0.8085555555555556,0.791111111111111,0.017444444444444422,0,10.88888888888889,10.222222222222221,0.6666666666666666,-4,41.333333333333336,40.333333333333336,1.0,-3,21.555555555555557,26.444444444444443,-4.888888888888889,-4,6.444444444444445,6.555555555555555,-0.1111111111111111,1,4.0,5.555555555555555,-1.5555555555555556,1,12.222222222222221,13.555555555555555,-1.3333333333333333,1,16.77777777777778,22.0,-5.222222222222222
