,Unnamed: 0,Unnamed: 0.1.1.1.1.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,cumalitive_Points,cumalitive_Opp.Points,cumalitive_differential_Points,average_Points,average_Opp.{},average_Points_differential,differential_FieldGoals,cumalitive_FieldGoals,cumalitive_Opp.FieldGoals,cumalitive_differential_FieldGoals,average_FieldGoals,average_FieldGoals_differential,differential_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted,cumalitive_Opp.FieldGoalsAttempted,cumalitive_differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_FieldGoalsAttempted_differential,differential_FieldGoals.,cumalitive_FieldGoals.,cumalitive_Opp.FieldGoals.,cumalitive_differential_FieldGoals.,average_FieldGoals.,average_FieldGoals._differential,differential_3PointShots,cumalitive_3PointShots,cumalitive_Opp.3PointShots,cumalitive_differential_3PointShots,average_3PointShots,average_3PointShots_differential,differential_3PointShotsAttempted,cumalitive_3PointShotsAttempted,cumalitive_Opp.3PointShotsAttempted,cumalitive_differential_3PointShotsAttempted,average_3PointShotsAttempted,average_3PointShotsAttempted_differential,differential_3PointShots.,cumalitive_3PointShots.,cumalitive_Opp.3PointShots.,cumalitive_differential_3PointShots.,average_3PointShots.,average_3PointShots._differential,differential_FreeThrows,cumalitive_FreeThrows,cumalitive_Opp.FreeThrows,cumalitive_differential_FreeThrows,average_FreeThrows,average_FreeThrows_differential,differential_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted,cumalitive_Opp.FreeThrowsAttempted,cumalitive_differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_FreeThrowsAttempted_differential,differential_FreeThrows.,cumalitive_FreeThrows.,cumalitive_Opp.FreeThrows.,cumalitive_differential_FreeThrows.,average_FreeThrows.,average_FreeThrows._differential,differential_OffRebounds,cumalitive_OffRebounds,cumalitive_Opp.OffRebounds,cumalitive_differential_OffRebounds,average_OffRebounds,average_OffRebounds_differential,differential_TotalRebounds,cumalitive_TotalRebounds,cumalitive_Opp.TotalRebounds,cumalitive_differential_TotalRebounds,average_TotalRebounds,average_TotalRebounds_differential,differential_Assists,cumalitive_Assists,cumalitive_Opp.Assists,cumalitive_differential_Assists,average_Assists,average_Assists_differential,differential_Steals,cumalitive_Steals,cumalitive_Opp.Steals,cumalitive_differential_Steals,average_Steals,average_Steals_differential,differential_Blocks,cumalitive_Blocks,cumalitive_Opp.Blocks,cumalitive_differential_Blocks,average_Blocks,average_Blocks_differential,differential_Turnovers,cumalitive_Turnovers,cumalitive_Opp.Turnovers,cumalitive_differential_Turnovers,average_Turnovers,average_Turnovers_differential,differential_TotalFouls,cumalitive_TotalFouls,cumalitive_Opp.TotalFouls,cumalitive_differential_TotalFouls,average_TotalFouls,average_TotalFouls_differential
0,0,1204,CLE,1,2016-10-25,Home,NYK,W,117,88,45,94,0.479,13,35,0.371,14,19,0.737,11,51,31,12,5,14,22,32,87,0.368,9,27,0.33299999999999996,15,20,0.75,13,42,17,6,6,18,22,29,117,88,29,117.0,22.0,29.0,13,45,32,13,45.0,13.0,7,94,87,7,94.0,7.0,0.11099999999999999,0.479,0.368,0.11099999999999999,0.479,0.11099999999999999,4,13,9,4,13.0,4.0,8,35,27,8,35.0,8.0,0.038000000000000034,0.371,0.33299999999999996,0.038000000000000034,0.371,0.038000000000000034,-1,14,15,-1,14.0,-1.0,-1,19,20,-1,19.0,-1.0,-0.013000000000000012,0.737,0.75,-0.013000000000000012,0.737,-0.013000000000000012,-2,11,13,-2,11.0,-2.0,9,51,42,9,51.0,9.0,14,31,17,14,31.0,14.0,6,12,6,6,12.0,6.0,-1,5,6,-1,5.0,-1.0,-4,14,18,-4,14.0,-4.0,0,22,22,0,22.0,0.0
1,1,2204,CLE,2,2016-10-28,Away,TOR,W,94,91,33,79,0.418,12,32,0.375,16,22,0.727,9,40,20,8,3,17,15,35,90,0.389,4,16,0.25,17,18,0.9440000000000001,18,51,12,9,3,18,20,3,211,179,32,105.5,21.0,16.0,-2,78,67,11,39.0,5.5,-11,173,177,-4,86.5,-2.0,0.02899999999999997,0.897,0.757,0.13999999999999996,0.4485,0.06999999999999998,8,25,13,12,12.5,6.0,16,67,43,24,33.5,12.0,0.125,0.746,0.583,0.16300000000000003,0.373,0.08150000000000002,-1,30,32,-2,15.0,-1.0,4,41,38,3,20.5,1.5,-0.21700000000000008,1.464,1.694,-0.2300000000000001,0.732,-0.11500000000000005,-9,20,31,-11,10.0,-5.5,-11,91,93,-2,45.5,-1.0,8,51,29,22,25.5,11.0,-1,20,15,5,10.0,2.5,0,8,9,-1,4.0,-0.5,-1,31,36,-5,15.5,-2.5,-5,37,42,-5,18.5,-2.5
2,2,3204,CLE,3,2016-10-29,Home,ORL,W,105,99,36,88,0.409,11,37,0.297,22,30,0.733,13,40,17,8,6,9,27,38,84,0.452,8,28,0.28600000000000003,15,26,0.5770000000000001,13,50,21,6,5,20,23,6,316,278,38,105.33333333333333,21.666666666666668,12.666666666666666,-2,114,105,9,38.0,3.0,4,261,261,0,87.0,0.0,-0.04300000000000004,1.306,1.209,0.09699999999999992,0.43533333333333335,0.032333333333333304,3,36,21,15,12.0,5.0,9,104,71,33,34.666666666666664,11.0,0.010999999999999954,1.043,0.869,0.174,0.3476666666666666,0.057999999999999996,7,52,47,5,17.333333333333332,1.6666666666666667,4,71,64,7,23.666666666666668,2.3333333333333335,0.15599999999999992,2.197,2.271,-0.07400000000000018,0.7323333333333334,-0.024666666666666726,0,33,44,-11,11.0,-3.6666666666666665,-10,131,143,-12,43.666666666666664,-4.0,-4,68,50,18,22.666666666666668,6.0,2,28,21,7,9.333333333333334,2.3333333333333335,1,14,14,0,4.666666666666667,0.0,-11,40,56,-16,13.333333333333334,-5.333333333333333,4,64,65,-1,21.333333333333332,-0.3333333333333333
3,3,4204,CLE,4,2016-11-01,Home,HOU,W,128,120,43,83,0.518,16,32,0.5,26,31,0.8390000000000001,12,46,22,4,2,11,21,43,90,0.478,17,44,0.386,17,25,0.68,11,32,30,5,2,7,25,8,444,398,46,111.0,22.5,11.5,0,157,148,9,39.25,2.25,-7,344,351,-7,86.0,-1.75,0.040000000000000036,1.824,1.687,0.13699999999999996,0.456,0.03424999999999999,-1,52,38,14,13.0,3.5,-12,136,115,21,34.0,5.25,0.11399999999999999,1.543,1.255,0.288,0.38575,0.072,9,78,64,14,19.5,3.5,6,102,89,13,25.5,3.25,0.15900000000000003,3.036,2.951,0.08499999999999985,0.759,0.021249999999999963,1,45,55,-10,11.25,-2.5,14,177,175,2,44.25,0.5,-8,90,80,10,22.5,2.5,-1,32,26,6,8.0,1.5,0,16,16,0,4.0,0.0,4,51,63,-12,12.75,-3.0,-4,85,90,-5,21.25,-1.25
4,4,5204,CLE,5,2016-11-03,Home,BOS,W,128,122,41,84,0.488,14,34,0.41200000000000003,32,37,0.865,7,42,24,6,6,8,19,46,96,0.479,11,32,0.344,19,22,0.8640000000000001,10,39,25,4,6,8,28,6,572,520,52,114.4,23.6,10.4,-5,198,194,4,39.6,0.8,-12,428,447,-19,85.6,-3.8,0.009000000000000008,2.3120000000000003,2.166,0.14599999999999996,0.46240000000000003,0.029199999999999993,3,66,49,17,13.2,3.4,2,170,147,23,34.0,4.6,0.06800000000000006,1.955,1.5989999999999998,0.35600000000000004,0.391,0.07120000000000001,13,110,83,27,22.0,5.4,15,139,111,28,27.8,5.6,0.0009999999999998899,3.901,3.8150000000000004,0.08599999999999974,0.7802,0.017199999999999948,-3,52,65,-13,10.4,-2.6,3,219,214,5,43.8,1.0,-1,114,105,9,22.8,1.8,2,38,30,8,7.6,1.6,0,22,22,0,4.4,0.0,0,59,71,-12,11.8,-2.4,-9,104,118,-14,20.8,-2.8
5,5,6204,CLE,6,2016-11-05,Away,PHI,W,102,101,37,91,0.40700000000000003,14,38,0.368,14,18,0.778,11,49,23,10,5,16,15,40,87,0.46,14,38,0.368,7,12,0.583,5,45,21,9,9,17,23,1,674,621,53,112.33333333333333,23.5,8.833333333333334,-3,235,234,1,39.166666666666664,0.16666666666666666,4,519,534,-15,86.5,-2.5,-0.05299999999999999,2.7190000000000003,2.626,0.09299999999999997,0.4531666666666667,0.015499999999999995,0,80,63,17,13.333333333333334,2.8333333333333335,0,208,185,23,34.666666666666664,3.8333333333333335,0.0,2.323,1.9669999999999996,0.35600000000000004,0.38716666666666666,0.05933333333333334,7,124,90,34,20.666666666666668,5.666666666666667,6,157,123,34,26.166666666666668,5.666666666666667,0.19500000000000006,4.679,4.398000000000001,0.2809999999999998,0.7798333333333334,0.0468333333333333,6,63,70,-7,10.5,-1.1666666666666667,4,268,259,9,44.666666666666664,1.5,2,137,126,11,22.833333333333332,1.8333333333333333,1,48,39,9,8.0,1.5,-4,27,31,-4,4.5,-0.6666666666666666,-1,75,88,-13,12.5,-2.1666666666666665,-8,119,141,-22,19.833333333333332,-3.6666666666666665
6,6,7204,CLE,7,2016-11-08,Home,ATL,L,106,110,37,99,0.374,11,42,0.262,21,25,0.84,13,39,21,12,1,6,20,41,81,0.506,11,29,0.379,17,24,0.708,11,50,22,1,4,19,21,-4,780,731,49,111.42857142857143,23.142857142857142,7.0,-4,272,275,-3,38.857142857142854,-0.42857142857142855,18,618,615,3,88.28571428571429,0.42857142857142855,-0.132,3.0930000000000004,3.1319999999999997,-0.039000000000000035,0.4418571428571429,-0.005571428571428576,0,91,74,17,13.0,2.4285714285714284,13,250,214,36,35.714285714285715,5.142857142857143,-0.11699999999999999,2.585,2.3459999999999996,0.23900000000000005,0.3692857142857143,0.03414285714285715,4,145,107,38,20.714285714285715,5.428571428571429,1,182,147,35,26.0,5.0,0.132,5.519,5.106000000000001,0.4129999999999998,0.7884285714285715,0.058999999999999976,2,76,81,-5,10.857142857142858,-0.7142857142857143,-11,307,309,-2,43.857142857142854,-0.2857142857142857,-1,158,148,10,22.571428571428573,1.4285714285714286,11,60,40,20,8.571428571428571,2.857142857142857,-3,28,35,-7,4.0,-1.0,-13,81,107,-26,11.571428571428571,-3.7142857142857144,-1,139,162,-23,19.857142857142858,-3.2857142857142856
7,7,884,CLE,8,2016-11-11,Away,WAS,W,105,94,36,86,0.419,14,33,0.424,19,26,0.731,13,47,16,9,6,15,21,38,87,0.4370000000000001,3,15,0.2,15,19,0.789,10,46,16,7,5,15,21,11,885,825,60,110.625,22.875,7.5,-2,308,313,-5,38.5,-0.625,-1,704,702,2,88.0,0.25,-0.018000000000000127,3.5120000000000005,3.569,-0.05700000000000016,0.43900000000000006,-0.00712500000000002,11,105,77,28,13.125,3.5,18,283,229,54,35.375,6.75,0.22399999999999998,3.009,2.546,0.463,0.376125,0.057875,4,164,122,42,20.5,5.25,7,208,166,42,26.0,5.25,-0.05800000000000005,6.25,5.8950000000000005,0.35499999999999976,0.78125,0.04437499999999997,3,89,91,-2,11.125,-0.25,1,354,355,-1,44.25,-0.125,0,174,164,10,21.75,1.25,2,69,47,22,8.625,2.75,1,34,40,-6,4.25,-0.75,0,96,122,-26,12.0,-3.25,0,160,183,-23,20.0,-2.875
8,8,965,CLE,9,2016-11-13,Home,CHO,W,100,93,39,92,0.424,14,38,0.368,8,15,0.5329999999999999,12,53,25,3,8,9,13,36,95,0.379,11,29,0.379,10,12,0.833,10,45,23,7,3,5,19,7,985,918,67,109.44444444444444,22.444444444444443,7.444444444444445,3,347,349,-2,38.55555555555556,-0.2222222222222222,-3,796,797,-1,88.44444444444444,-0.1111111111111111,0.044999999999999984,3.9360000000000004,3.948,-0.012000000000000177,0.43733333333333335,-0.001333333333333353,3,119,88,31,13.222222222222221,3.4444444444444446,9,321,258,63,35.666666666666664,7.0,-0.01100000000000001,3.377,2.925,0.452,0.3752222222222222,0.050222222222222224,-2,172,132,40,19.11111111111111,4.444444444444445,3,223,178,45,24.77777777777778,5.0,-0.30000000000000004,6.7829999999999995,6.728000000000001,0.054999999999999716,0.7536666666666666,0.006111111111111079,2,101,101,0,11.222222222222221,0.0,8,407,400,7,45.22222222222222,0.7777777777777778,2,199,187,12,22.11111111111111,1.3333333333333333,-4,72,54,18,8.0,2.0,5,42,43,-1,4.666666666666667,-0.1111111111111111,4,105,127,-22,11.666666666666666,-2.4444444444444446,-6,173,202,-29,19.22222222222222,-3.2222222222222223
9,9,1065,CLE,10,2016-11-15,Home,TOR,W,121,117,44,83,0.53,13,33,0.39399999999999996,20,28,0.7140000000000001,10,46,26,4,7,17,18,46,96,0.479,13,29,0.44799999999999995,12,18,0.667,12,40,24,11,5,8,25,4,1106,1035,71,110.6,22.7,7.1,-2,391,395,-4,39.1,-0.4,-13,879,893,-14,87.9,-1.4,0.051000000000000045,4.466,4.427,0.03899999999999987,0.4466,0.003899999999999987,0,132,101,31,13.2,3.1,4,354,287,67,35.4,6.7,-0.05399999999999999,3.771,3.3729999999999998,0.398,0.3771,0.0398,8,192,144,48,19.2,4.8,10,251,196,55,25.1,5.5,0.04700000000000004,7.497,7.3950000000000005,0.10199999999999976,0.7497,0.010199999999999976,-2,111,113,-2,11.1,-0.2,6,453,440,13,45.3,1.3,2,225,211,14,22.5,1.4,-7,76,65,11,7.6,1.1,2,49,48,1,4.9,0.1,9,122,135,-13,12.2,-1.3,-7,191,227,-36,19.1,-3.6
