,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,DAL,1,2015-10-28,Away,PHO,W,111,95,40,85,0.471,10,21,0.476,21,31,0.677,6,48,24,7,3,8,25,34,87,0.391,6,24,0.25,21,33,0.636,13,53,15,3,3,18,30,16,0.0,0.0,0.0,6,0.0,0.0,0.0,-2,0.0,0.0,0.0,0.07999999999999996,0.0,0.0,0.0,4,0.0,0.0,0.0,-3,0.0,0.0,0.0,0.22599999999999998,0.0,0.0,0.0,0,0.0,0.0,0.0,-2,0.0,0.0,0.0,0.041000000000000036,0.0,0.0,0.0,-7,0.0,0.0,0.0,-5,0.0,0.0,0.0,9,0.0,0.0,0.0,4,0.0,0.0,0.0,0,0.0,0.0,0.0,-10,0.0,0.0,0.0,-5,0.0,0.0,0.0
1,DAL,2,2015-10-29,Away,LAC,L,88,104,35,97,0.361,6,30,0.2,12,15,0.8,14,55,22,4,2,12,26,38,87,0.4370000000000001,8,31,0.258,20,33,0.606,8,53,21,6,8,8,17,-16,111.0,95.0,16.0,-3,40.0,34.0,6.0,10,85.0,87.0,-2.0,-0.07600000000000012,0.471,0.391,0.07999999999999996,-2,10.0,6.0,4.0,-1,21.0,24.0,-3.0,-0.057999999999999996,0.476,0.25,0.22599999999999998,-8,21.0,21.0,0.0,-18,31.0,33.0,-2.0,0.19400000000000006,0.677,0.636,0.041000000000000036,6,6.0,13.0,-7.0,2,48.0,53.0,-5.0,1,24.0,15.0,9.0,-2,7.0,3.0,4.0,-6,3.0,3.0,0.0,4,8.0,18.0,-10.0,9,25.0,30.0,-5.0
2,DAL,3,2015-11-01,Away,LAL,W,103,93,40,87,0.46,11,30,0.3670000000000001,12,16,0.75,8,49,28,5,4,11,22,31,85,0.365,10,34,0.294,21,28,0.75,8,42,18,8,9,12,20,10,99.5,99.5,0.0,9,37.5,36.0,1.5,2,91.0,87.0,4.0,0.09500000000000003,0.416,0.41400000000000003,0.0019999999999999185,1,8.0,7.0,1.0,-4,25.5,27.5,-2.0,0.07300000000000012,0.33799999999999997,0.254,0.08399999999999999,-9,16.5,20.5,-4.0,-12,23.0,33.0,-10.0,0.0,0.7385,0.621,0.11750000000000005,0,10.0,10.5,-0.5,7,51.5,53.0,-1.5,10,23.0,18.0,5.0,-3,5.5,4.5,1.0,-5,2.5,5.5,-3.0,-1,10.0,13.0,-3.0,2,25.5,23.5,2.0
3,DAL,4,2015-11-03,Home,TOR,L,91,102,33,86,0.384,7,23,0.304,18,25,0.72,14,44,20,5,3,15,25,37,82,0.451,5,17,0.294,23,26,0.885,10,47,18,8,6,16,26,-11,100.66666666666667,97.33333333333333,3.3333333333333335,-4,38.333333333333336,34.333333333333336,4.0,4,89.66666666666667,86.33333333333333,3.3333333333333335,-0.067,0.4306666666666667,0.39766666666666667,0.03299999999999995,2,9.0,8.0,1.0,6,27.0,29.666666666666668,-2.6666666666666665,0.010000000000000009,0.34766666666666673,0.26733333333333337,0.08033333333333337,-5,15.0,20.666666666666668,-5.666666666666667,-1,20.666666666666668,31.333333333333332,-10.666666666666666,-0.16500000000000004,0.7423333333333334,0.664,0.07833333333333337,4,9.333333333333334,9.666666666666666,-0.3333333333333333,-3,50.666666666666664,49.333333333333336,1.3333333333333333,2,24.666666666666668,18.0,6.666666666666667,-3,5.333333333333333,5.666666666666667,-0.3333333333333333,-3,3.0,6.666666666666667,-3.6666666666666665,-1,10.333333333333334,12.666666666666666,-2.3333333333333335,-1,24.333333333333332,22.333333333333332,2.0
4,DAL,5,2015-11-05,Home,CHO,L,94,108,32,82,0.39,6,29,0.207,24,27,0.889,8,44,17,8,2,13,13,44,89,0.494,6,27,0.222,14,17,0.8240000000000001,8,48,19,8,6,11,25,-14,98.25,98.5,-0.25,-12,37.0,35.0,2.0,-7,88.75,85.25,3.5,-0.10399999999999998,0.41900000000000004,0.41100000000000003,0.007999999999999965,0,8.5,7.25,1.25,2,26.0,26.5,-0.5,-0.015000000000000013,0.33675000000000005,0.274,0.06275000000000003,10,15.75,21.25,-5.5,10,21.75,30.0,-8.25,0.06499999999999995,0.73675,0.71925,0.017500000000000016,0,10.5,9.75,0.75,-4,49.0,48.75,0.25,-2,23.5,18.0,5.5,0,5.25,6.25,-1.0,-4,3.0,6.5,-3.5,2,11.5,13.5,-2.0,-12,24.5,23.25,1.25
5,DAL,6,2015-11-07,Home,NOP,W,107,98,40,84,0.476,9,24,0.375,18,22,0.818,6,42,20,5,2,9,17,39,86,0.453,9,28,0.321,11,13,0.846,7,42,21,7,6,12,24,9,97.4,100.4,-3.0,1,36.0,36.8,-0.8,-2,87.4,86.0,1.4,0.022999999999999965,0.41320000000000007,0.4276,-0.014400000000000024,0,8.0,7.0,1.0,-4,26.6,26.6,0.0,0.05399999999999999,0.3108000000000001,0.2636,0.04720000000000002,7,17.4,19.8,-2.4,9,22.8,27.4,-4.6,-0.028000000000000025,0.7672000000000001,0.7402,0.027000000000000003,-1,10.0,9.4,0.6,0,48.0,48.6,-0.6,-1,22.2,18.2,4.0,-2,5.8,6.6,-0.8,-4,2.8,6.4,-3.6,-3,11.8,13.0,-1.2,-7,22.2,23.6,-1.4
6,DAL,7,2015-11-10,Away,NOP,L,105,120,39,88,0.443,5,20,0.25,22,26,0.846,8,44,20,4,4,13,17,46,92,0.5,14,33,0.424,14,18,0.778,9,48,25,9,5,11,27,-15,99.0,100.0,-1.0,-7,36.666666666666664,37.166666666666664,-0.5,-4,86.83333333333333,86.0,0.8333333333333334,-0.056999999999999995,0.4236666666666667,0.4318333333333333,-0.008166666666666692,-9,8.166666666666666,7.333333333333333,0.8333333333333334,-13,26.166666666666668,26.833333333333332,-0.6666666666666666,-0.174,0.32150000000000006,0.27316666666666667,0.048333333333333346,8,17.5,18.333333333333332,-0.8333333333333334,8,22.666666666666668,25.0,-2.3333333333333335,0.06799999999999995,0.7756666666666666,0.7578333333333332,0.01783333333333333,-1,9.333333333333334,9.0,0.3333333333333333,-4,47.0,47.5,-0.5,-5,21.833333333333332,18.666666666666668,3.1666666666666665,-5,5.666666666666667,6.666666666666667,-1.0,-1,2.6666666666666665,6.333333333333333,-3.6666666666666665,2,11.333333333333334,12.833333333333334,-1.5,-10,21.333333333333332,23.666666666666668,-2.3333333333333335
7,DAL,8,2015-11-11,Home,LAC,W,118,108,42,76,0.5529999999999999,11,24,0.458,23,30,0.767,8,44,23,8,3,13,29,37,86,0.43,12,27,0.444,22,33,0.667,13,41,21,4,2,10,24,10,99.85714285714286,102.85714285714286,-3.0,5,37.0,38.42857142857143,-1.4285714285714286,-10,87.0,86.85714285714286,0.14285714285714285,0.12299999999999994,0.4264285714285715,0.44157142857142856,-0.015142857142857164,-1,7.714285714285714,8.285714285714286,-0.5714285714285714,-3,25.285714285714285,27.714285714285715,-2.4285714285714284,0.014000000000000012,0.31128571428571433,0.29471428571428576,0.016571428571428588,1,18.142857142857142,17.714285714285715,0.42857142857142855,-3,23.142857142857142,24.0,-0.8571428571428571,0.09999999999999998,0.7857142857142857,0.7607142857142856,0.02499999999999999,-5,9.142857142857142,9.0,0.14285714285714285,3,46.57142857142857,47.57142857142857,-1.0,2,21.571428571428573,19.571428571428573,2.0,4,5.428571428571429,7.0,-1.5714285714285714,1,2.857142857142857,6.142857142857143,-3.2857142857142856,3,11.571428571428571,12.571428571428571,-1.0,5,20.714285714285715,24.142857142857142,-3.4285714285714284
8,DAL,9,2015-11-13,Home,LAL,W,90,82,30,82,0.366,7,27,0.259,23,29,0.7929999999999999,7,48,19,9,4,15,15,29,88,0.33,9,27,0.333,15,18,0.833,15,57,18,10,7,20,27,8,102.125,103.5,-1.375,1,37.625,38.25,-0.625,-6,85.625,86.75,-1.125,0.035999999999999976,0.44225000000000003,0.440125,0.002124999999999974,-2,8.125,8.75,-0.625,0,25.125,27.625,-2.5,-0.07400000000000001,0.32962500000000006,0.313375,0.016250000000000014,8,18.75,18.25,0.5,11,24.0,25.125,-1.125,-0.040000000000000036,0.783375,0.7489999999999999,0.03437499999999999,-8,9.0,9.5,-0.5,-9,46.25,46.75,-0.5,1,21.75,19.75,2.0,-1,5.75,6.625,-0.875,-3,2.875,5.625,-2.75,-5,11.75,12.25,-0.5,-12,21.75,24.125,-2.375
9,DAL,10,2015-11-14,Away,HOU,W,110,98,43,89,0.483,8,28,0.28600000000000003,16,21,0.762,8,45,24,6,7,11,21,32,84,0.381,9,34,0.265,25,32,0.7809999999999999,12,43,22,9,5,12,23,12,100.77777777777777,101.11111111111111,-0.3333333333333333,11,36.77777777777778,37.22222222222222,-0.4444444444444444,5,85.22222222222223,86.88888888888889,-1.6666666666666667,0.10199999999999998,0.4337777777777778,0.4278888888888889,0.005888888888888864,-1,8.0,8.777777777777779,-0.7777777777777778,-6,25.333333333333332,27.555555555555557,-2.2222222222222223,0.02100000000000002,0.32177777777777783,0.3155555555555556,0.006222222222222234,-9,19.22222222222222,17.88888888888889,1.3333333333333333,-11,24.555555555555557,24.333333333333332,0.2222222222222222,-0.018999999999999906,0.7844444444444445,0.7583333333333333,0.0261111111111111,-4,8.777777777777779,10.11111111111111,-1.3333333333333333,2,46.44444444444444,47.888888888888886,-1.4444444444444444,2,21.444444444444443,19.555555555555557,1.8888888888888888,-3,6.111111111111111,7.0,-0.8888888888888888,2,3.0,5.777777777777778,-2.7777777777777777,-1,12.11111111111111,13.11111111111111,-1.0,-2,21.0,24.444444444444443,-3.4444444444444446
