,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential,cumalitive_Points,cumalitive_Points_differential,cumalitive_FieldGoals,cumalitive_FieldGoals_differential,cumalitive_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted_differential,cumalitive_FieldGoals.,cumalitive_FieldGoals._differential,cumalitive_3PointShots,cumalitive_3PointShots_differential,cumalitive_3PointShotsAttempted,cumalitive_3PointShotsAttempted_differential,cumalitive_3PointShots.,cumalitive_3PointShots._differential,cumalitive_FreeThrows,cumalitive_FreeThrows_differential,cumalitive_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted_differential,cumalitive_FreeThrows.,cumalitive_FreeThrows._differential,cumalitive_OffRebounds,cumalitive_OffRebounds_differential,cumalitive_TotalRebounds,cumalitive_TotalRebounds_differential,cumalitive_Assists,cumalitive_Assists_differential,cumalitive_Steals,cumalitive_Steals_differential,cumalitive_Blocks,cumalitive_Blocks_differential,cumalitive_Turnovers,cumalitive_Turnovers_differential,cumalitive_TotalFouls,cumalitive_TotalFouls_differential
492,492,7872,1397,DAL,1,2017-10-18,Home,ATL,L,111,117,38,86,0.442,17,45,0.37799999999999995,18,21,0.857,9,41,27,5,4,15,19,48,94,0.511,9,18,0.5,12,15,0.8,14,50,20,11,6,13,18,2017-10-18,-6,-10,-8,-0.069,8,27,-0.122,6,6,0.05699999999999994,-5,-9,7,-6,-2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,493,7873,2397,DAL,2,2017-10-20,Home,SAC,L,88,93,31,75,0.413,11,33,0.33299999999999996,15,21,0.7140000000000001,7,36,19,8,7,12,13,37,87,0.425,10,23,0.435,9,13,0.6920000000000001,16,57,20,8,3,14,18,2017-10-20,-5,-6,-12,-0.012000000000000009,1,10,-0.10199999999999998,6,8,0.02200000000000002,-9,-21,-1,0,4,-2,-5,111.0,-6.0,38.0,-10.0,86.0,-8.0,0.442,-0.069,17.0,8.0,45.0,27.0,0.37799999999999995,-0.122,18.0,6.0,21.0,6.0,0.857,0.05699999999999994,9.0,-5.0,41.0,-9.0,27.0,7.0,5.0,-6.0,4.0,-2.0,15.0,2.0,19.0,1.0
494,494,7874,3397,DAL,3,2017-10-21,Away,HOU,L,91,107,31,84,0.369,13,31,0.419,16,21,0.762,8,41,19,6,0,14,19,39,82,0.47600000000000003,11,47,0.23399999999999999,18,22,0.818,8,54,17,12,4,13,24,2017-10-21,-16,-8,2,-0.10699999999999997,2,-16,0.185,-2,-1,-0.05599999999999994,0,-13,2,-6,-4,1,-5,199.0,-11.0,69.0,-16.0,161.0,-20.0,0.855,-0.08100000000000002,28.0,9.0,78.0,37.0,0.7109999999999999,-0.22399999999999998,33.0,12.0,42.0,14.0,1.5710000000000002,0.07899999999999996,16.0,-14.0,77.0,-30.0,46.0,6.0,13.0,-6.0,11.0,2.0,27.0,0.0,32.0,-4.0
495,495,7875,4397,DAL,4,2017-10-23,Home,GSW,L,103,133,38,96,0.396,9,29,0.31,18,30,0.6,14,42,21,11,0,12,20,48,86,0.5579999999999999,15,39,0.385,22,26,0.846,10,50,33,6,8,16,23,2017-10-23,-30,-10,10,-0.16199999999999992,-6,-10,-0.07500000000000001,-4,4,-0.24600000000000002,4,-8,-12,5,-8,-4,-3,290.0,-27.0,100.0,-24.0,245.0,-18.0,1.224,-0.188,41.0,11.0,109.0,21.0,1.13,-0.03899999999999998,49.0,10.0,63.0,13.0,2.333,0.02300000000000002,24.0,-14.0,118.0,-43.0,65.0,8.0,19.0,-12.0,11.0,-2.0,41.0,1.0,51.0,-9.0
496,496,7876,5397,DAL,5,2017-10-25,Home,MEM,W,103,94,36,74,0.486,11,26,0.423,20,29,0.69,4,35,20,6,4,11,20,33,72,0.45799999999999996,12,31,0.387,16,24,0.667,6,36,14,7,2,17,22,2017-10-25,9,3,2,0.02799999999999997,-1,-5,0.035999999999999976,4,5,0.02299999999999991,-2,-1,6,-1,2,-6,-2,393.0,-57.0,138.0,-34.0,341.0,-8.0,1.62,-0.3499999999999999,50.0,5.0,138.0,11.0,1.44,-0.11399999999999999,67.0,6.0,93.0,17.0,2.9330000000000003,-0.223,38.0,-10.0,160.0,-51.0,86.0,-4.0,30.0,-7.0,11.0,-10.0,53.0,-3.0,71.0,-12.0
497,497,7877,6397,DAL,6,2017-10-26,Away,MEM,L,91,96,32,94,0.34,10,34,0.294,17,20,0.85,18,53,20,10,3,14,22,30,73,0.41100000000000003,10,34,0.294,26,30,0.867,9,46,18,7,6,18,23,2017-10-26,-5,2,21,-0.07099999999999995,0,0,0.0,-9,-10,-0.017000000000000015,9,7,2,3,-3,-4,-1,496.0,-48.0,174.0,-31.0,415.0,-6.0,2.106,-0.32199999999999995,61.0,4.0,164.0,6.0,1.863,-0.07800000000000001,87.0,10.0,122.0,22.0,3.623,-0.2000000000000001,42.0,-12.0,195.0,-52.0,106.0,2.0,36.0,-8.0,15.0,-8.0,64.0,-9.0,91.0,-14.0
498,498,7878,7397,DAL,7,2017-10-28,Home,PHI,L,110,112,38,74,0.514,19,40,0.475,15,19,0.789,3,33,22,7,2,17,15,43,87,0.494,16,35,0.457,10,14,0.7140000000000001,11,42,25,10,1,13,21,2017-10-28,-2,-5,-13,0.020000000000000014,3,5,0.01799999999999996,5,5,0.07499999999999996,-8,-9,-3,-3,1,4,-6,587.0,-53.0,206.0,-29.0,509.0,15.0,2.4459999999999997,-0.3929999999999999,71.0,4.0,198.0,6.0,2.157,-0.07800000000000001,104.0,1.0,142.0,12.0,4.473,-0.2170000000000001,60.0,-3.0,248.0,-45.0,126.0,4.0,46.0,-5.0,18.0,-11.0,78.0,-13.0,113.0,-15.0
499,499,7879,8201,DAL,8,2017-10-30,Away,UTA,L,89,104,34,76,0.447,12,24,0.5,9,11,0.818,9,42,17,4,3,24,16,38,81,0.469,16,35,0.457,12,15,0.8,6,35,25,16,8,14,17,2017-10-30,-15,-4,-5,-0.021999999999999964,-4,-11,0.04299999999999998,-3,-4,0.0179999999999999,3,7,-8,-12,-5,10,-1,697.0,-55.0,244.0,-34.0,583.0,2.0,2.96,-0.3729999999999999,90.0,7.0,238.0,11.0,2.632,-0.06000000000000005,119.0,6.0,161.0,17.0,5.262,-0.14200000000000015,63.0,-11.0,281.0,-54.0,148.0,1.0,53.0,-8.0,20.0,-10.0,95.0,-9.0,128.0,-21.0
500,500,7880,996,DAL,9,2017-11-01,Away,LAC,L,98,119,35,89,0.39299999999999996,12,36,0.33299999999999996,16,20,0.8,9,38,20,8,5,14,22,41,78,0.526,13,28,0.46399999999999997,24,29,0.828,7,49,27,9,5,16,20,2017-11-01,-21,-6,11,-0.133,-1,8,-0.131,-8,-9,-0.027999999999999917,2,-11,-7,-1,0,-2,2,786.0,-70.0,278.0,-38.0,659.0,-3.0,3.407,-0.39499999999999985,102.0,3.0,262.0,0.0,3.132,-0.01700000000000007,128.0,3.0,172.0,13.0,6.079999999999999,-0.12400000000000025,72.0,-8.0,323.0,-47.0,165.0,-7.0,57.0,-20.0,23.0,-15.0,119.0,1.0,144.0,-22.0
501,501,7881,1096,DAL,10,2017-11-03,Home,NOP,L,94,99,34,88,0.386,9,34,0.265,17,22,0.773,9,47,19,4,7,15,24,36,89,0.40399999999999997,7,29,0.24100000000000002,20,26,0.769,9,53,23,9,4,12,22,2017-11-03,-5,-2,-1,-0.018000000000000016,2,5,0.024000000000000018,-3,-4,0.0040000000000000036,0,-6,-4,-5,3,3,2,884.0,-91.0,313.0,-44.0,748.0,8.0,3.8,-0.5279999999999998,114.0,2.0,298.0,8.0,3.465,-0.14800000000000008,144.0,-5.0,192.0,4.0,6.879999999999999,-0.15200000000000016,81.0,-6.0,361.0,-58.0,185.0,-14.0,65.0,-21.0,28.0,-15.0,133.0,-1.0,166.0,-20.0
