,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,DEN,1,2015-10-28,Away,HOU,W,105,85,40,79,0.506,13,27,0.481,12,18,0.667,9,49,26,9,10,21,26,30,87,0.345,8,35,0.229,17,26,0.654,15,44,17,13,8,16,19,20,0.0,0.0,0.0,10,0.0,0.0,0.0,-8,0.0,0.0,0.0,0.16100000000000003,0.0,0.0,0.0,5,0.0,0.0,0.0,-8,0.0,0.0,0.0,0.252,0.0,0.0,0.0,-5,0.0,0.0,0.0,-8,0.0,0.0,0.0,0.013000000000000012,0.0,0.0,0.0,-6,0.0,0.0,0.0,5,0.0,0.0,0.0,9,0.0,0.0,0.0,-4,0.0,0.0,0.0,2,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0
1,DEN,2,2015-10-30,Home,MIN,L,78,95,29,95,0.305,5,25,0.2,15,20,0.75,17,51,15,7,4,14,27,30,71,0.423,2,11,0.182,33,41,0.805,7,49,18,7,6,17,24,-17,105.0,85.0,20.0,-1,40.0,30.0,10.0,24,79.0,87.0,-8.0,-0.118,0.506,0.345,0.16100000000000003,3,13.0,8.0,5.0,14,27.0,35.0,-8.0,0.018000000000000016,0.481,0.229,0.252,-18,12.0,17.0,-5.0,-21,18.0,26.0,-8.0,-0.05500000000000005,0.667,0.654,0.013000000000000012,10,9.0,15.0,-6.0,2,49.0,44.0,5.0,-3,26.0,17.0,9.0,0,9.0,13.0,-4.0,-2,10.0,8.0,2.0,-3,21.0,16.0,5.0,3,26.0,19.0,7.0
2,DEN,3,2015-11-01,Away,OKC,L,93,117,35,92,0.38,9,26,0.34600000000000003,14,19,0.737,14,35,20,8,3,13,17,45,86,0.523,13,25,0.52,14,18,0.778,13,50,32,9,10,19,23,-24,91.5,90.0,1.5,-10,34.5,30.0,4.5,6,87.0,79.0,8.0,-0.14300000000000002,0.40549999999999997,0.384,0.02150000000000002,-4,9.0,5.0,4.0,1,26.0,23.0,3.0,-0.174,0.3405,0.20550000000000002,0.135,0,13.5,25.0,-11.5,1,19.0,33.5,-14.5,-0.041000000000000036,0.7085,0.7295,-0.02100000000000002,1,13.0,11.0,2.0,-15,50.0,46.5,3.5,-12,20.5,17.5,3.0,-1,8.0,10.0,-2.0,-7,7.0,7.0,0.0,-6,17.5,16.5,1.0,-6,26.5,21.5,5.0
3,DEN,4,2015-11-03,Away,LAL,W,120,109,43,85,0.506,7,20,0.35,27,31,0.871,11,49,30,5,7,14,23,36,86,0.419,6,26,0.231,31,38,0.816,11,40,18,9,4,10,28,11,92.0,99.0,-7.0,7,34.666666666666664,35.0,-0.3333333333333333,-1,88.66666666666667,81.33333333333333,7.333333333333333,0.08700000000000002,0.39699999999999996,0.4303333333333333,-0.033333333333333326,1,9.0,7.666666666666667,1.3333333333333333,-6,26.0,23.666666666666668,2.3333333333333335,0.11899999999999997,0.3423333333333334,0.31033333333333335,0.03200000000000001,-4,13.666666666666666,21.333333333333332,-7.666666666666667,-7,19.0,28.333333333333332,-9.333333333333334,0.05500000000000005,0.718,0.7456666666666667,-0.02766666666666669,0,13.333333333333334,11.666666666666666,1.6666666666666667,9,45.0,47.666666666666664,-2.6666666666666665,12,20.333333333333332,22.333333333333332,-2.0,-4,8.0,9.666666666666666,-1.6666666666666667,3,5.666666666666667,8.0,-2.3333333333333335,4,16.0,17.333333333333332,-1.3333333333333333,-5,23.333333333333332,22.0,1.3333333333333333
4,DEN,5,2015-11-05,Home,UTA,L,84,96,28,72,0.389,5,20,0.25,23,34,0.6759999999999999,11,45,16,4,6,13,14,37,85,0.435,11,24,0.458,11,17,0.647,12,43,23,6,6,10,26,-12,99.0,101.5,-2.5,-9,36.75,35.25,1.5,-13,87.75,82.5,5.25,-0.045999999999999985,0.42424999999999996,0.4275,-0.003249999999999989,-6,8.5,7.25,1.25,-4,24.5,24.25,0.25,-0.20800000000000002,0.34425000000000006,0.29050000000000004,0.05375,12,17.0,23.75,-6.75,17,22.0,30.75,-8.75,0.028999999999999915,0.75625,0.76325,-0.007000000000000006,-1,12.75,11.5,1.25,2,46.0,45.75,0.25,-7,22.75,21.25,1.5,-2,7.25,9.5,-2.25,0,6.0,7.0,-1.0,3,15.5,15.5,0.0,-12,23.25,23.5,-0.25
5,DEN,6,2015-11-06,Away,GSW,L,104,119,39,92,0.424,8,24,0.333,18,22,0.818,10,44,23,13,5,19,20,46,93,0.495,17,37,0.459,10,18,0.556,13,53,40,10,6,20,22,-15,96.0,100.4,-4.4,-7,35.0,35.6,-0.6,-1,84.6,83.0,1.6,-0.07100000000000001,0.41719999999999996,0.429,-0.011799999999999988,-9,7.8,8.0,-0.2,-13,23.6,24.2,-0.6,-0.126,0.3254,0.324,0.0013999999999999956,8,18.2,21.2,-3.0,4,24.4,28.0,-3.6,0.2619999999999999,0.7402,0.74,0.00019999999999997797,-3,12.4,11.6,0.8,-9,45.8,45.2,0.6,-17,21.4,21.6,-0.2,3,6.6,8.8,-2.2,-1,6.0,6.8,-0.8,-1,15.0,14.4,0.6,-2,21.4,24.0,-2.6
6,DEN,7,2015-11-09,Home,POR,W,108,104,40,77,0.519,7,19,0.368,21,32,0.6559999999999999,8,47,20,5,7,14,20,36,91,0.396,10,29,0.345,22,27,0.815,10,39,20,6,3,9,22,4,97.33333333333333,103.5,-6.166666666666667,4,35.666666666666664,37.333333333333336,-1.6666666666666667,-14,85.83333333333333,84.66666666666667,1.1666666666666667,0.123,0.4183333333333333,0.44,-0.021666666666666657,-3,7.833333333333333,9.5,-1.6666666666666667,-10,23.666666666666668,26.333333333333332,-2.6666666666666665,0.02300000000000002,0.3266666666666667,0.34650000000000003,-0.019833333333333338,-1,18.166666666666668,19.333333333333332,-1.1666666666666667,5,24.0,26.333333333333332,-2.3333333333333335,-0.15900000000000003,0.7531666666666665,0.7093333333333334,0.0438333333333333,-2,12.0,11.833333333333334,0.16666666666666666,8,45.5,46.5,-1.0,0,21.666666666666668,24.666666666666668,-3.0,-1,7.666666666666667,9.0,-1.3333333333333333,4,5.833333333333333,6.666666666666667,-0.8333333333333334,5,15.666666666666666,15.333333333333334,0.3333333333333333,-2,21.166666666666668,23.666666666666668,-2.5
7,DEN,8,2015-11-11,Home,MIL,W,103,102,39,79,0.494,8,24,0.333,17,24,0.708,14,36,27,10,6,14,12,42,79,0.532,10,22,0.455,8,9,0.889,8,33,26,8,4,16,23,1,98.85714285714286,103.57142857142857,-4.714285714285714,-3,36.285714285714285,37.142857142857146,-0.8571428571428571,0,84.57142857142857,85.57142857142857,-1.0,-0.038000000000000034,0.4327142857142857,0.4337142857142857,-0.0009999999999999929,-2,7.714285714285714,9.571428571428571,-1.8571428571428572,2,23.0,26.714285714285715,-3.7142857142857144,-0.122,0.33257142857142863,0.34628571428571436,-0.013714285714285715,9,18.571428571428573,19.714285714285715,-1.1428571428571428,15,25.142857142857142,26.428571428571427,-1.2857142857142858,-0.18100000000000005,0.7392857142857141,0.7244285714285714,0.014857142857142822,6,11.428571428571429,11.571428571428571,-0.14285714285714285,3,45.714285714285715,45.42857142857143,0.2857142857142857,1,21.428571428571427,24.0,-2.5714285714285716,2,7.285714285714286,8.571428571428571,-1.2857142857142858,2,6.0,6.142857142857143,-0.14285714285714285,-2,15.428571428571429,14.428571428571429,1.0,-11,21.0,23.428571428571427,-2.4285714285714284
8,DEN,9,2015-11-13,Home,HOU,W,107,98,37,81,0.457,9,20,0.45,24,32,0.75,12,46,25,10,4,18,23,33,77,0.429,9,29,0.31,23,31,0.742,8,40,19,10,8,20,25,9,99.375,103.375,-4.0,4,36.625,37.75,-1.125,4,83.875,84.75,-0.875,0.028000000000000025,0.44037499999999996,0.446,-0.005624999999999998,0,7.75,9.625,-1.875,-9,23.125,26.125,-3.0,0.14,0.33262500000000006,0.35987500000000006,-0.02725,1,18.375,18.25,0.125,1,25.0,24.25,0.75,0.008000000000000007,0.7353749999999999,0.745,-0.009625000000000036,4,11.75,11.125,0.625,6,44.5,43.875,0.625,6,22.125,24.25,-2.125,0,7.625,8.5,-0.875,-4,6.0,5.875,0.125,-2,15.25,14.625,0.625,-2,19.875,23.375,-3.5
9,DEN,10,2015-11-14,Away,PHO,L,81,105,34,98,0.34700000000000003,6,35,0.171,7,8,0.875,9,42,13,8,6,10,20,37,84,0.44,11,24,0.458,20,26,0.769,10,57,19,4,1,20,13,-24,100.22222222222223,102.77777777777777,-2.5555555555555554,-3,36.666666666666664,37.22222222222222,-0.5555555555555556,14,83.55555555555556,83.88888888888889,-0.3333333333333333,-0.09299999999999997,0.4422222222222222,0.4441111111111111,-0.0018888888888888844,-5,7.888888888888889,9.555555555555555,-1.6666666666666667,11,22.77777777777778,26.444444444444443,-3.6666666666666665,-0.28700000000000003,0.34566666666666673,0.3543333333333334,-0.008666666666666665,-13,19.0,18.77777777777778,0.2222222222222222,-18,25.77777777777778,25.0,0.7777777777777778,0.10599999999999998,0.7369999999999999,0.7446666666666667,-0.007666666666666698,-1,11.777777777777779,10.777777777777779,1.0,-15,44.666666666666664,43.44444444444444,1.2222222222222223,-6,22.444444444444443,23.666666666666668,-1.2222222222222223,4,7.888888888888889,8.666666666666666,-0.7777777777777778,5,5.777777777777778,6.111111111111111,-0.3333333333333333,-10,15.555555555555555,15.222222222222221,0.3333333333333333,7,20.22222222222222,23.555555555555557,-3.3333333333333335
