,Unnamed: 0,Unnamed: 0.1.1.1.1.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,cumalitive_Points,cumalitive_Opp.Points,cumalitive_differential_Points,average_Points,average_Opp.{},average_Points_differential,differential_FieldGoals,cumalitive_FieldGoals,cumalitive_Opp.FieldGoals,cumalitive_differential_FieldGoals,average_FieldGoals,average_FieldGoals_differential,differential_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted,cumalitive_Opp.FieldGoalsAttempted,cumalitive_differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_FieldGoalsAttempted_differential,differential_FieldGoals.,cumalitive_FieldGoals.,cumalitive_Opp.FieldGoals.,cumalitive_differential_FieldGoals.,average_FieldGoals.,average_FieldGoals._differential,differential_3PointShots,cumalitive_3PointShots,cumalitive_Opp.3PointShots,cumalitive_differential_3PointShots,average_3PointShots,average_3PointShots_differential,differential_3PointShotsAttempted,cumalitive_3PointShotsAttempted,cumalitive_Opp.3PointShotsAttempted,cumalitive_differential_3PointShotsAttempted,average_3PointShotsAttempted,average_3PointShotsAttempted_differential,differential_3PointShots.,cumalitive_3PointShots.,cumalitive_Opp.3PointShots.,cumalitive_differential_3PointShots.,average_3PointShots.,average_3PointShots._differential,differential_FreeThrows,cumalitive_FreeThrows,cumalitive_Opp.FreeThrows,cumalitive_differential_FreeThrows,average_FreeThrows,average_FreeThrows_differential,differential_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted,cumalitive_Opp.FreeThrowsAttempted,cumalitive_differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_FreeThrowsAttempted_differential,differential_FreeThrows.,cumalitive_FreeThrows.,cumalitive_Opp.FreeThrows.,cumalitive_differential_FreeThrows.,average_FreeThrows.,average_FreeThrows._differential,differential_OffRebounds,cumalitive_OffRebounds,cumalitive_Opp.OffRebounds,cumalitive_differential_OffRebounds,average_OffRebounds,average_OffRebounds_differential,differential_TotalRebounds,cumalitive_TotalRebounds,cumalitive_Opp.TotalRebounds,cumalitive_differential_TotalRebounds,average_TotalRebounds,average_TotalRebounds_differential,differential_Assists,cumalitive_Assists,cumalitive_Opp.Assists,cumalitive_differential_Assists,average_Assists,average_Assists_differential,differential_Steals,cumalitive_Steals,cumalitive_Opp.Steals,cumalitive_differential_Steals,average_Steals,average_Steals_differential,differential_Blocks,cumalitive_Blocks,cumalitive_Opp.Blocks,cumalitive_differential_Blocks,average_Blocks,average_Blocks_differential,differential_Turnovers,cumalitive_Turnovers,cumalitive_Opp.Turnovers,cumalitive_differential_Turnovers,average_Turnovers,average_Turnovers_differential,differential_TotalFouls,cumalitive_TotalFouls,cumalitive_Opp.TotalFouls,cumalitive_differential_TotalFouls,average_TotalFouls,average_TotalFouls_differential
0,0,1206,DEN,1,2016-10-26,Away,NOP,W,107,102,37,83,0.446,8,24,0.33299999999999996,25,33,0.758,11,58,18,7,4,24,22,38,92,0.413,3,19,0.158,23,26,0.885,5,33,31,16,5,11,29,5,107,102,5,107.0,29.0,5.0,-1,37,38,-1,37.0,-1.0,-9,83,92,-9,83.0,-9.0,0.03300000000000003,0.446,0.413,0.03300000000000003,0.446,0.03300000000000003,5,8,3,5,8.0,5.0,5,24,19,5,24.0,5.0,0.17499999999999996,0.33299999999999996,0.158,0.17499999999999996,0.33299999999999996,0.17499999999999996,2,25,23,2,25.0,2.0,7,33,26,7,33.0,7.0,-0.127,0.758,0.885,-0.127,0.758,-0.127,6,11,5,6,11.0,6.0,25,58,33,25,58.0,25.0,-13,18,31,-13,18.0,-13.0,-9,7,16,-9,7.0,-9.0,-1,4,5,-1,4.0,-1.0,13,24,11,13,24.0,13.0,-7,22,29,-7,22.0,-7.0
1,1,2206,DEN,2,2016-10-29,Home,POR,L,113,115,38,100,0.38,6,23,0.261,31,39,0.795,16,61,19,10,5,17,21,45,98,0.45899999999999996,10,32,0.313,15,21,0.7140000000000001,5,45,23,10,8,15,30,-2,220,217,3,110.0,29.5,1.5,-7,75,83,-8,37.5,-4.0,2,183,190,-7,91.5,-3.5,-0.07899999999999996,0.8260000000000001,0.8719999999999999,-0.04599999999999993,0.41300000000000003,-0.022999999999999965,-4,14,13,1,7.0,0.5,-9,47,51,-4,23.5,-2.0,-0.05199999999999999,0.594,0.471,0.12299999999999997,0.297,0.061499999999999985,16,56,38,18,28.0,9.0,18,72,47,25,36.0,12.5,0.08099999999999996,1.553,1.5990000000000002,-0.04600000000000004,0.7765,-0.02300000000000002,11,27,10,17,13.5,8.5,16,119,78,41,59.5,20.5,-4,37,54,-17,18.5,-8.5,0,17,26,-9,8.5,-4.5,-3,9,13,-4,4.5,-2.0,2,41,26,15,20.5,7.5,-9,43,59,-16,21.5,-8.0
2,2,3206,DEN,3,2016-10-31,Away,TOR,L,102,105,33,81,0.40700000000000003,9,22,0.409,27,35,0.7709999999999999,11,46,14,2,9,8,18,41,88,0.466,4,16,0.25,19,25,0.76,11,43,16,7,9,7,28,-3,322,322,0,107.33333333333333,29.0,0.0,-8,108,124,-16,36.0,-5.333333333333333,-7,264,278,-14,88.0,-4.666666666666667,-0.059,1.233,1.3379999999999999,-0.10499999999999993,0.41100000000000003,-0.034999999999999976,5,23,17,6,7.666666666666667,2.0,6,69,67,2,23.0,0.6666666666666666,0.15899999999999997,1.003,0.721,0.2819999999999999,0.3343333333333333,0.09399999999999997,8,83,57,26,27.666666666666668,8.666666666666666,10,107,72,35,35.666666666666664,11.666666666666666,0.010999999999999899,2.324,2.359,-0.03500000000000014,0.7746666666666666,-0.011666666666666714,0,38,21,17,12.666666666666666,5.666666666666667,3,165,121,44,55.0,14.666666666666666,-2,51,70,-19,17.0,-6.333333333333333,-5,19,33,-14,6.333333333333333,-4.666666666666667,0,18,22,-4,6.0,-1.3333333333333333,1,49,33,16,16.333333333333332,5.333333333333333,-10,61,87,-26,20.333333333333332,-8.666666666666666
3,3,4206,DEN,4,2016-11-03,Away,MIN,W,102,99,39,81,0.48100000000000004,6,22,0.273,18,25,0.72,7,44,24,10,2,20,24,35,88,0.39799999999999996,9,22,0.409,20,25,0.8,14,43,20,8,4,16,22,3,424,421,3,106.0,27.25,0.75,4,147,159,-12,36.75,-3.0,-7,345,366,-21,86.25,-5.25,0.08300000000000007,1.7140000000000002,1.7359999999999998,-0.021999999999999853,0.42850000000000005,-0.005499999999999963,-3,29,26,3,7.25,0.75,0,91,89,2,22.75,0.5,-0.13599999999999995,1.2759999999999998,1.13,0.14599999999999996,0.31899999999999995,0.03649999999999999,-2,101,77,24,25.25,6.0,0,132,97,35,33.0,8.75,-0.08000000000000007,3.0439999999999996,3.159,-0.11500000000000021,0.7609999999999999,-0.028750000000000053,-7,45,35,10,11.25,2.5,1,209,164,45,52.25,11.25,4,75,90,-15,18.75,-3.75,2,29,41,-12,7.25,-3.0,-2,20,26,-6,5.0,-1.5,4,69,49,20,17.25,5.0,2,85,109,-24,21.25,-6.0
4,4,5206,DEN,5,2016-11-05,Away,DET,L,86,103,31,94,0.33,7,25,0.28,17,20,0.85,16,48,15,8,2,16,15,40,84,0.47600000000000003,7,20,0.35,16,22,0.727,9,47,22,9,9,13,16,-17,510,524,-14,102.0,25.0,-2.8,-9,178,199,-21,35.6,-4.2,10,439,450,-11,87.8,-2.2,-0.14600000000000002,2.044,2.2119999999999997,-0.16799999999999987,0.4088,-0.03359999999999998,0,36,33,3,7.2,0.6,5,116,109,7,23.2,1.4,-0.06999999999999995,1.5559999999999998,1.48,0.07600000000000001,0.3112,0.015200000000000002,1,118,93,25,23.6,5.0,-2,152,119,33,30.4,6.6,0.123,3.8939999999999997,3.8859999999999997,0.007999999999999785,0.7787999999999999,0.001599999999999957,7,61,44,17,12.2,3.4,1,257,211,46,51.4,9.2,-7,90,112,-22,18.0,-4.4,-1,37,50,-13,7.4,-2.6,-7,22,35,-13,4.4,-2.6,3,85,62,23,17.0,4.6,-1,100,125,-25,20.0,-5.0
5,5,6206,DEN,6,2016-11-06,Away,BOS,W,123,107,44,84,0.524,11,23,0.478,24,31,0.774,9,47,21,7,6,17,23,41,90,0.456,8,25,0.32,17,21,0.81,11,39,31,3,4,11,24,16,633,631,2,105.5,24.833333333333332,0.3333333333333333,3,222,240,-18,37.0,-3.0,-6,523,540,-17,87.16666666666667,-2.8333333333333335,0.068,2.568,2.6679999999999997,-0.09999999999999987,0.428,-0.016666666666666646,3,47,41,6,7.833333333333333,1.0,-2,139,134,5,23.166666666666668,0.8333333333333334,0.15799999999999997,2.034,1.8,0.23399999999999999,0.33899999999999997,0.039,7,142,110,32,23.666666666666668,5.333333333333333,10,183,140,43,30.5,7.166666666666667,-0.03600000000000003,4.667999999999999,4.696,-0.028000000000000247,0.7779999999999999,-0.004666666666666708,-2,70,55,15,11.666666666666666,2.5,8,304,250,54,50.666666666666664,9.0,-10,111,143,-32,18.5,-5.333333333333333,4,44,53,-9,7.333333333333333,-1.5,2,28,39,-11,4.666666666666667,-1.8333333333333333,6,102,73,29,17.0,4.833333333333333,-1,123,149,-26,20.5,-4.333333333333333
6,6,7206,DEN,7,2016-11-08,Away,MEM,L,107,108,35,70,0.5,10,24,0.41700000000000004,27,34,0.794,6,39,24,6,4,22,23,44,86,0.512,7,24,0.292,13,19,0.684,8,32,29,14,5,14,30,-1,740,739,1,105.71428571428571,25.571428571428573,0.14285714285714285,-9,257,284,-27,36.714285714285715,-3.857142857142857,-16,593,626,-33,84.71428571428571,-4.714285714285714,-0.01200000000000001,3.068,3.1799999999999997,-0.11199999999999988,0.4382857142857143,-0.015999999999999983,3,57,48,9,8.142857142857142,1.2857142857142858,0,163,158,5,23.285714285714285,0.7142857142857143,0.12500000000000006,2.4509999999999996,2.092,0.35900000000000004,0.3501428571428571,0.05128571428571429,14,169,123,46,24.142857142857142,6.571428571428571,15,217,159,58,31.0,8.285714285714286,0.10999999999999999,5.462,5.38,0.08199999999999974,0.7802857142857142,0.011714285714285677,-2,76,63,13,10.857142857142858,1.8571428571428572,7,343,282,61,49.0,8.714285714285714,-5,135,172,-37,19.285714285714285,-5.285714285714286,-8,50,67,-17,7.142857142857143,-2.4285714285714284,-1,32,44,-12,4.571428571428571,-1.7142857142857142,8,124,87,37,17.714285714285715,5.285714285714286,-7,146,179,-33,20.857142857142858,-4.714285714285714
7,7,886,DEN,8,2016-11-10,Home,GSW,L,101,125,38,94,0.40399999999999997,13,36,0.361,12,17,0.706,17,44,26,7,3,18,18,46,85,0.541,14,30,0.467,19,20,0.95,9,44,33,15,6,15,18,-24,841,864,-23,105.125,24.625,-2.875,-8,295,330,-35,36.875,-4.375,9,687,711,-24,85.875,-3.0,-0.13700000000000007,3.472,3.7209999999999996,-0.24899999999999994,0.434,-0.031124999999999993,-1,70,62,8,8.75,1.0,6,199,188,11,24.875,1.375,-0.10600000000000004,2.8119999999999994,2.559,0.253,0.3514999999999999,0.031625,-7,181,142,39,22.625,4.875,-3,234,179,55,29.25,6.875,-0.244,6.167999999999999,6.33,-0.16200000000000025,0.7709999999999999,-0.020250000000000032,8,93,72,21,11.625,2.625,0,387,326,61,48.375,7.625,-7,161,205,-44,20.125,-5.5,-8,57,82,-25,7.125,-3.125,-3,35,50,-15,4.375,-1.875,3,142,102,40,17.75,5.0,0,164,197,-33,20.5,-4.125
8,8,967,DEN,9,2016-11-12,Home,DET,L,95,106,36,84,0.429,9,25,0.36,14,19,0.737,14,42,15,6,4,15,14,46,90,0.511,4,18,0.222,10,14,0.7140000000000001,11,37,23,11,1,9,16,-11,936,970,-34,104.0,23.666666666666668,-3.7777777777777777,-10,331,376,-45,36.77777777777778,-5.0,-6,771,801,-30,85.66666666666667,-3.3333333333333335,-0.08200000000000002,3.901,4.231999999999999,-0.33099999999999996,0.4334444444444444,-0.03677777777777777,5,79,66,13,8.777777777777779,1.4444444444444444,7,224,206,18,24.88888888888889,2.0,0.13799999999999998,3.1719999999999993,2.781,0.391,0.35244444444444434,0.043444444444444445,4,195,152,43,21.666666666666668,4.777777777777778,5,253,193,60,28.11111111111111,6.666666666666667,0.02299999999999991,6.904999999999999,7.0440000000000005,-0.13900000000000035,0.7672222222222221,-0.015444444444444483,3,107,83,24,11.88888888888889,2.6666666666666665,5,429,363,66,47.666666666666664,7.333333333333333,-8,176,228,-52,19.555555555555557,-5.777777777777778,-5,63,93,-30,7.0,-3.3333333333333335,3,39,51,-12,4.333333333333333,-1.3333333333333333,6,157,111,46,17.444444444444443,5.111111111111111,-2,178,213,-35,19.77777777777778,-3.888888888888889
9,9,1067,DEN,10,2016-11-13,Away,POR,L,105,112,36,91,0.396,11,29,0.379,22,29,0.759,16,59,11,4,6,18,25,39,99,0.39399999999999996,8,29,0.276,26,32,0.813,14,44,21,8,8,7,23,-7,1041,1082,-41,104.1,23.6,-4.1,-3,367,415,-48,36.7,-4.8,-8,862,900,-38,86.2,-3.8,0.0020000000000000573,4.297,4.6259999999999994,-0.3289999999999999,0.42969999999999997,-0.03289999999999999,3,90,74,16,9.0,1.6,0,253,235,18,25.3,1.8,0.10299999999999998,3.5509999999999993,3.0570000000000004,0.494,0.3550999999999999,0.0494,-4,217,178,39,21.7,3.9,-3,282,225,57,28.2,5.7,-0.05399999999999994,7.664,7.857,-0.19300000000000028,0.7664,-0.01930000000000003,2,123,97,26,12.3,2.6,15,488,407,81,48.8,8.1,-10,187,249,-62,18.7,-6.2,-4,67,101,-34,6.7,-3.4,-2,45,59,-14,4.5,-1.4,11,175,118,57,17.5,5.7,2,203,236,-33,20.3,-3.3
