,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,DET,1,2017-10-18,Home,CHO,W,102,90,41,96,0.4270000000000001,9,26,0.34600000000000003,11,12,0.917,9,47,24,14,3,8,21,29,73,0.397,9,30,0.3,23,29,0.7929999999999999,3,47,16,4,3,17,15,12,0.0,0.0,0.0,12,0.0,0.0,0.0,23,0.0,0.0,0.0,0.030000000000000082,0.0,0.0,0.0,0,0.0,0.0,0.0,-4,0.0,0.0,0.0,0.04600000000000004,0.0,0.0,0.0,-12,0.0,0.0,0.0,-17,0.0,0.0,0.0,0.12400000000000011,0.0,0.0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,8,0.0,0.0,0.0,10,0.0,0.0,0.0,0,0.0,0.0,0.0,-9,0.0,0.0,0.0,6,0.0,0.0,0.0
1,DET,2,2017-10-20,Away,WAS,L,111,115,43,87,0.494,10,23,0.435,15,20,0.75,10,33,19,12,1,19,32,40,75,0.5329999999999999,6,17,0.353,29,35,0.8290000000000001,7,37,25,12,7,16,18,-4,102.0,90.0,12.0,3,41.0,29.0,12.0,12,96.0,73.0,23.0,-0.038999999999999924,0.4270000000000001,0.397,0.030000000000000082,4,9.0,9.0,0.0,6,26.0,30.0,-4.0,0.08200000000000002,0.34600000000000003,0.3,0.04600000000000004,-14,11.0,23.0,-12.0,-15,12.0,29.0,-17.0,-0.07900000000000007,0.917,0.7929999999999999,0.12400000000000011,3,9.0,3.0,6.0,-4,47.0,47.0,0.0,-6,24.0,16.0,8.0,0,14.0,4.0,10.0,-6,3.0,3.0,0.0,3,8.0,17.0,-9.0,14,21.0,15.0,6.0
2,DET,3,2017-10-21,Away,NYK,W,111,107,44,91,0.484,9,30,0.3,14,15,0.933,15,43,21,5,2,12,25,37,81,0.457,8,30,0.267,25,31,0.8059999999999999,12,39,20,6,2,12,21,4,106.5,102.5,4.0,7,42.0,34.5,7.5,10,91.5,74.0,17.5,0.02699999999999997,0.4605,0.46499999999999997,-0.004499999999999921,1,9.5,7.5,2.0,0,24.5,23.5,1.0,0.032999999999999974,0.3905,0.3265,0.06400000000000003,-11,13.0,26.0,-13.0,-16,16.0,32.0,-16.0,0.1270000000000001,0.8335,0.8109999999999999,0.02250000000000002,3,9.5,5.0,4.5,4,40.0,42.0,-2.0,1,21.5,20.5,1.0,-1,13.0,8.0,5.0,0,2.0,5.0,-3.0,0,13.5,16.5,-3.0,4,26.5,16.5,10.0
3,DET,4,2017-10-23,Home,PHI,L,86,97,33,85,0.388,6,30,0.2,14,19,0.737,9,39,14,5,2,14,21,35,75,0.467,9,24,0.375,18,24,0.75,8,49,25,11,0,21,24,-11,108.0,104.0,4.0,-2,42.666666666666664,35.333333333333336,7.333333333333333,10,91.33333333333333,76.33333333333333,15.0,-0.07900000000000001,0.4683333333333333,0.4623333333333333,0.006000000000000043,-3,9.333333333333334,7.666666666666667,1.6666666666666667,6,26.333333333333332,25.666666666666668,0.6666666666666666,-0.175,0.36033333333333334,0.3066666666666667,0.053666666666666675,-4,13.333333333333334,25.666666666666668,-12.333333333333334,-5,15.666666666666666,31.666666666666668,-16.0,-0.013000000000000012,0.8666666666666667,0.8093333333333333,0.05733333333333338,1,11.333333333333334,7.333333333333333,4.0,-10,41.0,41.0,0.0,-11,21.333333333333332,20.333333333333332,1.0,-6,10.333333333333334,7.333333333333333,3.0,2,2.0,4.0,-2.0,-7,13.0,15.0,-2.0,-3,26.0,18.0,8.0
4,DET,5,2017-10-25,Home,MIN,W,122,101,48,92,0.522,15,34,0.441,11,17,0.647,12,47,32,7,3,14,22,37,85,0.435,9,25,0.36,18,21,0.857,7,37,19,5,4,14,19,21,102.5,102.25,0.25,11,40.25,35.25,5.0,7,89.75,76.0,13.75,0.08700000000000002,0.44825000000000004,0.4635,-0.015249999999999972,6,8.5,8.0,0.5,9,27.25,25.25,2.0,0.08100000000000002,0.32025,0.32375,-0.0034999999999999892,-7,13.5,23.75,-10.25,-4,16.5,29.75,-13.25,-0.20999999999999996,0.83425,0.7945,0.039750000000000035,5,10.75,7.5,3.25,10,40.5,43.0,-2.5,13,19.5,21.5,-2.0,2,9.0,8.25,0.75,-1,2.0,3.0,-1.0,0,13.25,16.5,-3.25,3,24.75,19.5,5.25
5,DET,6,2017-10-28,Away,LAC,W,95,87,36,88,0.409,9,28,0.321,14,21,0.667,12,50,16,11,6,12,20,28,84,0.333,15,38,0.395,16,22,0.727,15,51,19,6,6,18,18,8,106.4,102.0,4.4,8,41.8,35.6,6.2,4,90.2,77.8,12.4,0.07599999999999996,0.4630000000000001,0.45780000000000004,0.005200000000000027,-6,9.8,8.2,1.6,-10,28.6,25.2,3.4,-0.07400000000000001,0.3444,0.33099999999999996,0.013400000000000013,-2,13.0,22.6,-9.6,-1,16.6,28.0,-11.4,-0.05999999999999994,0.7968,0.807,-0.010199999999999964,-3,11.0,7.4,3.6,-1,41.8,41.8,0.0,-3,22.0,21.0,1.0,5,8.6,7.6,1.0,0,2.2,3.2,-1.0,-6,13.4,16.0,-2.6,2,24.2,19.4,4.8
6,DET,7,2017-10-29,Away,GSW,W,115,107,43,93,0.462,12,27,0.444,17,17,1.0,17,37,22,16,0,13,9,44,77,0.5710000000000001,10,27,0.37,9,12,0.75,10,40,29,3,11,25,14,8,104.5,99.5,5.0,-1,40.833333333333336,34.333333333333336,6.5,16,89.83333333333333,78.83333333333333,11.0,-0.10900000000000004,0.454,0.43700000000000006,0.017000000000000015,2,9.666666666666666,9.333333333333334,0.3333333333333333,0,28.5,27.333333333333332,1.1666666666666667,0.07400000000000001,0.3405,0.3416666666666666,-0.0011666666666666585,8,13.166666666666666,21.5,-8.333333333333334,5,17.333333333333332,27.0,-9.666666666666666,0.25,0.7751666666666667,0.7936666666666667,-0.01849999999999996,7,11.166666666666666,8.666666666666666,2.5,-3,43.166666666666664,43.333333333333336,-0.16666666666666666,-7,21.0,20.666666666666668,0.3333333333333333,13,9.0,7.333333333333333,1.6666666666666667,-11,2.8333333333333335,3.6666666666666665,-0.8333333333333334,-12,13.166666666666666,16.333333333333332,-3.1666666666666665,-5,23.5,19.166666666666668,4.333333333333333
7,DET,8,2017-10-31,Away,LAL,L,93,113,41,94,0.436,10,33,0.303,1,3,0.333,10,44,21,7,3,12,11,45,91,0.495,12,26,0.462,11,14,0.7859999999999999,11,53,30,9,5,14,14,-20,106.0,100.57142857142857,5.428571428571429,-4,41.142857142857146,35.714285714285715,5.428571428571429,3,90.28571428571429,78.57142857142857,11.714285714285714,-0.059,0.4551428571428572,0.45614285714285724,-0.0009999999999999929,-2,10.0,9.428571428571429,0.5714285714285714,7,28.285714285714285,27.285714285714285,1.0,-0.15900000000000003,0.3552857142857143,0.3457142857142857,0.00957142857142858,-10,13.714285714285714,19.714285714285715,-6.0,-11,17.285714285714285,24.857142857142858,-7.571428571428571,-0.4529999999999999,0.8072857142857143,0.7874285714285715,0.01985714285714289,-1,12.0,8.857142857142858,3.142857142857143,-9,42.285714285714285,42.857142857142854,-0.5714285714285714,-9,21.142857142857142,21.857142857142858,-0.7142857142857143,-2,10.0,6.714285714285714,3.2857142857142856,-2,2.4285714285714284,4.714285714285714,-2.2857142857142856,-2,13.142857142857142,17.571428571428573,-4.428571428571429,-3,21.428571428571427,18.428571428571427,3.0
8,DET,9,2017-11-03,Home,MIL,W,105,96,37,78,0.474,8,26,0.308,23,28,0.821,7,39,21,10,4,12,11,39,83,0.47,10,25,0.4,8,9,0.889,7,36,27,6,6,13,24,9,104.375,102.125,2.25,-2,41.125,36.875,4.25,-5,90.75,80.125,10.625,0.0040000000000000036,0.45275000000000004,0.4610000000000001,-0.008249999999999993,-2,10.0,9.75,0.25,1,28.875,27.125,1.75,-0.09200000000000003,0.34875,0.36025,-0.011499999999999996,15,12.125,18.625,-6.5,19,15.5,23.5,-8.0,-0.06800000000000006,0.748,0.78725,-0.03924999999999996,0,11.75,9.125,2.625,3,42.5,44.125,-1.625,-6,21.125,22.875,-1.75,4,9.625,7.0,2.625,-2,2.5,4.75,-2.25,-1,13.0,17.125,-4.125,-13,20.125,17.875,2.25
9,DET,10,2017-11-04,Home,SAC,W,108,99,40,79,0.506,13,24,0.542,15,22,0.682,8,35,28,10,3,14,19,40,76,0.526,10,21,0.476,9,13,0.6920000000000001,3,32,24,6,1,17,23,9,104.44444444444444,101.44444444444444,3.0,0,40.666666666666664,37.111111111111114,3.5555555555555554,3,89.33333333333333,80.44444444444444,8.88888888888889,-0.020000000000000018,0.45511111111111113,0.462,-0.006888888888888883,3,9.777777777777779,9.777777777777779,0.0,3,28.555555555555557,26.88888888888889,1.6666666666666667,0.06600000000000006,0.3442222222222222,0.3646666666666667,-0.020444444444444446,6,13.333333333333334,17.444444444444443,-4.111111111111111,9,16.88888888888889,21.88888888888889,-5.0,-0.010000000000000009,0.7561111111111111,0.7985555555555556,-0.04244444444444442,5,11.222222222222221,8.88888888888889,2.3333333333333335,3,42.111111111111114,43.22222222222222,-1.1111111111111112,4,21.11111111111111,23.333333333333332,-2.2222222222222223,4,9.666666666666666,6.888888888888889,2.7777777777777777,2,2.6666666666666665,4.888888888888889,-2.2222222222222223,-3,12.88888888888889,16.666666666666668,-3.7777777777777777,-4,19.11111111111111,18.555555555555557,0.5555555555555556
