,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,GSW,1,2014-10-29,Away,SAC,W,95,77,33,75,0.44,6,27,0.222,23,32,0.7190000000000001,7,44,21,12,8,22,32,24,78,0.308,3,18,0.16699999999999998,26,35,0.743,15,50,13,11,3,26,26,18,0.0,0.0,0.0,9,0.0,0.0,0.0,-3,0.0,0.0,0.0,0.132,0.0,0.0,0.0,3,0.0,0.0,0.0,9,0.0,0.0,0.0,0.05500000000000002,0.0,0.0,0.0,-3,0.0,0.0,0.0,-3,0.0,0.0,0.0,-0.02399999999999991,0.0,0.0,0.0,-8,0.0,0.0,0.0,-6,0.0,0.0,0.0,8,0.0,0.0,0.0,1,0.0,0.0,0.0,5,0.0,0.0,0.0,-4,0.0,0.0,0.0,6,0.0,0.0,0.0
1,GSW,2,2014-11-01,Home,LAL,W,127,104,46,83,0.5539999999999999,11,23,0.478,24,28,0.857,12,43,30,10,4,20,26,41,88,0.466,4,14,0.28600000000000003,18,25,0.72,17,37,21,9,3,22,27,23,95.0,77.0,18.0,5,33.0,24.0,9.0,-5,75.0,78.0,-3.0,0.08799999999999991,0.44,0.308,0.132,7,6.0,3.0,3.0,9,27.0,18.0,9.0,0.19199999999999995,0.222,0.16699999999999998,0.05500000000000002,6,23.0,26.0,-3.0,3,32.0,35.0,-3.0,0.137,0.7190000000000001,0.743,-0.02399999999999991,-5,7.0,15.0,-8.0,6,44.0,50.0,-6.0,9,21.0,13.0,8.0,1,12.0,11.0,1.0,1,8.0,3.0,5.0,-2,22.0,26.0,-4.0,-1,32.0,26.0,6.0
2,GSW,3,2014-11-02,Away,POR,W,95,90,36,81,0.444,6,19,0.316,17,21,0.81,7,41,22,11,7,17,16,37,92,0.402,7,27,0.259,9,14,0.643,17,56,20,9,2,19,19,5,111.0,90.5,20.5,-1,39.5,32.5,7.0,-11,79.0,83.0,-4.0,0.04199999999999998,0.497,0.387,0.10999999999999996,-1,8.5,3.5,5.0,-8,25.0,16.0,9.0,0.056999999999999995,0.35,0.2265,0.12349999999999998,8,23.5,22.0,1.5,7,30.0,30.0,0.0,0.16700000000000004,0.788,0.7315,0.05650000000000005,-10,9.5,16.0,-6.5,-15,43.5,43.5,0.0,2,25.5,17.0,8.5,2,11.0,10.0,1.0,5,6.0,3.0,3.0,-2,21.0,24.0,-3.0,-3,29.0,26.5,2.5
3,GSW,4,2014-11-05,Home,LAC,W,121,104,43,74,0.581,15,25,0.6,20,20,1.0,4,39,29,7,3,23,22,38,82,0.463,7,19,0.368,21,27,0.778,5,30,26,12,2,14,14,17,105.66666666666667,90.33333333333333,15.333333333333334,5,38.333333333333336,34.0,4.333333333333333,-8,79.66666666666667,86.0,-6.333333333333333,0.11799999999999994,0.47933333333333333,0.39200000000000007,0.0873333333333333,8,7.666666666666667,4.666666666666667,3.0,6,23.0,19.666666666666668,3.3333333333333335,0.23199999999999998,0.33866666666666667,0.2373333333333333,0.10133333333333332,-1,21.333333333333332,17.666666666666668,3.6666666666666665,-7,27.0,24.666666666666668,2.3333333333333335,0.22199999999999998,0.7953333333333333,0.702,0.09333333333333338,-1,8.666666666666666,16.333333333333332,-7.666666666666667,9,42.666666666666664,47.666666666666664,-5.0,3,24.333333333333332,18.0,6.333333333333333,-5,11.0,9.666666666666666,1.3333333333333333,1,6.333333333333333,2.6666666666666665,3.6666666666666665,9,19.666666666666668,22.333333333333332,-2.6666666666666665,8,24.666666666666668,24.0,0.6666666666666666
4,GSW,5,2014-11-08,Away,HOU,W,98,87,39,87,0.448,9,28,0.321,11,17,0.647,15,54,22,11,8,26,19,30,86,0.349,10,42,0.238,17,21,0.81,16,46,13,14,0,22,17,11,109.5,93.75,15.75,9,39.5,35.0,4.5,1,78.25,85.0,-6.75,0.09900000000000003,0.50475,0.40975000000000006,0.09499999999999996,-1,9.5,5.25,4.25,-14,23.5,19.5,4.0,0.08300000000000002,0.404,0.27,0.13399999999999998,-6,21.0,18.5,2.5,-4,25.25,25.25,0.0,-0.16300000000000003,0.8465,0.721,0.12550000000000003,-1,7.5,13.5,-6.0,8,41.75,43.25,-1.5,9,25.5,20.0,5.5,-3,10.0,10.25,-0.25,8,5.5,2.5,3.0,4,20.5,20.25,0.25,2,24.0,21.5,2.5
5,GSW,6,2014-11-09,Away,PHO,L,95,107,33,69,0.478,11,24,0.458,18,21,0.857,3,36,16,9,7,26,26,34,79,0.43,12,30,0.4,27,33,0.818,9,39,17,9,2,21,19,-12,107.2,92.4,14.8,-1,39.4,34.0,5.4,-10,80.0,85.2,-5.2,0.04799999999999999,0.4934,0.39760000000000006,0.09579999999999997,-1,9.4,6.2,3.2,-6,24.4,24.0,0.4,0.057999999999999996,0.3874,0.2636,0.1238,-9,19.0,18.2,0.8,-12,23.6,24.4,-0.8,0.039000000000000035,0.8066000000000001,0.7388,0.06780000000000001,-6,9.0,14.0,-5.0,-3,44.2,43.8,0.4,-1,24.8,18.6,6.2,0,10.2,11.0,-0.8,5,6.0,2.0,4.0,5,21.6,20.6,1.0,7,23.0,20.6,2.4
6,GSW,7,2014-11-11,Home,SAS,L,100,113,38,70,0.5429999999999999,7,20,0.35,17,20,0.85,1,38,23,5,4,19,16,46,93,0.495,10,25,0.4,11,15,0.733,8,36,28,9,1,8,19,-13,105.16666666666667,94.83333333333333,10.333333333333334,-8,38.333333333333336,34.0,4.333333333333333,-23,78.16666666666667,84.16666666666667,-6.0,0.04799999999999993,0.4908333333333334,0.403,0.08783333333333332,-3,9.666666666666666,7.166666666666667,2.5,-5,24.333333333333332,25.0,-0.6666666666666666,-0.050000000000000044,0.39916666666666667,0.28633333333333333,0.11283333333333334,6,18.833333333333332,19.666666666666668,-0.8333333333333334,5,23.166666666666668,25.833333333333332,-2.6666666666666665,0.11699999999999999,0.8150000000000001,0.7519999999999999,0.06300000000000001,-7,8.0,13.166666666666666,-5.166666666666667,2,42.833333333333336,43.0,-0.16666666666666666,-5,23.333333333333332,18.333333333333332,5.0,-4,10.0,10.666666666666666,-0.6666666666666666,3,6.166666666666667,2.0,4.166666666666667,11,22.333333333333332,20.666666666666668,1.6666666666666667,-3,23.5,20.333333333333332,3.1666666666666665
7,GSW,8,2014-11-13,Home,BRK,W,107,99,41,90,0.456,11,34,0.324,14,21,0.667,14,45,30,7,10,10,16,39,89,0.438,3,16,0.188,18,20,0.9,7,41,19,5,2,12,22,8,104.42857142857143,97.42857142857143,7.0,2,38.285714285714285,35.714285714285715,2.5714285714285716,1,77.0,85.42857142857143,-8.428571428571429,0.018000000000000016,0.49828571428571433,0.4161428571428572,0.08214285714285711,8,9.285714285714286,7.571428571428571,1.7142857142857142,18,23.714285714285715,25.0,-1.2857142857142858,0.136,0.3921428571428572,0.30257142857142855,0.08957142857142857,-4,18.571428571428573,18.428571428571427,0.14285714285714285,1,22.714285714285715,24.285714285714285,-1.5714285714285714,-0.23299999999999998,0.8200000000000001,0.7492857142857142,0.07071428571428573,7,7.0,12.428571428571429,-5.428571428571429,4,42.142857142857146,42.0,0.14285714285714285,11,23.285714285714285,19.714285714285715,3.5714285714285716,2,9.285714285714286,10.428571428571429,-1.1428571428571428,8,5.857142857142857,1.8571428571428572,4.0,-2,21.857142857142858,18.857142857142858,3.0,-6,22.428571428571427,20.142857142857142,2.2857142857142856
8,GSW,9,2014-11-15,Home,CHO,W,112,87,45,87,0.517,11,26,0.423,11,14,0.7859999999999999,11,51,30,7,3,14,25,32,84,0.381,7,17,0.412,16,28,0.5710000000000001,10,41,14,5,2,12,13,25,104.75,97.625,7.125,13,38.625,36.125,2.5,3,78.625,85.875,-7.25,0.136,0.49300000000000005,0.41887500000000005,0.07412499999999998,4,9.5,7.0,2.5,9,25.0,23.875,1.125,0.01100000000000001,0.383625,0.28825,0.095375,-5,18.0,18.375,-0.375,-14,22.5,23.75,-1.25,0.21499999999999986,0.800875,0.768125,0.032750000000000015,1,7.875,11.75,-3.875,10,42.5,41.875,0.625,16,24.125,19.625,4.5,2,9.0,9.75,-0.75,1,6.375,1.875,4.5,2,20.375,18.0,2.375,12,21.625,20.375,1.25
9,GSW,10,2014-11-16,Away,LAL,W,136,115,46,86,0.535,14,28,0.5,30,34,0.882,11,51,32,4,5,16,26,39,99,0.394,3,16,0.188,34,43,0.7909999999999999,20,48,17,9,4,7,27,21,105.55555555555556,96.44444444444444,9.11111111111111,7,39.333333333333336,35.666666666666664,3.6666666666666665,-13,79.55555555555556,85.66666666666667,-6.111111111111111,0.14100000000000001,0.4956666666666667,0.4146666666666667,0.08099999999999999,11,9.666666666666666,7.0,2.6666666666666665,12,25.11111111111111,23.11111111111111,2.0,0.312,0.388,0.302,0.08600000000000001,-4,17.22222222222222,18.11111111111111,-0.8888888888888888,-9,21.555555555555557,24.22222222222222,-2.6666666666666665,0.09100000000000008,0.7992222222222222,0.7462222222222221,0.053,-9,8.222222222222221,11.555555555555555,-3.3333333333333335,3,43.44444444444444,41.77777777777778,1.6666666666666667,15,24.77777777777778,19.0,5.777777777777778,-5,8.777777777777779,9.222222222222221,-0.4444444444444444,1,6.0,1.8888888888888888,4.111111111111111,9,19.666666666666668,17.333333333333332,2.3333333333333335,-1,22.0,19.555555555555557,2.4444444444444446
