,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential,cumalitive_Points,cumalitive_Points_differential,cumalitive_FieldGoals,cumalitive_FieldGoals_differential,cumalitive_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted_differential,cumalitive_FieldGoals.,cumalitive_FieldGoals._differential,cumalitive_3PointShots,cumalitive_3PointShots_differential,cumalitive_3PointShotsAttempted,cumalitive_3PointShotsAttempted_differential,cumalitive_3PointShots.,cumalitive_3PointShots._differential,cumalitive_FreeThrows,cumalitive_FreeThrows_differential,cumalitive_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted_differential,cumalitive_FreeThrows.,cumalitive_FreeThrows._differential,cumalitive_OffRebounds,cumalitive_OffRebounds_differential,cumalitive_TotalRebounds,cumalitive_TotalRebounds_differential,cumalitive_Assists,cumalitive_Assists_differential,cumalitive_Steals,cumalitive_Steals_differential,cumalitive_Blocks,cumalitive_Blocks_differential,cumalitive_Turnovers,cumalitive_Turnovers_differential,cumalitive_TotalFouls,cumalitive_TotalFouls_differential
738,738,5658,1208,GSW,1,2016-10-25,Home,SAS,L,100,129,40,85,0.47100000000000003,7,33,0.212,13,18,0.722,8,35,24,11,6,16,19,47,98,0.48,12,24,0.5,23,26,0.885,21,55,25,13,3,13,19,2016-10-25,-29,-7,-13,-0.009000000000000008,-5,9,-0.28800000000000003,-10,-8,-0.16300000000000006,-13,-20,-1,-2,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,739,5659,2208,GSW,2,2016-10-28,Away,NOP,W,122,114,44,91,0.484,9,28,0.321,25,28,0.893,9,49,32,8,2,14,22,47,100,0.47,5,22,0.22699999999999998,15,23,0.652,12,49,29,8,5,13,24,2016-10-28,8,-3,-9,0.014000000000000012,4,6,0.094,10,5,0.24100000000000002,-3,0,3,0,-3,1,-2,100.0,-29.0,40.0,-7.0,85.0,-13.0,0.47100000000000003,-0.009000000000000008,7.0,-5.0,33.0,9.0,0.212,-0.28800000000000003,13.0,-10.0,18.0,-8.0,0.722,-0.16300000000000006,8.0,-13.0,35.0,-20.0,24.0,-1.0,11.0,-2.0,6.0,3.0,16.0,3.0,19.0,0.0
740,740,5660,3208,GSW,3,2016-10-30,Away,PHO,W,106,100,35,83,0.42200000000000004,8,29,0.276,28,33,0.848,7,43,27,6,5,15,23,37,90,0.41100000000000003,8,23,0.348,18,25,0.72,11,50,19,10,6,11,26,2016-10-30,6,-2,-7,0.01100000000000001,0,6,-0.07199999999999995,10,8,0.128,-4,-7,8,-4,-1,4,-3,222.0,-21.0,84.0,-10.0,176.0,-22.0,0.9550000000000001,0.0050000000000000044,16.0,-1.0,61.0,15.0,0.533,-0.19400000000000003,38.0,0.0,46.0,-3.0,1.615,0.07799999999999996,17.0,-16.0,84.0,-20.0,56.0,2.0,19.0,-2.0,8.0,0.0,30.0,4.0,41.0,-2.0
741,741,5661,4208,GSW,4,2016-11-01,Away,POR,W,127,104,50,89,0.562,10,26,0.385,17,23,0.7390000000000001,7,45,36,14,4,16,19,37,86,0.43,14,39,0.359,16,21,0.762,6,32,23,12,4,18,17,2016-11-01,23,13,3,0.13200000000000006,-4,-13,0.026000000000000027,1,2,-0.02299999999999991,1,13,13,2,0,-2,2,328.0,-15.0,119.0,-12.0,259.0,-29.0,1.3770000000000002,0.016000000000000014,24.0,-1.0,90.0,21.0,0.809,-0.266,66.0,10.0,79.0,5.0,2.463,0.20599999999999996,24.0,-20.0,127.0,-27.0,83.0,10.0,25.0,-6.0,13.0,-1.0,45.0,8.0,64.0,-5.0
742,742,5662,5208,GSW,5,2016-11-03,Home,OKC,W,122,96,46,89,0.517,14,30,0.467,16,20,0.8,15,46,27,9,14,15,18,35,87,0.402,10,27,0.37,16,28,0.5710000000000001,13,41,20,8,6,16,20,2016-11-03,26,11,2,0.115,4,3,0.09700000000000003,0,-8,0.229,2,5,7,1,8,-1,-2,455.0,8.0,169.0,1.0,348.0,-26.0,1.9390000000000003,0.14800000000000008,34.0,-5.0,116.0,8.0,1.194,-0.24,83.0,11.0,102.0,7.0,3.202,0.18300000000000005,31.0,-19.0,172.0,-14.0,119.0,23.0,39.0,-4.0,17.0,-1.0,61.0,6.0,83.0,-3.0
743,743,5663,6208,GSW,6,2016-11-04,Away,LAL,L,97,117,39,86,0.45299999999999996,5,32,0.156,14,20,0.7,9,40,26,13,3,20,13,45,95,0.474,8,30,0.267,19,21,0.905,16,51,26,9,5,16,19,2016-11-04,-20,-6,-9,-0.020999999999999963,-3,2,-0.11100000000000003,-5,-1,-0.20500000000000007,-7,-11,0,4,-2,4,-6,577.0,34.0,215.0,12.0,437.0,-24.0,2.4560000000000004,0.26300000000000007,48.0,-1.0,146.0,11.0,1.661,-0.14299999999999996,99.0,11.0,122.0,-1.0,4.002,0.41200000000000003,46.0,-17.0,218.0,-9.0,146.0,30.0,48.0,-3.0,31.0,7.0,76.0,5.0,101.0,-5.0
744,744,5664,7208,GSW,7,2016-11-07,Home,NOP,W,116,106,45,90,0.5,16,35,0.457,10,12,0.833,10,38,35,14,4,15,17,39,80,0.488,7,21,0.33299999999999996,21,27,0.778,11,43,26,8,1,19,16,2016-11-07,10,6,10,0.012000000000000009,9,14,0.124,-11,-15,0.05499999999999994,-1,-5,9,6,3,-4,1,674.0,14.0,254.0,6.0,523.0,-33.0,2.9090000000000003,0.2420000000000001,53.0,-4.0,178.0,13.0,1.817,-0.254,113.0,6.0,142.0,-2.0,4.702,0.20699999999999996,55.0,-24.0,258.0,-20.0,172.0,30.0,61.0,1.0,34.0,5.0,96.0,9.0,114.0,-11.0
745,745,5665,888,GSW,8,2016-11-09,Home,DAL,W,116,95,43,74,0.581,17,33,0.515,13,22,0.591,5,39,33,3,5,15,22,34,86,0.395,6,28,0.214,21,28,0.75,13,42,20,10,2,7,20,2016-11-09,21,9,-12,0.18599999999999994,11,5,0.30100000000000005,-8,-6,-0.15900000000000006,-8,-3,13,-7,3,8,2,790.0,24.0,299.0,12.0,613.0,-23.0,3.4090000000000003,0.2540000000000001,69.0,5.0,213.0,27.0,2.274,-0.13,123.0,-5.0,154.0,-17.0,5.535,0.2619999999999999,65.0,-25.0,296.0,-25.0,207.0,39.0,75.0,7.0,38.0,8.0,111.0,5.0,131.0,-10.0
746,746,5666,969,GSW,9,2016-11-10,Away,DEN,W,125,101,46,85,0.541,14,30,0.467,19,20,0.95,9,44,33,15,6,15,18,38,94,0.40399999999999997,13,36,0.361,12,17,0.706,17,44,26,7,3,18,18,2016-11-10,24,8,-9,0.13699999999999998,1,-6,0.10600000000000004,7,3,0.244,-8,0,7,8,3,-3,0,906.0,45.0,342.0,21.0,687.0,-35.0,3.99,0.44000000000000006,86.0,16.0,246.0,32.0,2.789,0.17100000000000004,136.0,-13.0,176.0,-23.0,6.126,0.10299999999999984,70.0,-33.0,335.0,-28.0,240.0,52.0,78.0,0.0,43.0,11.0,126.0,13.0,153.0,-8.0
747,747,5667,1069,GSW,10,2016-11-13,Home,PHO,W,133,120,45,87,0.517,16,33,0.485,27,31,0.871,8,43,32,8,7,16,20,46,90,0.511,8,24,0.33299999999999996,20,26,0.769,8,38,27,10,3,13,29,2016-11-13,13,-1,-3,0.0060000000000000045,8,9,0.15199999999999994,7,5,0.10199999999999998,0,5,5,-2,4,3,-9,1031.0,69.0,388.0,29.0,772.0,-44.0,4.531000000000001,0.5770000000000001,100.0,17.0,276.0,26.0,3.2560000000000002,0.2770000000000001,155.0,-6.0,196.0,-20.0,7.0760000000000005,0.34699999999999986,79.0,-41.0,379.0,-28.0,273.0,59.0,93.0,8.0,49.0,14.0,141.0,10.0,171.0,-8.0
