,Unnamed: 0,Unnamed: 0.1.1.1.1.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,cumalitive_Points,cumalitive_Opp.Points,cumalitive_differential_Points,average_Points,average_Opp.{},average_Points_differential,differential_FieldGoals,cumalitive_FieldGoals,cumalitive_Opp.FieldGoals,cumalitive_differential_FieldGoals,average_FieldGoals,average_FieldGoals_differential,differential_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted,cumalitive_Opp.FieldGoalsAttempted,cumalitive_differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_FieldGoalsAttempted_differential,differential_FieldGoals.,cumalitive_FieldGoals.,cumalitive_Opp.FieldGoals.,cumalitive_differential_FieldGoals.,average_FieldGoals.,average_FieldGoals._differential,differential_3PointShots,cumalitive_3PointShots,cumalitive_Opp.3PointShots,cumalitive_differential_3PointShots,average_3PointShots,average_3PointShots_differential,differential_3PointShotsAttempted,cumalitive_3PointShotsAttempted,cumalitive_Opp.3PointShotsAttempted,cumalitive_differential_3PointShotsAttempted,average_3PointShotsAttempted,average_3PointShotsAttempted_differential,differential_3PointShots.,cumalitive_3PointShots.,cumalitive_Opp.3PointShots.,cumalitive_differential_3PointShots.,average_3PointShots.,average_3PointShots._differential,differential_FreeThrows,cumalitive_FreeThrows,cumalitive_Opp.FreeThrows,cumalitive_differential_FreeThrows,average_FreeThrows,average_FreeThrows_differential,differential_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted,cumalitive_Opp.FreeThrowsAttempted,cumalitive_differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_FreeThrowsAttempted_differential,differential_FreeThrows.,cumalitive_FreeThrows.,cumalitive_Opp.FreeThrows.,cumalitive_differential_FreeThrows.,average_FreeThrows.,average_FreeThrows._differential,differential_OffRebounds,cumalitive_OffRebounds,cumalitive_Opp.OffRebounds,cumalitive_differential_OffRebounds,average_OffRebounds,average_OffRebounds_differential,differential_TotalRebounds,cumalitive_TotalRebounds,cumalitive_Opp.TotalRebounds,cumalitive_differential_TotalRebounds,average_TotalRebounds,average_TotalRebounds_differential,differential_Assists,cumalitive_Assists,cumalitive_Opp.Assists,cumalitive_differential_Assists,average_Assists,average_Assists_differential,differential_Steals,cumalitive_Steals,cumalitive_Opp.Steals,cumalitive_differential_Steals,average_Steals,average_Steals_differential,differential_Blocks,cumalitive_Blocks,cumalitive_Opp.Blocks,cumalitive_differential_Blocks,average_Blocks,average_Blocks_differential,differential_Turnovers,cumalitive_Turnovers,cumalitive_Opp.Turnovers,cumalitive_differential_Turnovers,average_Turnovers,average_Turnovers_differential,differential_TotalFouls,cumalitive_TotalFouls,cumalitive_Opp.TotalFouls,cumalitive_differential_TotalFouls,average_TotalFouls,average_TotalFouls_differential
0,0,1402,HOU,1,2017-10-17,Away,GSW,W,122,121,47,97,0.485,15,41,0.366,13,19,0.684,10,43,28,9,5,12,16,43,80,0.5379999999999999,16,30,0.5329999999999999,19,21,0.905,6,41,34,5,9,17,25,1,122,121,1,122.0,25.0,1.0,4,47,43,4,47.0,4.0,17,97,80,17,97.0,17.0,-0.052999999999999936,0.485,0.5379999999999999,-0.052999999999999936,0.485,-0.052999999999999936,-1,15,16,-1,15.0,-1.0,11,41,30,11,41.0,11.0,-0.16699999999999993,0.366,0.5329999999999999,-0.16699999999999993,0.366,-0.16699999999999993,-6,13,19,-6,13.0,-6.0,-2,19,21,-2,19.0,-2.0,-0.22099999999999997,0.684,0.905,-0.22099999999999997,0.684,-0.22099999999999997,4,10,6,4,10.0,4.0,2,43,41,2,43.0,2.0,-6,28,34,-6,28.0,-6.0,4,9,5,4,9.0,4.0,-4,5,9,-4,5.0,-4.0,-5,12,17,-5,12.0,-5.0,-9,16,25,-9,16.0,-9.0
1,1,2402,HOU,2,2017-10-18,Away,SAC,W,105,100,33,83,0.39799999999999996,12,45,0.267,27,29,0.9309999999999999,12,44,19,7,3,14,14,42,88,0.47700000000000004,8,23,0.348,8,10,0.8,9,42,19,5,4,17,20,5,227,221,6,113.5,22.5,3.0,-9,80,85,-5,40.0,-2.5,-5,180,168,12,90.0,6.0,-0.07900000000000007,0.883,1.015,-0.132,0.4415,-0.066,4,27,24,3,13.5,1.5,22,86,53,33,43.0,16.5,-0.08099999999999996,0.633,0.8809999999999999,-0.2479999999999999,0.3165,-0.12399999999999994,19,40,27,13,20.0,6.5,19,48,31,17,24.0,8.5,0.1309999999999999,1.615,1.705,-0.09000000000000008,0.8075,-0.04500000000000004,3,22,15,7,11.0,3.5,2,87,83,4,43.5,2.0,0,47,53,-6,23.5,-3.0,2,16,10,6,8.0,3.0,-1,8,13,-5,4.0,-2.5,-3,26,34,-8,13.0,-4.0,-6,30,45,-15,15.0,-7.5
2,2,3402,HOU,3,2017-10-21,Home,DAL,W,107,91,39,82,0.47600000000000003,11,47,0.23399999999999999,18,22,0.818,8,54,17,12,4,13,24,31,84,0.369,13,31,0.419,16,21,0.762,8,41,19,6,0,14,19,16,334,312,22,111.33333333333333,21.333333333333332,7.333333333333333,8,119,116,3,39.666666666666664,1.0,-2,262,252,10,87.33333333333333,3.3333333333333335,0.10700000000000004,1.359,1.384,-0.024999999999999967,0.453,-0.008333333333333323,-2,38,37,1,12.666666666666666,0.3333333333333333,16,133,84,49,44.333333333333336,16.333333333333332,-0.185,0.867,1.2999999999999998,-0.4329999999999999,0.289,-0.14433333333333329,2,58,43,15,19.333333333333332,5.0,1,70,52,18,23.333333333333332,6.0,0.05599999999999994,2.433,2.467,-0.03400000000000014,0.8109999999999999,-0.011333333333333381,0,30,23,7,10.0,2.3333333333333335,13,141,124,17,47.0,5.666666666666667,-2,64,72,-8,21.333333333333332,-2.6666666666666665,6,28,16,12,9.333333333333334,4.0,4,12,13,-1,4.0,-0.3333333333333333,-1,39,48,-9,13.0,-3.0,5,54,64,-10,18.0,-3.3333333333333335
3,3,4402,HOU,4,2017-10-23,Home,MEM,L,90,98,32,77,0.41600000000000004,9,38,0.237,17,23,0.7390000000000001,9,39,25,5,2,16,31,29,68,0.426,6,19,0.316,34,37,0.919,3,38,16,5,2,12,21,-8,424,410,14,106.0,21.25,3.5,3,151,145,6,37.75,1.5,9,339,320,19,84.75,4.75,-0.009999999999999953,1.775,1.8099999999999998,-0.03499999999999992,0.44375,-0.00874999999999998,3,47,43,4,11.75,1.0,19,171,103,68,42.75,17.0,-0.07900000000000001,1.104,1.6159999999999999,-0.5119999999999999,0.276,-0.12799999999999997,-17,75,77,-2,18.75,-0.5,-14,93,89,4,23.25,1.0,-0.17999999999999994,3.1719999999999997,3.386,-0.21400000000000008,0.7929999999999999,-0.05350000000000002,6,39,26,13,9.75,3.25,1,180,162,18,45.0,4.5,9,89,88,1,22.25,0.25,0,33,21,12,8.25,3.0,0,14,15,-1,3.5,-0.25,4,55,60,-5,13.75,-1.25,10,85,85,0,21.25,0.0
4,4,5402,HOU,5,2017-10-25,Away,PHI,W,105,104,36,75,0.48,12,39,0.308,21,24,0.875,7,40,22,11,13,19,13,43,97,0.44299999999999995,12,36,0.33299999999999996,6,10,0.6,12,43,29,14,7,14,19,1,529,514,15,105.8,20.8,3.0,-7,187,188,-1,37.4,-0.2,-22,414,417,-3,82.8,-0.6,0.03700000000000003,2.255,2.2529999999999997,0.002000000000000113,0.45099999999999996,0.00040000000000002257,0,59,55,4,11.8,0.8,3,210,139,71,42.0,14.2,-0.024999999999999967,1.4120000000000001,1.9489999999999998,-0.5369999999999999,0.28240000000000004,-0.10739999999999998,15,96,83,13,19.2,2.6,14,117,99,18,23.4,3.6,0.275,4.047,3.986,0.06099999999999994,0.8093999999999999,0.012199999999999989,-5,46,38,8,9.2,1.6,-3,220,205,15,44.0,3.0,-7,111,117,-6,22.2,-1.2,-3,44,35,9,8.8,1.8,6,27,22,5,5.4,1.0,5,74,74,0,14.8,0.0,-6,98,104,-6,19.6,-1.2
5,5,6402,HOU,6,2017-10-27,Away,CHO,W,109,93,38,85,0.447,22,57,0.386,11,13,0.846,7,51,21,5,6,15,26,33,88,0.375,11,29,0.379,16,28,0.5710000000000001,11,44,16,6,5,9,14,16,638,607,31,106.33333333333333,19.666666666666668,5.166666666666667,5,225,221,4,37.5,0.6666666666666666,-3,499,505,-6,83.16666666666667,-1.0,0.07200000000000001,2.702,2.6279999999999997,0.07400000000000012,0.4503333333333333,0.012333333333333354,11,81,66,15,13.5,2.5,28,267,168,99,44.5,16.5,0.007000000000000006,1.798,2.328,-0.5299999999999999,0.2996666666666667,-0.08833333333333332,-5,107,99,8,17.833333333333332,1.3333333333333333,-15,130,127,3,21.666666666666668,0.5,0.2749999999999999,4.893,4.557,0.33599999999999985,0.8155,0.05599999999999997,-4,53,49,4,8.833333333333334,0.6666666666666666,7,271,249,22,45.166666666666664,3.6666666666666665,5,132,133,-1,22.0,-0.16666666666666666,-1,49,41,8,8.166666666666666,1.3333333333333333,1,33,27,6,5.5,1.0,6,89,83,6,14.833333333333334,1.0,12,124,118,6,20.666666666666668,1.0
6,6,7402,HOU,7,2017-10-28,Away,MEM,L,89,103,29,77,0.377,14,38,0.368,17,21,0.81,8,43,18,4,3,17,23,40,85,0.47100000000000003,14,33,0.424,9,12,0.75,6,42,26,10,6,9,20,-14,727,710,17,103.85714285714286,19.714285714285715,2.4285714285714284,-11,254,261,-7,36.285714285714285,-1.0,-8,576,590,-14,82.28571428571429,-2.0,-0.09400000000000003,3.0789999999999997,3.0989999999999998,-0.019999999999999907,0.43985714285714284,-0.0028571428571428437,0,95,80,15,13.571428571428571,2.142857142857143,5,305,201,104,43.57142857142857,14.857142857142858,-0.055999999999999994,2.166,2.752,-0.5859999999999999,0.30942857142857144,-0.0837142857142857,8,124,108,16,17.714285714285715,2.2857142857142856,9,151,139,12,21.571428571428573,1.7142857142857142,0.06000000000000005,5.702999999999999,5.307,0.3959999999999999,0.8147142857142856,0.05657142857142856,2,61,55,6,8.714285714285714,0.8571428571428571,1,314,291,23,44.857142857142854,3.2857142857142856,-8,150,159,-9,21.428571428571427,-1.2857142857142858,-6,53,51,2,7.571428571428571,0.2857142857142857,-3,36,33,3,5.142857142857143,0.42857142857142855,8,106,92,14,15.142857142857142,2.0,3,147,138,9,21.0,1.2857142857142858
7,7,8205,HOU,8,2017-10-30,Home,PHI,L,107,115,33,83,0.39799999999999996,13,47,0.27699999999999997,28,38,0.737,10,35,17,12,3,15,23,44,80,0.55,10,24,0.41700000000000004,17,24,0.708,7,48,27,10,4,19,31,-8,834,825,9,104.25,21.125,1.125,-11,287,305,-18,35.875,-2.25,3,659,670,-11,82.375,-1.375,-0.15200000000000008,3.477,3.649,-0.172,0.434625,-0.0215,3,108,90,18,13.5,2.25,23,352,225,127,44.0,15.875,-0.14000000000000007,2.443,3.1689999999999996,-0.726,0.305375,-0.09075,11,152,125,27,19.0,3.375,14,189,163,26,23.625,3.25,0.029000000000000026,6.4399999999999995,6.015000000000001,0.42499999999999993,0.8049999999999999,0.05312499999999999,3,71,62,9,8.875,1.125,-13,349,339,10,43.625,1.25,-10,167,186,-19,20.875,-2.375,2,65,61,4,8.125,0.5,-1,39,37,2,4.875,0.25,-4,121,111,10,15.125,1.25,-8,170,169,1,21.25,0.125
8,8,9100,HOU,9,2017-11-01,Away,NYK,W,119,97,42,88,0.47700000000000004,19,52,0.365,16,21,0.762,9,46,21,6,4,14,20,39,90,0.433,8,26,0.308,11,13,0.846,6,42,23,8,1,19,18,22,953,922,31,105.88888888888889,20.77777777777778,3.4444444444444446,3,329,344,-15,36.55555555555556,-1.6666666666666667,-2,747,760,-13,83.0,-1.4444444444444444,0.04400000000000004,3.9539999999999997,4.082,-0.12799999999999995,0.4393333333333333,-0.014222222222222216,11,127,98,29,14.11111111111111,3.2222222222222223,26,404,251,153,44.888888888888886,17.0,0.056999999999999995,2.808,3.4769999999999994,-0.669,0.312,-0.07433333333333333,5,168,136,32,18.666666666666668,3.5555555555555554,8,210,176,34,23.333333333333332,3.7777777777777777,-0.08399999999999996,7.202,6.861000000000001,0.34099999999999997,0.8002222222222222,0.03788888888888889,3,80,68,12,8.88888888888889,1.3333333333333333,4,395,381,14,43.888888888888886,1.5555555555555556,-2,188,209,-21,20.88888888888889,-2.3333333333333335,-2,71,69,2,7.888888888888889,0.2222222222222222,3,43,38,5,4.777777777777778,0.5555555555555556,-5,135,130,5,15.0,0.5555555555555556,2,190,187,3,21.11111111111111,0.3333333333333333
9,9,10100,HOU,10,2017-11-03,Away,ATL,W,119,104,42,89,0.47200000000000003,16,47,0.34,19,23,0.826,9,44,28,14,4,12,16,39,81,0.48100000000000004,11,33,0.33299999999999996,15,18,0.833,5,41,16,8,8,18,16,15,1072,1026,46,107.2,20.3,4.6,3,371,383,-12,37.1,-1.2,8,836,841,-5,83.6,-0.5,-0.009000000000000008,4.426,4.563,-0.13699999999999996,0.4426,-0.013699999999999995,5,143,109,34,14.3,3.4,14,451,284,167,45.1,16.7,0.007000000000000062,3.1479999999999997,3.8099999999999996,-0.6619999999999999,0.31479999999999997,-0.0662,4,187,151,36,18.7,3.6,5,233,194,39,23.3,3.9,-0.007000000000000006,8.028,7.694000000000001,0.33399999999999996,0.8028000000000001,0.0334,4,89,73,16,8.9,1.6,3,439,422,17,43.9,1.7,12,216,225,-9,21.6,-0.9,6,85,77,8,8.5,0.8,-4,47,46,1,4.7,0.1,-6,147,148,-1,14.7,-0.1,0,206,203,3,20.6,0.3
