,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,IND,1,2016-10-26,Home,DAL,W,130,121,47,93,0.505,10,19,0.526,26,34,0.765,8,52,30,11,6,16,23,45,104,0.433,18,48,0.375,13,18,0.722,10,49,26,8,8,15,27,9,0.0,0.0,0.0,2,0.0,0.0,0.0,-11,0.0,0.0,0.0,0.07200000000000001,0.0,0.0,0.0,-8,0.0,0.0,0.0,-29,0.0,0.0,0.0,0.15100000000000002,0.0,0.0,0.0,13,0.0,0.0,0.0,16,0.0,0.0,0.0,0.04300000000000004,0.0,0.0,0.0,-2,0.0,0.0,0.0,3,0.0,0.0,0.0,4,0.0,0.0,0.0,3,0.0,0.0,0.0,-2,0.0,0.0,0.0,1,0.0,0.0,0.0,-4,0.0,0.0,0.0
1,IND,2,2016-10-28,Away,BRK,L,94,103,37,98,0.378,7,24,0.292,13,20,0.65,14,49,22,7,6,13,22,38,87,0.4370000000000001,10,33,0.303,17,20,0.85,12,52,20,6,4,16,23,-9,130.0,121.0,9.0,-1,47.0,45.0,2.0,11,93.0,104.0,-11.0,-0.05900000000000011,0.505,0.433,0.07200000000000001,-3,10.0,18.0,-8.0,-9,19.0,48.0,-29.0,-0.01100000000000001,0.526,0.375,0.15100000000000002,-4,26.0,13.0,13.0,0,34.0,18.0,16.0,-0.19999999999999996,0.765,0.722,0.04300000000000004,2,8.0,10.0,-2.0,-3,52.0,49.0,3.0,2,30.0,26.0,4.0,1,11.0,8.0,3.0,2,6.0,8.0,-2.0,-3,16.0,15.0,1.0,-1,23.0,27.0,-4.0
2,IND,3,2016-10-29,Away,CHI,L,101,118,43,88,0.489,7,18,0.389,8,9,0.889,8,33,34,8,7,13,16,45,86,0.523,9,21,0.429,19,21,0.905,13,47,34,8,6,12,14,-17,112.0,112.0,0.0,-2,42.0,41.5,0.5,2,95.5,95.5,0.0,-0.03400000000000003,0.4415,0.43500000000000005,0.00649999999999995,-2,8.5,14.0,-5.5,-3,21.5,40.5,-19.0,-0.03999999999999998,0.40900000000000003,0.33899999999999997,0.07,-11,19.5,15.0,4.5,-12,27.0,19.0,8.0,-0.016000000000000014,0.7075,0.786,-0.07849999999999996,-5,11.0,11.0,0.0,-14,50.5,50.5,0.0,0,26.0,23.0,3.0,0,9.0,7.0,2.0,1,6.0,6.0,0.0,1,14.5,15.5,-1.0,2,22.5,25.0,-2.5
3,IND,4,2016-11-01,Home,LAL,W,115,108,41,87,0.471,10,28,0.35700000000000004,23,29,0.7929999999999999,11,43,19,10,8,15,20,40,89,0.449,6,28,0.214,22,25,0.88,11,44,14,8,2,19,25,7,108.33333333333333,114.0,-5.666666666666667,1,42.333333333333336,42.666666666666664,-0.3333333333333333,-2,93.0,92.33333333333333,0.6666666666666666,0.021999999999999964,0.4573333333333333,0.46433333333333343,-0.0070000000000000435,4,8.0,12.333333333333334,-4.333333333333333,0,20.333333333333332,34.0,-13.666666666666666,0.14300000000000004,0.4023333333333334,0.369,0.03333333333333335,1,15.666666666666666,16.333333333333332,-0.6666666666666666,4,21.0,19.666666666666668,1.3333333333333333,-0.08700000000000008,0.7680000000000001,0.8256666666666668,-0.057666666666666644,0,10.0,11.666666666666666,-1.6666666666666667,-1,44.666666666666664,49.333333333333336,-4.666666666666667,5,28.666666666666668,26.666666666666668,2.0,2,8.666666666666666,7.333333333333333,1.3333333333333333,6,6.333333333333333,6.0,0.3333333333333333,-4,14.0,14.333333333333334,-0.3333333333333333,-5,20.333333333333332,21.333333333333332,-1.0
4,IND,5,2016-11-03,Away,MIL,L,107,125,38,81,0.469,10,23,0.435,21,27,0.778,10,32,29,14,4,21,23,47,82,0.573,12,27,0.444,19,24,0.792,12,41,32,10,6,21,23,-18,110.0,112.5,-2.5,-9,42.0,42.0,0.0,-1,91.5,91.5,0.0,-0.10399999999999998,0.46075,0.4605000000000001,0.0002499999999999586,-2,8.5,10.75,-2.25,-4,22.25,32.5,-10.25,-0.009000000000000008,0.391,0.33025,0.06075000000000002,2,17.5,17.75,-0.25,3,23.0,21.0,2.0,-0.014000000000000012,0.7742500000000001,0.83925,-0.065,-2,10.25,11.5,-1.25,-9,44.25,48.0,-3.75,-3,26.25,23.5,2.75,4,9.0,7.5,1.5,-2,6.75,5.0,1.75,0,14.25,15.5,-1.25,0,20.25,22.25,-2.0
5,IND,6,2016-11-05,Home,CHI,W,111,94,46,86,0.535,12,26,0.462,7,12,0.583,8,36,27,8,9,11,20,34,79,0.43,6,18,0.333,20,25,0.8,13,40,17,8,5,16,13,17,109.4,115.0,-5.6,12,41.2,43.0,-1.8,7,89.4,89.6,-0.2,0.10500000000000004,0.4624,0.483,-0.020600000000000028,6,8.8,11.0,-2.2,8,22.4,31.4,-9.0,0.129,0.39980000000000004,0.353,0.046800000000000015,-13,18.2,18.0,0.2,-13,23.8,21.6,2.2,-0.21700000000000008,0.7750000000000001,0.8298,-0.0548,-5,10.2,11.6,-1.4,-4,41.8,46.6,-4.8,10,26.8,25.2,1.6,0,10.0,8.0,2.0,4,6.2,5.2,1.0,-5,15.6,16.6,-1.0,7,20.8,22.4,-1.6
6,IND,7,2016-11-07,Away,CHO,L,100,122,40,94,0.426,9,33,0.273,11,15,0.733,12,52,23,8,4,18,25,41,84,0.488,12,32,0.375,28,32,0.875,3,43,30,12,4,11,15,-22,109.66666666666667,111.5,-1.8333333333333333,-1,42.0,41.5,0.5,10,88.83333333333333,87.83333333333333,1.0,-0.062,0.4745,0.4741666666666667,0.0003333333333333151,-3,9.333333333333334,10.166666666666666,-0.8333333333333334,1,23.0,29.166666666666668,-6.166666666666667,-0.10199999999999998,0.41016666666666673,0.3496666666666666,0.06050000000000002,-17,16.333333333333332,18.333333333333332,-2.0,-17,21.833333333333332,22.166666666666668,-0.3333333333333333,-0.14200000000000002,0.743,0.8248333333333333,-0.08183333333333336,9,9.833333333333334,11.833333333333334,-2.0,9,40.833333333333336,45.5,-4.666666666666667,-7,26.833333333333332,23.833333333333332,3.0,-4,9.666666666666666,8.0,1.6666666666666667,0,6.666666666666667,5.166666666666667,1.5,7,14.833333333333334,16.5,-1.6666666666666667,10,20.666666666666668,20.833333333333332,-0.16666666666666666
7,IND,8,2016-11-09,Home,PHI,W,122,115,49,90,0.544,9,19,0.474,15,20,0.75,7,43,25,9,6,16,17,46,95,0.484,14,36,0.389,9,19,0.474,10,43,23,11,6,17,21,7,108.28571428571429,113.0,-4.714285714285714,3,41.714285714285715,41.42857142857143,0.2857142857142857,-5,89.57142857142857,87.28571428571429,2.2857142857142856,0.06000000000000005,0.4675714285714286,0.47614285714285715,-0.008571428571428587,-5,9.285714285714286,10.428571428571429,-1.1428571428571428,-17,24.428571428571427,29.571428571428573,-5.142857142857143,0.08499999999999996,0.3905714285714286,0.35328571428571426,0.037285714285714304,6,15.571428571428571,19.714285714285715,-4.142857142857143,1,20.857142857142858,23.571428571428573,-2.7142857142857144,0.276,0.7415714285714285,0.832,-0.09042857142857144,-3,10.142857142857142,10.571428571428571,-0.42857142857142855,0,42.42857142857143,45.142857142857146,-2.7142857142857144,2,26.285714285714285,24.714285714285715,1.5714285714285714,-2,9.428571428571429,8.571428571428571,0.8571428571428571,0,6.285714285714286,5.0,1.2857142857142858,-1,15.285714285714286,15.714285714285714,-0.42857142857142855,-4,21.285714285714285,20.0,1.2857142857142858
8,IND,9,2016-11-11,Away,PHI,L,105,109,39,88,0.443,5,19,0.263,22,23,0.957,4,40,23,14,3,13,28,36,86,0.419,11,32,0.344,26,31,0.8390000000000001,13,54,24,7,6,19,21,-4,110.0,113.25,-3.25,3,42.625,42.0,0.625,2,89.625,88.25,1.375,0.02400000000000002,0.477125,0.477125,-6.938893903907228e-18,-6,9.25,10.875,-1.625,-13,23.75,30.375,-6.625,-0.08099999999999996,0.401,0.35775,0.04325000000000001,-4,15.5,18.375,-2.875,-8,20.75,23.0,-2.25,0.11799999999999988,0.742625,0.78725,-0.04462500000000001,-9,9.75,10.5,-0.75,-14,42.5,44.875,-2.375,-1,26.125,24.5,1.625,7,9.375,8.875,0.5,-3,6.25,5.125,1.125,-6,15.375,15.875,-0.5,7,20.75,20.125,0.625
9,IND,10,2016-11-12,Home,BOS,L,99,105,36,86,0.419,6,27,0.222,21,28,0.75,11,40,17,9,9,13,22,35,80,0.438,8,25,0.32,27,33,0.818,15,47,22,7,7,13,21,-6,109.44444444444444,112.77777777777777,-3.3333333333333335,1,42.22222222222222,41.333333333333336,0.8888888888888888,6,89.44444444444444,88.0,1.4444444444444444,-0.019000000000000017,0.47333333333333333,0.4706666666666666,0.0026666666666666627,-2,8.777777777777779,10.88888888888889,-2.111111111111111,2,23.22222222222222,30.555555555555557,-7.333333333333333,-0.098,0.38566666666666666,0.3562222222222222,0.029444444444444457,-6,16.22222222222222,19.22222222222222,-3.0,-5,21.0,23.88888888888889,-2.888888888888889,-0.06799999999999995,0.7664444444444444,0.793,-0.02655555555555558,-4,9.11111111111111,10.777777777777779,-1.6666666666666667,-7,42.22222222222222,45.888888888888886,-3.6666666666666665,-5,25.77777777777778,24.444444444444443,1.3333333333333333,2,9.88888888888889,8.666666666666666,1.2222222222222223,2,5.888888888888889,5.222222222222222,0.6666666666666666,0,15.11111111111111,16.22222222222222,-1.1111111111111112,1,21.555555555555557,20.22222222222222,1.3333333333333333
