,Unnamed: 0,Unnamed: 0.1.1.1.1.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,cumalitive_Points,cumalitive_Opp.Points,cumalitive_differential_Points,average_Points,average_Opp.{},average_Points_differential,differential_FieldGoals,cumalitive_FieldGoals,cumalitive_Opp.FieldGoals,cumalitive_differential_FieldGoals,average_FieldGoals,average_FieldGoals_differential,differential_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted,cumalitive_Opp.FieldGoalsAttempted,cumalitive_differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_FieldGoalsAttempted_differential,differential_FieldGoals.,cumalitive_FieldGoals.,cumalitive_Opp.FieldGoals.,cumalitive_differential_FieldGoals.,average_FieldGoals.,average_FieldGoals._differential,differential_3PointShots,cumalitive_3PointShots,cumalitive_Opp.3PointShots,cumalitive_differential_3PointShots,average_3PointShots,average_3PointShots_differential,differential_3PointShotsAttempted,cumalitive_3PointShotsAttempted,cumalitive_Opp.3PointShotsAttempted,cumalitive_differential_3PointShotsAttempted,average_3PointShotsAttempted,average_3PointShotsAttempted_differential,differential_3PointShots.,cumalitive_3PointShots.,cumalitive_Opp.3PointShots.,cumalitive_differential_3PointShots.,average_3PointShots.,average_3PointShots._differential,differential_FreeThrows,cumalitive_FreeThrows,cumalitive_Opp.FreeThrows,cumalitive_differential_FreeThrows,average_FreeThrows,average_FreeThrows_differential,differential_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted,cumalitive_Opp.FreeThrowsAttempted,cumalitive_differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_FreeThrowsAttempted_differential,differential_FreeThrows.,cumalitive_FreeThrows.,cumalitive_Opp.FreeThrows.,cumalitive_differential_FreeThrows.,average_FreeThrows.,average_FreeThrows._differential,differential_OffRebounds,cumalitive_OffRebounds,cumalitive_Opp.OffRebounds,cumalitive_differential_OffRebounds,average_OffRebounds,average_OffRebounds_differential,differential_TotalRebounds,cumalitive_TotalRebounds,cumalitive_Opp.TotalRebounds,cumalitive_differential_TotalRebounds,average_TotalRebounds,average_TotalRebounds_differential,differential_Assists,cumalitive_Assists,cumalitive_Opp.Assists,cumalitive_differential_Assists,average_Assists,average_Assists_differential,differential_Steals,cumalitive_Steals,cumalitive_Opp.Steals,cumalitive_differential_Steals,average_Steals,average_Steals_differential,differential_Blocks,cumalitive_Blocks,cumalitive_Opp.Blocks,cumalitive_differential_Blocks,average_Blocks,average_Blocks_differential,differential_Turnovers,cumalitive_Turnovers,cumalitive_Opp.Turnovers,cumalitive_differential_Turnovers,average_Turnovers,average_Turnovers_differential,differential_TotalFouls,cumalitive_TotalFouls,cumalitive_Opp.TotalFouls,cumalitive_differential_TotalFouls,average_TotalFouls,average_TotalFouls_differential
0,0,1403,IND,1,2017-10-18,Home,BRK,W,140,131,53,102,0.52,9,34,0.265,25,32,0.7809999999999999,14,47,29,12,9,14,25,45,94,0.479,12,30,0.4,29,32,0.9059999999999999,11,43,22,7,2,20,25,9,140,131,9,140.0,25.0,9.0,8,53,45,8,53.0,8.0,8,102,94,8,102.0,8.0,0.041000000000000036,0.52,0.479,0.041000000000000036,0.52,0.041000000000000036,-3,9,12,-3,9.0,-3.0,4,34,30,4,34.0,4.0,-0.135,0.265,0.4,-0.135,0.265,-0.135,-4,25,29,-4,25.0,-4.0,0,32,32,0,32.0,0.0,-0.125,0.7809999999999999,0.9059999999999999,-0.125,0.7809999999999999,-0.125,3,14,11,3,14.0,3.0,4,47,43,4,47.0,4.0,7,29,22,7,29.0,7.0,5,12,7,5,12.0,5.0,7,9,2,7,9.0,7.0,-6,14,20,-6,14.0,-6.0,0,25,25,0,25.0,0.0
1,1,2403,IND,2,2017-10-20,Home,POR,L,96,114,35,78,0.449,4,18,0.222,22,33,0.667,6,39,15,1,4,12,17,46,95,0.484,9,19,0.474,13,17,0.765,11,51,19,5,6,9,26,-18,236,245,-9,118.0,25.5,-4.5,-11,88,91,-3,44.0,-1.5,-17,180,189,-9,90.0,-4.5,-0.034999999999999976,0.9690000000000001,0.963,0.006000000000000061,0.48450000000000004,0.0030000000000000304,-5,13,21,-8,6.5,-4.0,-1,52,49,3,26.0,1.5,-0.252,0.487,0.874,-0.387,0.2435,-0.1935,9,47,42,5,23.5,2.5,16,65,49,16,32.5,8.0,-0.09799999999999998,1.448,1.6709999999999998,-0.22299999999999998,0.724,-0.11149999999999999,-5,20,22,-2,10.0,-1.0,-12,86,94,-8,43.0,-4.0,-4,44,41,3,22.0,1.5,-4,13,12,1,6.5,0.5,-2,13,8,5,6.5,2.5,3,26,29,-3,13.0,-1.5,-9,42,51,-9,21.0,-4.5
2,2,3403,IND,3,2017-10-21,Away,MIA,L,108,112,43,96,0.44799999999999995,7,19,0.368,15,21,0.7140000000000001,13,45,18,9,4,10,18,45,87,0.517,14,34,0.41200000000000003,8,14,0.5710000000000001,6,45,24,6,11,14,19,-4,344,357,-13,114.66666666666667,23.333333333333332,-4.333333333333333,-2,131,136,-5,43.666666666666664,-1.6666666666666667,9,276,276,0,92.0,0.0,-0.06900000000000006,1.417,1.48,-0.063,0.4723333333333333,-0.021,-7,20,35,-15,6.666666666666667,-5.0,-15,71,83,-12,23.666666666666668,-4.0,-0.04400000000000004,0.855,1.286,-0.43100000000000005,0.285,-0.1436666666666667,7,62,50,12,20.666666666666668,4.0,7,86,63,23,28.666666666666668,7.666666666666667,0.14300000000000002,2.162,2.242,-0.07999999999999996,0.7206666666666667,-0.026666666666666655,7,33,28,5,11.0,1.6666666666666667,0,131,139,-8,43.666666666666664,-2.6666666666666665,-6,62,65,-3,20.666666666666668,-1.0,3,22,18,4,7.333333333333333,1.3333333333333333,-7,17,19,-2,5.666666666666667,-0.6666666666666666,-4,36,43,-7,12.0,-2.3333333333333335,-1,60,70,-10,20.0,-3.3333333333333335
3,3,4403,IND,4,2017-10-24,Away,MIN,W,130,107,56,84,0.667,10,22,0.455,8,11,0.727,8,42,31,8,2,17,21,42,86,0.488,9,24,0.375,14,22,0.636,9,27,27,9,4,14,14,23,474,464,10,118.5,21.0,2.5,14,187,178,9,46.75,2.25,-2,360,362,-2,90.0,-0.5,0.17900000000000005,2.084,1.968,0.11600000000000005,0.521,0.029000000000000012,1,30,44,-14,7.5,-3.5,-2,93,107,-14,23.25,-3.5,0.08000000000000002,1.31,1.661,-0.35100000000000003,0.3275,-0.08775000000000001,-6,70,64,6,17.5,1.5,-11,97,85,12,24.25,3.0,0.09099999999999997,2.889,2.878,0.01100000000000001,0.72225,0.0027500000000000024,-1,41,37,4,10.25,1.0,15,173,166,7,43.25,1.75,4,93,92,1,23.25,0.25,-1,30,27,3,7.5,0.75,-2,19,23,-4,4.75,-1.0,3,53,57,-4,13.25,-1.0,7,81,84,-3,20.25,-0.75
4,4,5403,IND,5,2017-10-25,Away,OKC,L,96,114,28,83,0.337,10,29,0.345,30,35,0.857,14,41,13,13,2,19,23,43,89,0.483,10,27,0.37,18,26,0.6920000000000001,16,49,26,8,8,20,27,-18,570,578,-8,114.0,22.2,-1.6,-15,215,221,-6,43.0,-1.2,-6,443,451,-8,88.6,-1.6,-0.14599999999999996,2.4210000000000003,2.451,-0.029999999999999916,0.4842000000000001,-0.005999999999999983,0,40,54,-14,8.0,-2.8,2,122,134,-12,24.4,-2.4,-0.025000000000000022,1.655,2.031,-0.37600000000000006,0.331,-0.07520000000000002,12,100,82,18,20.0,3.6,9,132,111,21,26.4,4.2,0.16499999999999992,3.7459999999999996,3.5700000000000003,0.17599999999999993,0.7491999999999999,0.03519999999999999,-2,55,53,2,11.0,0.4,-8,214,215,-1,42.8,-0.2,-13,106,118,-12,21.2,-2.4,5,43,35,8,8.6,1.6,-6,21,31,-10,4.2,-2.0,-1,72,77,-5,14.4,-1.0,-4,104,111,-7,20.8,-1.4
5,5,6403,IND,6,2017-10-29,Home,SAS,W,97,94,36,77,0.46799999999999997,10,22,0.455,15,20,0.75,6,44,21,9,3,19,20,36,90,0.4,9,28,0.321,13,18,0.722,12,44,19,12,8,15,11,3,667,672,-5,111.16666666666667,20.333333333333332,-0.8333333333333334,0,251,257,-6,41.833333333333336,-1.0,-13,520,541,-21,86.66666666666667,-3.5,0.06799999999999995,2.8890000000000002,2.851,0.038000000000000034,0.48150000000000004,0.006333333333333339,1,50,63,-13,8.333333333333334,-2.1666666666666665,-6,144,162,-18,24.0,-3.0,0.134,2.11,2.3520000000000003,-0.24200000000000005,0.3516666666666666,-0.04033333333333334,2,115,95,20,19.166666666666668,3.3333333333333335,2,152,129,23,25.333333333333332,3.8333333333333335,0.028000000000000025,4.4959999999999996,4.292,0.20399999999999996,0.7493333333333333,0.033999999999999996,-6,61,65,-4,10.166666666666666,-0.6666666666666666,0,258,259,-1,43.0,-0.16666666666666666,2,127,137,-10,21.166666666666668,-1.6666666666666667,-3,52,47,5,8.666666666666666,0.8333333333333334,-5,24,39,-15,4.0,-2.5,4,91,92,-1,15.166666666666666,-0.16666666666666666,9,124,122,2,20.666666666666668,0.3333333333333333
6,6,7403,IND,7,2017-10-31,Home,SAC,W,101,83,36,85,0.424,12,29,0.414,17,22,0.773,14,53,25,8,7,14,17,37,88,0.42,2,14,0.14300000000000002,7,14,0.5,9,45,15,8,5,14,18,18,768,755,13,109.71428571428571,20.0,1.8571428571428572,-1,287,294,-7,41.0,-1.0,-3,605,629,-24,86.42857142857143,-3.4285714285714284,0.0040000000000000036,3.313,3.271,0.04200000000000004,0.4732857142857143,0.006000000000000005,10,62,65,-3,8.857142857142858,-0.42857142857142855,15,173,176,-3,24.714285714285715,-0.42857142857142855,0.27099999999999996,2.524,2.495,0.028999999999999915,0.3605714285714286,0.00414285714285713,10,132,102,30,18.857142857142858,4.285714285714286,8,174,143,31,24.857142857142858,4.428571428571429,0.273,5.268999999999999,4.792,0.477,0.7527142857142856,0.06814285714285714,5,75,74,1,10.714285714285714,0.14285714285714285,8,311,304,7,44.42857142857143,1.0,10,152,152,0,21.714285714285715,0.0,0,60,55,5,8.571428571428571,0.7142857142857143,2,31,44,-13,4.428571428571429,-1.8571428571428572,0,105,106,-1,15.0,-0.14285714285714285,-1,141,140,1,20.142857142857142,0.14285714285714285
7,7,8206,IND,8,2017-11-01,Away,CLE,W,124,107,49,90,0.544,16,26,0.615,10,13,0.769,8,43,35,9,1,11,23,43,86,0.5,7,31,0.226,14,20,0.7,8,41,25,6,3,16,19,17,892,862,30,111.5,19.875,3.75,6,336,337,-1,42.0,-0.125,4,695,715,-20,86.875,-2.5,0.04400000000000004,3.857,3.771,0.08600000000000008,0.482125,0.01075000000000001,9,78,72,6,9.75,0.75,-5,199,207,-8,24.875,-1.0,0.389,3.1390000000000002,2.721,0.4179999999999999,0.39237500000000003,0.05224999999999999,-4,142,116,26,17.75,3.25,-7,187,163,24,23.375,3.0,0.06900000000000006,6.037999999999999,5.492,0.546,0.7547499999999999,0.06825,0,83,82,1,10.375,0.125,2,354,345,9,44.25,1.125,10,187,177,10,23.375,1.25,3,69,61,8,8.625,1.0,-2,32,47,-15,4.0,-1.875,-5,116,122,-6,14.5,-0.75,4,164,159,5,20.5,0.625
8,8,9101,IND,9,2017-11-03,Away,PHI,L,110,121,45,97,0.46399999999999997,8,28,0.28600000000000003,12,19,0.632,8,40,25,6,6,11,18,46,92,0.5,18,36,0.5,11,14,0.7859999999999999,12,50,34,7,9,18,20,-11,1002,983,19,111.33333333333333,19.88888888888889,2.111111111111111,-1,381,383,-2,42.333333333333336,-0.2222222222222222,5,792,807,-15,88.0,-1.6666666666666667,-0.03600000000000003,4.321,4.271,0.050000000000000044,0.4801111111111111,0.00555555555555556,-10,86,90,-4,9.555555555555555,-0.4444444444444444,-8,227,243,-16,25.22222222222222,-1.7777777777777777,-0.21399999999999997,3.4250000000000003,3.221,0.20399999999999996,0.3805555555555556,0.02266666666666666,1,154,127,27,17.11111111111111,3.0,5,206,177,29,22.88888888888889,3.2222222222222223,-0.15399999999999991,6.669999999999999,6.278,0.3920000000000001,0.741111111111111,0.04355555555555557,-4,91,94,-3,10.11111111111111,-0.3333333333333333,-10,394,395,-1,43.77777777777778,-0.1111111111111111,-9,212,211,1,23.555555555555557,0.1111111111111111,-1,75,68,7,8.333333333333334,0.7777777777777778,-3,38,56,-18,4.222222222222222,-2.0,-7,127,140,-13,14.11111111111111,-1.4444444444444444,-2,182,179,3,20.22222222222222,0.3333333333333333
9,9,10101,IND,10,2017-11-05,Away,NYK,L,101,108,37,79,0.46799999999999997,12,25,0.48,15,17,0.882,4,34,24,6,2,12,17,44,88,0.5,6,23,0.261,14,19,0.737,12,46,24,8,7,12,21,-7,1103,1091,12,110.3,20.0,1.2,-7,418,427,-9,41.8,-0.9,-9,871,895,-24,87.1,-2.4,-0.03200000000000003,4.789,4.771,0.018000000000000016,0.4789,0.0018000000000000017,6,98,96,2,9.8,0.2,2,252,266,-14,25.2,-1.4,0.21899999999999997,3.9050000000000002,3.482,0.42299999999999993,0.3905,0.04229999999999999,1,169,141,28,16.9,2.8,-2,223,196,27,22.3,2.7,0.14500000000000002,7.551999999999999,7.015,0.5370000000000001,0.7551999999999999,0.05370000000000001,-8,95,106,-11,9.5,-1.1,-12,428,441,-13,42.8,-1.3,0,236,235,1,23.6,0.1,-2,81,76,5,8.1,0.5,-5,40,63,-23,4.0,-2.3,0,139,152,-13,13.9,-1.3,-4,199,200,-1,19.9,-0.1
