,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,LAC,1,2016-10-27,Away,POR,W,114,106,37,91,0.407,8,29,0.276,32,46,0.696,15,48,12,10,4,7,25,39,85,0.459,4,18,0.222,24,32,0.75,9,48,18,4,4,14,34,8,0.0,0.0,0.0,-2,0.0,0.0,0.0,6,0.0,0.0,0.0,-0.052000000000000046,0.0,0.0,0.0,4,0.0,0.0,0.0,11,0.0,0.0,0.0,0.05400000000000002,0.0,0.0,0.0,8,0.0,0.0,0.0,14,0.0,0.0,0.0,-0.05400000000000005,0.0,0.0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,-6,0.0,0.0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,-7,0.0,0.0,0.0,-9,0.0,0.0,0.0
1,LAC,2,2016-10-30,Home,UTA,W,88,75,34,83,0.41,6,27,0.222,14,20,0.7,14,49,17,8,4,13,14,29,73,0.397,7,19,0.368,10,13,0.769,7,43,18,8,2,18,22,13,114.0,106.0,8.0,5,37.0,39.0,-2.0,10,91.0,85.0,6.0,0.012999999999999956,0.407,0.459,-0.052000000000000046,-1,8.0,4.0,4.0,8,29.0,18.0,11.0,-0.146,0.276,0.222,0.05400000000000002,4,32.0,24.0,8.0,7,46.0,32.0,14.0,-0.06900000000000006,0.696,0.75,-0.05400000000000005,7,15.0,9.0,6.0,6,48.0,48.0,0.0,-1,12.0,18.0,-6.0,0,10.0,4.0,6.0,2,4.0,4.0,0.0,-5,7.0,14.0,-7.0,-8,25.0,34.0,-9.0
2,LAC,3,2016-10-31,Home,PHO,W,116,98,40,80,0.5,6,16,0.375,30,38,0.789,5,44,21,8,4,16,23,35,84,0.417,5,15,0.333,23,31,0.742,10,44,19,11,0,20,33,18,101.0,90.5,10.5,5,35.5,34.0,1.5,-4,87.0,79.0,8.0,0.08300000000000002,0.4085,0.42800000000000005,-0.019500000000000045,1,7.0,5.5,1.5,1,28.0,18.5,9.5,0.04199999999999998,0.249,0.295,-0.045999999999999985,7,23.0,17.0,6.0,7,33.0,22.5,10.5,0.04700000000000004,0.698,0.7595000000000001,-0.061500000000000055,-5,14.5,8.0,6.5,0,48.5,45.5,3.0,2,14.5,18.0,-3.5,-3,9.0,6.0,3.0,4,4.0,3.0,1.0,-4,10.0,16.0,-6.0,-10,19.5,28.0,-8.5
3,LAC,4,2016-11-02,Home,OKC,L,83,85,34,87,0.391,7,22,0.318,8,18,0.444,8,41,22,13,5,17,19,34,84,0.405,5,20,0.25,12,20,0.6,10,52,14,8,4,21,24,-2,106.0,93.0,13.0,0,37.0,34.333333333333336,2.6666666666666665,3,84.66666666666667,80.66666666666667,4.0,-0.014000000000000012,0.439,0.4243333333333334,0.014666666666666642,2,6.666666666666667,5.333333333333333,1.3333333333333333,2,24.0,17.333333333333332,6.666666666666667,0.068,0.291,0.3076666666666667,-0.016666666666666663,-4,25.333333333333332,19.0,6.333333333333333,-2,34.666666666666664,25.333333333333332,9.333333333333334,-0.15599999999999997,0.7283333333333334,0.7536666666666667,-0.025333333333333357,-2,11.333333333333334,8.666666666666666,2.6666666666666665,-11,47.0,45.0,2.0,8,16.666666666666668,18.333333333333332,-1.6666666666666667,5,8.666666666666666,7.666666666666667,1.0,1,4.0,2.0,2.0,-4,12.0,17.333333333333332,-5.333333333333333,-5,20.666666666666668,29.666666666666668,-9.0
4,LAC,5,2016-11-04,Away,MEM,W,99,88,32,85,0.376,8,27,0.29600000000000004,27,33,0.818,11,47,19,17,6,11,23,31,84,0.369,9,26,0.34600000000000003,17,22,0.773,13,48,26,4,9,18,28,11,100.25,91.0,9.25,1,36.25,34.25,2.0,1,85.25,81.5,3.75,0.007000000000000006,0.427,0.41950000000000004,0.007499999999999979,-1,6.75,5.25,1.5,1,23.5,18.0,5.5,-0.04999999999999999,0.29775,0.29325,0.004500000000000004,10,21.0,17.25,3.75,11,30.5,24.0,6.5,0.04499999999999993,0.65725,0.71525,-0.05800000000000001,-2,10.5,9.0,1.5,-1,45.5,46.75,-1.25,-7,18.0,17.25,0.75,13,9.75,7.75,2.0,-3,4.25,2.5,1.75,-7,13.25,18.25,-5.0,-5,20.25,28.25,-8.0
5,LAC,6,2016-11-05,Away,SAS,W,116,92,47,91,0.516,9,23,0.391,13,14,0.929,7,41,24,8,6,8,19,30,74,0.405,10,25,0.4,22,25,0.88,7,40,19,5,5,15,18,24,100.0,90.4,9.6,17,35.4,33.6,1.8,17,85.2,82.0,3.2,0.11099999999999999,0.4168,0.40940000000000004,0.007399999999999985,-1,7.0,6.0,1.0,-2,24.2,19.6,4.6,-0.009000000000000008,0.2974,0.3038,-0.006399999999999994,-9,22.2,17.2,5.0,-11,31.0,23.6,7.4,0.049000000000000044,0.6894,0.7268000000000001,-0.037400000000000024,0,10.6,9.8,0.8,1,45.8,47.0,-1.2,5,18.2,19.0,-0.8,3,11.2,7.0,4.2,1,4.6,3.8,0.8,-7,12.8,18.2,-5.4,1,20.8,28.2,-7.4
6,LAC,7,2016-11-07,Home,DET,W,114,82,41,76,0.539,13,25,0.52,19,22,0.8640000000000001,2,46,28,8,7,10,20,30,82,0.366,4,12,0.333,18,26,0.6920000000000001,11,39,14,5,2,11,19,32,102.66666666666667,90.66666666666667,12.0,11,37.333333333333336,33.0,4.333333333333333,-6,86.16666666666667,80.66666666666667,5.5,0.17300000000000004,0.43333333333333335,0.4086666666666667,0.024666666666666653,9,7.333333333333333,6.666666666666667,0.6666666666666666,13,24.0,20.5,3.5,0.187,0.313,0.31983333333333336,-0.00683333333333333,1,20.666666666666668,18.0,2.6666666666666665,-4,28.166666666666668,23.833333333333332,4.333333333333333,0.17200000000000004,0.7293333333333334,0.7523333333333334,-0.02300000000000001,-9,10.0,9.333333333333334,0.6666666666666666,7,45.0,45.833333333333336,-0.8333333333333334,14,19.166666666666668,19.0,0.16666666666666666,3,10.666666666666666,6.666666666666667,4.0,5,4.833333333333333,4.0,0.8333333333333334,-1,12.0,17.666666666666668,-5.666666666666667,1,20.5,26.5,-6.0
7,LAC,8,2016-11-09,Home,POR,W,111,80,38,87,0.4370000000000001,11,32,0.344,24,33,0.727,14,55,24,9,7,7,15,31,88,0.35200000000000004,6,30,0.2,12,14,0.857,11,47,16,4,3,14,23,31,104.28571428571429,89.42857142857143,14.857142857142858,7,37.857142857142854,32.57142857142857,5.285714285714286,-1,84.71428571428571,80.85714285714286,3.857142857142857,0.08500000000000008,0.44842857142857145,0.4025714285714286,0.04585714285714285,5,8.142857142857142,6.285714285714286,1.8571428571428572,2,24.142857142857142,19.285714285714285,4.857142857142857,0.14399999999999996,0.3425714285714286,0.32171428571428573,0.02085714285714286,12,20.428571428571427,18.0,2.4285714285714284,19,27.285714285714285,24.142857142857142,3.142857142857143,-0.13,0.7485714285714286,0.7437142857142858,0.004857142857142853,3,8.857142857142858,9.571428571428571,-0.7142857142857143,8,45.142857142857146,44.857142857142854,0.2857142857142857,8,20.428571428571427,18.285714285714285,2.142857142857143,5,10.285714285714286,6.428571428571429,3.857142857142857,4,5.142857142857143,3.7142857142857144,1.4285714285714286,-7,11.714285714285714,16.714285714285715,-5.0,-8,20.428571428571427,25.428571428571427,-5.0
8,LAC,9,2016-11-11,Away,OKC,W,110,108,39,86,0.453,11,27,0.407,21,35,0.6,11,45,18,9,3,10,20,38,88,0.4320000000000001,16,28,0.5710000000000001,16,19,0.8420000000000001,9,45,21,3,1,16,27,2,105.125,88.25,16.875,1,37.875,32.375,5.5,-2,85.0,81.75,3.25,0.020999999999999908,0.44700000000000006,0.39625,0.05075,-5,8.5,6.25,2.25,-1,25.125,20.625,4.5,-0.1640000000000001,0.34275,0.30650000000000005,0.03625,5,20.875,17.25,3.625,16,28.0,22.875,5.125,-0.2420000000000001,0.7458750000000001,0.7578750000000001,-0.012000000000000004,2,9.5,9.75,-0.25,0,46.375,45.125,1.25,-3,20.875,18.0,2.875,6,10.125,6.125,4.0,2,5.375,3.625,1.75,-6,11.125,16.375,-5.25,-7,19.75,25.125,-5.375
9,LAC,10,2016-11-12,Away,MIN,W,119,105,40,76,0.526,11,24,0.458,28,37,0.757,9,42,25,7,4,14,19,40,89,0.449,8,22,0.364,17,21,0.81,15,39,26,11,3,13,31,14,105.66666666666667,90.44444444444444,15.222222222222221,0,38.0,33.0,5.0,-13,85.11111111111111,82.44444444444444,2.6666666666666665,0.07700000000000001,0.44766666666666677,0.4002222222222222,0.047444444444444435,3,8.777777777777779,7.333333333333333,1.4444444444444444,2,25.333333333333332,21.444444444444443,3.888888888888889,0.09400000000000003,0.3498888888888889,0.33588888888888896,0.013999999999999988,11,20.88888888888889,17.11111111111111,3.7777777777777777,16,28.77777777777778,22.444444444444443,6.333333333333333,-0.05300000000000005,0.7296666666666667,0.7672222222222224,-0.03755555555555557,-6,9.666666666666666,9.666666666666666,0.0,3,46.22222222222222,45.111111111111114,1.1111111111111112,-1,20.555555555555557,18.333333333333332,2.2222222222222223,-4,10.0,5.777777777777778,4.222222222222222,1,5.111111111111111,3.3333333333333335,1.7777777777777777,1,11.0,16.333333333333332,-5.333333333333333,-12,19.77777777777778,25.333333333333332,-5.555555555555555
