,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,LAL,1,2017-10-19,Home,LAC,L,92,108,37,91,0.407,4,16,0.25,14,23,0.609,12,52,21,8,7,19,15,42,107,0.393,12,33,0.364,12,13,0.923,17,59,23,12,3,14,20,-16,0.0,0.0,0.0,-5,0.0,0.0,0.0,-16,0.0,0.0,0.0,0.013999999999999957,0.0,0.0,0.0,-8,0.0,0.0,0.0,-17,0.0,0.0,0.0,-0.11399999999999999,0.0,0.0,0.0,2,0.0,0.0,0.0,10,0.0,0.0,0.0,-0.31400000000000006,0.0,0.0,0.0,-5,0.0,0.0,0.0,-7,0.0,0.0,0.0,-2,0.0,0.0,0.0,-4,0.0,0.0,0.0,4,0.0,0.0,0.0,5,0.0,0.0,0.0,-5,0.0,0.0,0.0
1,LAL,2,2017-10-20,Away,PHO,W,132,130,48,93,0.516,12,26,0.462,24,33,0.727,5,42,22,8,3,18,31,45,92,0.489,14,29,0.483,26,38,0.684,10,50,17,8,9,19,25,2,92.0,108.0,-16.0,3,37.0,42.0,-5.0,1,91.0,107.0,-16.0,0.027000000000000024,0.407,0.393,0.013999999999999957,-2,4.0,12.0,-8.0,-3,16.0,33.0,-17.0,-0.020999999999999963,0.25,0.364,-0.11399999999999999,-2,14.0,12.0,2.0,-5,23.0,13.0,10.0,0.04299999999999993,0.609,0.923,-0.31400000000000006,-5,12.0,17.0,-5.0,-8,52.0,59.0,-7.0,5,21.0,23.0,-2.0,0,8.0,12.0,-4.0,-6,7.0,3.0,4.0,-1,19.0,14.0,5.0,6,15.0,20.0,-5.0
2,LAL,3,2017-10-22,Home,NOP,L,112,119,44,90,0.489,9,27,0.333,15,20,0.75,9,38,27,7,6,17,24,47,83,0.5660000000000001,10,32,0.313,15,21,0.7140000000000001,6,42,26,14,5,18,20,-7,112.0,119.0,-7.0,-3,42.5,43.5,-1.0,7,92.0,99.5,-7.5,-0.07700000000000007,0.4615,0.441,0.02049999999999999,-1,8.0,13.0,-5.0,-5,21.0,31.0,-10.0,0.020000000000000018,0.356,0.4235,-0.06749999999999998,0,19.0,19.0,0.0,-1,28.0,25.5,2.5,0.03599999999999992,0.6679999999999999,0.8035000000000001,-0.13550000000000006,3,8.5,13.5,-5.0,-4,47.0,54.5,-7.5,1,21.5,20.0,1.5,-7,8.0,10.0,-2.0,1,5.0,6.0,-1.0,-1,18.5,16.5,2.0,4,23.0,22.5,0.5
3,LAL,4,2017-10-25,Home,WAS,W,102,99,41,92,0.446,7,30,0.233,13,16,0.813,6,53,27,9,5,21,26,39,95,0.411,6,26,0.231,15,23,0.652,7,45,20,11,5,13,19,3,112.0,119.0,-7.0,2,43.0,44.666666666666664,-1.6666666666666667,-3,91.33333333333333,94.0,-2.6666666666666665,0.03500000000000003,0.4706666666666666,0.48266666666666663,-0.01200000000000003,1,8.333333333333334,12.0,-3.6666666666666665,4,23.0,31.333333333333332,-8.333333333333334,0.0020000000000000018,0.34833333333333333,0.38666666666666666,-0.03833333333333331,-2,17.666666666666668,17.666666666666668,0.0,-7,25.333333333333332,24.0,1.3333333333333333,0.16099999999999992,0.6953333333333332,0.7736666666666667,-0.07833333333333341,-1,8.666666666666666,11.0,-2.3333333333333335,8,44.0,50.333333333333336,-6.333333333333333,7,23.333333333333332,22.0,1.3333333333333333,-2,7.666666666666667,11.333333333333334,-3.6666666666666665,0,5.333333333333333,5.666666666666667,-0.3333333333333333,8,18.0,17.0,1.0,7,23.333333333333332,21.666666666666668,1.6666666666666667
4,LAL,5,2017-10-27,Home,TOR,L,92,101,36,79,0.456,3,23,0.13,17,24,0.708,9,49,20,7,6,21,22,40,93,0.43,7,29,0.241,14,20,0.7,9,40,27,12,4,12,24,-9,109.5,114.0,-4.5,-4,42.5,43.25,-0.75,-14,91.5,94.25,-2.75,0.026000000000000023,0.46449999999999997,0.46475,-0.0002500000000000141,-4,8.0,10.5,-2.5,-6,24.75,30.0,-5.25,-0.11099999999999999,0.3195,0.34775,-0.028249999999999983,3,16.5,17.0,-0.5,4,23.0,23.75,-0.75,0.008000000000000007,0.72475,0.7432500000000001,-0.018500000000000072,0,8.0,10.0,-2.0,9,46.25,49.0,-2.75,-7,24.25,21.5,2.75,-5,8.0,11.25,-3.25,2,5.25,5.5,-0.25,9,18.75,16.0,2.75,-2,24.0,21.0,3.0
5,LAL,6,2017-10-28,Away,UTA,L,81,96,31,81,0.383,5,22,0.227,14,20,0.7,14,39,17,12,4,16,20,37,79,0.468,13,31,0.419,9,13,0.6920000000000001,14,49,18,9,5,21,20,-15,106.0,111.4,-5.4,-6,41.2,42.6,-1.4,2,89.0,94.0,-5.0,-0.08500000000000002,0.4628,0.45780000000000004,0.004999999999999993,-8,7.0,9.8,-2.8,-9,24.4,29.8,-5.4,-0.19199999999999998,0.28159999999999996,0.3264,-0.044799999999999986,5,16.6,16.4,0.2,7,23.2,23.0,0.2,0.007999999999999896,0.7214,0.7346,-0.013200000000000055,0,8.2,9.8,-1.6,-10,46.8,47.2,-0.4,-1,23.4,22.6,0.8,3,7.8,11.4,-3.6,-1,5.4,5.2,0.2,-5,19.2,15.2,4.0,0,23.6,21.6,2.0
6,LAL,7,2017-10-31,Home,DET,W,113,93,45,91,0.495,12,26,0.462,11,14,0.7859999999999999,11,53,30,9,5,14,14,41,94,0.436,10,33,0.303,1,3,0.333,10,44,21,7,3,12,11,20,101.83333333333333,108.83333333333333,-7.0,4,39.5,41.666666666666664,-2.1666666666666665,-3,87.66666666666667,91.5,-3.8333333333333335,0.059,0.4495,0.4595,-0.010000000000000009,2,6.666666666666667,10.333333333333334,-3.6666666666666665,-7,24.0,30.0,-6.0,0.15900000000000003,0.2725,0.3418333333333334,-0.06933333333333332,10,16.166666666666668,15.166666666666666,1.0,11,22.666666666666668,21.333333333333332,1.3333333333333333,0.4529999999999999,0.7178333333333334,0.7275,-0.009666666666666731,1,9.166666666666666,10.5,-1.3333333333333333,9,45.5,47.5,-2.0,9,22.333333333333332,21.833333333333332,0.5,2,8.5,11.0,-2.5,2,5.166666666666667,5.166666666666667,0.0,2,18.666666666666668,16.166666666666668,2.5,3,23.0,21.333333333333332,1.6666666666666667
7,LAL,8,2017-11-02,Away,POR,L,110,113,43,79,0.544,4,18,0.222,20,27,0.741,2,32,16,8,8,11,20,40,86,0.465,9,22,0.409,24,27,0.889,10,41,22,7,4,12,21,-3,103.42857142857143,106.57142857142857,-3.142857142857143,3,40.285714285714285,41.57142857142857,-1.2857142857142858,-7,88.14285714285714,91.85714285714286,-3.7142857142857144,0.07900000000000001,0.456,0.4561428571428571,-0.00014285714285715092,-5,7.428571428571429,10.285714285714286,-2.857142857142857,-4,24.285714285714285,30.428571428571427,-6.142857142857143,-0.18699999999999997,0.29957142857142854,0.3362857142857143,-0.0367142857142857,-4,15.428571428571429,13.142857142857142,2.2857142857142856,0,21.428571428571427,18.714285714285715,2.7142857142857144,-0.14800000000000002,0.7275714285714285,0.6711428571428572,0.05642857142857136,-8,9.428571428571429,10.428571428571429,-1.0,-9,46.57142857142857,47.0,-0.42857142857142855,-6,23.428571428571427,21.714285714285715,1.7142857142857142,1,8.571428571428571,10.428571428571429,-1.8571428571428572,4,5.142857142857143,4.857142857142857,0.2857142857142857,-1,18.0,15.571428571428571,2.4285714285714284,-1,21.714285714285715,19.857142857142858,1.8571428571428572
8,LAL,9,2017-11-03,Home,BRK,W,124,112,48,94,0.511,9,21,0.429,19,27,0.7040000000000001,7,57,26,10,7,16,29,37,91,0.407,9,38,0.237,29,38,0.763,8,43,23,8,5,16,22,12,104.25,107.375,-3.125,11,40.625,41.375,-0.75,3,87.0,91.125,-4.125,0.10400000000000004,0.467,0.45725,0.009749999999999995,0,7.0,10.125,-3.125,-17,23.5,29.375,-5.875,0.192,0.289875,0.345375,-0.05549999999999998,-10,16.0,14.5,1.5,-11,22.125,19.75,2.375,-0.05899999999999994,0.72925,0.6983750000000001,0.030874999999999937,-1,8.5,10.375,-1.875,14,44.75,46.25,-1.5,3,22.5,21.75,0.75,2,8.5,10.0,-1.5,2,5.5,4.75,0.75,0,17.125,15.125,2.0,7,21.5,20.0,1.5
9,LAL,10,2017-11-05,Home,MEM,W,107,102,40,85,0.471,9,27,0.333,18,23,0.7829999999999999,8,46,25,5,4,16,16,40,87,0.46,11,37,0.297,11,14,0.7859999999999999,6,39,23,6,7,12,22,5,106.44444444444444,107.88888888888889,-1.4444444444444444,0,41.44444444444444,40.888888888888886,0.5555555555555556,-2,87.77777777777777,91.11111111111111,-3.3333333333333335,0.010999999999999954,0.47188888888888886,0.4516666666666666,0.02022222222222222,-2,7.222222222222222,10.0,-2.7777777777777777,-10,23.22222222222222,30.333333333333332,-7.111111111111111,0.03600000000000003,0.3053333333333333,0.3333333333333333,-0.027999999999999983,7,16.333333333333332,16.11111111111111,0.2222222222222222,9,22.666666666666668,21.77777777777778,0.8888888888888888,-0.0030000000000000027,0.7264444444444443,0.7055555555555556,0.02088888888888884,2,8.333333333333334,10.11111111111111,-1.7777777777777777,7,46.111111111111114,45.888888888888886,0.2222222222222222,2,22.88888888888889,21.88888888888889,1.0,-1,8.666666666666666,9.777777777777779,-1.1111111111111112,-3,5.666666666666667,4.777777777777778,0.8888888888888888,4,17.0,15.222222222222221,1.7777777777777777,-6,22.333333333333332,20.22222222222222,2.111111111111111
