,Unnamed: 0,Unnamed: 0.1.1.1.1.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,cumalitive_Points,cumalitive_Opp.Points,cumalitive_differential_Points,average_Points,average_Opp.{},average_Points_differential,differential_FieldGoals,cumalitive_FieldGoals,cumalitive_Opp.FieldGoals,cumalitive_differential_FieldGoals,average_FieldGoals,average_FieldGoals_differential,differential_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted,cumalitive_Opp.FieldGoalsAttempted,cumalitive_differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_FieldGoalsAttempted_differential,differential_FieldGoals.,cumalitive_FieldGoals.,cumalitive_Opp.FieldGoals.,cumalitive_differential_FieldGoals.,average_FieldGoals.,average_FieldGoals._differential,differential_3PointShots,cumalitive_3PointShots,cumalitive_Opp.3PointShots,cumalitive_differential_3PointShots,average_3PointShots,average_3PointShots_differential,differential_3PointShotsAttempted,cumalitive_3PointShotsAttempted,cumalitive_Opp.3PointShotsAttempted,cumalitive_differential_3PointShotsAttempted,average_3PointShotsAttempted,average_3PointShotsAttempted_differential,differential_3PointShots.,cumalitive_3PointShots.,cumalitive_Opp.3PointShots.,cumalitive_differential_3PointShots.,average_3PointShots.,average_3PointShots._differential,differential_FreeThrows,cumalitive_FreeThrows,cumalitive_Opp.FreeThrows,cumalitive_differential_FreeThrows,average_FreeThrows,average_FreeThrows_differential,differential_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted,cumalitive_Opp.FreeThrowsAttempted,cumalitive_differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_FreeThrowsAttempted_differential,differential_FreeThrows.,cumalitive_FreeThrows.,cumalitive_Opp.FreeThrows.,cumalitive_differential_FreeThrows.,average_FreeThrows.,average_FreeThrows._differential,differential_OffRebounds,cumalitive_OffRebounds,cumalitive_Opp.OffRebounds,cumalitive_differential_OffRebounds,average_OffRebounds,average_OffRebounds_differential,differential_TotalRebounds,cumalitive_TotalRebounds,cumalitive_Opp.TotalRebounds,cumalitive_differential_TotalRebounds,average_TotalRebounds,average_TotalRebounds_differential,differential_Assists,cumalitive_Assists,cumalitive_Opp.Assists,cumalitive_differential_Assists,average_Assists,average_Assists_differential,differential_Steals,cumalitive_Steals,cumalitive_Opp.Steals,cumalitive_differential_Steals,average_Steals,average_Steals_differential,differential_Blocks,cumalitive_Blocks,cumalitive_Opp.Blocks,cumalitive_differential_Blocks,average_Blocks,average_Blocks_differential,differential_Turnovers,cumalitive_Turnovers,cumalitive_Opp.Turnovers,cumalitive_differential_Turnovers,average_Turnovers,average_Turnovers_differential,differential_TotalFouls,cumalitive_TotalFouls,cumalitive_Opp.TotalFouls,cumalitive_differential_TotalFouls,average_TotalFouls,average_TotalFouls_differential
0,0,180,MEM,1,2014-10-29,Home,MIN,W,105,101,43,82,0.524,4,15,0.267,15,20,0.75,10,33,21,10,5,17,21,39,86,0.45299999999999996,6,12,0.5,17,23,0.7390000000000001,19,47,20,8,4,23,21,4,105,101,4,105.0,21.0,4.0,4,43,39,4,43.0,4.0,-4,82,86,-4,82.0,-4.0,0.07100000000000006,0.524,0.45299999999999996,0.07100000000000006,0.524,0.07100000000000006,-2,4,6,-2,4.0,-2.0,3,15,12,3,15.0,3.0,-0.23299999999999998,0.267,0.5,-0.23299999999999998,0.267,-0.23299999999999998,-2,15,17,-2,15.0,-2.0,-3,20,23,-3,20.0,-3.0,0.010999999999999899,0.75,0.7390000000000001,0.010999999999999899,0.75,0.010999999999999899,-9,10,19,-9,10.0,-9.0,-14,33,47,-14,33.0,-14.0,1,21,20,1,21.0,1.0,2,10,8,2,10.0,2.0,1,5,4,1,5.0,1.0,-6,17,23,-6,17.0,-6.0,0,21,21,0,21.0,0.0
1,1,280,MEM,2,2014-10-31,Away,IND,W,97,89,35,79,0.44299999999999995,7,19,0.368,20,27,0.741,11,40,20,11,2,9,21,34,74,0.45899999999999996,8,21,0.381,13,16,0.813,11,46,19,5,3,18,15,8,202,190,12,101.0,18.0,6.0,1,78,73,5,39.0,2.5,5,161,160,1,80.5,0.5,-0.016000000000000014,0.967,0.9119999999999999,0.05500000000000005,0.4835,0.027500000000000024,-1,11,14,-3,5.5,-1.5,-2,34,33,1,17.0,0.5,-0.013000000000000012,0.635,0.881,-0.246,0.3175,-0.123,7,35,30,5,17.5,2.5,11,47,39,8,23.5,4.0,-0.07199999999999995,1.491,1.552,-0.061000000000000054,0.7455,-0.030500000000000027,0,21,30,-9,10.5,-4.5,-6,73,93,-20,36.5,-10.0,1,41,39,2,20.5,1.0,6,21,13,8,10.5,4.0,-1,7,7,0,3.5,0.0,-9,26,41,-15,13.0,-7.5,6,42,36,6,21.0,3.0
2,2,380,MEM,3,2014-11-01,Away,CHO,W,71,69,29,80,0.363,3,11,0.273,10,13,0.769,9,45,16,8,0,18,22,26,72,0.361,4,14,0.28600000000000003,13,18,0.722,5,44,17,10,4,20,16,2,273,259,14,91.0,17.333333333333332,4.666666666666667,3,107,99,8,35.666666666666664,2.6666666666666665,8,241,232,9,80.33333333333333,3.0,0.0020000000000000018,1.33,1.273,0.05700000000000005,0.44333333333333336,0.019000000000000017,-1,14,18,-4,4.666666666666667,-1.3333333333333333,-3,45,47,-2,15.0,-0.6666666666666666,-0.013000000000000012,0.908,1.167,-0.259,0.3026666666666667,-0.08633333333333333,-3,45,43,2,15.0,0.6666666666666666,-5,60,57,3,20.0,1.0,0.04700000000000004,2.2600000000000002,2.274,-0.014000000000000012,0.7533333333333334,-0.0046666666666666705,4,30,35,-5,10.0,-1.6666666666666667,1,118,137,-19,39.333333333333336,-6.333333333333333,-1,57,56,1,19.0,0.3333333333333333,-2,29,23,6,9.666666666666666,2.0,-4,7,11,-4,2.3333333333333335,-1.3333333333333333,-2,44,61,-17,14.666666666666666,-5.666666666666667,6,64,52,12,21.333333333333332,4.0
3,3,480,MEM,4,2014-11-03,Home,NOP,W,93,81,31,76,0.408,4,14,0.28600000000000003,27,37,0.73,9,52,19,5,6,11,24,29,86,0.337,4,24,0.16699999999999998,19,29,0.655,14,49,14,5,3,12,30,12,366,340,26,91.5,20.5,6.5,2,138,128,10,34.5,2.5,-10,317,318,-1,79.25,-0.25,0.07099999999999995,1.738,1.6099999999999999,0.128,0.4345,0.032,0,18,22,-4,4.5,-1.0,-10,59,71,-12,14.75,-3.0,0.11900000000000005,1.194,1.334,-0.13999999999999996,0.2985,-0.03499999999999999,8,72,62,10,18.0,2.5,8,97,86,11,24.25,2.75,0.07499999999999996,2.99,2.9290000000000003,0.06099999999999994,0.7475,0.015249999999999986,-5,39,49,-10,9.75,-2.5,3,170,186,-16,42.5,-4.0,5,76,70,6,19.0,1.5,0,34,28,6,8.5,1.5,3,13,14,-1,3.25,-0.25,-1,55,73,-18,13.75,-4.5,-6,88,82,6,22.0,1.5
4,4,580,MEM,5,2014-11-05,Away,PHO,W,102,91,40,80,0.5,9,17,0.529,13,17,0.765,8,37,25,10,1,16,21,32,69,0.46399999999999997,8,21,0.381,19,21,0.905,5,35,13,11,4,18,20,11,468,431,37,93.6,20.4,7.4,8,178,160,18,35.6,3.6,11,397,387,10,79.4,2.0,0.03600000000000003,2.238,2.074,0.16400000000000003,0.4476,0.03280000000000001,1,27,30,-3,5.4,-0.6,-4,76,92,-16,15.2,-3.2,0.14800000000000002,1.7229999999999999,1.715,0.008000000000000063,0.34459999999999996,0.0016000000000000124,-6,85,81,4,17.0,0.8,-4,114,107,7,22.8,1.4,-0.14,3.7550000000000003,3.8340000000000005,-0.07900000000000007,0.7510000000000001,-0.015800000000000015,3,47,54,-7,9.4,-1.4,2,207,221,-14,41.4,-2.8,12,101,83,18,20.2,3.6,-1,44,39,5,8.8,1.0,-3,14,18,-4,2.8,-0.8,-2,71,91,-20,14.2,-4.0,1,109,102,7,21.8,1.4
5,5,680,MEM,6,2014-11-07,Away,OKC,W,91,89,34,81,0.42,9,18,0.5,14,17,0.8240000000000001,9,38,21,10,4,8,14,37,79,0.46799999999999997,12,25,0.48,3,11,0.273,10,44,16,3,1,17,18,2,559,520,39,93.16666666666667,20.0,6.5,-3,212,197,15,35.333333333333336,2.5,2,478,466,12,79.66666666666667,2.0,-0.04799999999999999,2.658,2.542,0.11600000000000005,0.443,0.01933333333333334,-3,36,42,-6,6.0,-1.0,-7,94,117,-23,15.666666666666666,-3.8333333333333335,0.020000000000000018,2.223,2.1950000000000003,0.02800000000000008,0.3705,0.00466666666666668,11,99,84,15,16.5,2.5,6,131,118,13,21.833333333333332,2.1666666666666665,0.551,4.579000000000001,4.107,0.472,0.7631666666666668,0.07866666666666666,-1,56,64,-8,9.333333333333334,-1.3333333333333333,-6,245,265,-20,40.833333333333336,-3.3333333333333335,5,122,99,23,20.333333333333332,3.8333333333333335,7,54,42,12,9.0,2.0,3,18,19,-1,3.0,-0.16666666666666666,-9,79,108,-29,13.166666666666666,-4.833333333333333,-4,123,120,3,20.5,0.5
6,6,780,MEM,7,2014-11-08,Away,MIL,L,92,93,29,82,0.354,3,14,0.214,31,34,0.912,15,40,15,9,2,13,18,40,88,0.455,5,18,0.278,8,11,0.727,16,43,24,7,4,16,24,-1,651,613,38,93.0,20.571428571428573,5.428571428571429,-11,241,237,4,34.42857142857143,0.5714285714285714,-6,560,554,6,80.0,0.8571428571428571,-0.10100000000000003,3.012,2.997,0.015000000000000013,0.43028571428571427,0.0021428571428571447,-2,39,47,-8,5.571428571428571,-1.1428571428571428,-4,108,135,-27,15.428571428571429,-3.857142857142857,-0.06400000000000003,2.437,2.4730000000000003,-0.03599999999999995,0.34814285714285714,-0.005142857142857136,23,130,92,38,18.571428571428573,5.428571428571429,23,165,129,36,23.571428571428573,5.142857142857143,0.18500000000000005,5.4910000000000005,4.8340000000000005,0.657,0.7844285714285715,0.09385714285714286,-1,71,80,-9,10.142857142857142,-1.2857142857142858,-3,285,308,-23,40.714285714285715,-3.2857142857142856,-9,137,123,14,19.571428571428573,2.0,2,63,49,14,9.0,2.0,-2,20,23,-3,2.857142857142857,-0.42857142857142855,-3,92,124,-32,13.142857142857142,-4.571428571428571,-6,141,144,-3,20.142857142857142,-0.42857142857142855
7,7,833,MEM,8,2014-11-11,Home,LAL,W,107,102,41,78,0.526,4,11,0.364,21,26,0.8079999999999999,12,38,21,8,2,13,18,41,87,0.47100000000000003,7,22,0.318,13,17,0.765,15,38,22,8,6,13,22,5,758,715,43,94.75,20.75,5.375,0,282,278,4,35.25,0.5,-9,638,641,-3,79.75,-0.375,0.05499999999999999,3.5380000000000003,3.468,0.07,0.44225000000000003,0.00875,-3,43,54,-11,5.375,-1.375,-11,119,157,-38,14.875,-4.75,0.045999999999999985,2.8009999999999997,2.7910000000000004,0.010000000000000037,0.35012499999999996,0.0012500000000000046,8,151,105,46,18.875,5.75,9,191,146,45,23.875,5.625,0.04299999999999993,6.299,5.599,0.7,0.787375,0.0875,-3,83,95,-12,10.375,-1.5,0,323,346,-23,40.375,-2.875,-1,158,145,13,19.75,1.625,0,71,57,14,8.875,1.75,-4,22,29,-7,2.75,-0.875,0,105,137,-32,13.125,-4.0,-4,159,166,-7,19.875,-0.875
8,8,914,MEM,9,2014-11-13,Home,SAC,W,111,110,39,77,0.506,6,9,0.667,27,34,0.794,8,30,24,9,4,9,25,37,77,0.48100000000000004,7,13,0.5379999999999999,29,34,0.853,13,44,12,6,5,14,26,1,869,825,44,96.55555555555556,21.333333333333332,4.888888888888889,2,321,315,6,35.666666666666664,0.6666666666666666,0,715,718,-3,79.44444444444444,-0.3333333333333333,0.024999999999999967,4.0440000000000005,3.949,0.09499999999999997,0.44933333333333336,0.010555555555555552,-1,49,61,-12,5.444444444444445,-1.3333333333333333,-4,128,170,-42,14.222222222222221,-4.666666666666667,0.12900000000000011,3.468,3.329,0.13900000000000015,0.3853333333333333,0.015444444444444462,-2,178,134,44,19.77777777777778,4.888888888888889,0,225,180,45,25.0,5.0,-0.05899999999999994,7.093,6.452,0.641,0.7881111111111111,0.07122222222222223,-5,91,108,-17,10.11111111111111,-1.8888888888888888,-14,353,390,-37,39.22222222222222,-4.111111111111111,12,182,157,25,20.22222222222222,2.7777777777777777,3,80,63,17,8.88888888888889,1.8888888888888888,-1,26,34,-8,2.888888888888889,-0.8888888888888888,-5,114,151,-37,12.666666666666666,-4.111111111111111,-1,184,192,-8,20.444444444444443,-0.8888888888888888
9,9,1014,MEM,10,2014-11-15,Home,DET,W,95,88,32,86,0.3720000000000001,4,15,0.267,27,33,0.818,18,53,18,5,4,8,18,34,82,0.415,10,26,0.385,10,17,0.588,9,43,15,4,6,9,22,7,964,913,51,96.4,21.4,5.1,-2,353,349,4,35.3,0.4,4,801,800,1,80.1,0.1,-0.04299999999999987,4.416,4.364,0.0520000000000001,0.44160000000000005,0.00520000000000001,-6,53,71,-18,5.3,-1.8,-11,143,196,-53,14.3,-5.3,-0.118,3.735,3.7140000000000004,0.021000000000000157,0.3735,0.002100000000000016,17,205,144,61,20.5,6.1,16,258,197,61,25.8,6.1,0.22999999999999998,7.911,7.04,0.871,0.7910999999999999,0.0871,9,109,117,-8,10.9,-0.8,10,406,433,-27,40.6,-2.7,3,200,172,28,20.0,2.8,1,85,67,18,8.5,1.8,-2,30,40,-10,3.0,-1.0,-1,122,160,-38,12.2,-3.8,-4,202,214,-12,20.2,-1.2
