,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,MEM,1,2016-10-26,Home,MIN,W,102,98,36,80,0.45,11,24,0.458,19,27,0.7040000000000001,11,45,19,6,11,13,25,36,86,0.419,6,18,0.333,20,29,0.69,15,45,20,6,5,10,23,4,0.0,0.0,0.0,0,0.0,0.0,0.0,-6,0.0,0.0,0.0,0.031000000000000028,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,0.125,0.0,0.0,0.0,-1,0.0,0.0,0.0,-2,0.0,0.0,0.0,0.014000000000000123,0.0,0.0,0.0,-4,0.0,0.0,0.0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0,0.0,0.0,0.0,6,0.0,0.0,0.0,3,0.0,0.0,0.0,2,0.0,0.0,0.0
1,MEM,2,2016-10-29,Away,NYK,L,104,111,37,86,0.43,9,25,0.36,21,26,0.8079999999999999,11,40,19,3,2,12,30,40,76,0.526,6,21,0.28600000000000003,25,39,0.6409999999999999,6,41,24,4,4,12,25,-7,102.0,98.0,4.0,-3,36.0,36.0,0.0,10,80.0,86.0,-6.0,-0.09600000000000003,0.45,0.419,0.031000000000000028,3,11.0,6.0,5.0,4,24.0,18.0,6.0,0.07399999999999995,0.458,0.333,0.125,-4,19.0,20.0,-1.0,-13,27.0,29.0,-2.0,0.16700000000000004,0.7040000000000001,0.69,0.014000000000000123,5,11.0,15.0,-4.0,-1,45.0,45.0,0.0,-5,19.0,20.0,-1.0,-1,6.0,6.0,0.0,-2,11.0,5.0,6.0,0,13.0,10.0,3.0,5,25.0,23.0,2.0
2,MEM,3,2016-10-30,Home,WAS,W,112,103,39,88,0.443,15,31,0.484,19,26,0.731,11,47,24,9,2,14,26,38,86,0.442,5,25,0.2,22,25,0.88,8,40,19,8,4,14,23,9,103.0,104.5,-1.5,1,36.5,38.0,-1.5,2,83.0,81.0,2.0,0.0010000000000000009,0.44,0.47250000000000003,-0.0325,10,10.0,6.0,4.0,6,24.5,19.5,5.0,0.284,0.40900000000000003,0.3095,0.09949999999999998,-3,20.0,22.5,-2.5,1,26.5,34.0,-7.5,-0.14900000000000002,0.756,0.6655,0.09050000000000008,3,11.0,10.5,0.5,7,42.5,43.0,-0.5,5,19.0,22.0,-3.0,1,4.5,5.0,-0.5,-2,6.5,4.5,2.0,0,12.5,11.0,1.5,3,27.5,24.0,3.5
3,MEM,4,2016-11-01,Away,MIN,L,80,116,27,75,0.36,4,24,0.16699999999999998,22,29,0.759,8,32,10,17,4,20,22,43,78,0.551,12,20,0.6,18,23,0.7829999999999999,10,50,29,10,5,21,22,-36,106.0,104.0,2.0,-16,37.333333333333336,38.0,-0.6666666666666666,-3,84.66666666666667,82.66666666666667,2.0,-0.19100000000000006,0.441,0.4623333333333333,-0.021333333333333333,-8,11.666666666666666,5.666666666666667,6.0,4,26.666666666666668,21.333333333333332,5.333333333333333,-0.433,0.434,0.27299999999999996,0.16099999999999998,4,19.666666666666668,22.333333333333332,-2.6666666666666665,6,26.333333333333332,31.0,-4.666666666666667,-0.02399999999999991,0.7476666666666666,0.737,0.010666666666666713,-2,11.0,9.666666666666666,1.3333333333333333,-18,44.0,42.0,2.0,-19,20.666666666666668,21.0,-0.3333333333333333,7,6.0,6.0,0.0,-1,5.0,4.333333333333333,0.6666666666666666,-1,13.0,12.0,1.0,0,27.0,23.666666666666668,3.3333333333333335
4,MEM,5,2016-11-02,Home,NOP,W,89,83,33,94,0.35100000000000003,8,27,0.29600000000000004,15,20,0.75,13,52,20,12,5,17,22,30,81,0.37,11,34,0.324,12,16,0.75,5,43,17,8,9,21,26,6,99.5,107.0,-7.5,3,34.75,39.25,-4.5,13,82.25,81.5,0.75,-0.01899999999999996,0.42074999999999996,0.48450000000000004,-0.06375000000000001,-3,9.75,7.25,2.5,-7,26.0,21.0,5.0,-0.02799999999999997,0.36725,0.35475,0.012499999999999983,3,20.25,21.25,-1.0,4,27.0,29.0,-2.0,0.0,0.7505,0.7484999999999999,0.0020000000000000573,8,10.25,9.75,0.5,9,41.0,44.0,-3.0,3,18.0,23.0,-5.0,4,8.75,7.0,1.75,-4,4.75,4.5,0.25,-4,14.75,14.25,0.5,-4,25.75,23.25,2.5
5,MEM,6,2016-11-04,Home,LAC,L,88,99,31,84,0.369,9,26,0.34600000000000003,17,22,0.773,13,48,26,4,9,18,28,32,85,0.376,8,27,0.29600000000000004,27,33,0.818,11,47,19,17,6,11,23,-11,97.4,102.2,-4.8,-1,34.4,37.4,-3.0,-1,84.6,81.4,3.2,-0.007000000000000006,0.40679999999999994,0.46160000000000007,-0.0548,1,9.4,8.0,1.4,-1,26.2,23.6,2.6,0.04999999999999999,0.35300000000000004,0.3486,0.0043999999999999925,-10,19.2,19.4,-0.2,-11,25.6,26.4,-0.8,-0.04499999999999993,0.7504,0.7487999999999999,0.0016000000000000458,2,10.8,8.8,2.0,1,43.2,43.8,-0.6,7,18.4,21.8,-3.4,-13,9.4,7.2,2.2,3,4.8,5.4,-0.6,7,15.2,15.6,-0.4,5,25.0,23.8,1.2
6,MEM,7,2016-11-06,Home,POR,L,94,100,31,81,0.383,6,26,0.231,26,32,0.813,12,44,15,9,5,13,20,32,71,0.451,14,33,0.424,22,27,0.815,5,37,19,7,5,15,25,-6,95.83333333333333,101.66666666666667,-5.833333333333333,-1,33.833333333333336,36.5,-2.6666666666666665,10,84.5,82.0,2.5,-0.068,0.4004999999999999,0.44733333333333336,-0.04683333333333334,-8,9.333333333333334,8.0,1.3333333333333333,-7,26.166666666666668,24.166666666666668,2.0,-0.19299999999999998,0.3518333333333334,0.3398333333333334,0.011999999999999992,4,18.833333333333332,20.666666666666668,-1.8333333333333333,5,25.0,27.5,-2.5,-0.0020000000000000018,0.7541666666666665,0.7603333333333332,-0.006166666666666616,7,11.166666666666666,9.166666666666666,2.0,7,44.0,44.333333333333336,-0.3333333333333333,-4,19.666666666666668,21.333333333333332,-1.6666666666666667,2,8.5,8.833333333333334,-0.3333333333333333,0,5.5,5.5,0.0,-2,15.666666666666666,14.833333333333334,0.8333333333333334,-5,25.5,23.666666666666668,1.8333333333333333
7,MEM,8,2016-11-08,Home,DEN,W,108,107,44,86,0.512,7,24,0.292,13,19,0.684,8,32,29,14,5,14,30,35,70,0.5,10,24,0.417,27,34,0.794,6,39,24,6,4,22,23,1,95.57142857142857,101.42857142857143,-5.857142857142857,9,33.42857142857143,35.857142857142854,-2.4285714285714284,16,84.0,80.42857142857143,3.5714285714285716,0.01200000000000001,0.39799999999999996,0.4478571428571429,-0.049857142857142864,-3,8.857142857142858,8.857142857142858,0.0,0,26.142857142857142,25.428571428571427,0.7142857142857143,-0.125,0.3345714285714286,0.35185714285714287,-0.01728571428571429,-14,19.857142857142858,20.857142857142858,-1.0,-15,26.0,27.428571428571427,-1.4285714285714286,-0.10999999999999999,0.7625714285714285,0.768142857142857,-0.005571428571428528,2,11.285714285714286,8.571428571428571,2.7142857142857144,-7,44.0,43.285714285714285,0.7142857142857143,5,19.0,21.0,-2.0,8,8.571428571428571,8.571428571428571,0.0,1,5.428571428571429,5.428571428571429,0.0,-8,15.285714285714286,14.857142857142858,0.42857142857142855,7,24.714285714285715,23.857142857142858,0.8571428571428571
8,MEM,9,2016-11-12,Away,MIL,L,96,106,35,78,0.449,6,30,0.2,20,21,0.952,3,32,20,8,4,13,26,36,68,0.529,7,18,0.389,27,36,0.75,5,35,20,9,5,12,20,-10,97.125,102.125,-5.0,-1,34.75,35.75,-1.0,10,84.25,79.125,5.125,-0.08000000000000002,0.41224999999999995,0.45437500000000003,-0.042125,-1,8.625,9.0,-0.375,12,25.875,25.25,0.625,-0.189,0.32925,0.36,-0.030750000000000003,-7,19.0,21.625,-2.625,-15,25.125,28.25,-3.125,0.20199999999999996,0.7527499999999999,0.7713749999999999,-0.01862499999999996,-2,10.875,8.25,2.625,-3,42.5,42.75,-0.25,0,20.25,21.375,-1.125,-1,9.25,8.25,1.0,-1,5.375,5.25,0.125,1,15.125,15.75,-0.625,6,25.375,23.75,1.625
9,MEM,10,2016-11-14,Away,UTA,W,102,96,36,76,0.474,8,21,0.381,22,26,0.846,14,44,13,4,2,16,26,35,73,0.479,8,28,0.28600000000000003,18,22,0.818,6,29,17,8,1,8,27,6,97.0,102.55555555555556,-5.555555555555555,1,34.77777777777778,35.77777777777778,-1.0,3,83.55555555555556,77.88888888888889,5.666666666666667,-0.0050000000000000044,0.4163333333333333,0.4626666666666667,-0.04633333333333334,0,8.333333333333334,8.777777777777779,-0.4444444444444444,-7,26.333333333333332,24.444444444444443,1.8888888888888888,0.09499999999999997,0.3148888888888889,0.3632222222222222,-0.04833333333333334,4,19.11111111111111,22.22222222222222,-3.111111111111111,4,24.666666666666668,29.11111111111111,-4.444444444444445,0.028000000000000025,0.7748888888888888,0.7689999999999999,0.005888888888888919,8,10.0,7.888888888888889,2.111111111111111,15,41.333333333333336,41.888888888888886,-0.5555555555555556,-4,20.22222222222222,21.22222222222222,-1.0,-4,9.11111111111111,8.333333333333334,0.7777777777777778,1,5.222222222222222,5.222222222222222,0.0,8,14.88888888888889,15.333333333333334,-0.4444444444444444,-1,25.444444444444443,23.333333333333332,2.111111111111111
10,MEM,11,2016-11-16,Away,LAC,W,111,107,40,82,0.488,15,26,0.5770000000000001,16,19,0.8420000000000001,9,43,24,6,2,15,22,37,81,0.457,9,25,0.36,24,34,0.706,8,35,15,13,7,8,19,4,97.5,101.9,-4.4,3,34.9,35.7,-0.8,1,82.8,77.4,5.4,0.030999999999999972,0.4220999999999999,0.46430000000000005,-0.0422,6,8.3,8.7,-0.4,1,25.8,24.8,1.0,0.21700000000000008,0.3215,0.35550000000000004,-0.03400000000000001,-8,19.4,21.8,-2.4,-15,24.8,28.4,-3.6,0.13600000000000012,0.7819999999999999,0.7738999999999999,0.008100000000000029,1,10.4,7.7,2.7,8,41.6,40.6,1.0,9,19.5,20.8,-1.3,-7,8.6,8.3,0.3,-5,4.9,4.8,0.1,7,15.0,14.6,0.4,3,25.5,23.7,1.8
