,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential,cumalitive_Points,cumalitive_Points_differential,cumalitive_FieldGoals,cumalitive_FieldGoals_differential,cumalitive_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted_differential,cumalitive_FieldGoals.,cumalitive_FieldGoals._differential,cumalitive_3PointShots,cumalitive_3PointShots_differential,cumalitive_3PointShotsAttempted,cumalitive_3PointShotsAttempted_differential,cumalitive_3PointShots.,cumalitive_3PointShots._differential,cumalitive_FreeThrows,cumalitive_FreeThrows_differential,cumalitive_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted_differential,cumalitive_FreeThrows.,cumalitive_FreeThrows._differential,cumalitive_OffRebounds,cumalitive_OffRebounds_differential,cumalitive_TotalRebounds,cumalitive_TotalRebounds_differential,cumalitive_Assists,cumalitive_Assists_differential,cumalitive_Steals,cumalitive_Steals_differential,cumalitive_Blocks,cumalitive_Blocks_differential,cumalitive_Turnovers,cumalitive_Turnovers_differential,cumalitive_TotalFouls,cumalitive_TotalFouls_differential
1148,1148,8528,1406,MEM,1,2017-10-18,Home,NOP,W,103,91,39,92,0.424,9,29,0.31,16,28,0.5710000000000001,15,45,19,9,8,11,29,30,79,0.38,7,25,0.28,24,29,0.828,16,51,15,4,12,17,31,2017-10-18,12,9,13,0.043999999999999984,2,4,0.029999999999999968,-8,-1,-0.2569999999999999,-1,-6,4,5,-4,-6,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,1149,8529,2406,MEM,2,2017-10-21,Home,GSW,W,111,101,36,77,0.46799999999999997,10,27,0.37,29,37,0.784,6,40,20,8,4,14,25,33,84,0.39299999999999996,12,38,0.316,23,27,0.852,12,46,20,10,7,17,28,2017-10-21,10,3,-7,0.07500000000000001,-2,-11,0.053999999999999986,6,10,-0.06799999999999995,-6,-6,0,-2,-3,-3,-3,103.0,12.0,39.0,9.0,92.0,13.0,0.424,0.043999999999999984,9.0,2.0,29.0,4.0,0.31,0.029999999999999968,16.0,-8.0,28.0,-1.0,0.5710000000000001,-0.2569999999999999,15.0,-1.0,45.0,-6.0,19.0,4.0,9.0,5.0,8.0,-4.0,11.0,-6.0,29.0,-2.0
1150,1150,8530,3406,MEM,3,2017-10-23,Away,HOU,W,98,90,29,68,0.426,6,19,0.316,34,37,0.919,3,38,16,5,2,12,21,32,77,0.41600000000000004,9,38,0.237,17,23,0.7390000000000001,9,39,25,5,2,16,31,2017-10-23,8,-3,-9,0.010000000000000007,-3,-19,0.07900000000000001,17,14,0.17999999999999994,-6,-1,-9,0,0,-4,-10,214.0,22.0,75.0,12.0,169.0,6.0,0.8919999999999999,0.119,19.0,0.0,56.0,-7.0,0.6799999999999999,0.08399999999999995,45.0,-2.0,65.0,9.0,1.355,-0.32499999999999984,21.0,-7.0,85.0,-12.0,39.0,4.0,17.0,3.0,12.0,-7.0,25.0,-9.0,54.0,-5.0
1151,1151,8531,4406,MEM,4,2017-10-25,Away,DAL,L,94,103,33,72,0.45799999999999996,12,31,0.387,16,24,0.667,6,36,14,7,2,17,22,36,74,0.486,11,26,0.423,20,29,0.69,4,35,20,6,4,11,20,2017-10-25,-9,-3,-2,-0.02799999999999997,1,5,-0.035999999999999976,-4,-5,-0.02299999999999991,2,1,-6,1,-2,6,2,312.0,30.0,104.0,9.0,237.0,-3.0,1.3179999999999998,0.129,25.0,-3.0,75.0,-26.0,0.996,0.16299999999999998,79.0,15.0,102.0,23.0,2.274,-0.1449999999999999,24.0,-13.0,123.0,-13.0,55.0,-5.0,22.0,3.0,14.0,-7.0,37.0,-13.0,75.0,-15.0
1152,1152,8532,5406,MEM,5,2017-10-26,Home,DAL,W,96,91,30,73,0.41100000000000003,10,34,0.294,26,30,0.867,9,46,18,7,6,18,23,32,94,0.34,10,34,0.294,17,20,0.85,18,53,20,10,3,14,22,2017-10-26,5,-2,-21,0.07099999999999995,0,0,0.0,9,10,0.017000000000000015,-9,-7,-2,-3,3,4,1,406.0,21.0,137.0,6.0,309.0,-5.0,1.7759999999999998,0.10100000000000003,37.0,-2.0,106.0,-21.0,1.383,0.127,95.0,11.0,126.0,18.0,2.941,-0.16799999999999982,30.0,-11.0,159.0,-12.0,69.0,-11.0,29.0,4.0,16.0,-9.0,54.0,-7.0,97.0,-13.0
1153,1153,8533,6406,MEM,6,2017-10-28,Home,HOU,W,103,89,40,85,0.47100000000000003,14,33,0.424,9,12,0.75,6,42,26,10,6,9,20,29,77,0.377,14,38,0.368,17,21,0.81,8,43,18,4,3,17,23,2017-10-28,14,11,8,0.09399999999999996,0,-5,0.056,-8,-9,-0.06000000000000005,-2,-1,8,6,3,-8,-3,502.0,26.0,167.0,4.0,382.0,-26.0,2.187,0.172,47.0,-2.0,140.0,-21.0,1.677,0.127,121.0,20.0,156.0,28.0,3.808,-0.1509999999999998,39.0,-20.0,205.0,-19.0,87.0,-13.0,36.0,1.0,22.0,-6.0,72.0,-3.0,120.0,-12.0
1154,1154,8534,7406,MEM,7,2017-10-30,Home,CHO,L,99,104,32,93,0.344,8,35,0.22899999999999998,27,33,0.818,11,48,17,7,8,7,22,37,89,0.41600000000000004,7,17,0.41200000000000003,23,29,0.7929999999999999,10,56,15,3,7,11,22,2017-10-30,-5,-5,4,-0.07200000000000001,1,18,-0.183,4,4,0.025000000000000026,1,-8,2,4,1,-4,0,605.0,40.0,207.0,15.0,467.0,-18.0,2.658,0.26599999999999996,61.0,-2.0,173.0,-26.0,2.101,0.183,130.0,12.0,168.0,19.0,4.558,-0.21099999999999985,45.0,-22.0,247.0,-20.0,113.0,-5.0,46.0,7.0,28.0,-3.0,81.0,-11.0,140.0,-15.0
1155,1155,8535,8209,MEM,8,2017-11-01,Home,ORL,L,99,101,39,82,0.47600000000000003,10,30,0.33299999999999996,11,16,0.688,5,31,21,12,3,13,16,38,75,0.507,13,29,0.44799999999999995,12,14,0.857,6,38,25,6,8,24,22,2017-11-01,-2,1,7,-0.031000000000000024,-3,1,-0.115,-1,2,-0.16900000000000004,-1,-7,-4,6,-5,-11,-6,704.0,35.0,239.0,10.0,560.0,-14.0,3.002,0.19399999999999995,69.0,-1.0,208.0,-8.0,2.33,0.0,157.0,16.0,201.0,23.0,5.3759999999999994,-0.18599999999999983,56.0,-21.0,295.0,-28.0,130.0,-3.0,53.0,11.0,36.0,-2.0,88.0,-15.0,162.0,-15.0
1156,1156,8536,9104,MEM,9,2017-11-04,Away,LAC,W,113,104,40,84,0.47600000000000003,13,31,0.419,20,24,0.833,9,39,21,8,7,11,28,38,83,0.45799999999999996,4,26,0.154,24,31,0.774,15,43,18,7,7,13,22,2017-11-04,9,2,1,0.01799999999999996,9,5,0.265,-4,-7,0.058999999999999934,-6,-4,3,1,0,-2,6,803.0,33.0,278.0,11.0,642.0,-7.0,3.4779999999999998,0.16299999999999992,79.0,-4.0,238.0,-7.0,2.6630000000000003,-0.115,168.0,15.0,217.0,25.0,6.063999999999999,-0.35499999999999987,61.0,-22.0,326.0,-35.0,151.0,-7.0,65.0,17.0,39.0,-7.0,101.0,-26.0,178.0,-21.0
1157,1157,8537,10104,MEM,10,2017-11-05,Away,LAL,L,102,107,40,87,0.46,11,37,0.297,11,14,0.7859999999999999,6,39,23,6,7,12,22,40,85,0.47100000000000003,9,27,0.33299999999999996,18,23,0.7829999999999999,8,46,25,5,4,16,16,2017-11-05,-5,0,2,-0.010999999999999954,2,10,-0.03600000000000003,-7,-9,0.003000000000000003,-2,-7,-2,1,3,-4,6,916.0,42.0,318.0,13.0,726.0,-6.0,3.9539999999999997,0.18099999999999988,92.0,5.0,269.0,-2.0,3.0820000000000003,0.15000000000000002,188.0,11.0,241.0,18.0,6.896999999999999,-0.29599999999999993,70.0,-28.0,365.0,-39.0,172.0,-4.0,73.0,18.0,46.0,-7.0,112.0,-28.0,206.0,-15.0
