,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,MIA,1,2015-10-28,Home,CHO,W,104,94,36,73,0.493,12,20,0.6,20,21,0.952,2,41,23,5,7,13,25,33,84,0.393,6,24,0.25,22,29,0.759,11,43,16,4,1,8,16,10,0.0,0.0,0.0,3,0.0,0.0,0.0,-11,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,6,0.0,0.0,0.0,-4,0.0,0.0,0.0,0.35,0.0,0.0,0.0,-2,0.0,0.0,0.0,-8,0.0,0.0,0.0,0.19299999999999995,0.0,0.0,0.0,-9,0.0,0.0,0.0,-2,0.0,0.0,0.0,7,0.0,0.0,0.0,1,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,9,0.0,0.0,0.0
1,MIA,2,2015-10-30,Away,CLE,L,92,102,33,77,0.429,6,21,0.28600000000000003,20,22,0.909,6,38,21,5,7,13,20,39,86,0.453,6,25,0.24,18,21,0.857,14,49,25,4,4,11,19,-10,104.0,94.0,10.0,-6,36.0,33.0,3.0,-9,73.0,84.0,-11.0,-0.02400000000000002,0.493,0.393,0.09999999999999998,0,12.0,6.0,6.0,-4,20.0,24.0,-4.0,0.04600000000000004,0.6,0.25,0.35,2,20.0,22.0,-2.0,1,21.0,29.0,-8.0,0.052000000000000046,0.952,0.759,0.19299999999999995,-8,2.0,11.0,-9.0,-11,41.0,43.0,-2.0,-4,23.0,16.0,7.0,1,5.0,4.0,1.0,3,7.0,1.0,6.0,2,13.0,8.0,5.0,1,25.0,16.0,9.0
2,MIA,3,2015-11-01,Home,HOU,W,109,89,42,86,0.488,9,22,0.409,16,21,0.762,11,48,24,11,5,12,16,32,79,0.405,10,36,0.278,15,18,0.833,3,34,20,9,3,17,23,20,98.0,98.0,0.0,10,34.5,36.0,-1.5,7,75.0,85.0,-10.0,0.08299999999999996,0.46099999999999997,0.42300000000000004,0.03799999999999998,-1,9.0,6.0,3.0,-14,20.5,24.5,-4.0,0.13099999999999995,0.443,0.245,0.198,1,20.0,20.0,0.0,3,21.5,25.0,-3.5,-0.07099999999999995,0.9305,0.808,0.1225,8,4.0,12.5,-8.5,14,39.5,46.0,-6.5,4,22.0,20.5,1.5,2,5.0,4.0,1.0,2,7.0,2.5,4.5,-5,13.0,9.5,3.5,-7,22.5,17.5,5.0
3,MIA,4,2015-11-03,Home,ATL,L,92,98,38,86,0.442,5,28,0.179,11,16,0.688,13,49,13,10,9,18,21,37,90,0.411,7,21,0.333,17,22,0.773,16,51,25,10,1,15,14,-6,101.66666666666667,95.0,6.666666666666667,1,37.0,34.666666666666664,2.3333333333333335,-4,78.66666666666667,83.0,-4.333333333333333,0.031000000000000028,0.47,0.41700000000000004,0.05299999999999997,-2,9.0,7.333333333333333,1.6666666666666667,7,21.0,28.333333333333332,-7.333333333333333,-0.15400000000000003,0.43166666666666664,0.256,0.17566666666666664,-6,18.666666666666668,18.333333333333332,0.3333333333333333,-6,21.333333333333332,22.666666666666668,-1.3333333333333333,-0.08500000000000008,0.8743333333333334,0.8163333333333332,0.05800000000000002,-3,6.333333333333333,9.333333333333334,-3.0,-2,42.333333333333336,42.0,0.3333333333333333,-12,22.666666666666668,20.333333333333332,2.3333333333333335,0,7.0,5.666666666666667,1.3333333333333333,8,6.333333333333333,2.6666666666666665,3.6666666666666665,3,12.666666666666666,12.0,0.6666666666666666,7,20.333333333333332,19.333333333333332,1.0
4,MIA,5,2015-11-05,Away,MIN,W,96,84,37,76,0.487,4,14,0.28600000000000003,18,25,0.72,7,42,14,6,6,16,19,30,85,0.353,4,12,0.333,20,22,0.909,10,44,16,7,6,16,27,12,99.25,95.75,3.5,7,37.25,35.25,2.0,-9,80.5,84.75,-4.25,0.134,0.46299999999999997,0.41550000000000004,0.04749999999999999,0,8.0,7.25,0.75,2,22.75,26.5,-3.75,-0.046999999999999986,0.3685,0.27525,0.09324999999999997,-2,16.75,18.0,-1.25,3,20.0,22.5,-2.5,-0.18900000000000006,0.82775,0.8055,0.022249999999999992,-3,8.0,11.0,-3.0,-2,44.0,44.25,-0.25,-2,20.25,21.5,-1.25,-1,7.75,6.75,1.0,0,7.0,2.25,4.75,0,14.0,12.75,1.25,-8,20.5,18.0,2.5
5,MIA,6,2015-11-06,Away,IND,L,87,90,36,81,0.444,6,20,0.3,9,13,0.6920000000000001,7,40,21,5,6,11,19,36,80,0.45,5,15,0.333,13,24,0.542,9,43,21,4,5,12,15,-3,98.6,93.4,5.2,0,37.2,34.2,3.0,1,79.6,84.8,-5.2,-0.006000000000000005,0.4678,0.403,0.0648,1,7.2,6.6,0.6,5,21.0,23.6,-2.6,-0.03300000000000003,0.352,0.2868,0.06519999999999998,-4,17.0,18.4,-1.4,-11,21.0,22.4,-1.4,0.15000000000000002,0.8061999999999999,0.8262,-0.020000000000000018,-2,7.8,10.8,-3.0,-3,43.6,44.2,-0.6,0,19.0,20.4,-1.4,1,7.4,6.8,0.6,1,6.8,3.0,3.8,-1,14.4,13.4,1.0,4,20.2,19.8,0.4
6,MIA,7,2015-11-08,Home,TOR,W,96,76,35,83,0.422,8,20,0.4,18,25,0.72,13,48,18,8,8,10,20,28,71,0.394,3,19,0.158,17,22,0.773,7,38,17,8,5,16,21,20,96.66666666666667,92.83333333333333,3.8333333333333335,7,37.0,34.5,2.5,12,79.83333333333333,84.0,-4.166666666666667,0.02799999999999997,0.4638333333333333,0.4108333333333334,0.05299999999999999,5,7.0,6.333333333333333,0.6666666666666666,1,20.833333333333332,22.166666666666668,-1.3333333333333333,0.24200000000000002,0.3433333333333333,0.2945,0.04883333333333331,1,15.666666666666666,17.5,-1.8333333333333333,3,19.666666666666668,22.666666666666668,-3.0,-0.05300000000000005,0.7871666666666667,0.7788333333333334,0.008333333333333323,6,7.666666666666667,10.5,-2.8333333333333335,10,43.0,44.0,-1.0,1,19.333333333333332,20.5,-1.1666666666666667,0,7.0,6.333333333333333,0.6666666666666666,3,6.666666666666667,3.3333333333333335,3.3333333333333335,-6,13.833333333333334,13.166666666666666,0.6666666666666666,-1,20.0,19.0,1.0
7,MIA,8,2015-11-10,Home,LAL,W,101,88,38,84,0.452,5,20,0.25,20,27,0.741,15,47,23,7,7,10,12,34,77,0.442,11,22,0.5,9,12,0.75,5,36,21,7,7,17,21,13,96.57142857142857,90.42857142857143,6.142857142857143,4,36.714285714285715,33.57142857142857,3.142857142857143,7,80.28571428571429,82.14285714285714,-1.8571428571428572,0.010000000000000009,0.45785714285714285,0.4084285714285715,0.04942857142857142,-6,7.142857142857143,5.857142857142857,1.2857142857142858,-2,20.714285714285715,21.714285714285715,-1.0,-0.25,0.3514285714285714,0.27499999999999997,0.07642857142857142,11,16.0,17.428571428571427,-1.4285714285714286,15,20.428571428571427,22.571428571428573,-2.142857142857143,-0.009000000000000008,0.7775714285714285,0.7779999999999999,-0.0004285714285714448,10,8.428571428571429,10.0,-1.5714285714285714,11,43.714285714285715,43.142857142857146,0.5714285714285714,2,19.142857142857142,20.0,-0.8571428571428571,0,7.142857142857143,6.571428571428571,0.5714285714285714,0,6.857142857142857,3.5714285714285716,3.2857142857142856,-7,13.285714285714286,13.571428571428571,-0.2857142857142857,-9,20.0,19.285714285714285,0.7142857142857143
8,MIA,9,2015-11-12,Home,UTA,W,92,91,36,77,0.468,4,13,0.308,16,25,0.64,8,47,14,6,11,15,20,34,89,0.382,4,17,0.235,19,25,0.76,11,42,13,10,9,10,23,1,97.125,90.125,7.0,2,36.875,33.625,3.25,-12,80.75,81.5,-0.75,0.08600000000000002,0.457125,0.4126250000000001,0.04449999999999999,0,6.875,6.5,0.375,-4,20.625,21.75,-1.125,0.07300000000000001,0.33875,0.303125,0.03562499999999999,-3,16.5,16.375,0.125,0,21.25,21.25,0.0,-0.12,0.7729999999999999,0.7745,-0.0015000000000000152,-3,9.25,9.375,-0.125,5,44.125,42.25,1.875,1,19.625,20.125,-0.5,-4,7.125,6.625,0.5,2,6.875,4.0,2.875,5,12.875,14.0,-1.125,-3,19.0,19.5,-0.5
9,MIA,10,2015-11-17,Home,MIN,L,91,103,36,79,0.456,5,24,0.208,14,30,0.467,10,51,20,3,12,22,26,36,97,0.371,4,21,0.19,27,35,0.7709999999999999,15,54,14,12,5,8,26,-12,96.55555555555556,90.22222222222223,6.333333333333333,0,36.77777777777778,33.666666666666664,3.111111111111111,-18,80.33333333333333,82.33333333333333,-2.0,0.08500000000000002,0.4583333333333333,0.4092222222222223,0.049111111111111105,1,6.555555555555555,6.222222222222222,0.3333333333333333,3,19.77777777777778,21.22222222222222,-1.4444444444444444,0.017999999999999988,0.3353333333333333,0.2955555555555555,0.03977777777777777,-13,16.444444444444443,16.666666666666668,-0.2222222222222222,-5,21.666666666666668,21.666666666666668,0.0,-0.3039999999999999,0.7582222222222221,0.7728888888888888,-0.01466666666666668,-5,9.11111111111111,9.555555555555555,-0.4444444444444444,-3,44.44444444444444,42.22222222222222,2.2222222222222223,6,19.0,19.333333333333332,-0.3333333333333333,-9,7.0,7.0,0.0,7,7.333333333333333,4.555555555555555,2.7777777777777777,14,13.11111111111111,13.555555555555555,-0.4444444444444444,0,19.11111111111111,19.88888888888889,-0.7777777777777778
