,Unnamed: 0,Unnamed: 0.1.1.1.1.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,cumalitive_Points,cumalitive_Opp.Points,cumalitive_differential_Points,average_Points,average_Opp.{},average_Points_differential,differential_FieldGoals,cumalitive_FieldGoals,cumalitive_Opp.FieldGoals,cumalitive_differential_FieldGoals,average_FieldGoals,average_FieldGoals_differential,differential_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted,cumalitive_Opp.FieldGoalsAttempted,cumalitive_differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_FieldGoalsAttempted_differential,differential_FieldGoals.,cumalitive_FieldGoals.,cumalitive_Opp.FieldGoals.,cumalitive_differential_FieldGoals.,average_FieldGoals.,average_FieldGoals._differential,differential_3PointShots,cumalitive_3PointShots,cumalitive_Opp.3PointShots,cumalitive_differential_3PointShots,average_3PointShots,average_3PointShots_differential,differential_3PointShotsAttempted,cumalitive_3PointShotsAttempted,cumalitive_Opp.3PointShotsAttempted,cumalitive_differential_3PointShotsAttempted,average_3PointShotsAttempted,average_3PointShotsAttempted_differential,differential_3PointShots.,cumalitive_3PointShots.,cumalitive_Opp.3PointShots.,cumalitive_differential_3PointShots.,average_3PointShots.,average_3PointShots._differential,differential_FreeThrows,cumalitive_FreeThrows,cumalitive_Opp.FreeThrows,cumalitive_differential_FreeThrows,average_FreeThrows,average_FreeThrows_differential,differential_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted,cumalitive_Opp.FreeThrowsAttempted,cumalitive_differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_FreeThrowsAttempted_differential,differential_FreeThrows.,cumalitive_FreeThrows.,cumalitive_Opp.FreeThrows.,cumalitive_differential_FreeThrows.,average_FreeThrows.,average_FreeThrows._differential,differential_OffRebounds,cumalitive_OffRebounds,cumalitive_Opp.OffRebounds,cumalitive_differential_OffRebounds,average_OffRebounds,average_OffRebounds_differential,differential_TotalRebounds,cumalitive_TotalRebounds,cumalitive_Opp.TotalRebounds,cumalitive_differential_TotalRebounds,average_TotalRebounds,average_TotalRebounds_differential,differential_Assists,cumalitive_Assists,cumalitive_Opp.Assists,cumalitive_differential_Assists,average_Assists,average_Assists_differential,differential_Steals,cumalitive_Steals,cumalitive_Opp.Steals,cumalitive_differential_Steals,average_Steals,average_Steals_differential,differential_Blocks,cumalitive_Blocks,cumalitive_Opp.Blocks,cumalitive_differential_Blocks,average_Blocks,average_Blocks_differential,differential_Turnovers,cumalitive_Turnovers,cumalitive_Opp.Turnovers,cumalitive_differential_Turnovers,average_Turnovers,average_Turnovers_differential,differential_TotalFouls,cumalitive_TotalFouls,cumalitive_Opp.TotalFouls,cumalitive_differential_TotalFouls,average_TotalFouls,average_TotalFouls_differential
0,0,1281,MIA,1,2016-10-26,Away,ORL,W,108,96,47,97,0.485,4,16,0.25,10,16,0.625,16,52,27,5,7,10,22,34,89,0.382,6,18,0.33299999999999996,22,28,0.7859999999999999,15,45,20,5,4,11,15,12,108,96,12,108.0,15.0,12.0,13,47,34,13,47.0,13.0,8,97,89,8,97.0,8.0,0.10299999999999998,0.485,0.382,0.10299999999999998,0.485,0.10299999999999998,-2,4,6,-2,4.0,-2.0,-2,16,18,-2,16.0,-2.0,-0.08299999999999996,0.25,0.33299999999999996,-0.08299999999999996,0.25,-0.08299999999999996,-12,10,22,-12,10.0,-12.0,-12,16,28,-12,16.0,-12.0,-0.16099999999999992,0.625,0.7859999999999999,-0.16099999999999992,0.625,-0.16099999999999992,1,16,15,1,16.0,1.0,7,52,45,7,52.0,7.0,7,27,20,7,27.0,7.0,0,5,5,0,5.0,0.0,3,7,4,3,7.0,3.0,-1,10,11,-1,10.0,-1.0,7,22,15,7,22.0,7.0
1,1,2281,MIA,2,2016-10-28,Home,CHO,L,91,97,32,86,0.3720000000000001,14,34,0.41200000000000003,13,20,0.65,11,52,19,2,4,19,23,35,92,0.38,7,22,0.318,20,24,0.833,13,49,20,10,9,8,20,-6,199,193,6,99.5,17.5,3.0,-3,79,69,10,39.5,5.0,-6,183,181,2,91.5,1.0,-0.007999999999999896,0.8570000000000001,0.762,0.09500000000000008,0.42850000000000005,0.04750000000000004,7,18,13,5,9.0,2.5,12,50,40,10,25.0,5.0,0.09400000000000003,0.662,0.651,0.011000000000000065,0.331,0.005500000000000033,-7,23,42,-19,11.5,-9.5,-4,36,52,-16,18.0,-8.0,-0.18299999999999994,1.275,1.6189999999999998,-0.34399999999999986,0.6375,-0.17199999999999993,-2,27,28,-1,13.5,-0.5,3,104,94,10,52.0,5.0,-1,46,40,6,23.0,3.0,-8,7,15,-8,3.5,-4.0,-5,11,13,-2,5.5,-1.0,11,29,19,10,14.5,5.0,3,45,35,10,22.5,5.0
2,2,3281,MIA,3,2016-10-30,Home,SAS,L,99,106,37,80,0.46299999999999997,7,20,0.35,18,26,0.6920000000000001,6,36,19,7,6,12,24,37,82,0.451,10,18,0.556,22,26,0.846,14,44,20,4,5,15,26,-7,298,299,-1,99.33333333333333,20.333333333333332,-0.3333333333333333,0,116,106,10,38.666666666666664,3.3333333333333335,-2,263,263,0,87.66666666666667,0.0,0.011999999999999955,1.32,1.213,0.10700000000000004,0.44,0.03566666666666668,-3,25,23,2,8.333333333333334,0.6666666666666666,2,70,58,12,23.333333333333332,4.0,-0.20600000000000007,1.012,1.207,-0.195,0.3373333333333333,-0.065,-4,41,64,-23,13.666666666666666,-7.666666666666667,0,62,78,-16,20.666666666666668,-5.333333333333333,-0.15399999999999991,1.967,2.465,-0.4979999999999998,0.6556666666666667,-0.16599999999999993,-8,33,42,-9,11.0,-3.0,-8,140,138,2,46.666666666666664,0.6666666666666666,-1,65,60,5,21.666666666666668,1.6666666666666667,3,14,19,-5,4.666666666666667,-1.6666666666666667,1,17,18,-1,5.666666666666667,-0.3333333333333333,-3,41,34,7,13.666666666666666,2.3333333333333335,-2,69,61,8,23.0,2.6666666666666665
3,3,4281,MIA,4,2016-11-01,Home,SAC,W,108,96,37,86,0.43,13,29,0.44799999999999995,21,29,0.7240000000000001,6,45,24,10,9,15,21,34,89,0.382,5,23,0.217,23,27,0.852,9,53,12,4,4,15,23,12,406,395,11,101.5,21.0,2.75,3,153,140,13,38.25,3.25,-3,349,352,-3,87.25,-0.75,0.04799999999999999,1.75,1.5950000000000002,0.15500000000000003,0.4375,0.03875000000000001,8,38,28,10,9.5,2.5,6,99,81,18,24.75,4.5,0.23099999999999996,1.46,1.4240000000000002,0.03599999999999995,0.365,0.008999999999999987,-2,62,87,-25,15.5,-6.25,2,91,105,-14,22.75,-3.5,-0.1279999999999999,2.6910000000000003,3.3169999999999997,-0.6259999999999997,0.6727500000000001,-0.15649999999999992,-3,39,51,-12,9.75,-3.0,-8,185,191,-6,46.25,-1.5,12,89,72,17,22.25,4.25,6,24,23,1,6.0,0.25,5,26,22,4,6.5,1.0,0,56,49,7,14.0,1.75,-2,90,84,6,22.5,1.5
4,4,5281,MIA,5,2016-11-04,Away,TOR,L,87,96,34,88,0.386,9,28,0.321,10,15,0.667,12,43,19,10,5,13,22,37,84,0.44,6,25,0.24,16,18,0.889,13,50,14,7,5,15,16,-9,493,491,2,98.6,20.0,0.4,-3,187,177,10,37.4,2.0,4,437,436,1,87.4,0.2,-0.05399999999999999,2.136,2.035,0.10100000000000003,0.4272,0.020200000000000006,3,47,34,13,9.4,2.6,3,127,106,21,25.4,4.2,0.08100000000000002,1.781,1.6640000000000001,0.11699999999999997,0.35619999999999996,0.023399999999999994,-6,72,103,-31,14.4,-6.2,-3,106,123,-17,21.2,-3.4,-0.22199999999999998,3.3580000000000005,4.2059999999999995,-0.8479999999999996,0.6716000000000001,-0.16959999999999992,-1,51,64,-13,10.2,-2.6,-7,228,241,-13,45.6,-2.6,5,108,86,22,21.6,4.4,3,34,30,4,6.8,0.8,0,31,27,4,6.2,0.8,-2,69,64,5,13.8,1.0,6,112,100,12,22.4,2.4
5,5,6281,MIA,6,2016-11-07,Away,OKC,L,85,97,31,84,0.369,4,17,0.235,19,22,0.8640000000000001,12,41,12,8,7,12,16,37,85,0.435,9,28,0.321,14,17,0.8240000000000001,10,47,24,8,5,16,18,-12,578,588,-10,96.33333333333333,19.666666666666668,-1.6666666666666667,-6,218,214,4,36.333333333333336,0.6666666666666666,-1,521,521,0,86.83333333333333,0.0,-0.066,2.505,2.47,0.03500000000000003,0.4175,0.005833333333333339,-5,51,43,8,8.5,1.3333333333333333,-11,144,134,10,24.0,1.6666666666666667,-0.08600000000000002,2.016,1.985,0.030999999999999944,0.336,0.005166666666666657,5,91,117,-26,15.166666666666666,-4.333333333333333,5,128,140,-12,21.333333333333332,-2.0,0.040000000000000036,4.222,5.029999999999999,-0.8079999999999996,0.7036666666666668,-0.1346666666666666,2,63,74,-11,10.5,-1.8333333333333333,-6,269,288,-19,44.833333333333336,-3.1666666666666665,-12,120,110,10,20.0,1.6666666666666667,0,42,38,4,7.0,0.6666666666666666,2,38,32,6,6.333333333333333,1.0,-4,81,80,1,13.5,0.16666666666666666,-2,128,118,10,21.333333333333332,1.6666666666666667
6,6,7281,MIA,7,2016-11-10,Home,CHI,L,95,98,36,88,0.409,13,29,0.44799999999999995,10,15,0.667,14,46,22,8,5,13,19,37,89,0.41600000000000004,6,16,0.375,18,20,0.9,12,48,18,7,2,10,12,-3,673,686,-13,96.14285714285714,18.571428571428573,-1.8571428571428572,-1,254,251,3,36.285714285714285,0.42857142857142855,-1,609,610,-1,87.0,-0.14285714285714285,-0.007000000000000062,2.9139999999999997,2.886,0.02799999999999997,0.41628571428571426,0.003999999999999996,7,64,49,15,9.142857142857142,2.142857142857143,13,173,150,23,24.714285714285715,3.2857142857142856,0.07299999999999995,2.464,2.3600000000000003,0.1039999999999999,0.352,0.014857142857142843,-8,101,135,-34,14.428571428571429,-4.857142857142857,-5,143,160,-17,20.428571428571427,-2.4285714285714284,-0.23299999999999998,4.889,5.93,-1.0409999999999995,0.6984285714285715,-0.14871428571428563,2,77,86,-9,11.0,-1.2857142857142858,-2,315,336,-21,45.0,-3.0,4,142,128,14,20.285714285714285,2.0,1,50,45,5,7.142857142857143,0.7142857142857143,3,43,34,9,6.142857142857143,1.2857142857142858,3,94,90,4,13.428571428571429,0.5714285714285714,7,147,130,17,21.0,2.4285714285714284
7,7,894,MIA,8,2016-11-12,Home,UTA,L,91,102,38,81,0.469,5,17,0.294,10,19,0.526,4,39,21,5,4,8,17,40,81,0.494,6,20,0.3,16,19,0.8420000000000001,6,45,12,5,4,9,19,-11,764,788,-24,95.5,18.625,-3.0,-2,292,291,1,36.5,0.125,0,690,691,-1,86.25,-0.125,-0.025000000000000022,3.3829999999999996,3.38,0.002999999999999947,0.42287499999999995,0.0003749999999999934,-1,69,55,14,8.625,1.75,-3,190,170,20,23.75,2.5,-0.006000000000000005,2.758,2.66,0.09799999999999989,0.34475,0.012249999999999987,-6,111,151,-40,13.875,-5.0,0,162,179,-17,20.25,-2.125,-0.31600000000000006,5.415,6.772,-1.3569999999999995,0.676875,-0.16962499999999994,-2,81,92,-11,10.125,-1.375,-6,354,381,-27,44.25,-3.375,9,163,140,23,20.375,2.875,0,55,50,5,6.875,0.625,0,47,38,9,5.875,1.125,-1,102,99,3,12.75,0.375,-2,164,149,15,20.5,1.875
8,8,975,MIA,9,2016-11-14,Away,SAS,L,90,94,37,84,0.44,4,15,0.267,12,21,0.5710000000000001,10,41,22,14,8,13,23,33,82,0.402,8,15,0.5329999999999999,20,27,0.741,14,52,24,4,7,17,15,-4,854,882,-28,94.88888888888889,18.22222222222222,-3.111111111111111,4,329,324,5,36.55555555555556,0.5555555555555556,2,774,773,1,86.0,0.1111111111111111,0.03799999999999998,3.8229999999999995,3.782,0.040999999999999925,0.4247777777777777,0.004555555555555547,-4,73,63,10,8.11111111111111,1.1111111111111112,0,205,185,20,22.77777777777778,2.2222222222222223,-0.2659999999999999,3.025,3.193,-0.168,0.3361111111111111,-0.018666666666666668,-8,123,171,-48,13.666666666666666,-5.333333333333333,-6,183,206,-23,20.333333333333332,-2.5555555555555554,-0.16999999999999993,5.986,7.513,-1.5269999999999995,0.6651111111111111,-0.1696666666666666,-4,91,106,-15,10.11111111111111,-1.6666666666666667,-11,395,433,-38,43.888888888888886,-4.222222222222222,-2,185,164,21,20.555555555555557,2.3333333333333335,10,69,54,15,7.666666666666667,1.6666666666666667,1,55,45,10,6.111111111111111,1.1111111111111112,-4,115,116,-1,12.777777777777779,-0.1111111111111111,8,187,164,23,20.77777777777778,2.5555555555555554
9,9,1075,MIA,10,2016-11-15,Home,ATL,L,90,93,36,89,0.40399999999999997,7,23,0.304,11,14,0.7859999999999999,17,48,13,11,7,23,23,37,80,0.46299999999999997,6,17,0.353,13,19,0.684,6,35,18,14,4,19,13,-3,944,975,-31,94.4,17.7,-3.1,-1,365,361,4,36.5,0.4,9,863,853,10,86.3,1.0,-0.059,4.226999999999999,4.245,-0.01800000000000007,0.42269999999999996,-0.001800000000000007,1,80,69,11,8.0,1.1,6,228,202,26,22.8,2.6,-0.04899999999999999,3.3289999999999997,3.5460000000000003,-0.217,0.3329,-0.0217,-2,134,184,-50,13.4,-5.0,-5,197,225,-28,19.7,-2.8,0.10199999999999987,6.771999999999999,8.197,-1.4249999999999996,0.6771999999999999,-0.14249999999999996,11,108,112,-4,10.8,-0.4,13,443,468,-25,44.3,-2.5,-5,198,182,16,19.8,1.6,-3,80,68,12,8.0,1.2,3,62,49,13,6.2,1.3,4,138,135,3,13.8,0.3,10,210,177,33,21.0,3.3
