,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential,cumalitive_Points,cumalitive_Points_differential,cumalitive_FieldGoals,cumalitive_FieldGoals_differential,cumalitive_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted_differential,cumalitive_FieldGoals.,cumalitive_FieldGoals._differential,cumalitive_3PointShots,cumalitive_3PointShots_differential,cumalitive_3PointShotsAttempted,cumalitive_3PointShotsAttempted_differential,cumalitive_3PointShots.,cumalitive_3PointShots._differential,cumalitive_FreeThrows,cumalitive_FreeThrows_differential,cumalitive_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted_differential,cumalitive_FreeThrows.,cumalitive_FreeThrows._differential,cumalitive_OffRebounds,cumalitive_OffRebounds_differential,cumalitive_TotalRebounds,cumalitive_TotalRebounds_differential,cumalitive_Assists,cumalitive_Assists_differential,cumalitive_Steals,cumalitive_Steals_differential,cumalitive_Blocks,cumalitive_Blocks_differential,cumalitive_Turnovers,cumalitive_Turnovers_differential,cumalitive_TotalFouls,cumalitive_TotalFouls_differential
1230,1230,8610,1407,MIA,1,2017-10-18,Away,ORL,L,109,116,44,101,0.436,8,30,0.267,13,17,0.765,11,44,27,6,4,13,20,43,90,0.478,8,21,0.381,22,29,0.759,11,50,22,8,9,14,18,2017-10-18,-7,1,11,-0.04199999999999998,0,9,-0.114,-9,-12,0.0060000000000000045,0,-6,5,-2,-5,-1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,1231,8611,2407,MIA,2,2017-10-21,Home,IND,W,112,108,45,87,0.517,14,34,0.41200000000000003,8,14,0.5710000000000001,6,45,24,6,11,14,19,43,96,0.44799999999999995,7,19,0.368,15,21,0.7140000000000001,13,45,18,9,4,10,18,2017-10-21,4,2,-9,0.069,7,15,0.043999999999999984,-7,-7,-0.14300000000000002,-7,0,6,-3,7,4,1,109.0,-7.0,44.0,1.0,101.0,11.0,0.436,-0.04199999999999998,8.0,0.0,30.0,9.0,0.267,-0.114,13.0,-9.0,17.0,-12.0,0.765,0.0060000000000000045,11.0,0.0,44.0,-6.0,27.0,5.0,6.0,-2.0,4.0,-5.0,13.0,-1.0,20.0,2.0
1232,1232,8612,3407,MIA,3,2017-10-23,Home,ATL,W,104,93,39,85,0.45899999999999996,14,37,0.37799999999999995,12,18,0.667,10,41,21,12,6,19,19,36,76,0.474,7,17,0.41200000000000003,14,18,0.778,6,41,14,9,1,20,17,2017-10-23,11,3,9,-0.01499999999999996,7,20,-0.033999999999999975,-2,0,-0.111,4,0,7,3,5,-1,2,221.0,-3.0,89.0,3.0,188.0,2.0,0.9530000000000001,0.027000000000000024,22.0,7.0,64.0,24.0,0.679,-0.07000000000000002,21.0,-16.0,31.0,-19.0,1.336,-0.137,17.0,-7.0,89.0,-6.0,51.0,11.0,12.0,-5.0,15.0,2.0,27.0,3.0,39.0,3.0
1233,1233,8613,4407,MIA,4,2017-10-25,Home,SAS,L,100,117,37,80,0.46299999999999997,9,26,0.34600000000000003,17,18,0.9440000000000001,4,32,19,6,2,9,25,42,76,0.5529999999999999,10,17,0.588,23,30,0.767,8,44,18,6,3,13,20,2017-10-25,-17,-5,4,-0.08999999999999991,-1,9,-0.24199999999999994,-6,-12,0.17699999999999996,-4,-12,1,0,-1,-4,5,325.0,8.0,128.0,6.0,273.0,11.0,1.412,0.012000000000000064,36.0,14.0,101.0,44.0,1.057,-0.104,33.0,-18.0,49.0,-19.0,2.003,-0.248,27.0,-3.0,130.0,-6.0,72.0,18.0,24.0,-2.0,21.0,7.0,46.0,2.0,58.0,5.0
1234,1234,8614,5407,MIA,5,2017-10-28,Home,BOS,L,90,96,34,79,0.43,7,31,0.226,15,16,0.938,6,40,17,6,9,19,23,34,81,0.42,6,23,0.261,22,26,0.846,11,41,15,11,5,12,14,2017-10-28,-6,0,-2,0.010000000000000007,1,8,-0.035,-7,-10,0.09199999999999996,-5,-1,2,-5,4,7,9,425.0,-9.0,165.0,1.0,353.0,15.0,1.875,-0.07799999999999985,45.0,13.0,127.0,53.0,1.403,-0.3459999999999999,50.0,-24.0,67.0,-31.0,2.947,-0.07100000000000004,31.0,-7.0,162.0,-18.0,91.0,19.0,30.0,-2.0,23.0,6.0,55.0,-2.0,83.0,10.0
1235,1235,8615,6407,MIA,6,2017-10-30,Home,MIN,L,122,125,49,93,0.527,7,27,0.259,17,25,0.68,15,49,17,8,5,24,28,41,91,0.451,11,23,0.478,32,35,0.914,10,40,20,16,4,16,25,2017-10-30,-3,8,2,0.07600000000000001,-4,4,-0.219,-15,-10,-0.234,5,9,-3,-8,1,8,3,515.0,-15.0,199.0,1.0,432.0,13.0,2.305,-0.06799999999999984,52.0,14.0,158.0,61.0,1.629,-0.3809999999999999,65.0,-31.0,83.0,-41.0,3.885,0.02099999999999992,37.0,-12.0,202.0,-19.0,108.0,21.0,36.0,-7.0,32.0,10.0,74.0,5.0,106.0,19.0
1236,1236,8616,7407,MIA,7,2017-11-01,Home,CHI,W,97,91,34,83,0.41,12,31,0.387,17,19,0.895,3,48,21,8,0,11,19,36,89,0.40399999999999997,7,28,0.25,12,19,0.632,7,54,20,7,6,12,19,2017-11-01,6,-2,-6,0.00599999999999995,5,3,0.13699999999999998,5,0,0.263,-4,-6,1,1,-6,-1,0,637.0,-18.0,248.0,9.0,525.0,15.0,2.8320000000000003,0.008000000000000174,59.0,10.0,185.0,65.0,1.888,-0.5999999999999999,82.0,-46.0,108.0,-51.0,4.5649999999999995,-0.21300000000000008,52.0,-7.0,251.0,-10.0,125.0,18.0,44.0,-15.0,37.0,11.0,98.0,13.0,134.0,22.0
1237,1237,8617,8300,MIA,8,2017-11-03,Away,DEN,L,94,95,36,77,0.46799999999999997,15,37,0.405,7,11,0.636,8,41,23,9,6,23,24,36,80,0.45,9,23,0.391,14,25,0.56,13,41,17,9,6,17,16,2017-11-03,-1,0,-3,0.018000000000000016,6,14,0.014000000000000012,-7,-14,0.07599999999999996,-5,0,6,0,0,6,8,734.0,-12.0,282.0,7.0,608.0,9.0,3.2420000000000004,0.014000000000000123,71.0,15.0,216.0,68.0,2.275,-0.46299999999999986,99.0,-41.0,127.0,-51.0,5.459999999999999,0.04999999999999993,55.0,-11.0,299.0,-16.0,146.0,19.0,52.0,-14.0,37.0,5.0,109.0,12.0,153.0,22.0
1238,1238,8618,9105,MIA,9,2017-11-05,Away,LAC,W,104,101,37,84,0.44,14,36,0.389,16,19,0.8420000000000001,10,37,23,12,6,16,26,34,87,0.391,9,31,0.29,24,30,0.8,18,50,16,11,4,15,22,2017-11-05,3,3,-3,0.04899999999999999,5,5,0.09900000000000003,-8,-11,0.04200000000000004,-8,-13,7,1,2,1,4,828.0,-13.0,318.0,7.0,685.0,6.0,3.7100000000000004,0.03200000000000014,86.0,21.0,253.0,82.0,2.6799999999999997,-0.44899999999999984,106.0,-48.0,138.0,-65.0,6.095999999999999,0.1259999999999999,63.0,-16.0,340.0,-16.0,169.0,25.0,61.0,-14.0,43.0,5.0,132.0,18.0,177.0,30.0
1239,1239,8619,10105,MIA,10,2017-11-06,Away,GSW,L,80,97,30,83,0.361,8,26,0.308,12,17,0.706,7,44,19,10,6,20,20,32,87,0.368,11,32,0.344,22,24,0.917,13,51,20,12,10,14,21,2017-11-06,-17,-2,-4,-0.007000000000000006,-3,-6,-0.035999999999999976,-10,-7,-0.21100000000000008,-6,-7,-1,-2,-4,6,-1,932.0,-10.0,355.0,10.0,769.0,3.0,4.15,0.08100000000000013,100.0,26.0,289.0,87.0,3.069,-0.3499999999999998,122.0,-56.0,157.0,-76.0,6.937999999999999,0.16799999999999993,73.0,-24.0,377.0,-29.0,192.0,32.0,73.0,-13.0,49.0,7.0,148.0,19.0,203.0,34.0
