,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,MIL,1,2014-10-29,Away,CHO,L,106,108,39,80,0.488,7,14,0.5,21,24,0.875,3,35,25,9,10,14,25,41,101,0.406,6,21,0.28600000000000003,20,29,0.69,15,50,27,8,9,10,20,-2,0.0,0.0,0.0,-2,0.0,0.0,0.0,-21,0.0,0.0,0.0,0.08199999999999996,0.0,0.0,0.0,1,0.0,0.0,0.0,-7,0.0,0.0,0.0,0.21399999999999997,0.0,0.0,0.0,1,0.0,0.0,0.0,-5,0.0,0.0,0.0,0.18500000000000005,0.0,0.0,0.0,-12,0.0,0.0,0.0,-15,0.0,0.0,0.0,-2,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,4,0.0,0.0,0.0,5,0.0,0.0,0.0
1,MIL,2,2014-10-31,Home,PHI,W,93,81,36,88,0.409,9,24,0.375,12,21,0.5710000000000001,15,55,25,10,11,18,19,32,86,0.3720000000000001,5,23,0.217,12,22,0.545,12,42,20,9,5,16,18,12,106.0,108.0,-2.0,4,39.0,41.0,-2.0,2,80.0,101.0,-21.0,0.036999999999999866,0.488,0.406,0.08199999999999996,4,7.0,6.0,1.0,1,14.0,21.0,-7.0,0.158,0.5,0.28600000000000003,0.21399999999999997,0,21.0,20.0,1.0,-1,24.0,29.0,-5.0,0.026000000000000023,0.875,0.69,0.18500000000000005,3,3.0,15.0,-12.0,13,35.0,50.0,-15.0,5,25.0,27.0,-2.0,1,9.0,8.0,1.0,6,10.0,9.0,1.0,2,14.0,10.0,4.0,1,25.0,20.0,5.0
2,MIL,3,2014-11-01,Away,WAS,L,97,108,34,80,0.425,9,22,0.409,20,24,0.833,16,42,18,11,3,27,28,40,73,0.5479999999999999,4,13,0.308,24,33,0.727,6,34,28,18,5,19,21,-11,99.5,94.5,5.0,-6,37.5,36.5,1.0,7,84.0,93.5,-9.5,-0.12299999999999994,0.4485,0.38900000000000007,0.059499999999999914,5,8.0,5.5,2.5,9,19.0,22.0,-3.0,0.10099999999999998,0.4375,0.2515,0.186,-4,16.5,16.0,0.5,-9,22.5,25.5,-3.0,0.10599999999999998,0.7230000000000001,0.6174999999999999,0.10550000000000004,10,9.0,13.5,-4.5,8,45.0,46.0,-1.0,-10,25.0,23.5,1.5,-7,9.5,8.5,1.0,-2,10.5,7.0,3.5,8,16.0,13.0,3.0,7,22.0,19.0,3.0
3,MIL,4,2014-11-04,Away,IND,W,87,81,37,83,0.446,7,21,0.333,6,7,0.857,9,39,20,12,5,12,22,31,78,0.397,6,24,0.25,13,22,0.591,15,47,14,4,9,17,17,6,98.66666666666667,99.0,-0.3333333333333333,6,36.333333333333336,37.666666666666664,-1.3333333333333333,5,82.66666666666667,86.66666666666667,-4.0,0.04899999999999999,0.4406666666666667,0.442,-0.0013333333333333715,1,8.333333333333334,5.0,3.3333333333333335,-3,20.0,19.0,1.0,0.08300000000000002,0.428,0.2703333333333333,0.15766666666666665,-7,17.666666666666668,18.666666666666668,-1.0,-15,23.0,28.0,-5.0,0.266,0.7596666666666666,0.6539999999999999,0.10566666666666669,-6,11.333333333333334,11.0,0.3333333333333333,-8,44.0,42.0,2.0,6,22.666666666666668,25.0,-2.3333333333333335,8,10.0,11.666666666666666,-1.6666666666666667,-4,8.0,6.333333333333333,1.6666666666666667,-5,19.666666666666668,15.0,4.666666666666667,5,24.0,19.666666666666668,4.333333333333333
4,MIL,5,2014-11-05,Home,CHI,L,86,95,33,89,0.371,3,15,0.2,17,20,0.85,18,50,19,10,3,14,28,34,73,0.466,5,16,0.313,22,30,0.733,7,42,24,8,3,16,18,-9,95.75,94.5,1.25,-1,36.5,36.0,0.5,16,82.75,84.5,-1.75,-0.09500000000000003,0.442,0.43075,0.011249999999999968,-2,8.0,5.25,2.75,-1,20.25,20.25,0.0,-0.11299999999999999,0.40425,0.26525,0.139,-5,14.75,17.25,-2.5,-10,19.0,26.5,-7.5,0.11699999999999999,0.784,0.63825,0.14575000000000002,11,10.75,12.0,-1.25,8,42.75,43.25,-0.5,-5,22.0,22.25,-0.25,2,10.5,9.75,0.75,0,7.25,7.0,0.25,-2,17.75,15.5,2.25,10,23.5,19.0,4.5
5,MIL,6,2014-11-07,Away,DET,L,95,98,36,77,0.468,5,20,0.25,18,23,0.7829999999999999,9,35,26,10,6,13,19,37,75,0.493,11,23,0.478,13,24,0.542,12,40,18,7,5,18,24,-3,93.8,94.6,-0.8,-1,35.8,35.6,0.2,2,84.0,82.2,1.8,-0.024999999999999967,0.42780000000000007,0.4378,-0.010000000000000031,-6,7.0,5.2,1.8,-3,19.2,19.4,-0.2,-0.22799999999999998,0.3634,0.2748,0.08860000000000001,5,15.2,18.2,-3.0,-1,19.2,27.2,-8.0,0.24099999999999988,0.7972,0.6572,0.14,-3,12.2,11.0,1.2,-5,44.2,43.0,1.2,8,21.4,22.6,-1.2,3,10.4,9.4,1.0,1,6.4,6.2,0.2,-5,17.0,15.6,1.4,-5,24.4,18.8,5.6
6,MIL,7,2014-11-08,Home,MEM,W,93,92,40,88,0.455,5,18,0.278,8,11,0.727,16,43,24,7,4,16,24,29,82,0.354,3,14,0.214,31,34,0.912,15,40,15,9,2,13,18,1,94.0,95.16666666666667,-1.1666666666666667,11,35.833333333333336,35.833333333333336,0.0,6,82.83333333333333,81.0,1.8333333333333333,0.10100000000000003,0.43450000000000005,0.447,-0.01250000000000002,2,6.666666666666667,6.166666666666667,0.5,4,19.333333333333332,20.0,-0.6666666666666666,0.06400000000000003,0.34450000000000003,0.30866666666666664,0.03583333333333335,-23,15.666666666666666,17.333333333333332,-1.6666666666666667,-23,19.833333333333332,26.666666666666668,-6.833333333333333,-0.18500000000000005,0.7948333333333334,0.638,0.15683333333333332,1,11.666666666666666,11.166666666666666,0.5,3,42.666666666666664,42.5,0.16666666666666666,9,22.166666666666668,21.833333333333332,0.3333333333333333,-2,10.333333333333334,9.0,1.3333333333333333,2,6.333333333333333,6.0,0.3333333333333333,3,16.333333333333332,16.0,0.3333333333333333,6,23.5,19.666666666666668,3.8333333333333335
7,MIL,8,2014-11-11,Home,OKC,W,85,78,33,81,0.407,3,15,0.2,16,24,0.667,14,51,18,5,6,16,22,29,87,0.333,6,20,0.3,14,19,0.737,13,46,15,6,5,15,22,7,93.85714285714286,94.71428571428571,-0.8571428571428571,4,36.42857142857143,34.857142857142854,1.5714285714285714,-6,83.57142857142857,81.14285714285714,2.4285714285714284,0.07399999999999995,0.43742857142857144,0.4337142857142857,0.0037142857142857017,-3,6.428571428571429,5.714285714285714,0.7142857142857143,-5,19.142857142857142,19.142857142857142,0.0,-0.09999999999999998,0.335,0.2951428571428571,0.039857142857142876,2,14.571428571428571,19.285714285714285,-4.714285714285714,5,18.571428571428573,27.714285714285715,-9.142857142857142,-0.06999999999999995,0.7851428571428573,0.6771428571428572,0.10799999999999998,1,12.285714285714286,11.714285714285714,0.5714285714285714,5,42.714285714285715,42.142857142857146,0.5714285714285714,3,22.428571428571427,20.857142857142858,1.5714285714285714,-1,9.857142857142858,9.0,0.8571428571428571,1,6.0,5.428571428571429,0.5714285714285714,1,16.285714285714285,15.571428571428571,0.7142857142857143,0,23.571428571428573,19.428571428571427,4.142857142857143
8,MIL,9,2014-11-14,Away,ORL,L,85,101,36,80,0.45,2,19,0.105,11,14,0.7859999999999999,5,38,19,8,4,16,25,35,80,0.438,10,24,0.417,21,27,0.778,10,45,22,7,3,15,15,-16,92.75,92.625,0.125,1,36.0,34.125,1.875,0,83.25,81.875,1.375,0.01200000000000001,0.43362500000000004,0.421125,0.012499999999999983,-8,6.0,5.75,0.25,-5,18.625,19.25,-0.625,-0.312,0.31812500000000005,0.29574999999999996,0.02237500000000002,-10,14.75,18.625,-3.875,-13,19.25,26.625,-7.375,0.007999999999999896,0.770375,0.684625,0.08574999999999999,-5,12.5,11.875,0.625,-7,43.75,42.625,1.125,-3,21.875,20.125,1.75,1,9.25,8.625,0.625,1,6.0,5.375,0.625,1,16.25,15.5,0.75,10,23.375,19.75,3.625
9,MIL,10,2014-11-16,Away,MIA,W,91,84,35,74,0.473,5,18,0.278,16,26,0.615,5,40,16,11,1,16,24,30,73,0.411,11,25,0.44,13,22,0.591,6,40,19,10,6,17,20,7,91.88888888888889,93.55555555555556,-1.6666666666666667,5,36.0,34.22222222222222,1.7777777777777777,1,82.88888888888889,81.66666666666667,1.2222222222222223,0.062,0.4354444444444445,0.42300000000000004,0.012444444444444432,-6,5.555555555555555,6.222222222222222,-0.6666666666666666,-7,18.666666666666668,19.77777777777778,-1.1111111111111112,-0.16199999999999998,0.2944444444444445,0.3092222222222222,-0.01477777777777776,3,14.333333333333334,18.88888888888889,-4.555555555555555,4,18.666666666666668,26.666666666666668,-8.0,0.02400000000000002,0.7721111111111111,0.6950000000000001,0.07711111111111109,-1,11.666666666666666,11.666666666666666,0.0,0,43.111111111111114,42.888888888888886,0.2222222222222222,-3,21.555555555555557,20.333333333333332,1.2222222222222223,1,9.11111111111111,8.444444444444445,0.6666666666666666,-5,5.777777777777778,5.111111111111111,0.6666666666666666,-1,16.22222222222222,15.444444444444445,0.7777777777777778,4,23.555555555555557,19.22222222222222,4.333333333333333
