,Unnamed: 0,Unnamed: 0.1.1.1.1.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,cumalitive_Points,cumalitive_Opp.Points,cumalitive_differential_Points,average_Points,average_Opp.{},average_Points_differential,differential_FieldGoals,cumalitive_FieldGoals,cumalitive_Opp.FieldGoals,cumalitive_differential_FieldGoals,average_FieldGoals,average_FieldGoals_differential,differential_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted,cumalitive_Opp.FieldGoalsAttempted,cumalitive_differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_FieldGoalsAttempted_differential,differential_FieldGoals.,cumalitive_FieldGoals.,cumalitive_Opp.FieldGoals.,cumalitive_differential_FieldGoals.,average_FieldGoals.,average_FieldGoals._differential,differential_3PointShots,cumalitive_3PointShots,cumalitive_Opp.3PointShots,cumalitive_differential_3PointShots,average_3PointShots,average_3PointShots_differential,differential_3PointShotsAttempted,cumalitive_3PointShotsAttempted,cumalitive_Opp.3PointShotsAttempted,cumalitive_differential_3PointShotsAttempted,average_3PointShotsAttempted,average_3PointShotsAttempted_differential,differential_3PointShots.,cumalitive_3PointShots.,cumalitive_Opp.3PointShots.,cumalitive_differential_3PointShots.,average_3PointShots.,average_3PointShots._differential,differential_FreeThrows,cumalitive_FreeThrows,cumalitive_Opp.FreeThrows,cumalitive_differential_FreeThrows,average_FreeThrows,average_FreeThrows_differential,differential_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted,cumalitive_Opp.FreeThrowsAttempted,cumalitive_differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_FreeThrowsAttempted_differential,differential_FreeThrows.,cumalitive_FreeThrows.,cumalitive_Opp.FreeThrows.,cumalitive_differential_FreeThrows.,average_FreeThrows.,average_FreeThrows._differential,differential_OffRebounds,cumalitive_OffRebounds,cumalitive_Opp.OffRebounds,cumalitive_differential_OffRebounds,average_OffRebounds,average_OffRebounds_differential,differential_TotalRebounds,cumalitive_TotalRebounds,cumalitive_Opp.TotalRebounds,cumalitive_differential_TotalRebounds,average_TotalRebounds,average_TotalRebounds_differential,differential_Assists,cumalitive_Assists,cumalitive_Opp.Assists,cumalitive_differential_Assists,average_Assists,average_Assists_differential,differential_Steals,cumalitive_Steals,cumalitive_Opp.Steals,cumalitive_differential_Steals,average_Steals,average_Steals_differential,differential_Blocks,cumalitive_Blocks,cumalitive_Opp.Blocks,cumalitive_differential_Blocks,average_Blocks,average_Blocks_differential,differential_Turnovers,cumalitive_Turnovers,cumalitive_Opp.Turnovers,cumalitive_differential_Turnovers,average_Turnovers,average_Turnovers_differential,differential_TotalFouls,cumalitive_TotalFouls,cumalitive_Opp.TotalFouls,cumalitive_differential_TotalFouls,average_TotalFouls,average_TotalFouls_differential
0,0,1408,MIL,1,2017-10-18,Away,BOS,W,108,100,38,76,0.5,7,21,0.33299999999999996,25,30,0.833,6,45,19,6,4,15,22,39,91,0.429,11,28,0.39299999999999996,11,21,0.524,11,43,23,12,2,12,27,8,108,100,8,108.0,27.0,8.0,-1,38,39,-1,38.0,-1.0,-15,76,91,-15,76.0,-15.0,0.07100000000000001,0.5,0.429,0.07100000000000001,0.5,0.07100000000000001,-4,7,11,-4,7.0,-4.0,-7,21,28,-7,21.0,-7.0,-0.06,0.33299999999999996,0.39299999999999996,-0.06,0.33299999999999996,-0.06,14,25,11,14,25.0,14.0,9,30,21,9,30.0,9.0,0.30899999999999994,0.833,0.524,0.30899999999999994,0.833,0.30899999999999994,-5,6,11,-5,6.0,-5.0,2,45,43,2,45.0,2.0,-4,19,23,-4,19.0,-4.0,-6,6,12,-6,6.0,-6.0,2,4,2,2,4.0,2.0,3,15,12,3,15.0,3.0,-5,22,27,-5,22.0,-5.0
1,1,2408,MIL,2,2017-10-20,Home,CLE,L,97,116,38,82,0.46299999999999997,11,35,0.314,10,12,0.833,8,30,23,9,2,14,17,44,81,0.5429999999999999,11,26,0.423,17,17,1.0,9,44,25,8,3,17,10,-19,205,216,-11,102.5,18.5,-5.5,-6,76,83,-7,38.0,-3.5,1,158,172,-14,79.0,-7.0,-0.07999999999999996,0.963,0.972,-0.008999999999999952,0.4815,-0.004499999999999976,0,18,22,-4,9.0,-2.0,9,56,54,2,28.0,1.0,-0.10899999999999999,0.647,0.816,-0.16899999999999998,0.3235,-0.08449999999999999,-7,35,28,7,17.5,3.5,-5,42,38,4,21.0,2.0,-0.16700000000000004,1.666,1.524,0.1419999999999999,0.833,0.07099999999999995,-1,14,20,-6,7.0,-3.0,-14,75,87,-12,37.5,-6.0,-2,42,48,-6,21.0,-3.0,1,15,20,-5,7.5,-2.5,-1,6,5,1,3.0,0.5,-3,29,29,0,14.5,0.0,7,39,37,2,19.5,1.0
2,2,3408,MIL,3,2017-10-21,Home,POR,W,113,110,42,80,0.525,7,18,0.389,22,30,0.733,7,35,22,9,8,14,23,34,81,0.42,11,28,0.39299999999999996,31,35,0.8859999999999999,13,42,18,10,6,16,22,3,318,326,-8,106.0,19.666666666666668,-2.6666666666666665,8,118,117,1,39.333333333333336,0.3333333333333333,-1,238,253,-15,79.33333333333333,-5.0,0.10500000000000004,1.488,1.392,0.09600000000000009,0.496,0.03200000000000003,-4,25,33,-8,8.333333333333334,-2.6666666666666665,-10,74,82,-8,24.666666666666668,-2.6666666666666665,-0.003999999999999948,1.036,1.2089999999999999,-0.17299999999999993,0.3453333333333333,-0.057666666666666644,-9,57,59,-2,19.0,-0.6666666666666666,-5,72,73,-1,24.0,-0.3333333333333333,-0.1529999999999999,2.399,2.41,-0.01100000000000001,0.7996666666666666,-0.00366666666666667,-6,21,33,-12,7.0,-4.0,-7,110,129,-19,36.666666666666664,-6.333333333333333,4,64,66,-2,21.333333333333332,-0.6666666666666666,-1,24,30,-6,8.0,-2.0,2,14,11,3,4.666666666666667,1.0,-2,43,45,-2,14.333333333333334,-0.6666666666666666,1,62,59,3,20.666666666666668,1.0
3,3,4408,MIL,4,2017-10-23,Home,CHO,W,103,94,40,85,0.47100000000000003,9,26,0.34600000000000003,14,16,0.875,5,42,24,8,4,13,27,33,78,0.423,7,26,0.26899999999999996,21,36,0.583,10,48,17,3,5,14,21,9,421,420,1,105.25,20.0,0.25,7,158,150,8,39.5,2.0,7,323,331,-8,80.75,-2.0,0.04800000000000004,1.959,1.815,0.14400000000000013,0.48975,0.03600000000000003,2,34,40,-6,8.5,-1.5,0,100,108,-8,25.0,-2.0,0.07700000000000007,1.3820000000000001,1.4779999999999998,-0.09599999999999986,0.34550000000000003,-0.023999999999999966,-7,71,80,-9,17.75,-2.25,-20,88,109,-21,22.0,-5.25,0.29200000000000004,3.274,2.9930000000000003,0.281,0.8185,0.07025,-5,26,43,-17,6.5,-4.25,-6,152,177,-25,38.0,-6.25,7,88,83,5,22.0,1.25,5,32,33,-1,8.0,-0.25,-1,18,16,2,4.5,0.5,-1,56,59,-3,14.0,-0.75,6,89,80,9,22.25,2.25
4,4,5408,MIL,5,2017-10-26,Home,BOS,L,89,96,35,77,0.455,11,25,0.44,8,14,0.5710000000000001,2,37,22,6,3,16,20,33,78,0.423,11,30,0.3670000000000001,19,22,0.8640000000000001,6,45,21,7,4,15,14,-7,510,516,-6,102.0,18.8,-1.2,2,193,183,10,38.6,2.0,-1,400,409,-9,80.0,-1.8,0.03200000000000003,2.414,2.238,0.17600000000000016,0.4828,0.03520000000000003,0,45,51,-6,9.0,-1.2,-5,125,138,-13,25.0,-2.6,0.0729999999999999,1.822,1.8449999999999998,-0.022999999999999965,0.3644,-0.004599999999999993,-11,79,99,-20,15.8,-4.0,-8,102,131,-29,20.4,-5.8,-0.29300000000000004,3.845,3.857,-0.01200000000000001,0.769,-0.002400000000000002,-4,28,49,-21,5.6,-4.2,-8,189,222,-33,37.8,-6.6,1,110,104,6,22.0,1.2,-1,38,40,-2,7.6,-0.4,-1,21,20,1,4.2,0.2,1,72,74,-2,14.4,-0.4,6,109,94,15,21.8,3.0
5,5,6408,MIL,6,2017-10-29,Away,ATL,W,117,106,44,81,0.5429999999999999,13,26,0.5,16,21,0.762,5,43,30,9,3,14,27,36,77,0.46799999999999997,13,29,0.44799999999999995,21,26,0.8079999999999999,3,31,27,9,2,16,21,11,627,622,5,104.5,19.166666666666668,0.8333333333333334,8,237,219,18,39.5,3.0,4,481,486,-5,80.16666666666667,-0.8333333333333334,0.07499999999999996,2.957,2.706,0.2510000000000001,0.4928333333333333,0.041833333333333354,0,58,64,-6,9.666666666666666,-1.0,-3,151,167,-16,25.166666666666668,-2.6666666666666665,0.052000000000000046,2.322,2.2929999999999997,0.02900000000000008,0.387,0.004833333333333347,-5,95,120,-25,15.833333333333334,-4.166666666666667,-5,123,157,-34,20.5,-5.666666666666667,-0.04599999999999993,4.607,4.665,-0.05799999999999994,0.7678333333333334,-0.009666666666666657,2,33,52,-19,5.5,-3.1666666666666665,12,232,253,-21,38.666666666666664,-3.5,3,140,131,9,23.333333333333332,1.5,0,47,49,-2,7.833333333333333,-0.3333333333333333,1,24,22,2,4.0,0.3333333333333333,-2,86,90,-4,14.333333333333334,-0.6666666666666666,6,136,115,21,22.666666666666668,3.5
6,6,7408,MIL,7,2017-10-31,Home,OKC,L,91,110,32,77,0.41600000000000004,9,31,0.29,18,22,0.818,4,31,24,8,4,14,22,40,81,0.494,12,28,0.429,18,21,0.857,9,46,24,6,3,15,20,-19,718,732,-14,102.57142857142857,19.285714285714285,-2.0,-8,269,259,10,38.42857142857143,1.4285714285714286,-4,558,567,-9,79.71428571428571,-1.2857142857142858,-0.07799999999999996,3.3729999999999998,3.2,0.17300000000000015,0.4818571428571428,0.024714285714285737,-3,67,76,-9,9.571428571428571,-1.2857142857142858,3,182,195,-13,26.0,-1.8571428571428572,-0.139,2.612,2.7219999999999995,-0.10999999999999993,0.37314285714285716,-0.015714285714285705,0,113,138,-25,16.142857142857142,-3.5714285714285716,1,145,178,-33,20.714285714285715,-4.714285714285714,-0.039000000000000035,5.425,5.522,-0.09699999999999998,0.775,-0.013857142857142854,-5,37,61,-24,5.285714285714286,-3.4285714285714284,-15,263,299,-36,37.57142857142857,-5.142857142857143,0,164,155,9,23.428571428571427,1.2857142857142858,2,55,55,0,7.857142857142857,0.0,1,28,25,3,4.0,0.42857142857142855,-1,100,105,-5,14.285714285714286,-0.7142857142857143,2,158,135,23,22.571428571428573,3.2857142857142856
7,7,8301,MIL,8,2017-11-01,Away,CHO,L,121,126,45,91,0.495,19,36,0.528,12,15,0.8,9,40,29,3,3,14,25,45,84,0.536,14,25,0.56,22,29,0.759,7,41,21,5,3,11,18,-5,839,858,-19,104.875,19.125,-2.375,0,314,304,10,39.25,1.25,7,649,651,-2,81.125,-0.25,-0.041000000000000036,3.868,3.736,0.13200000000000012,0.4835,0.016500000000000015,5,86,90,-4,10.75,-0.5,11,218,220,-2,27.25,-0.25,-0.03200000000000003,3.14,3.2819999999999996,-0.14199999999999996,0.3925,-0.017749999999999995,-10,125,160,-35,15.625,-4.375,-14,160,207,-47,20.0,-5.875,0.041000000000000036,6.225,6.281000000000001,-0.05599999999999994,0.778125,-0.006999999999999992,2,46,68,-22,5.75,-2.75,-1,303,340,-37,37.875,-4.625,8,193,176,17,24.125,2.125,-2,58,60,-2,7.25,-0.25,0,31,28,3,3.875,0.375,3,114,116,-2,14.25,-0.25,7,183,153,30,22.875,3.75
8,8,9106,MIL,9,2017-11-03,Away,DET,L,96,105,39,83,0.47,10,25,0.4,8,9,0.889,7,36,27,6,6,13,24,37,78,0.474,8,26,0.308,23,28,0.821,7,39,21,10,4,12,11,-9,935,963,-28,103.88888888888889,18.22222222222222,-3.111111111111111,2,353,341,12,39.22222222222222,1.3333333333333333,5,732,729,3,81.33333333333333,0.3333333333333333,-0.0040000000000000036,4.338,4.21,0.1280000000000001,0.482,0.014222222222222235,2,96,98,-2,10.666666666666666,-0.2222222222222222,-1,243,246,-3,27.0,-0.3333333333333333,0.09200000000000003,3.54,3.5899999999999994,-0.04999999999999993,0.3933333333333333,-0.005555555555555548,-15,133,183,-50,14.777777777777779,-5.555555555555555,-19,169,235,-66,18.77777777777778,-7.333333333333333,0.06800000000000006,7.114,7.102,0.012000000000000122,0.7904444444444444,0.001333333333333347,0,53,75,-22,5.888888888888889,-2.4444444444444446,-3,339,379,-40,37.666666666666664,-4.444444444444445,6,220,197,23,24.444444444444443,2.5555555555555554,-4,64,70,-6,7.111111111111111,-0.6666666666666666,2,37,32,5,4.111111111111111,0.5555555555555556,1,127,128,-1,14.11111111111111,-0.1111111111111111,13,207,164,43,23.0,4.777777777777778
9,9,10106,MIL,10,2017-11-07,Away,CLE,L,119,124,47,83,0.5660000000000001,13,30,0.433,12,16,0.75,8,36,29,6,8,16,31,41,82,0.5,9,18,0.5,33,38,0.868,12,39,18,7,4,12,16,-5,1054,1087,-33,105.4,18.0,-3.3,6,400,382,18,40.0,1.8,1,815,811,4,81.5,0.4,0.06600000000000006,4.904,4.71,0.19400000000000017,0.4904,0.019400000000000018,4,109,107,2,10.9,0.2,12,273,264,9,27.3,0.9,-0.067,3.973,4.09,-0.11699999999999994,0.3973,-0.011699999999999993,-21,145,216,-71,14.5,-7.1,-22,185,273,-88,18.5,-8.8,-0.118,7.864,7.970000000000001,-0.10599999999999987,0.7864,-0.010599999999999988,-4,61,87,-26,6.1,-2.6,-3,375,418,-43,37.5,-4.3,11,249,215,34,24.9,3.4,-1,70,77,-7,7.0,-0.7,4,45,36,9,4.5,0.9,4,143,140,3,14.3,0.3,15,238,180,58,23.8,5.8
