,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,MIN,1,2016-10-26,Away,MEM,L,98,102,36,86,0.419,6,18,0.333,20,29,0.69,15,45,20,6,5,10,23,36,80,0.45,11,24,0.458,19,27,0.7040000000000001,11,45,19,6,11,13,25,-4,0.0,0.0,0.0,0,0.0,0.0,0.0,6,0.0,0.0,0.0,-0.031000000000000028,0.0,0.0,0.0,-5,0.0,0.0,0.0,-6,0.0,0.0,0.0,-0.125,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,-0.014000000000000123,0.0,0.0,0.0,4,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,-6,0.0,0.0,0.0,-3,0.0,0.0,0.0,-2,0.0,0.0,0.0
1,MIN,2,2016-10-29,Away,SAC,L,103,106,37,70,0.529,7,22,0.318,22,31,0.71,7,36,19,6,5,11,25,39,85,0.459,9,26,0.34600000000000003,19,25,0.76,11,31,24,6,5,13,24,-3,98.0,102.0,-4.0,-2,36.0,36.0,0.0,-15,86.0,80.0,6.0,0.07,0.419,0.45,-0.031000000000000028,-2,6.0,11.0,-5.0,-4,18.0,24.0,-6.0,-0.028000000000000025,0.333,0.458,-0.125,3,20.0,19.0,1.0,6,29.0,27.0,2.0,-0.050000000000000044,0.69,0.7040000000000001,-0.014000000000000123,-4,15.0,11.0,4.0,5,45.0,45.0,0.0,-5,20.0,19.0,1.0,0,6.0,6.0,0.0,0,5.0,11.0,-6.0,-2,10.0,13.0,-3.0,1,23.0,25.0,-2.0
2,MIN,3,2016-11-01,Home,MEM,W,116,80,43,78,0.551,12,20,0.6,18,23,0.7829999999999999,10,50,29,10,5,21,22,27,75,0.36,4,24,0.16699999999999998,22,29,0.759,8,32,10,17,4,20,22,36,100.5,104.0,-3.5,16,36.5,37.5,-1.0,3,78.0,82.5,-4.5,0.19100000000000006,0.474,0.4545,0.01949999999999999,8,6.5,10.0,-3.5,-4,20.0,25.0,-5.0,0.433,0.3255,0.402,-0.07650000000000001,-4,21.0,19.0,2.0,-6,30.0,26.0,4.0,0.02399999999999991,0.7,0.732,-0.032000000000000084,2,11.0,11.0,0.0,18,40.5,38.0,2.5,19,19.5,21.5,-2.0,-7,6.0,6.0,0.0,1,5.0,8.0,-3.0,1,10.5,13.0,-2.5,0,24.0,24.5,-0.5
3,MIN,4,2016-11-03,Home,DEN,L,99,102,35,88,0.398,9,22,0.409,20,25,0.8,14,43,20,8,4,16,22,39,81,0.481,6,22,0.273,18,25,0.72,7,44,24,10,2,20,24,-3,105.66666666666667,96.0,9.666666666666666,-4,38.666666666666664,34.0,4.666666666666667,7,78.0,80.0,-2.0,-0.08299999999999996,0.4996666666666667,0.42300000000000004,0.07666666666666667,3,8.333333333333334,8.0,0.3333333333333333,0,20.0,24.666666666666668,-4.666666666666667,0.13599999999999995,0.417,0.3236666666666667,0.09333333333333332,2,20.0,20.0,0.0,0,27.666666666666668,27.0,0.6666666666666666,0.08000000000000007,0.7276666666666666,0.741,-0.01333333333333342,7,10.666666666666666,10.0,0.6666666666666666,-1,43.666666666666664,36.0,7.666666666666667,-4,22.666666666666668,17.666666666666668,5.0,-2,7.333333333333333,9.666666666666666,-2.3333333333333335,2,5.0,6.666666666666667,-1.6666666666666667,-4,14.0,15.333333333333334,-1.3333333333333333,-2,23.333333333333332,23.666666666666668,-0.3333333333333333
4,MIN,5,2016-11-05,Away,OKC,L,92,112,33,84,0.393,4,19,0.211,22,29,0.759,17,41,12,7,8,17,19,45,86,0.523,7,16,0.438,15,24,0.625,11,41,24,9,9,12,21,-20,104.0,97.5,6.5,-12,37.75,35.25,2.5,-2,80.5,80.25,0.25,-0.13,0.47425000000000006,0.4375,0.03675000000000002,-3,8.5,7.5,1.0,3,20.5,24.0,-3.5,-0.227,0.415,0.31100000000000005,0.10399999999999998,7,20.0,19.5,0.5,5,27.0,26.5,0.5,0.134,0.7457499999999999,0.7357499999999999,0.009999999999999953,6,11.5,9.25,2.25,0,43.5,38.0,5.5,-12,22.0,19.25,2.75,-2,7.5,9.75,-2.25,-1,4.75,5.5,-0.75,5,14.5,16.5,-2.0,-2,23.0,23.75,-0.75
5,MIN,6,2016-11-08,Away,BRK,L,110,119,39,92,0.424,12,28,0.429,20,28,0.7140000000000001,15,41,20,11,3,16,21,42,76,0.5529999999999999,12,33,0.364,23,26,0.885,5,43,20,5,5,20,19,-9,101.6,100.4,1.2,-3,36.8,37.2,-0.4,16,81.2,81.4,-0.2,-0.12899999999999995,0.458,0.4546,0.003400000000000014,0,7.6,7.4,0.2,-5,20.2,22.4,-2.2,0.065,0.3742,0.33640000000000003,0.037799999999999986,-3,20.4,18.6,1.8,2,27.4,26.0,1.4,-0.17099999999999993,0.7484,0.7135999999999999,0.03479999999999996,10,12.6,9.6,3.0,-2,43.0,38.6,4.4,0,20.0,20.2,-0.2,6,7.4,9.6,-2.2,-2,5.4,6.2,-0.8,-4,15.0,15.6,-0.6,2,22.2,23.2,-1.0
6,MIN,7,2016-11-09,Away,ORL,W,123,107,45,87,0.517,13,23,0.565,20,26,0.769,10,45,27,8,5,6,23,38,85,0.447,8,24,0.333,23,30,0.767,12,39,20,2,5,9,19,16,103.0,103.5,-0.5,7,37.166666666666664,38.0,-0.8333333333333334,2,83.0,80.5,2.5,0.07,0.4523333333333333,0.47100000000000003,-0.018666666666666647,5,8.333333333333334,8.166666666666666,0.16666666666666666,-1,21.5,24.166666666666668,-2.6666666666666665,0.23199999999999993,0.3833333333333333,0.341,0.04233333333333331,-3,20.333333333333332,19.333333333333332,1.0,-4,27.5,26.0,1.5,0.0020000000000000018,0.7426666666666666,0.7421666666666665,0.0004999999999999819,-2,13.0,8.833333333333334,4.166666666666667,6,42.666666666666664,39.333333333333336,3.3333333333333335,7,20.0,20.166666666666668,-0.16666666666666666,6,8.0,8.833333333333334,-0.8333333333333334,0,5.0,6.0,-1.0,-3,15.166666666666666,16.333333333333332,-1.1666666666666667,4,22.0,22.5,-0.5
7,MIN,8,2016-11-12,Home,LAC,L,105,119,40,89,0.449,8,22,0.364,17,21,0.81,15,39,26,11,3,13,31,40,76,0.526,11,24,0.458,28,37,0.757,9,42,25,7,4,14,19,-14,105.85714285714286,104.0,1.8571428571428572,0,38.285714285714285,38.0,0.2857142857142857,13,83.57142857142857,81.14285714285714,2.4285714285714284,-0.07700000000000001,0.4615714285714286,0.4675714285714286,-0.005999999999999982,-3,9.0,8.142857142857142,0.8571428571428571,-2,21.714285714285715,24.142857142857142,-2.4285714285714284,-0.09400000000000003,0.40928571428571425,0.3398571428571429,0.06942857142857141,-11,20.285714285714285,19.857142857142858,0.42857142857142855,-16,27.285714285714285,26.571428571428573,0.7142857142857143,0.05300000000000005,0.7464285714285713,0.7457142857142857,0.0007142857142856991,6,12.571428571428571,9.285714285714286,3.2857142857142856,-3,43.0,39.285714285714285,3.7142857142857144,1,21.0,20.142857142857142,0.8571428571428571,4,8.0,7.857142857142857,0.14285714285714285,-1,5.0,5.857142857142857,-0.8571428571428571,-1,13.857142857142858,15.285714285714286,-1.4285714285714286,12,22.142857142857142,22.0,0.14285714285714285
8,MIN,9,2016-11-13,Home,LAL,W,125,99,42,80,0.525,13,27,0.481,28,42,0.667,9,44,28,10,4,10,19,33,71,0.465,8,24,0.333,25,30,0.833,5,39,16,6,5,17,31,26,105.75,105.875,-0.125,9,38.5,38.25,0.25,9,84.25,80.5,3.75,0.06,0.45999999999999996,0.47487500000000005,-0.014874999999999985,5,8.875,8.5,0.375,3,21.75,24.125,-2.375,0.14799999999999996,0.40362499999999996,0.3546250000000001,0.048999999999999974,3,19.875,20.875,-1.0,12,26.5,27.875,-1.375,-0.16599999999999993,0.754375,0.7471249999999999,0.0072499999999999926,4,12.875,9.25,3.625,5,42.5,39.625,2.875,12,21.625,20.75,0.875,4,8.375,7.75,0.625,-1,4.75,5.625,-0.875,-7,13.75,15.125,-1.375,-12,23.25,21.625,1.625
9,MIN,10,2016-11-15,Home,CHO,L,108,115,38,89,0.4270000000000001,15,35,0.429,17,21,0.81,14,43,25,4,5,18,19,43,80,0.5379999999999999,11,24,0.458,18,22,0.818,4,37,25,10,6,13,17,-7,107.88888888888889,105.11111111111111,2.7777777777777777,-5,38.888888888888886,37.666666666666664,1.2222222222222223,9,83.77777777777777,79.44444444444444,4.333333333333333,-0.11099999999999982,0.4672222222222222,0.4737777777777778,-0.006555555555555543,4,9.333333333333334,8.444444444444445,0.8888888888888888,11,22.333333333333332,24.11111111111111,-1.7777777777777777,-0.029000000000000026,0.41222222222222216,0.3522222222222223,0.05999999999999998,-1,20.77777777777778,21.333333333333332,-0.5555555555555556,-1,28.22222222222222,28.11111111111111,0.1111111111111111,-0.007999999999999896,0.7446666666666667,0.7566666666666666,-0.011999999999999999,10,12.444444444444445,8.777777777777779,3.6666666666666665,6,42.666666666666664,39.55555555555556,3.111111111111111,0,22.333333333333332,20.22222222222222,2.111111111111111,-6,8.555555555555555,7.555555555555555,1.0,-1,4.666666666666667,5.555555555555555,-0.8888888888888888,5,13.333333333333334,15.333333333333334,-2.0,2,22.77777777777778,22.666666666666668,0.1111111111111111
