,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential,cumalitive_Points,cumalitive_Points_differential,cumalitive_FieldGoals,cumalitive_FieldGoals_differential,cumalitive_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted_differential,cumalitive_FieldGoals.,cumalitive_FieldGoals._differential,cumalitive_3PointShots,cumalitive_3PointShots_differential,cumalitive_3PointShotsAttempted,cumalitive_3PointShotsAttempted_differential,cumalitive_3PointShots.,cumalitive_3PointShots._differential,cumalitive_FreeThrows,cumalitive_FreeThrows_differential,cumalitive_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted_differential,cumalitive_FreeThrows.,cumalitive_FreeThrows._differential,cumalitive_OffRebounds,cumalitive_OffRebounds_differential,cumalitive_TotalRebounds,cumalitive_TotalRebounds_differential,cumalitive_Assists,cumalitive_Assists_differential,cumalitive_Steals,cumalitive_Steals_differential,cumalitive_Blocks,cumalitive_Blocks_differential,cumalitive_Turnovers,cumalitive_Turnovers_differential,cumalitive_TotalFouls,cumalitive_TotalFouls_differential
1394,1394,8774,1409,MIN,1,2017-10-18,Away,SAS,L,99,107,37,85,0.435,8,19,0.42100000000000004,17,23,0.7390000000000001,11,42,23,7,4,13,16,41,89,0.461,8,21,0.381,17,19,0.895,12,50,22,8,11,11,18,2017-10-18,-8,-4,-4,-0.026000000000000027,0,-2,0.03999999999999998,0,4,-0.15599999999999992,-1,-8,1,-1,-7,2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1395,1395,8775,2409,MIN,2,2017-10-20,Home,UTA,W,100,97,36,81,0.444,7,22,0.318,21,26,0.8079999999999999,10,44,17,11,2,15,17,37,77,0.48100000000000004,9,22,0.409,14,17,0.8240000000000001,7,38,23,10,8,19,21,2017-10-20,3,-1,4,-0.036999999999999984,-2,0,-0.09099999999999996,7,9,-0.016000000000000125,3,6,-6,1,-6,-4,-4,99.0,-8.0,37.0,-4.0,85.0,-4.0,0.435,-0.026000000000000027,8.0,0.0,19.0,-2.0,0.42100000000000004,0.03999999999999998,17.0,0.0,23.0,4.0,0.7390000000000001,-0.15599999999999992,11.0,-1.0,42.0,-8.0,23.0,1.0,7.0,-1.0,4.0,-7.0,13.0,2.0,16.0,-2.0
1396,1396,8776,3409,MIN,3,2017-10-22,Away,OKC,W,115,113,43,86,0.5,10,25,0.4,19,23,0.826,10,45,25,5,1,17,17,46,96,0.479,11,31,0.355,10,16,0.625,9,36,26,9,6,11,22,2017-10-22,2,-3,-10,0.02100000000000002,-1,-6,0.04500000000000004,9,7,0.201,1,9,-1,-4,-5,6,-5,199.0,-5.0,73.0,-5.0,166.0,0.0,0.879,-0.06300000000000001,15.0,-2.0,41.0,-2.0,0.7390000000000001,-0.050999999999999976,38.0,7.0,49.0,13.0,1.5470000000000002,-0.17200000000000004,21.0,2.0,86.0,-2.0,40.0,-5.0,18.0,0.0,6.0,-13.0,28.0,-2.0,33.0,-6.0
1397,1397,8777,4409,MIN,4,2017-10-24,Home,IND,L,107,130,42,86,0.488,9,24,0.375,14,22,0.636,9,27,27,9,4,14,14,56,84,0.667,10,22,0.455,8,11,0.727,8,42,31,8,2,17,21,2017-10-24,-23,-14,2,-0.17900000000000005,-1,2,-0.08000000000000003,6,11,-0.09099999999999996,1,-15,-4,1,2,-3,-7,314.0,-3.0,116.0,-8.0,252.0,-10.0,1.379,-0.041999999999999996,25.0,-3.0,66.0,-8.0,1.1390000000000002,-0.005999999999999936,57.0,16.0,72.0,20.0,2.373,0.02899999999999997,31.0,3.0,131.0,7.0,65.0,-6.0,23.0,-4.0,7.0,-18.0,45.0,4.0,50.0,-11.0
1398,1398,8778,5409,MIN,5,2017-10-25,Away,DET,L,101,122,37,85,0.435,9,25,0.36,18,21,0.857,7,37,19,5,4,14,19,48,92,0.522,15,34,0.441,11,17,0.647,12,47,32,7,3,14,22,2017-10-25,-21,-11,-7,-0.08700000000000002,-6,-9,-0.08100000000000003,7,4,0.21,-5,-10,-13,-2,1,0,-3,421.0,-26.0,158.0,-22.0,338.0,-8.0,1.867,-0.22100000000000003,34.0,-4.0,90.0,-6.0,1.5140000000000002,-0.08599999999999997,71.0,22.0,94.0,31.0,3.0090000000000003,-0.061999999999999986,40.0,4.0,158.0,-8.0,92.0,-10.0,32.0,-3.0,11.0,-16.0,59.0,1.0,64.0,-18.0
1399,1399,8779,6409,MIN,6,2017-10-27,Home,OKC,W,119,116,42,86,0.488,8,22,0.364,27,35,0.7709999999999999,17,44,23,5,7,15,21,43,86,0.5,8,28,0.28600000000000003,22,25,0.88,11,35,19,8,9,14,29,2017-10-27,3,-1,0,-0.012000000000000009,0,-6,0.07799999999999996,5,10,-0.1090000000000001,6,9,4,-3,-2,1,-8,522.0,-47.0,195.0,-33.0,423.0,-15.0,2.302,-0.30800000000000005,43.0,-10.0,115.0,-15.0,1.874,-0.16699999999999998,89.0,29.0,115.0,35.0,3.8660000000000005,0.14800000000000002,47.0,-1.0,195.0,-18.0,111.0,-23.0,37.0,-5.0,15.0,-15.0,73.0,1.0,83.0,-21.0
1400,1400,8780,7409,MIN,7,2017-10-30,Away,MIA,W,125,122,41,91,0.451,11,23,0.478,32,35,0.914,10,40,20,16,4,16,25,49,93,0.527,7,27,0.259,17,25,0.68,15,49,17,8,5,24,28,2017-10-30,3,-8,-2,-0.07600000000000001,4,-4,0.219,15,10,0.234,-5,-9,3,8,-1,-8,-3,641.0,-44.0,237.0,-34.0,509.0,-15.0,2.79,-0.32000000000000006,51.0,-10.0,137.0,-21.0,2.238,-0.08900000000000002,116.0,34.0,150.0,45.0,4.6370000000000005,0.038999999999999924,64.0,5.0,239.0,-9.0,134.0,-19.0,42.0,-8.0,22.0,-17.0,88.0,2.0,104.0,-29.0
1401,1401,8781,8302,MIN,8,2017-11-01,Away,NOP,W,104,98,41,83,0.494,6,22,0.273,16,24,0.667,11,47,20,13,3,21,21,36,84,0.429,8,31,0.258,18,21,0.857,9,38,27,13,4,19,24,2017-11-01,6,5,-1,0.065,-2,-9,0.015000000000000013,-2,3,-0.18999999999999995,2,9,-7,0,-1,2,-3,766.0,-41.0,278.0,-42.0,600.0,-17.0,3.241,-0.3960000000000001,62.0,-6.0,160.0,-25.0,2.716,0.12999999999999998,148.0,49.0,185.0,55.0,5.551,0.2729999999999999,74.0,0.0,279.0,-18.0,154.0,-16.0,58.0,0.0,26.0,-18.0,104.0,-6.0,129.0,-32.0
1402,1402,8782,9107,MIN,9,2017-11-04,Home,DAL,W,112,99,43,79,0.544,10,24,0.41700000000000004,16,20,0.8,10,48,33,7,8,18,20,40,86,0.465,10,27,0.37,9,12,0.75,7,31,18,7,2,16,19,2017-11-04,13,3,-7,0.07900000000000001,0,-3,0.04699999999999999,7,8,0.05000000000000005,3,17,15,0,6,2,1,870.0,-35.0,319.0,-37.0,683.0,-18.0,3.7350000000000003,-0.33100000000000007,68.0,-8.0,182.0,-34.0,2.9890000000000003,0.145,164.0,47.0,209.0,58.0,6.218,0.08299999999999996,85.0,2.0,326.0,-9.0,174.0,-23.0,71.0,0.0,29.0,-19.0,125.0,-4.0,150.0,-35.0
1403,1403,8783,10107,MIN,10,2017-11-05,Home,CHO,W,112,94,38,83,0.45799999999999996,10,24,0.41700000000000004,26,30,0.867,12,54,20,4,4,16,19,37,89,0.41600000000000004,9,28,0.321,11,21,0.524,10,40,24,8,3,11,24,2017-11-05,18,1,-6,0.04200000000000004,1,-4,0.09599999999999996,15,9,0.343,2,14,-4,-4,1,5,-5,982.0,-22.0,362.0,-34.0,762.0,-25.0,4.279,-0.25200000000000006,78.0,-8.0,206.0,-37.0,3.4060000000000006,0.19199999999999998,180.0,54.0,229.0,66.0,7.018,0.133,95.0,5.0,374.0,8.0,207.0,-8.0,78.0,0.0,37.0,-13.0,143.0,-2.0,170.0,-34.0
