,Unnamed: 0,Unnamed: 0.1.1.1.1.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,cumalitive_Points,cumalitive_Opp.Points,cumalitive_differential_Points,average_Points,average_Opp.{},average_Points_differential,differential_FieldGoals,cumalitive_FieldGoals,cumalitive_Opp.FieldGoals,cumalitive_differential_FieldGoals,average_FieldGoals,average_FieldGoals_differential,differential_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted,cumalitive_Opp.FieldGoalsAttempted,cumalitive_differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_FieldGoalsAttempted_differential,differential_FieldGoals.,cumalitive_FieldGoals.,cumalitive_Opp.FieldGoals.,cumalitive_differential_FieldGoals.,average_FieldGoals.,average_FieldGoals._differential,differential_3PointShots,cumalitive_3PointShots,cumalitive_Opp.3PointShots,cumalitive_differential_3PointShots,average_3PointShots,average_3PointShots_differential,differential_3PointShotsAttempted,cumalitive_3PointShotsAttempted,cumalitive_Opp.3PointShotsAttempted,cumalitive_differential_3PointShotsAttempted,average_3PointShotsAttempted,average_3PointShotsAttempted_differential,differential_3PointShots.,cumalitive_3PointShots.,cumalitive_Opp.3PointShots.,cumalitive_differential_3PointShots.,average_3PointShots.,average_3PointShots._differential,differential_FreeThrows,cumalitive_FreeThrows,cumalitive_Opp.FreeThrows,cumalitive_differential_FreeThrows,average_FreeThrows,average_FreeThrows_differential,differential_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted,cumalitive_Opp.FreeThrowsAttempted,cumalitive_differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_FreeThrowsAttempted_differential,differential_FreeThrows.,cumalitive_FreeThrows.,cumalitive_Opp.FreeThrows.,cumalitive_differential_FreeThrows.,average_FreeThrows.,average_FreeThrows._differential,differential_OffRebounds,cumalitive_OffRebounds,cumalitive_Opp.OffRebounds,cumalitive_differential_OffRebounds,average_OffRebounds,average_OffRebounds_differential,differential_TotalRebounds,cumalitive_TotalRebounds,cumalitive_Opp.TotalRebounds,cumalitive_differential_TotalRebounds,average_TotalRebounds,average_TotalRebounds_differential,differential_Assists,cumalitive_Assists,cumalitive_Opp.Assists,cumalitive_differential_Assists,average_Assists,average_Assists_differential,differential_Steals,cumalitive_Steals,cumalitive_Opp.Steals,cumalitive_differential_Steals,average_Steals,average_Steals_differential,differential_Blocks,cumalitive_Blocks,cumalitive_Opp.Blocks,cumalitive_differential_Blocks,average_Blocks,average_Blocks_differential,differential_Turnovers,cumalitive_Turnovers,cumalitive_Opp.Turnovers,cumalitive_differential_Turnovers,average_Turnovers,average_Turnovers_differential,differential_TotalFouls,cumalitive_TotalFouls,cumalitive_Opp.TotalFouls,cumalitive_differential_TotalFouls,average_TotalFouls,average_TotalFouls_differential
0,0,1174,NOP,1,2015-10-27,Away,GSW,L,95,111,35,83,0.42200000000000004,6,18,0.33299999999999996,19,27,0.7040000000000001,8,33,21,9,3,18,26,41,96,0.4270000000000001,9,30,0.3,20,22,0.909,21,56,29,8,7,20,29,-16,95,111,-16,95.0,29.0,-16.0,-6,35,41,-6,35.0,-6.0,-13,83,96,-13,83.0,-13.0,-0.00500000000000006,0.42200000000000004,0.4270000000000001,-0.00500000000000006,0.42200000000000004,-0.00500000000000006,-3,6,9,-3,6.0,-3.0,-12,18,30,-12,18.0,-12.0,0.032999999999999974,0.33299999999999996,0.3,0.032999999999999974,0.33299999999999996,0.032999999999999974,-1,19,20,-1,19.0,-1.0,5,27,22,5,27.0,5.0,-0.20499999999999996,0.7040000000000001,0.909,-0.20499999999999996,0.7040000000000001,-0.20499999999999996,-13,8,21,-13,8.0,-13.0,-23,33,56,-23,33.0,-23.0,-8,21,29,-8,21.0,-8.0,1,9,8,1,9.0,1.0,-4,3,7,-4,3.0,-4.0,-2,18,20,-2,18.0,-2.0,-3,26,29,-3,26.0,-3.0
1,1,2174,NOP,2,2015-10-28,Away,POR,L,94,112,36,91,0.396,11,33,0.33299999999999996,11,18,0.611,5,39,19,7,2,11,17,44,88,0.5,12,32,0.375,12,14,0.857,6,51,22,7,4,12,21,-18,189,223,-34,94.5,25.0,-17.0,-8,71,85,-14,35.5,-7.0,3,174,184,-10,87.0,-5.0,-0.10399999999999998,0.8180000000000001,0.927,-0.10900000000000004,0.40900000000000003,-0.05450000000000002,-1,17,21,-4,8.5,-2.0,1,51,62,-11,25.5,-5.5,-0.04200000000000004,0.6659999999999999,0.675,-0.009000000000000064,0.33299999999999996,-0.004500000000000032,-1,30,32,-2,15.0,-1.0,4,45,36,9,22.5,4.5,-0.246,1.315,1.766,-0.45099999999999996,0.6575,-0.22549999999999998,-1,13,27,-14,6.5,-7.0,-12,72,107,-35,36.0,-17.5,-3,40,51,-11,20.0,-5.5,0,16,15,1,8.0,0.5,-2,5,11,-6,2.5,-3.0,-1,29,32,-3,14.5,-1.5,-4,43,50,-7,21.5,-3.5
2,2,3174,NOP,3,2015-10-31,Home,GSW,L,120,134,46,100,0.46,8,22,0.364,20,23,0.87,16,48,22,4,4,15,23,46,84,0.5479999999999999,17,30,0.5670000000000001,25,35,0.7140000000000001,3,38,26,10,4,10,24,-14,309,357,-48,103.0,24.666666666666668,-16.0,0,117,131,-14,39.0,-4.666666666666667,16,274,268,6,91.33333333333333,2.0,-0.08799999999999991,1.278,1.475,-0.19699999999999995,0.426,-0.06566666666666665,-9,25,38,-13,8.333333333333334,-4.333333333333333,-8,73,92,-19,24.333333333333332,-6.333333333333333,-0.20300000000000007,1.0299999999999998,1.242,-0.21200000000000013,0.34333333333333327,-0.07066666666666671,-5,50,57,-7,16.666666666666668,-2.3333333333333335,-12,68,71,-3,22.666666666666668,-1.0,0.15599999999999992,2.185,2.48,-0.29500000000000004,0.7283333333333334,-0.09833333333333334,13,29,30,-1,9.666666666666666,-0.3333333333333333,10,120,145,-25,40.0,-8.333333333333334,-4,62,77,-15,20.666666666666668,-5.0,-6,20,25,-5,6.666666666666667,-1.6666666666666667,0,9,15,-6,3.0,-2.0,5,44,42,2,14.666666666666666,0.6666666666666666,-1,66,74,-8,22.0,-2.6666666666666665
3,3,4174,NOP,4,2015-11-03,Home,ORL,L,94,103,32,90,0.35600000000000004,12,36,0.33299999999999996,18,25,0.72,10,46,23,12,9,14,14,42,90,0.467,7,18,0.389,12,12,1.0,10,55,24,5,3,18,18,-9,403,460,-57,100.75,23.0,-14.25,-10,149,173,-24,37.25,-6.0,0,364,358,6,91.0,1.5,-0.11099999999999999,1.6340000000000001,1.9420000000000002,-0.30799999999999994,0.40850000000000003,-0.07699999999999999,5,37,45,-8,9.25,-2.0,18,109,110,-1,27.25,-0.25,-0.05600000000000005,1.3629999999999998,1.631,-0.2680000000000002,0.34074999999999994,-0.06700000000000005,6,68,69,-1,17.0,-0.25,13,93,83,10,23.25,2.5,-0.28,2.9050000000000002,3.48,-0.5750000000000001,0.7262500000000001,-0.14375000000000002,0,39,40,-1,9.75,-0.25,-9,166,200,-34,41.5,-8.5,-1,85,101,-16,21.25,-4.0,7,32,30,2,8.0,0.5,6,18,18,0,4.5,0.0,-4,58,60,-2,14.5,-0.5,-4,80,92,-12,20.0,-3.0
4,4,5174,NOP,5,2015-11-06,Home,ATL,L,115,121,42,84,0.5,10,30,0.33299999999999996,21,24,0.875,6,32,30,9,7,12,24,41,77,0.532,9,21,0.429,30,35,0.857,6,41,30,10,6,15,21,-6,518,581,-63,103.6,22.6,-12.6,1,191,214,-23,38.2,-4.6,7,448,435,13,89.6,2.6,-0.03200000000000003,2.1340000000000003,2.474,-0.33999999999999997,0.42680000000000007,-0.06799999999999999,1,47,54,-7,9.4,-1.4,9,139,131,8,27.8,1.6,-0.09600000000000003,1.6959999999999997,2.06,-0.3640000000000002,0.33919999999999995,-0.07280000000000005,-9,89,99,-10,17.8,-2.0,-11,117,118,-1,23.4,-0.2,0.018000000000000016,3.7800000000000002,4.337,-0.557,0.756,-0.11140000000000001,0,45,46,-1,9.0,-0.2,-9,198,241,-43,39.6,-8.6,0,115,131,-16,23.0,-3.2,-1,41,40,1,8.2,0.2,1,25,24,1,5.0,0.2,-3,70,75,-5,14.0,-1.0,3,104,113,-9,20.8,-1.8
5,5,6174,NOP,6,2015-11-07,Away,DAL,L,98,107,39,86,0.45299999999999996,9,28,0.321,11,13,0.846,7,42,21,7,6,12,24,40,84,0.47600000000000003,9,24,0.375,18,22,0.818,6,42,20,5,2,9,17,-9,616,688,-72,102.66666666666667,21.666666666666668,-12.0,-1,230,254,-24,38.333333333333336,-4.0,2,534,519,15,89.0,2.5,-0.023000000000000076,2.587,2.95,-0.36300000000000004,0.4311666666666667,-0.060500000000000005,0,56,63,-7,9.333333333333334,-1.1666666666666667,4,167,155,12,27.833333333333332,2.0,-0.05399999999999999,2.017,2.435,-0.4180000000000002,0.33616666666666667,-0.0696666666666667,-7,100,117,-17,16.666666666666668,-2.8333333333333335,-9,130,140,-10,21.666666666666668,-1.6666666666666667,0.028000000000000025,4.626,5.154999999999999,-0.529,0.771,-0.08816666666666667,1,52,52,0,8.666666666666666,0.0,0,240,283,-43,40.0,-7.166666666666667,1,136,151,-15,22.666666666666668,-2.5,2,48,45,3,8.0,0.5,4,31,26,5,5.166666666666667,0.8333333333333334,3,82,84,-2,13.666666666666666,-0.3333333333333333,7,128,130,-2,21.333333333333332,-0.3333333333333333
6,6,7174,NOP,7,2015-11-10,Home,DAL,W,120,105,46,92,0.5,14,33,0.424,14,18,0.778,9,48,25,9,5,11,27,39,88,0.44299999999999995,5,20,0.25,22,26,0.846,8,44,20,4,4,13,17,15,736,793,-57,105.14285714285714,21.0,-8.142857142857142,7,276,293,-17,39.42857142857143,-2.4285714285714284,4,626,607,19,89.42857142857143,2.7142857142857144,0.05700000000000005,3.087,3.3930000000000002,-0.306,0.441,-0.04371428571428571,9,70,68,2,10.0,0.2857142857142857,13,200,175,25,28.571428571428573,3.5714285714285716,0.174,2.441,2.685,-0.24400000000000022,0.3487142857142857,-0.034857142857142885,-8,114,139,-25,16.285714285714285,-3.5714285714285716,-8,148,166,-18,21.142857142857142,-2.5714285714285716,-0.06799999999999995,5.404,6.0009999999999994,-0.597,0.772,-0.08528571428571428,1,61,60,1,8.714285714285714,0.14285714285714285,4,288,327,-39,41.142857142857146,-5.571428571428571,5,161,171,-10,23.0,-1.4285714285714286,5,57,49,8,8.142857142857142,1.1428571428571428,1,36,30,6,5.142857142857143,0.8571428571428571,-2,93,97,-4,13.285714285714286,-0.5714285714285714,10,155,147,8,22.142857142857142,1.1428571428571428
7,7,867,NOP,8,2015-11-11,Away,ATL,L,98,106,37,83,0.446,14,29,0.483,10,15,0.667,8,40,21,6,0,19,21,42,86,0.488,10,26,0.385,12,16,0.75,8,44,26,10,7,12,16,-8,834,899,-65,104.25,20.375,-8.125,-5,313,335,-22,39.125,-2.75,-3,709,693,16,88.625,2.0,-0.04199999999999998,3.5330000000000004,3.8810000000000002,-0.348,0.44162500000000005,-0.0435,4,84,78,6,10.5,0.75,3,229,201,28,28.625,3.5,0.09799999999999998,2.924,3.0700000000000003,-0.14600000000000024,0.3655,-0.01825000000000003,-2,124,151,-27,15.5,-3.375,-1,163,182,-19,20.375,-2.375,-0.08299999999999996,6.071,6.7509999999999994,-0.6799999999999999,0.758875,-0.08499999999999999,0,69,68,1,8.625,0.125,-4,328,371,-43,41.0,-5.375,-5,182,197,-15,22.75,-1.875,-4,63,59,4,7.875,0.5,-7,36,37,-1,4.5,-0.125,7,112,109,3,14.0,0.375,5,176,163,13,22.0,1.625
8,8,948,NOP,9,2015-11-13,Away,TOR,L,81,100,30,82,0.366,7,23,0.304,14,20,0.7,10,38,15,10,4,14,22,34,77,0.442,9,21,0.429,23,27,0.852,13,48,19,8,5,15,19,-19,915,999,-84,101.66666666666667,20.22222222222222,-9.333333333333334,-4,343,369,-26,38.111111111111114,-2.888888888888889,5,791,770,21,87.88888888888889,2.3333333333333335,-0.07600000000000001,3.8990000000000005,4.323,-0.424,0.4332222222222223,-0.04711111111111111,-2,91,87,4,10.11111111111111,0.4444444444444444,2,252,222,30,28.0,3.3333333333333335,-0.125,3.2279999999999998,3.499,-0.27100000000000024,0.35866666666666663,-0.030111111111111137,-9,138,174,-36,15.333333333333334,-4.0,-7,183,209,-26,20.333333333333332,-2.888888888888889,-0.15200000000000002,6.771,7.603,-0.832,0.7523333333333333,-0.09244444444444444,-3,79,81,-2,8.777777777777779,-0.2222222222222222,-10,366,419,-53,40.666666666666664,-5.888888888888889,-4,197,216,-19,21.88888888888889,-2.111111111111111,2,73,67,6,8.11111111111111,0.6666666666666666,-1,40,42,-2,4.444444444444445,-0.2222222222222222,-1,126,124,2,14.0,0.2222222222222222,3,198,182,16,22.0,1.7777777777777777
9,9,1048,NOP,10,2015-11-15,Away,NYK,L,87,95,32,71,0.451,6,21,0.28600000000000003,17,19,0.895,4,36,16,5,5,18,22,38,88,0.4320000000000001,4,18,0.222,15,19,0.789,10,41,18,8,4,9,20,-8,1002,1094,-92,100.2,20.2,-9.2,-6,375,407,-32,37.5,-3.2,-17,862,858,4,86.2,0.4,0.018999999999999906,4.3500000000000005,4.755000000000001,-0.4050000000000001,0.43500000000000005,-0.04050000000000001,2,97,91,6,9.7,0.6,3,273,240,33,27.3,3.3,0.06400000000000003,3.514,3.721,-0.2070000000000002,0.3514,-0.02070000000000002,2,155,189,-34,15.5,-3.4,0,202,228,-26,20.2,-2.6,0.10599999999999998,7.666,8.392,-0.726,0.7666000000000001,-0.0726,-6,83,91,-8,8.3,-0.8,-5,402,460,-58,40.2,-5.8,-2,213,234,-21,21.3,-2.1,-3,78,75,3,7.8,0.3,1,45,46,-1,4.5,-0.1,9,144,133,11,14.4,1.1,2,220,202,18,22.0,1.8
