,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,NOP,1,2016-10-26,Home,DEN,L,102,107,38,92,0.413,3,19,0.158,23,26,0.885,5,33,31,16,5,11,29,37,83,0.446,8,24,0.333,25,33,0.758,11,58,18,7,4,24,22,-5,0.0,0.0,0.0,1,0.0,0.0,0.0,9,0.0,0.0,0.0,-0.03300000000000003,0.0,0.0,0.0,-5,0.0,0.0,0.0,-5,0.0,0.0,0.0,-0.17500000000000002,0.0,0.0,0.0,-2,0.0,0.0,0.0,-7,0.0,0.0,0.0,0.127,0.0,0.0,0.0,-6,0.0,0.0,0.0,-25,0.0,0.0,0.0,13,0.0,0.0,0.0,9,0.0,0.0,0.0,1,0.0,0.0,0.0,-13,0.0,0.0,0.0,7,0.0,0.0,0.0
1,NOP,2,2016-10-28,Home,GSW,L,114,122,47,100,0.47,5,22,0.227,15,23,0.652,12,49,29,8,5,13,24,44,91,0.484,9,28,0.321,25,28,0.893,9,49,32,8,2,14,22,-8,102.0,107.0,-5.0,3,38.0,37.0,1.0,9,92.0,83.0,9.0,-0.014000000000000012,0.413,0.446,-0.03300000000000003,-4,3.0,8.0,-5.0,-6,19.0,24.0,-5.0,-0.094,0.158,0.333,-0.17500000000000002,-10,23.0,25.0,-2.0,-5,26.0,33.0,-7.0,-0.241,0.885,0.758,0.127,3,5.0,11.0,-6.0,0,33.0,58.0,-25.0,-3,31.0,18.0,13.0,0,16.0,7.0,9.0,3,5.0,4.0,1.0,-1,11.0,24.0,-13.0,2,29.0,22.0,7.0
2,NOP,3,2016-10-29,Away,SAS,L,79,98,32,86,0.3720000000000001,4,22,0.182,11,15,0.733,7,45,14,6,5,9,19,35,83,0.422,10,24,0.417,18,23,0.7829999999999999,6,50,21,6,7,9,15,-19,108.0,114.5,-6.5,-3,42.5,40.5,2.0,3,96.0,87.0,9.0,-0.04999999999999988,0.4415,0.46499999999999997,-0.02350000000000002,-6,4.0,8.5,-4.5,-2,20.5,26.0,-5.5,-0.235,0.1925,0.327,-0.1345,-7,19.0,25.0,-6.0,-8,24.5,30.5,-6.0,-0.04999999999999993,0.7685,0.8255,-0.056999999999999995,1,8.5,10.0,-1.5,-5,41.0,53.5,-12.5,-7,30.0,25.0,5.0,0,12.0,7.5,4.5,-2,5.0,3.0,2.0,0,12.0,19.0,-7.0,4,26.5,22.0,4.5
3,NOP,4,2016-11-01,Home,MIL,L,113,117,36,82,0.439,9,26,0.34600000000000003,32,41,0.78,9,42,23,13,5,13,17,44,91,0.484,10,32,0.313,19,21,0.905,11,49,30,9,5,15,25,-4,98.33333333333333,109.0,-10.666666666666666,-8,39.0,38.666666666666664,0.3333333333333333,-9,92.66666666666667,85.66666666666667,7.0,-0.044999999999999984,0.4183333333333334,0.4506666666666666,-0.032333333333333304,-1,4.0,9.0,-5.0,-6,21.0,25.333333333333332,-4.333333333333333,0.03300000000000003,0.18899999999999997,0.357,-0.168,13,16.333333333333332,22.666666666666668,-6.333333333333333,20,21.333333333333332,28.0,-6.666666666666667,-0.125,0.7566666666666667,0.8113333333333334,-0.05466666666666664,-2,8.0,8.666666666666666,-0.6666666666666666,-7,42.333333333333336,52.333333333333336,-10.0,-7,24.666666666666668,23.666666666666668,1.0,4,10.0,7.0,3.0,0,5.0,4.333333333333333,0.6666666666666666,-2,11.0,15.666666666666666,-4.666666666666667,-8,24.0,19.666666666666668,4.333333333333333
4,NOP,5,2016-11-02,Away,MEM,L,83,89,30,81,0.37,11,34,0.324,12,16,0.75,5,43,17,8,9,21,26,33,94,0.35100000000000003,8,27,0.29600000000000004,15,20,0.75,13,52,20,12,5,17,22,-6,102.0,111.0,-9.0,-3,38.25,40.0,-1.75,-13,90.0,87.0,3.0,0.01899999999999996,0.42350000000000004,0.45899999999999996,-0.035499999999999976,3,5.25,9.25,-4.0,7,22.25,27.0,-4.75,0.02799999999999997,0.22825,0.346,-0.11775,-3,20.25,21.75,-1.5,-4,26.25,26.25,0.0,0.0,0.7625,0.8347500000000001,-0.07224999999999998,-8,8.25,9.25,-1.0,-9,42.25,51.5,-9.25,-3,24.25,25.25,-1.0,-4,10.75,7.5,3.25,4,5.0,4.5,0.5,4,11.5,15.5,-4.0,4,22.25,21.0,1.25
5,NOP,6,2016-11-04,Home,PHO,L,111,112,43,94,0.457,10,30,0.333,15,28,0.536,6,43,28,7,13,8,21,40,93,0.43,8,24,0.333,24,28,0.857,12,59,18,7,2,15,27,-1,98.2,106.6,-8.4,3,36.6,38.6,-2.0,1,88.2,88.4,-0.2,0.027000000000000024,0.4128,0.43739999999999996,-0.02459999999999999,2,6.4,9.0,-2.6,6,24.6,27.0,-2.4,0.0,0.2474,0.33599999999999997,-0.0886,-9,18.6,20.4,-1.8,0,24.2,25.0,-0.8,-0.32099999999999995,0.76,0.8178000000000001,-0.05779999999999998,-6,7.6,10.0,-2.4,-16,42.4,51.6,-9.2,10,22.8,24.2,-1.4,0,10.2,8.4,1.8,11,5.8,4.6,1.2,-7,13.4,15.8,-2.4,-6,23.0,21.2,1.8
6,NOP,7,2016-11-07,Away,GSW,L,106,116,39,80,0.488,7,21,0.333,21,27,0.778,11,43,26,8,1,19,16,45,90,0.5,16,35,0.457,10,12,0.833,10,38,35,14,4,15,17,-10,100.33333333333333,107.5,-7.166666666666667,-6,37.666666666666664,38.833333333333336,-1.1666666666666667,-10,89.16666666666667,89.16666666666667,0.0,-0.01200000000000001,0.42016666666666663,0.43616666666666665,-0.015999999999999986,-9,7.0,8.833333333333334,-1.8333333333333333,-14,25.5,26.5,-1.0,-0.124,0.26166666666666666,0.33549999999999996,-0.07383333333333333,11,18.0,21.0,-3.0,15,24.833333333333332,25.5,-0.6666666666666666,-0.05499999999999994,0.7226666666666667,0.8243333333333335,-0.10166666666666664,1,7.333333333333333,10.333333333333334,-3.0,5,42.5,52.833333333333336,-10.333333333333334,-9,23.666666666666668,23.166666666666668,0.5,-6,9.666666666666666,8.166666666666666,1.5,-3,7.0,4.166666666666667,2.8333333333333335,4,12.5,15.666666666666666,-3.1666666666666665,-1,22.666666666666668,22.166666666666668,0.5
7,NOP,8,2016-11-08,Away,SAC,L,94,102,38,84,0.452,5,21,0.238,13,18,0.722,7,40,23,5,9,10,23,39,81,0.481,8,25,0.32,16,20,0.8,5,39,24,7,5,10,21,-8,101.14285714285714,108.71428571428571,-7.571428571428571,-1,37.857142857142854,39.714285714285715,-1.8571428571428572,3,87.85714285714286,89.28571428571429,-1.4285714285714286,-0.02899999999999997,0.4298571428571428,0.4452857142857143,-0.015428571428571418,-3,7.0,9.857142857142858,-2.857142857142857,-4,24.857142857142858,27.714285714285715,-2.857142857142857,-0.08200000000000002,0.27185714285714285,0.3528571428571428,-0.08099999999999999,-3,18.428571428571427,19.428571428571427,-1.0,-2,25.142857142857142,23.571428571428573,1.5714285714285714,-0.07800000000000007,0.7305714285714286,0.8255714285714287,-0.09499999999999997,2,7.857142857142857,10.285714285714286,-2.4285714285714284,1,42.57142857142857,50.714285714285715,-8.142857142857142,-1,24.0,24.857142857142858,-0.8571428571428571,-2,9.428571428571429,9.0,0.42857142857142855,4,6.142857142857143,4.142857142857143,2.0,0,13.428571428571429,15.571428571428571,-2.142857142857143,2,21.714285714285715,21.428571428571427,0.2857142857142857
8,NOP,9,2016-11-10,Away,MIL,W,112,106,39,89,0.438,9,25,0.36,25,27,0.926,11,47,22,9,7,10,19,40,91,0.44,6,18,0.333,20,25,0.8,11,48,23,4,5,11,20,6,100.25,107.875,-7.625,-1,37.875,39.625,-1.75,-2,87.375,88.25,-0.875,-0.0020000000000000018,0.432625,0.44975,-0.017124999999999987,3,6.75,9.625,-2.875,7,24.375,27.375,-3.0,0.02699999999999997,0.267625,0.34874999999999995,-0.081125,5,17.75,19.0,-1.25,2,24.25,23.125,1.125,0.126,0.7295,0.8223750000000001,-0.09287499999999999,0,7.75,9.625,-1.875,-1,42.25,49.25,-7.0,-1,23.875,24.75,-0.875,5,8.875,8.75,0.125,2,6.5,4.25,2.25,-1,13.0,14.875,-1.875,-1,21.875,21.375,0.5
9,NOP,10,2016-11-12,Home,LAL,L,99,126,39,90,0.433,6,20,0.3,15,19,0.789,12,42,20,4,5,10,10,52,94,0.5529999999999999,16,30,0.5329999999999999,6,7,0.857,10,47,36,8,5,10,17,-27,101.55555555555556,107.66666666666667,-6.111111111111111,-13,38.0,39.666666666666664,-1.6666666666666667,-4,87.55555555555556,88.55555555555556,-1.0,-0.11999999999999994,0.43322222222222223,0.4486666666666667,-0.015444444444444434,-10,7.0,9.222222222222221,-2.2222222222222223,-10,24.444444444444443,26.333333333333332,-1.8888888888888888,-0.23299999999999993,0.27788888888888885,0.347,-0.06911111111111112,9,18.555555555555557,19.11111111111111,-0.5555555555555556,12,24.555555555555557,23.333333333333332,1.2222222222222223,-0.06799999999999995,0.7513333333333334,0.8198888888888889,-0.06855555555555554,2,8.11111111111111,9.777777777777779,-1.6666666666666667,-5,42.77777777777778,49.111111111111114,-6.333333333333333,-16,23.666666666666668,24.555555555555557,-0.8888888888888888,-4,8.88888888888889,8.222222222222221,0.6666666666666666,0,6.555555555555555,4.333333333333333,2.2222222222222223,0,12.666666666666666,14.444444444444445,-1.7777777777777777,-7,21.555555555555557,21.22222222222222,0.3333333333333333
