,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,NYK,1,2017-10-19,Away,OKC,L,84,105,32,79,0.405,7,24,0.292,13,19,0.684,11,41,19,8,4,25,23,39,90,0.433,11,38,0.289,16,22,0.727,13,41,26,14,7,18,22,-21,0.0,0.0,0.0,-7,0.0,0.0,0.0,-11,0.0,0.0,0.0,-0.02799999999999997,0.0,0.0,0.0,-4,0.0,0.0,0.0,-14,0.0,0.0,0.0,0.0030000000000000027,0.0,0.0,0.0,-3,0.0,0.0,0.0,-3,0.0,0.0,0.0,-0.04299999999999993,0.0,0.0,0.0,-2,0.0,0.0,0.0,0,0.0,0.0,0.0,-7,0.0,0.0,0.0,-6,0.0,0.0,0.0,-3,0.0,0.0,0.0,7,0.0,0.0,0.0,1,0.0,0.0,0.0
1,NYK,2,2017-10-21,Home,DET,L,107,111,37,81,0.457,8,30,0.267,25,31,0.8059999999999999,12,39,20,6,2,12,21,44,91,0.484,9,30,0.3,14,15,0.933,15,43,21,5,2,12,25,-4,84.0,105.0,-21.0,-7,32.0,39.0,-7.0,-10,79.0,90.0,-11.0,-0.02699999999999997,0.405,0.433,-0.02799999999999997,-1,7.0,11.0,-4.0,0,24.0,38.0,-14.0,-0.032999999999999974,0.292,0.289,0.0030000000000000027,11,13.0,16.0,-3.0,16,19.0,22.0,-3.0,-0.1270000000000001,0.684,0.727,-0.04299999999999993,-3,11.0,13.0,-2.0,-4,41.0,41.0,0.0,-1,19.0,26.0,-7.0,1,8.0,14.0,-6.0,0,4.0,7.0,-3.0,0,25.0,18.0,7.0,-4,23.0,22.0,1.0
2,NYK,3,2017-10-24,Away,BOS,L,89,110,36,85,0.424,1,12,0.083,16,25,0.64,11,43,20,8,2,14,17,37,75,0.493,14,29,0.483,22,27,0.815,5,41,26,11,7,12,24,-21,95.5,108.0,-12.5,-1,34.5,41.5,-7.0,10,80.0,90.5,-10.5,-0.069,0.43100000000000005,0.4585,-0.02749999999999997,-13,7.5,10.0,-2.5,-17,27.0,34.0,-7.0,-0.39999999999999997,0.27949999999999997,0.2945,-0.014999999999999986,-6,19.0,15.0,4.0,-2,25.0,18.5,6.5,-0.17499999999999993,0.745,0.8300000000000001,-0.08500000000000002,6,11.5,14.0,-2.5,2,40.0,42.0,-2.0,-6,19.5,23.5,-4.0,-3,7.0,9.5,-2.5,-5,3.0,4.5,-1.5,2,18.5,15.0,3.5,-7,22.0,23.5,-1.5
3,NYK,4,2017-10-27,Home,BRK,W,107,86,44,98,0.449,9,27,0.333,10,17,0.588,19,55,19,7,6,11,19,30,75,0.4,11,30,0.3670000000000001,15,21,0.7140000000000001,5,35,18,5,1,16,20,21,93.33333333333333,108.66666666666667,-15.333333333333334,14,35.0,40.0,-5.0,23,81.66666666666667,85.33333333333333,-3.6666666666666665,0.04899999999999999,0.4286666666666667,0.47000000000000003,-0.04133333333333331,-2,5.333333333333333,11.333333333333334,-6.0,-3,22.0,32.333333333333336,-10.333333333333334,-0.034000000000000086,0.21399999999999997,0.35733333333333334,-0.1433333333333333,-5,18.0,17.333333333333332,0.6666666666666666,-4,25.0,21.333333333333332,3.6666666666666665,-0.1260000000000001,0.71,0.8250000000000001,-0.11499999999999999,14,11.333333333333334,11.0,0.3333333333333333,20,41.0,41.666666666666664,-0.6666666666666666,1,19.666666666666668,24.333333333333332,-4.666666666666667,2,7.333333333333333,10.0,-2.6666666666666665,5,2.6666666666666665,5.333333333333333,-2.6666666666666665,-5,17.0,14.0,3.0,-1,20.333333333333332,23.666666666666668,-3.3333333333333335
4,NYK,5,2017-10-29,Away,CLE,W,114,95,42,89,0.472,13,28,0.464,17,21,0.81,11,51,27,9,6,14,26,31,81,0.383,10,33,0.303,23,27,0.852,7,41,20,5,5,15,23,19,96.75,103.0,-6.25,11,37.25,37.5,-0.25,8,85.75,82.75,3.0,0.08899999999999997,0.43375,0.4525,-0.01874999999999999,3,6.25,11.25,-5.0,-5,23.25,31.75,-8.5,0.16100000000000003,0.24374999999999997,0.35975,-0.116,-6,16.0,16.75,-0.75,-6,23.0,21.25,1.75,-0.041999999999999926,0.6795,0.79725,-0.11775000000000002,4,13.25,9.5,3.75,10,44.5,40.0,4.5,7,19.5,22.75,-3.25,4,7.25,8.75,-1.5,1,3.5,4.25,-0.75,-1,15.5,14.5,1.0,3,20.0,22.75,-2.75
5,NYK,6,2017-10-30,Home,DEN,W,116,110,41,82,0.5,13,32,0.406,21,23,0.913,11,49,27,8,10,22,27,35,85,0.412,18,41,0.439,22,31,0.71,13,36,20,13,5,13,22,6,100.2,101.4,-1.2,6,38.2,36.2,2.0,-3,86.4,82.4,4.0,0.08800000000000002,0.44139999999999996,0.4386,0.0028000000000000026,-5,7.6,11.0,-3.4,-9,24.2,32.0,-7.8,-0.032999999999999974,0.28779999999999994,0.3484,-0.0606,-1,16.2,18.0,-1.8,-8,22.6,22.4,0.2,0.20300000000000007,0.7056,0.8082,-0.1026,-2,12.8,9.0,3.8,13,45.8,40.2,5.6,7,21.0,22.2,-1.2,-5,7.6,8.0,-0.4,5,4.0,4.4,-0.4,9,15.2,14.6,0.6,5,21.2,22.8,-1.6
6,NYK,7,2017-11-01,Home,HOU,L,97,119,39,90,0.433,8,26,0.308,11,13,0.846,6,42,23,8,1,19,18,42,88,0.477,19,52,0.365,16,21,0.762,9,46,21,6,4,14,20,-22,102.83333333333333,102.83333333333333,0.0,-3,38.666666666666664,36.0,2.6666666666666665,2,85.66666666666667,82.83333333333333,2.8333333333333335,-0.043999999999999984,0.45116666666666666,0.43416666666666665,0.017000000000000005,-11,8.5,12.166666666666666,-3.6666666666666665,-26,25.5,33.5,-8.0,-0.056999999999999995,0.30749999999999994,0.3635,-0.055999999999999994,-5,17.0,18.666666666666668,-1.6666666666666667,-8,22.666666666666668,23.833333333333332,-1.1666666666666667,0.08399999999999996,0.7401666666666666,0.7918333333333334,-0.05166666666666666,-3,12.5,9.666666666666666,2.8333333333333335,-4,46.333333333333336,39.5,6.833333333333333,2,22.0,21.833333333333332,0.16666666666666666,2,7.666666666666667,8.833333333333334,-1.1666666666666667,-3,5.0,4.5,0.5,5,16.333333333333332,14.333333333333334,2.0,-2,22.166666666666668,22.666666666666668,-0.5
7,NYK,8,2017-11-03,Home,PHO,W,120,107,45,87,0.517,8,26,0.308,22,25,0.88,9,49,24,5,7,12,24,34,97,0.35100000000000003,9,32,0.281,30,37,0.8109999999999999,20,47,17,7,3,10,25,13,102.0,105.14285714285714,-3.142857142857143,11,38.714285714285715,36.857142857142854,1.8571428571428572,-10,86.28571428571429,83.57142857142857,2.7142857142857144,0.16599999999999998,0.4485714285714285,0.4402857142857143,0.008285714285714294,-1,8.428571428571429,13.142857142857142,-4.714285714285714,-6,25.571428571428573,36.142857142857146,-10.571428571428571,0.02699999999999997,0.3075714285714285,0.36371428571428577,-0.05614285714285714,-8,16.142857142857142,18.285714285714285,-2.142857142857143,-12,21.285714285714285,23.428571428571427,-2.142857142857143,0.06900000000000006,0.7552857142857142,0.7875714285714286,-0.032285714285714286,-11,11.571428571428571,9.571428571428571,2.0,2,45.714285714285715,40.42857142857143,5.285714285714286,7,22.142857142857142,21.714285714285715,0.42857142857142855,-2,7.714285714285714,8.428571428571429,-0.7142857142857143,4,4.428571428571429,4.428571428571429,0.0,2,16.714285714285715,14.285714285714286,2.4285714285714284,-1,21.571428571428573,22.285714285714285,-0.7142857142857143
8,NYK,9,2017-11-05,Home,IND,W,108,101,44,88,0.5,6,23,0.261,14,19,0.737,12,46,24,8,7,12,21,37,79,0.468,12,25,0.48,15,17,0.882,4,34,24,6,2,12,17,7,104.25,105.375,-1.125,7,39.5,36.5,3.0,9,86.375,85.25,1.125,0.03199999999999997,0.45712499999999995,0.429125,0.028000000000000004,-6,8.375,12.625,-4.25,-2,25.625,35.625,-10.0,-0.21899999999999997,0.3076249999999999,0.35337500000000005,-0.04575,-1,16.875,19.75,-2.875,2,21.75,25.125,-3.375,-0.14500000000000002,0.770875,0.7905,-0.01962499999999999,8,11.25,10.875,0.375,12,46.125,41.25,4.875,0,22.375,21.125,1.25,2,7.375,8.25,-0.875,5,4.75,4.25,0.5,0,16.125,13.75,2.375,4,21.875,22.625,-0.75
9,NYK,10,2017-11-07,Home,CHO,W,118,113,45,75,0.6,12,25,0.48,16,21,0.762,6,35,29,5,5,16,19,42,91,0.462,15,37,0.405,14,17,0.8240000000000001,17,40,24,8,2,13,22,5,104.66666666666667,104.88888888888889,-0.2222222222222222,3,40.0,36.55555555555556,3.4444444444444446,-16,86.55555555555556,84.55555555555556,2.0,0.13799999999999996,0.4618888888888889,0.4334444444444444,0.028444444444444446,-3,8.11111111111111,12.555555555555555,-4.444444444444445,-12,25.333333333333332,34.44444444444444,-9.11111111111111,0.07499999999999996,0.3024444444444444,0.36744444444444446,-0.065,2,16.555555555555557,19.22222222222222,-2.6666666666666665,4,21.444444444444443,24.22222222222222,-2.7777777777777777,-0.062000000000000055,0.7671111111111111,0.8006666666666666,-0.03355555555555555,-11,11.333333333333334,10.11111111111111,1.2222222222222223,-5,46.111111111111114,40.44444444444444,5.666666666666667,5,22.555555555555557,21.444444444444443,1.1111111111111112,-3,7.444444444444445,8.0,-0.5555555555555556,3,5.0,4.0,1.0,3,15.666666666666666,13.555555555555555,2.111111111111111,-3,21.77777777777778,22.0,-0.2222222222222222
