,Unnamed: 0,Unnamed: 0.1.1.1.1.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,cumalitive_Points,cumalitive_Opp.Points,cumalitive_differential_Points,average_Points,average_Opp.{},average_Points_differential,differential_FieldGoals,cumalitive_FieldGoals,cumalitive_Opp.FieldGoals,cumalitive_differential_FieldGoals,average_FieldGoals,average_FieldGoals_differential,differential_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted,cumalitive_Opp.FieldGoalsAttempted,cumalitive_differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_FieldGoalsAttempted_differential,differential_FieldGoals.,cumalitive_FieldGoals.,cumalitive_Opp.FieldGoals.,cumalitive_differential_FieldGoals.,average_FieldGoals.,average_FieldGoals._differential,differential_3PointShots,cumalitive_3PointShots,cumalitive_Opp.3PointShots,cumalitive_differential_3PointShots,average_3PointShots,average_3PointShots_differential,differential_3PointShotsAttempted,cumalitive_3PointShotsAttempted,cumalitive_Opp.3PointShotsAttempted,cumalitive_differential_3PointShotsAttempted,average_3PointShotsAttempted,average_3PointShotsAttempted_differential,differential_3PointShots.,cumalitive_3PointShots.,cumalitive_Opp.3PointShots.,cumalitive_differential_3PointShots.,average_3PointShots.,average_3PointShots._differential,differential_FreeThrows,cumalitive_FreeThrows,cumalitive_Opp.FreeThrows,cumalitive_differential_FreeThrows,average_FreeThrows,average_FreeThrows_differential,differential_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted,cumalitive_Opp.FreeThrowsAttempted,cumalitive_differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_FreeThrowsAttempted_differential,differential_FreeThrows.,cumalitive_FreeThrows.,cumalitive_Opp.FreeThrows.,cumalitive_differential_FreeThrows.,average_FreeThrows.,average_FreeThrows._differential,differential_OffRebounds,cumalitive_OffRebounds,cumalitive_Opp.OffRebounds,cumalitive_differential_OffRebounds,average_OffRebounds,average_OffRebounds_differential,differential_TotalRebounds,cumalitive_TotalRebounds,cumalitive_Opp.TotalRebounds,cumalitive_differential_TotalRebounds,average_TotalRebounds,average_TotalRebounds_differential,differential_Assists,cumalitive_Assists,cumalitive_Opp.Assists,cumalitive_differential_Assists,average_Assists,average_Assists_differential,differential_Steals,cumalitive_Steals,cumalitive_Opp.Steals,cumalitive_differential_Steals,average_Steals,average_Steals_differential,differential_Blocks,cumalitive_Blocks,cumalitive_Opp.Blocks,cumalitive_differential_Blocks,average_Blocks,average_Blocks_differential,differential_Turnovers,cumalitive_Turnovers,cumalitive_Opp.Turnovers,cumalitive_differential_Turnovers,average_Turnovers,average_Turnovers_differential,differential_TotalFouls,cumalitive_TotalFouls,cumalitive_Opp.TotalFouls,cumalitive_differential_TotalFouls,average_TotalFouls,average_TotalFouls_differential
0,0,1291,OKC,1,2016-10-26,Away,PHI,W,103,97,39,94,0.415,6,22,0.273,19,26,0.731,13,53,19,7,3,10,23,36,84,0.429,7,24,0.292,18,25,0.72,5,43,21,5,10,13,22,6,103,97,6,103.0,22.0,6.0,3,39,36,3,39.0,3.0,10,94,84,10,94.0,10.0,-0.014000000000000012,0.415,0.429,-0.014000000000000012,0.415,-0.014000000000000012,-1,6,7,-1,6.0,-1.0,-2,22,24,-2,22.0,-2.0,-0.01899999999999996,0.273,0.292,-0.01899999999999996,0.273,-0.01899999999999996,1,19,18,1,19.0,1.0,1,26,25,1,26.0,1.0,0.01100000000000001,0.731,0.72,0.01100000000000001,0.731,0.01100000000000001,8,13,5,8,13.0,8.0,10,53,43,10,53.0,10.0,-2,19,21,-2,19.0,-2.0,2,7,5,2,7.0,2.0,-7,3,10,-7,3.0,-7.0,-3,10,13,-3,10.0,-3.0,1,23,22,1,23.0,1.0
1,1,2291,OKC,2,2016-10-28,Home,PHO,W,113,110,40,96,0.41700000000000004,5,21,0.23800000000000002,28,38,0.737,14,57,13,11,3,22,24,42,94,0.447,5,28,0.179,21,32,0.6559999999999999,7,44,15,11,3,15,29,3,216,207,9,108.0,25.5,4.5,-2,79,78,1,39.5,0.5,2,190,178,12,95.0,6.0,-0.02999999999999997,0.8320000000000001,0.876,-0.043999999999999984,0.41600000000000004,-0.021999999999999992,0,11,12,-1,5.5,-0.5,-7,43,52,-9,21.5,-4.5,0.059000000000000025,0.511,0.471,0.04000000000000006,0.2555,0.02000000000000003,7,47,39,8,23.5,4.0,6,64,57,7,32.0,3.5,0.08100000000000007,1.468,1.376,0.09200000000000008,0.734,0.04600000000000004,7,27,12,15,13.5,7.5,13,110,87,23,55.0,11.5,-2,32,36,-4,16.0,-2.0,0,18,16,2,9.0,1.0,0,6,13,-7,3.0,-3.5,7,32,28,4,16.0,2.0,-5,47,51,-4,23.5,-2.0
2,2,3291,OKC,3,2016-10-30,Home,LAL,W,113,96,45,95,0.474,9,26,0.34600000000000003,14,17,0.8240000000000001,10,45,29,15,6,19,22,35,87,0.402,7,32,0.21899999999999997,19,24,0.792,11,41,20,15,2,21,18,17,329,303,26,109.66666666666667,23.0,8.666666666666666,10,124,113,11,41.333333333333336,3.6666666666666665,8,285,265,20,95.0,6.666666666666667,0.07199999999999995,1.306,1.278,0.02799999999999997,0.43533333333333335,0.009333333333333324,2,20,19,1,6.666666666666667,0.3333333333333333,-6,69,84,-15,23.0,-5.0,0.12700000000000006,0.857,0.69,0.16700000000000012,0.2856666666666667,0.055666666666666705,-5,61,58,3,20.333333333333332,1.0,-7,81,81,0,27.0,0.0,0.03200000000000003,2.292,2.168,0.12400000000000011,0.7639999999999999,0.04133333333333337,-1,37,23,14,12.333333333333334,4.666666666666667,4,155,128,27,51.666666666666664,9.0,9,61,56,5,20.333333333333332,1.6666666666666667,0,33,31,2,11.0,0.6666666666666666,4,12,15,-3,4.0,-1.0,-2,51,49,2,17.0,0.6666666666666666,4,69,69,0,23.0,0.0
3,3,4291,OKC,4,2016-11-02,Away,LAC,W,85,83,34,84,0.405,5,20,0.25,12,20,0.6,10,52,14,8,4,21,24,34,87,0.391,7,22,0.318,8,18,0.444,8,41,22,13,5,17,19,2,414,386,28,103.5,22.0,7.0,0,158,147,11,39.5,2.75,-3,369,352,17,92.25,4.25,0.014000000000000012,1.711,1.669,0.04199999999999998,0.42775,0.010499999999999995,-2,25,26,-1,6.25,-0.25,-2,89,106,-17,22.25,-4.25,-0.068,1.107,1.008,0.09900000000000012,0.27675,0.02475000000000003,4,73,66,7,18.25,1.75,2,101,99,2,25.25,0.5,0.15599999999999997,2.892,2.612,0.2800000000000001,0.723,0.07000000000000002,2,47,31,16,11.75,4.0,11,207,169,38,51.75,9.5,-8,75,78,-3,18.75,-0.75,-5,41,44,-3,10.25,-0.75,-1,16,20,-4,4.0,-1.0,4,72,66,6,18.0,1.5,5,93,88,5,23.25,1.25
4,4,5291,OKC,5,2016-11-03,Away,GSW,L,96,122,35,87,0.402,10,27,0.37,16,28,0.5710000000000001,13,41,20,8,6,16,20,46,89,0.517,14,30,0.467,16,20,0.8,15,46,27,9,14,15,18,-26,510,508,2,102.0,21.2,0.4,-11,193,193,0,38.6,0.0,-2,456,441,15,91.2,3.0,-0.11499999999999999,2.113,2.186,-0.07300000000000001,0.4226,-0.014600000000000002,-4,35,40,-5,7.0,-1.0,-3,116,136,-20,23.2,-4.0,-0.09700000000000003,1.4769999999999999,1.475,0.002000000000000085,0.2954,0.000400000000000017,0,89,82,7,17.8,1.4,8,129,119,10,25.8,2.0,-0.22899999999999998,3.463,3.412,0.0510000000000001,0.6926,0.01020000000000002,-2,60,46,14,12.0,2.8,-5,248,215,33,49.6,6.6,-7,95,105,-10,19.0,-2.0,-1,49,53,-4,9.8,-0.8,-8,22,34,-12,4.4,-2.4,1,88,81,7,17.6,1.4,2,113,106,7,22.6,1.4
5,5,6291,OKC,6,2016-11-05,Home,MIN,W,112,92,45,86,0.523,7,16,0.43799999999999994,15,24,0.625,11,41,24,9,9,12,21,33,84,0.39299999999999996,4,19,0.21100000000000002,22,29,0.759,17,41,12,7,8,17,19,20,622,600,22,103.66666666666667,20.833333333333332,3.6666666666666665,12,238,226,12,39.666666666666664,2.0,2,542,525,17,90.33333333333333,2.8333333333333335,0.13000000000000006,2.636,2.5789999999999997,0.05700000000000005,0.43933333333333335,0.009500000000000008,3,42,44,-2,7.0,-0.3333333333333333,-3,132,155,-23,22.0,-3.8333333333333335,0.22699999999999992,1.9149999999999998,1.6860000000000002,0.229,0.31916666666666665,0.03816666666666667,-7,104,104,0,17.333333333333332,0.0,-5,153,148,5,25.5,0.8333333333333334,-0.134,4.088,4.171,-0.08299999999999991,0.6813333333333333,-0.013833333333333317,-6,71,63,8,11.833333333333334,1.3333333333333333,0,289,256,33,48.166666666666664,5.5,12,119,117,2,19.833333333333332,0.3333333333333333,2,58,60,-2,9.666666666666666,-0.3333333333333333,1,31,42,-11,5.166666666666667,-1.8333333333333333,-5,100,98,2,16.666666666666668,0.3333333333333333,2,134,125,9,22.333333333333332,1.5
6,6,7291,OKC,7,2016-11-07,Home,MIA,W,97,85,37,85,0.435,9,28,0.321,14,17,0.8240000000000001,10,47,24,8,5,16,18,31,84,0.369,4,17,0.235,19,22,0.8640000000000001,12,41,12,8,7,12,16,12,719,685,34,102.71428571428571,20.142857142857142,4.857142857142857,6,275,257,18,39.285714285714285,2.5714285714285716,1,627,609,18,89.57142857142857,2.5714285714285716,0.066,3.071,2.9479999999999995,0.12300000000000005,0.4387142857142857,0.017571428571428578,5,51,48,3,7.285714285714286,0.42857142857142855,11,160,172,-12,22.857142857142858,-1.7142857142857142,0.08600000000000002,2.2359999999999998,1.9210000000000003,0.31500000000000006,0.3194285714285714,0.045000000000000005,-5,118,123,-5,16.857142857142858,-0.7142857142857143,-5,170,170,0,24.285714285714285,0.0,-0.040000000000000036,4.912,5.035,-0.12299999999999994,0.7017142857142857,-0.017571428571428564,-2,81,75,6,11.571428571428571,0.8571428571428571,6,336,297,39,48.0,5.571428571428571,12,143,129,14,20.428571428571427,2.0,0,66,68,-2,9.428571428571429,-0.2857142857142857,-2,36,49,-13,5.142857142857143,-1.8571428571428572,4,116,110,6,16.571428571428573,0.8571428571428571,2,152,141,11,21.714285714285715,1.5714285714285714
7,7,899,OKC,8,2016-11-09,Home,TOR,L,102,112,31,74,0.419,12,34,0.353,28,31,0.903,11,39,18,6,5,19,21,43,83,0.518,11,26,0.423,15,22,0.682,7,35,25,10,6,11,24,-10,821,797,24,102.625,20.625,3.0,-12,306,300,6,38.25,0.75,-9,701,692,9,87.625,1.125,-0.09900000000000003,3.49,3.4659999999999993,0.02400000000000002,0.43625,0.0030000000000000027,1,63,59,4,7.875,0.5,8,194,198,-4,24.25,-0.5,-0.07,2.5889999999999995,2.3440000000000003,0.24500000000000005,0.32362499999999994,0.030625000000000006,13,146,138,8,18.25,1.0,9,201,192,9,25.125,1.125,0.22099999999999997,5.8149999999999995,5.7170000000000005,0.09800000000000003,0.7268749999999999,0.012250000000000004,4,92,82,10,11.5,1.25,4,375,332,43,46.875,5.375,-7,161,154,7,20.125,0.875,-4,72,78,-6,9.0,-0.75,-1,41,55,-14,5.125,-1.75,8,135,121,14,16.875,1.75,-3,173,165,8,21.625,1.0
8,8,980,OKC,9,2016-11-11,Home,LAC,L,108,110,38,88,0.4320000000000001,16,28,0.5710000000000001,16,19,0.8420000000000001,9,45,21,3,1,16,27,39,86,0.45299999999999996,11,27,0.40700000000000003,21,35,0.6,11,45,18,9,3,10,20,-2,929,907,22,103.22222222222223,20.555555555555557,2.4444444444444446,-1,344,339,5,38.22222222222222,0.5555555555555556,2,789,778,11,87.66666666666667,1.2222222222222223,-0.020999999999999852,3.922,3.918999999999999,0.003000000000000169,0.4357777777777778,0.00033333333333335213,5,79,70,9,8.777777777777779,1.0,1,222,225,-3,24.666666666666668,-0.3333333333333333,0.16400000000000003,3.1599999999999997,2.7510000000000003,0.4090000000000001,0.3511111111111111,0.045444444444444454,-5,162,159,3,18.0,0.3333333333333333,-16,220,227,-7,24.444444444444443,-0.7777777777777778,0.2420000000000001,6.657,6.317,0.34000000000000014,0.7396666666666667,0.03777777777777779,-2,101,93,8,11.222222222222221,0.8888888888888888,0,420,377,43,46.666666666666664,4.777777777777778,3,182,172,10,20.22222222222222,1.1111111111111112,-6,75,87,-12,8.333333333333334,-1.3333333333333333,-2,42,58,-16,4.666666666666667,-1.7777777777777777,6,151,131,20,16.77777777777778,2.2222222222222223,7,200,185,15,22.22222222222222,1.6666666666666667
9,9,1080,OKC,10,2016-11-13,Home,ORL,L,117,119,47,92,0.511,7,25,0.28,16,26,0.615,12,42,22,4,6,10,19,46,86,0.535,11,24,0.45799999999999996,16,20,0.8,8,38,24,4,7,9,20,-2,1046,1026,20,104.6,20.5,2.0,1,391,385,6,39.1,0.6,6,881,864,17,88.1,1.7,-0.02400000000000002,4.433,4.453999999999999,-0.020999999999999852,0.44329999999999997,-0.002099999999999985,-4,86,81,5,8.6,0.5,1,247,249,-2,24.7,-0.2,-0.17799999999999994,3.4399999999999995,3.2090000000000005,0.23100000000000015,0.344,0.023100000000000016,0,178,175,3,17.8,0.3,6,246,247,-1,24.6,-0.1,-0.18500000000000005,7.272,7.117,0.15500000000000008,0.7272000000000001,0.015500000000000009,4,113,101,12,11.3,1.2,4,462,415,47,46.2,4.7,-2,204,196,8,20.4,0.8,0,79,91,-12,7.9,-1.2,-1,48,65,-17,4.8,-1.7,1,161,140,21,16.1,2.1,-1,219,205,14,21.9,1.4
