,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,OKC,1,2017-10-19,Home,NYK,W,105,84,39,90,0.433,11,38,0.289,16,22,0.727,13,41,26,14,7,18,22,32,79,0.405,7,24,0.292,13,19,0.684,11,41,19,8,4,25,23,21,0.0,0.0,0.0,7,0.0,0.0,0.0,11,0.0,0.0,0.0,0.02799999999999997,0.0,0.0,0.0,4,0.0,0.0,0.0,14,0.0,0.0,0.0,-0.0030000000000000027,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,0.04299999999999993,0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.0,0.0,0.0,6,0.0,0.0,0.0,3,0.0,0.0,0.0,-7,0.0,0.0,0.0,-1,0.0,0.0,0.0
1,OKC,2,2017-10-21,Away,UTA,L,87,96,32,78,0.41,11,33,0.333,12,19,0.632,8,38,15,14,4,17,16,38,77,0.494,9,29,0.31,11,14,0.7859999999999999,7,41,22,11,4,18,21,-9,105.0,84.0,21.0,-6,39.0,32.0,7.0,1,90.0,79.0,11.0,-0.08400000000000002,0.433,0.405,0.02799999999999997,2,11.0,7.0,4.0,4,38.0,24.0,14.0,0.02300000000000002,0.289,0.292,-0.0030000000000000027,1,16.0,13.0,3.0,5,22.0,19.0,3.0,-0.15399999999999991,0.727,0.684,0.04299999999999993,1,13.0,11.0,2.0,-3,41.0,41.0,0.0,-7,26.0,19.0,7.0,3,14.0,8.0,6.0,0,7.0,4.0,3.0,-1,18.0,25.0,-7.0,-5,22.0,23.0,-1.0
2,OKC,3,2017-10-22,Home,MIN,L,113,115,46,96,0.479,11,31,0.355,10,16,0.625,9,36,26,9,6,11,22,43,86,0.5,10,25,0.4,19,23,0.826,10,45,25,5,1,17,17,-2,96.0,90.0,6.0,3,35.5,35.0,0.5,10,84.0,78.0,6.0,-0.02100000000000002,0.4215,0.4495,-0.028000000000000025,1,11.0,8.0,3.0,6,35.5,26.5,9.0,-0.04500000000000004,0.311,0.301,0.010000000000000009,-9,14.0,12.0,2.0,-7,20.5,16.5,4.0,-0.20099999999999996,0.6795,0.735,-0.055499999999999994,-1,10.5,9.0,1.5,-9,39.5,41.0,-1.5,1,20.5,20.5,0.0,4,14.0,9.5,4.5,5,5.5,4.0,1.5,-6,17.5,21.5,-4.0,5,19.0,22.0,-3.0
3,OKC,4,2017-10-25,Home,IND,W,114,96,43,89,0.483,10,27,0.37,18,26,0.6920000000000001,16,49,26,8,8,20,27,28,83,0.337,10,29,0.345,30,35,0.857,14,41,13,13,2,19,23,18,101.66666666666667,98.33333333333333,3.3333333333333335,15,39.0,37.666666666666664,1.3333333333333333,6,88.0,80.66666666666667,7.333333333333333,0.14599999999999996,0.4406666666666667,0.4663333333333333,-0.02566666666666669,0,11.0,8.666666666666666,2.3333333333333335,-2,34.0,26.0,8.0,0.025000000000000022,0.32566666666666666,0.334,-0.00833333333333334,-12,12.666666666666666,14.333333333333334,-1.6666666666666667,-9,19.0,18.666666666666668,0.3333333333333333,-0.16499999999999992,0.6613333333333333,0.7653333333333333,-0.10399999999999998,2,10.0,9.333333333333334,0.6666666666666666,8,38.333333333333336,42.333333333333336,-4.0,13,22.333333333333332,22.0,0.3333333333333333,-5,12.333333333333334,8.0,4.333333333333333,6,5.666666666666667,3.0,2.6666666666666665,1,15.333333333333334,20.0,-4.666666666666667,4,20.0,20.333333333333332,-0.3333333333333333
4,OKC,5,2017-10-27,Away,MIN,L,116,119,43,86,0.5,8,28,0.28600000000000003,22,25,0.88,11,35,19,8,9,14,29,42,86,0.488,8,22,0.364,27,35,0.7709999999999999,17,44,23,5,7,15,21,-3,104.75,97.75,7.0,1,40.0,35.25,4.75,0,88.25,81.25,7.0,0.01200000000000001,0.45125000000000004,0.434,0.017249999999999974,0,10.75,9.0,1.75,6,32.25,26.75,5.5,-0.07799999999999996,0.33675,0.33675,0.0,-5,14.0,18.25,-4.25,-10,20.75,22.75,-2.0,0.1090000000000001,0.669,0.7882499999999999,-0.11924999999999997,-6,11.5,10.5,1.0,-9,41.0,42.0,-1.0,-4,23.25,19.75,3.5,3,11.25,9.25,2.0,2,6.25,2.75,3.5,-1,16.5,19.75,-3.25,8,21.75,21.0,0.75
5,OKC,6,2017-10-28,Away,CHI,W,101,69,39,88,0.443,13,34,0.382,10,14,0.7140000000000001,11,52,28,16,8,11,17,22,78,0.282,10,37,0.27,15,20,0.75,12,47,16,9,5,19,16,32,107.0,102.0,5.0,17,40.6,36.6,4.0,10,87.8,82.2,5.6,0.16100000000000003,0.461,0.44480000000000003,0.016199999999999982,3,10.2,8.8,1.4,-3,31.4,25.8,5.6,0.11199999999999999,0.3266,0.34219999999999995,-0.015599999999999992,-5,15.6,20.0,-4.4,-6,21.6,25.2,-3.6,-0.03599999999999992,0.7112,0.7847999999999999,-0.07359999999999996,-1,11.4,11.8,-0.4,5,39.8,42.4,-2.6,12,22.4,20.4,2.0,7,10.6,8.4,2.2,3,6.8,3.6,3.2,-8,16.0,18.8,-2.8,1,23.2,21.0,2.2
6,OKC,7,2017-10-31,Away,MIL,W,110,91,40,81,0.494,12,28,0.429,18,21,0.857,9,46,24,6,3,15,20,32,77,0.416,9,31,0.29,18,22,0.818,4,31,24,8,4,14,22,19,106.0,96.5,9.5,8,40.333333333333336,34.166666666666664,6.166666666666667,4,87.83333333333333,81.5,6.333333333333333,0.07800000000000001,0.458,0.4176666666666667,0.040333333333333325,3,10.666666666666666,9.0,1.6666666666666667,-3,31.833333333333332,27.666666666666668,4.166666666666667,0.139,0.3358333333333334,0.33016666666666666,0.005666666666666671,0,14.666666666666666,19.166666666666668,-4.5,-1,20.333333333333332,24.333333333333332,-4.0,0.039000000000000035,0.7116666666666668,0.7789999999999999,-0.06733333333333329,5,11.333333333333334,11.833333333333334,-0.5,15,41.833333333333336,43.166666666666664,-1.3333333333333333,0,23.333333333333332,19.666666666666668,3.6666666666666665,-2,11.5,8.5,3.0,-1,7.0,3.8333333333333335,3.1666666666666665,1,15.166666666666666,18.833333333333332,-3.6666666666666665,-2,22.166666666666668,20.166666666666668,2.0
7,OKC,8,2017-11-03,Home,BOS,L,94,101,35,87,0.402,13,35,0.371,11,14,0.7859999999999999,11,48,20,4,7,12,18,36,84,0.429,13,28,0.464,16,24,0.667,11,49,23,6,2,10,14,-7,106.57142857142857,95.71428571428571,10.857142857142858,-1,40.285714285714285,33.857142857142854,6.428571428571429,3,86.85714285714286,80.85714285714286,6.0,-0.02699999999999997,0.46314285714285713,0.4174285714285714,0.04571428571428571,0,10.857142857142858,9.0,1.8571428571428572,7,31.285714285714285,28.142857142857142,3.142857142857143,-0.09300000000000003,0.34914285714285714,0.3244285714285714,0.02471428571428572,-5,15.142857142857142,19.0,-3.857142857142857,-10,20.428571428571427,24.0,-3.5714285714285716,0.11899999999999988,0.7324285714285715,0.7845714285714285,-0.052142857142857095,0,11.0,10.714285714285714,0.2857142857142857,-1,42.42857142857143,41.42857142857143,1.0,-3,23.428571428571427,20.285714285714285,3.142857142857143,-2,10.714285714285714,8.428571428571429,2.2857142857142856,5,6.428571428571429,3.857142857142857,2.5714285714285716,2,15.142857142857142,18.142857142857142,-3.0,4,21.857142857142858,20.428571428571427,1.4285714285714286
8,OKC,9,2017-11-05,Away,POR,L,99,103,40,89,0.449,11,33,0.333,8,15,0.5329999999999999,6,32,17,11,2,11,27,37,74,0.5,7,20,0.35,22,28,0.7859999999999999,7,44,20,6,7,21,20,-4,105.0,96.375,8.625,3,39.625,34.125,5.5,15,86.875,81.25,5.625,-0.05099999999999999,0.4555,0.418875,0.036625,4,11.125,9.5,1.625,13,31.75,28.125,3.625,-0.01699999999999996,0.351875,0.341875,0.010000000000000002,-14,14.625,18.625,-4.0,-13,19.625,24.0,-4.375,-0.253,0.739125,0.7698749999999999,-0.030749999999999972,-1,11.0,10.75,0.25,-12,43.125,42.375,0.75,-3,23.0,20.625,2.375,5,9.875,8.125,1.75,-5,6.5,3.625,2.875,-10,14.75,17.125,-2.375,7,21.375,19.625,1.75
9,OKC,10,2017-11-07,Away,SAC,L,86,94,29,86,0.337,10,37,0.27,18,23,0.7829999999999999,9,44,15,16,2,14,17,37,79,0.468,9,24,0.375,11,12,0.917,5,47,21,6,5,23,24,-8,104.33333333333333,97.11111111111111,7.222222222222222,-8,39.666666666666664,34.44444444444444,5.222222222222222,7,87.11111111111111,80.44444444444444,6.666666666666667,-0.131,0.4547777777777778,0.4278888888888889,0.02688888888888889,1,11.11111111111111,9.222222222222221,1.8888888888888888,13,31.88888888888889,27.22222222222222,4.666666666666667,-0.10499999999999998,0.3497777777777778,0.3427777777777778,0.007000000000000006,7,13.88888888888889,19.0,-5.111111111111111,11,19.11111111111111,24.444444444444443,-5.333333333333333,-0.13400000000000012,0.7162222222222222,0.7716666666666665,-0.05544444444444442,4,10.444444444444445,10.333333333333334,0.1111111111111111,-3,41.888888888888886,42.55555555555556,-0.6666666666666666,-6,22.333333333333332,20.555555555555557,1.7777777777777777,10,10.0,7.888888888888889,2.111111111111111,-3,6.0,4.0,2.0,-9,14.333333333333334,17.555555555555557,-3.2222222222222223,-7,22.0,19.666666666666668,2.3333333333333335
