,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,ORL,1,2014-10-28,Away,NOP,L,84,101,32,84,0.381,4,11,0.364,16,21,0.762,16,56,17,5,9,18,25,41,101,0.406,4,17,0.235,15,31,0.484,26,62,20,10,17,9,17,-17,0.0,0.0,0.0,-9,0.0,0.0,0.0,-17,0.0,0.0,0.0,-0.025000000000000022,0.0,0.0,0.0,0,0.0,0.0,0.0,-6,0.0,0.0,0.0,0.129,0.0,0.0,0.0,1,0.0,0.0,0.0,-10,0.0,0.0,0.0,0.278,0.0,0.0,0.0,-10,0.0,0.0,0.0,-6,0.0,0.0,0.0,-3,0.0,0.0,0.0,-5,0.0,0.0,0.0,-8,0.0,0.0,0.0,9,0.0,0.0,0.0,8,0.0,0.0,0.0
1,ORL,2,2014-10-30,Home,WAS,L,98,105,37,72,0.514,6,15,0.4,18,24,0.75,3,33,20,4,1,18,23,39,80,0.488,7,13,0.5379999999999999,20,26,0.769,6,37,22,10,0,12,25,-7,84.0,101.0,-17.0,-2,32.0,41.0,-9.0,-8,84.0,101.0,-17.0,0.026000000000000023,0.381,0.406,-0.025000000000000022,-1,4.0,4.0,0.0,2,11.0,17.0,-6.0,-0.1379999999999999,0.364,0.235,0.129,-2,16.0,15.0,1.0,-2,21.0,31.0,-10.0,-0.019000000000000017,0.762,0.484,0.278,-3,16.0,26.0,-10.0,-4,56.0,62.0,-6.0,-2,17.0,20.0,-3.0,-6,5.0,10.0,-5.0,1,9.0,17.0,-8.0,6,18.0,9.0,9.0,-2,25.0,17.0,8.0
2,ORL,3,2014-11-01,Home,TOR,L,95,108,38,81,0.469,7,20,0.35,12,24,0.5,9,40,25,3,7,14,37,33,83,0.398,4,21,0.19,38,48,0.792,15,50,13,4,4,7,21,-13,91.0,103.0,-12.0,5,34.5,40.0,-5.5,-2,78.0,90.5,-12.5,0.07099999999999995,0.4475,0.447,0.0005000000000000004,3,5.0,5.5,-0.5,-1,13.0,15.0,-2.0,0.15999999999999998,0.382,0.38649999999999995,-0.0044999999999999485,-26,17.0,17.5,-0.5,-24,22.5,28.5,-6.0,-0.29200000000000004,0.756,0.6265000000000001,0.1295,-6,9.5,16.0,-6.5,-10,44.5,49.5,-5.0,12,18.5,21.0,-2.5,-1,4.5,10.0,-5.5,3,5.0,8.5,-3.5,7,18.0,10.5,7.5,16,24.0,21.0,3.0
3,ORL,4,2014-11-04,Away,CHI,L,90,98,38,88,0.4320000000000001,6,14,0.429,8,14,0.5710000000000001,14,48,21,6,6,11,22,35,75,0.467,7,15,0.467,21,27,0.778,10,44,23,6,9,12,18,-8,92.33333333333333,104.66666666666667,-12.333333333333334,3,35.666666666666664,37.666666666666664,-2.0,13,79.0,88.0,-9.0,-0.03499999999999992,0.4546666666666666,0.4306666666666667,0.023999999999999983,-1,5.666666666666667,5.0,0.6666666666666666,-1,15.333333333333334,17.0,-1.6666666666666667,-0.038000000000000034,0.3713333333333333,0.32099999999999995,0.05033333333333336,-13,15.333333333333334,24.333333333333332,-9.0,-13,23.0,35.0,-12.0,-0.20699999999999996,0.6706666666666666,0.6816666666666666,-0.01100000000000001,4,9.333333333333334,15.666666666666666,-6.333333333333333,4,43.0,49.666666666666664,-6.666666666666667,-2,20.666666666666668,18.333333333333332,2.3333333333333335,0,4.0,8.0,-4.0,-3,5.666666666666667,7.0,-1.3333333333333333,-1,16.666666666666668,9.333333333333334,7.333333333333333,4,28.333333333333332,21.0,7.333333333333333
4,ORL,5,2014-11-05,Away,PHI,W,91,89,39,88,0.443,3,20,0.15,10,12,0.833,14,51,14,11,3,24,20,33,77,0.429,8,25,0.32,15,23,0.652,6,38,22,12,12,20,18,2,91.75,103.0,-11.25,6,36.25,37.0,-0.75,11,81.25,84.75,-3.5,0.014000000000000012,0.449,0.43975000000000003,0.009250000000000008,-5,5.75,5.5,0.25,-5,15.0,16.5,-1.5,-0.17,0.38575,0.3575,0.02825000000000001,-5,13.5,23.5,-10.0,-11,20.75,33.0,-12.25,0.18099999999999994,0.64575,0.70575,-0.06,8,10.5,14.25,-3.75,13,44.25,48.25,-4.0,-8,20.75,19.5,1.25,-1,4.5,7.5,-3.0,-9,5.75,7.5,-1.75,4,15.25,10.0,5.25,2,26.75,20.25,6.5
5,ORL,6,2014-11-07,Home,MIN,W,112,103,46,91,0.505,5,10,0.5,15,19,0.789,12,52,19,5,6,21,27,40,93,0.43,4,18,0.222,19,25,0.76,9,38,24,9,7,12,22,9,91.6,100.2,-8.6,6,36.8,36.2,0.6,-2,82.6,83.2,-0.6,0.07500000000000001,0.4478,0.43760000000000004,0.01020000000000001,1,5.2,6.0,-0.8,-8,16.0,18.2,-2.2,0.278,0.33859999999999996,0.35,-0.011399999999999993,-4,12.8,21.8,-9.0,-6,19.0,31.0,-12.0,0.029000000000000026,0.6832,0.6950000000000001,-0.01180000000000001,3,11.2,12.6,-1.4,14,45.6,46.2,-0.6,-5,19.4,20.0,-0.6,-4,5.8,8.4,-2.6,-1,5.2,8.4,-3.2,9,17.0,12.0,5.0,5,25.4,19.8,5.6
6,ORL,7,2014-11-09,Away,BRK,L,96,104,39,75,0.52,8,15,0.5329999999999999,10,16,0.625,5,31,25,7,2,17,24,40,83,0.482,4,14,0.28600000000000003,20,23,0.87,14,45,23,10,5,14,21,-8,95.0,100.66666666666667,-5.666666666666667,-1,38.333333333333336,36.833333333333336,1.5,-8,84.0,84.83333333333333,-0.8333333333333334,0.038000000000000034,0.4573333333333333,0.4363333333333334,0.021000000000000008,4,5.166666666666667,5.666666666666667,-0.5,1,15.0,18.166666666666668,-3.1666666666666665,0.2469999999999999,0.36549999999999994,0.32866666666666666,0.03683333333333334,-10,13.166666666666666,21.333333333333332,-8.166666666666666,-7,19.0,30.0,-11.0,-0.245,0.7008333333333333,0.7058333333333334,-0.0050000000000000044,-9,11.333333333333334,12.0,-0.6666666666666666,-14,46.666666666666664,44.833333333333336,1.8333333333333333,2,19.333333333333332,20.666666666666668,-1.3333333333333333,-3,5.666666666666667,8.5,-2.8333333333333335,-3,5.333333333333333,8.166666666666666,-2.8333333333333335,3,17.666666666666668,12.0,5.666666666666667,3,25.666666666666668,20.166666666666668,5.5
7,ORL,8,2014-11-11,Away,TOR,L,100,104,39,81,0.481,12,25,0.48,10,16,0.625,6,39,26,8,5,16,24,35,77,0.455,9,21,0.429,25,30,0.833,5,40,16,9,1,12,17,-4,95.14285714285714,101.14285714285714,-6.0,4,38.42857142857143,37.285714285714285,1.1428571428571428,4,82.71428571428571,84.57142857142857,-1.8571428571428572,0.025999999999999968,0.46628571428571425,0.44285714285714295,0.02342857142857144,3,5.571428571428571,5.428571428571429,0.14285714285714285,4,15.0,17.571428571428573,-2.5714285714285716,0.05099999999999999,0.38942857142857135,0.32257142857142856,0.06685714285714285,-15,12.714285714285714,21.142857142857142,-8.428571428571429,-14,18.571428571428573,29.0,-10.428571428571429,-0.20799999999999996,0.6900000000000001,0.7292857142857143,-0.03928571428571429,1,10.428571428571429,12.285714285714286,-1.8571428571428572,-1,44.42857142857143,44.857142857142854,-0.42857142857142855,10,20.142857142857142,21.0,-0.8571428571428571,-1,5.857142857142857,8.714285714285714,-2.857142857142857,4,4.857142857142857,7.714285714285714,-2.857142857142857,4,17.571428571428573,12.285714285714286,5.285714285714286,7,25.428571428571427,20.285714285714285,5.142857142857143
8,ORL,9,2014-11-12,Away,NYK,W,97,95,33,70,0.471,6,12,0.5,25,32,0.7809999999999999,4,37,20,4,1,10,19,37,86,0.43,8,23,0.348,13,14,0.929,11,40,17,2,6,7,27,2,95.75,101.5,-5.75,-4,38.5,37.0,1.5,-16,82.5,83.625,-1.125,0.04099999999999998,0.46812499999999996,0.4443750000000001,0.023750000000000007,-2,6.375,5.875,0.5,-11,16.25,18.0,-1.75,0.15200000000000002,0.40074999999999994,0.335875,0.06487499999999999,12,12.375,21.625,-9.25,18,18.25,29.125,-10.875,-0.14800000000000013,0.681875,0.7422500000000001,-0.060375,-7,9.875,11.375,-1.5,-3,43.75,44.25,-0.5,3,20.875,20.375,0.5,2,6.125,8.75,-2.625,-5,4.875,6.875,-2.0,3,17.375,12.25,5.125,-8,25.25,19.875,5.375
9,ORL,10,2014-11-14,Home,MIL,W,101,85,35,80,0.438,10,24,0.417,21,27,0.778,10,45,22,7,3,15,15,36,80,0.45,2,19,0.105,11,14,0.7859999999999999,5,38,19,8,4,16,25,16,95.88888888888889,100.77777777777777,-4.888888888888889,-1,37.888888888888886,37.0,0.8888888888888888,0,81.11111111111111,83.88888888888889,-2.7777777777777777,-0.01200000000000001,0.4684444444444444,0.4427777777777779,0.02566666666666667,8,6.333333333333333,6.111111111111111,0.2222222222222222,5,15.777777777777779,18.555555555555557,-2.7777777777777777,0.312,0.41177777777777774,0.3372222222222222,0.07455555555555554,10,13.777777777777779,20.666666666666668,-6.888888888888889,13,19.77777777777778,27.444444444444443,-7.666666666666667,-0.007999999999999896,0.6928888888888889,0.7630000000000001,-0.07011111111111112,5,9.222222222222221,11.333333333333334,-2.111111111111111,7,43.0,43.77777777777778,-0.7777777777777778,3,20.77777777777778,20.0,0.7777777777777778,-1,5.888888888888889,8.0,-2.111111111111111,-1,4.444444444444445,6.777777777777778,-2.3333333333333335,-1,16.555555555555557,11.666666666666666,4.888888888888889,-10,24.555555555555557,20.666666666666668,3.888888888888889
