,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential,cumalitive_Points,cumalitive_Points_differential,cumalitive_FieldGoals,cumalitive_FieldGoals_differential,cumalitive_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted_differential,cumalitive_FieldGoals.,cumalitive_FieldGoals._differential,cumalitive_3PointShots,cumalitive_3PointShots_differential,cumalitive_3PointShotsAttempted,cumalitive_3PointShotsAttempted_differential,cumalitive_3PointShots.,cumalitive_3PointShots._differential,cumalitive_FreeThrows,cumalitive_FreeThrows_differential,cumalitive_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted_differential,cumalitive_FreeThrows.,cumalitive_FreeThrows._differential,cumalitive_OffRebounds,cumalitive_OffRebounds_differential,cumalitive_TotalRebounds,cumalitive_TotalRebounds_differential,cumalitive_Assists,cumalitive_Assists_differential,cumalitive_Steals,cumalitive_Steals_differential,cumalitive_Blocks,cumalitive_Blocks_differential,cumalitive_Turnovers,cumalitive_Turnovers_differential,cumalitive_TotalFouls,cumalitive_TotalFouls_differential
1804,1804,1804,1106,PHI,1,2014-10-29,Away,IND,L,91,103,34,89,0.382,6,21,0.28600000000000003,17,30,0.5670000000000001,15,42,17,10,5,11,29,38,81,0.469,8,25,0.32,19,28,0.679,14,50,22,5,13,17,24,2014-10-29,-12,-4,8,-0.08699999999999998,-2,-4,-0.033999999999999975,-2,2,-0.112,1,-8,-5,5,-8,-6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,1805,1805,2106,PHI,2,2014-10-31,Away,MIL,L,81,93,32,86,0.3720000000000001,5,23,0.217,12,22,0.545,12,42,20,9,5,16,18,36,88,0.409,9,24,0.375,12,21,0.5710000000000001,15,55,25,10,11,18,19,2014-10-31,-12,-4,-2,-0.03699999999999986,-4,-1,-0.158,0,1,-0.026000000000000027,-3,-13,-5,-1,-6,-2,-1,91.0,-12.0,34.0,-4.0,89.0,8.0,0.382,-0.08699999999999998,6.0,-2.0,21.0,-4.0,0.28600000000000003,-0.033999999999999975,17.0,-2.0,30.0,2.0,0.5670000000000001,-0.112,15.0,1.0,42.0,-8.0,17.0,-5.0,10.0,5.0,5.0,-8.0,11.0,-6.0,29.0,5.0
1806,1806,1806,3106,PHI,3,2014-11-01,Home,MIA,L,96,114,35,67,0.522,7,23,0.304,19,26,0.731,4,37,28,9,10,24,21,41,83,0.494,12,24,0.5,20,29,0.69,9,35,33,16,0,16,20,2014-11-01,-18,-6,-16,0.028000000000000025,-5,-1,-0.196,-1,-3,0.041000000000000036,-5,2,-5,-7,10,8,1,172.0,-24.0,66.0,-8.0,175.0,6.0,0.7540000000000001,-0.12399999999999983,11.0,-6.0,44.0,-5.0,0.503,-0.19199999999999998,29.0,-2.0,52.0,3.0,1.112,-0.13800000000000004,27.0,-2.0,84.0,-21.0,37.0,-10.0,19.0,4.0,10.0,-14.0,27.0,-8.0,47.0,4.0
1807,1807,1807,4106,PHI,4,2014-11-03,Home,HOU,L,93,104,33,74,0.446,11,22,0.5,16,23,0.696,6,31,19,12,4,17,20,32,75,0.4270000000000001,16,34,0.47100000000000003,24,30,0.8,13,47,27,12,6,21,20,2014-11-03,-11,1,-1,0.018999999999999902,-5,-12,0.029000000000000026,-8,-7,-0.10400000000000008,-7,-16,-8,0,-2,-4,0,268.0,-42.0,101.0,-14.0,242.0,-10.0,1.2760000000000002,-0.09599999999999981,18.0,-11.0,67.0,-6.0,0.8069999999999999,-0.388,48.0,-3.0,78.0,0.0,1.843,-0.097,31.0,-7.0,121.0,-19.0,65.0,-15.0,28.0,-3.0,20.0,-4.0,51.0,0.0,68.0,5.0
1808,1808,1808,5106,PHI,5,2014-11-05,Home,ORL,L,89,91,33,77,0.429,8,25,0.32,15,23,0.652,6,38,22,12,12,20,18,39,88,0.44299999999999995,3,20,0.15,10,12,0.833,14,51,14,11,3,24,20,2014-11-05,-2,-6,-11,-0.014000000000000012,5,5,0.17,5,11,-0.18099999999999994,-8,-13,8,1,9,-4,-2,361.0,-53.0,134.0,-13.0,316.0,-11.0,1.7220000000000002,-0.0769999999999999,29.0,-16.0,89.0,-18.0,1.307,-0.359,64.0,-11.0,101.0,-7.0,2.5389999999999997,-0.20100000000000007,37.0,-14.0,152.0,-35.0,84.0,-23.0,40.0,-3.0,24.0,-6.0,68.0,-4.0,88.0,5.0
1809,1809,1809,6106,PHI,6,2014-11-07,Home,CHI,L,115,118,43,91,0.473,12,30,0.4,17,25,0.68,17,42,29,7,2,12,29,40,78,0.513,12,24,0.5,26,34,0.765,12,40,25,4,6,17,21,2014-11-07,-3,3,13,-0.040000000000000036,0,6,-0.09999999999999998,-9,-9,-0.08499999999999996,5,2,4,3,-4,-5,8,450.0,-55.0,167.0,-19.0,393.0,-22.0,2.1510000000000002,-0.09099999999999991,37.0,-11.0,114.0,-13.0,1.627,-0.18899999999999997,79.0,-6.0,124.0,4.0,3.191,-0.382,43.0,-22.0,190.0,-48.0,106.0,-15.0,52.0,-2.0,36.0,3.0,88.0,-8.0,106.0,3.0
1810,1810,1810,7106,PHI,7,2014-11-09,Away,TOR,L,88,120,33,87,0.379,10,34,0.294,12,18,0.667,11,31,19,11,6,17,23,43,76,0.5660000000000001,7,17,0.41200000000000003,27,30,0.9,4,39,23,12,8,20,17,2014-11-09,-32,-10,11,-0.18700000000000008,3,17,-0.11800000000000001,-15,-12,-0.233,7,-8,-4,-1,-2,-3,6,565.0,-58.0,210.0,-16.0,484.0,-9.0,2.624,-0.13099999999999995,49.0,-11.0,144.0,-7.0,2.027,-0.2889999999999999,96.0,-15.0,149.0,-5.0,3.871,-0.46699999999999997,60.0,-17.0,232.0,-46.0,135.0,-11.0,59.0,1.0,38.0,-1.0,100.0,-13.0,135.0,11.0
1811,1811,1811,841,PHI,8,2014-11-13,Away,DAL,L,70,123,23,77,0.299,7,27,0.259,17,33,0.515,18,46,9,7,4,27,24,41,80,0.513,11,32,0.344,30,36,0.833,9,51,33,14,5,15,25,2014-11-13,-53,-18,-3,-0.214,-4,-5,-0.08499999999999996,-13,-3,-0.31799999999999995,9,-5,-24,-7,-1,12,-1,653.0,-90.0,243.0,-26.0,571.0,2.0,3.003,-0.31800000000000006,59.0,-8.0,178.0,10.0,2.321,-0.4069999999999999,108.0,-30.0,167.0,-17.0,4.538,-0.7,71.0,-10.0,263.0,-54.0,154.0,-15.0,70.0,0.0,44.0,-3.0,117.0,-16.0,158.0,17.0
1812,1812,1812,922,PHI,9,2014-11-14,Away,HOU,L,87,88,34,80,0.425,7,21,0.33299999999999996,12,18,0.667,14,46,19,10,5,23,28,29,78,0.3720000000000001,7,34,0.20600000000000002,23,37,0.622,13,47,16,17,11,21,25,2014-11-14,-1,5,2,0.05299999999999988,0,-13,0.12700000000000006,-11,-19,0.04500000000000004,1,-1,3,-7,-6,2,3,723.0,-143.0,266.0,-44.0,648.0,-1.0,3.302,-0.532,66.0,-12.0,205.0,5.0,2.58,-0.4919999999999999,125.0,-43.0,200.0,-20.0,5.053,-1.0179999999999998,89.0,-1.0,309.0,-59.0,163.0,-39.0,77.0,-7.0,48.0,-4.0,144.0,-4.0,182.0,16.0
1813,1813,1813,1022,PHI,10,2014-11-17,Away,SAS,L,75,100,27,83,0.325,4,26,0.154,17,24,0.708,5,39,15,11,4,13,18,36,81,0.444,10,26,0.385,18,21,0.857,6,52,27,9,8,17,17,2014-11-17,-25,-9,2,-0.11900000000000001,-6,0,-0.231,-1,3,-0.14900000000000002,-1,-13,-12,2,-4,-4,1,810.0,-144.0,300.0,-39.0,728.0,1.0,3.727,-0.47900000000000015,73.0,-12.0,226.0,-8.0,2.9130000000000003,-0.3649999999999998,137.0,-54.0,218.0,-39.0,5.72,-0.9729999999999998,103.0,0.0,355.0,-60.0,182.0,-36.0,87.0,-14.0,53.0,-10.0,167.0,-2.0,210.0,19.0
