,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,PHI,1,2016-10-26,Home,OKC,L,97,103,36,84,0.429,7,24,0.292,18,25,0.72,5,43,21,5,10,13,22,39,94,0.415,6,22,0.273,19,26,0.731,13,53,19,7,3,10,23,-6,0.0,0.0,0.0,-3,0.0,0.0,0.0,-10,0.0,0.0,0.0,0.014000000000000012,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.01899999999999996,0.0,0.0,0.0,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,-0.01100000000000001,0.0,0.0,0.0,-8,0.0,0.0,0.0,-10,0.0,0.0,0.0,2,0.0,0.0,0.0,-2,0.0,0.0,0.0,7,0.0,0.0,0.0,3,0.0,0.0,0.0,-1,0.0,0.0,0.0
1,PHI,2,2016-10-29,Home,ATL,L,72,104,28,80,0.35,5,18,0.278,11,15,0.733,4,39,16,9,5,20,20,42,85,0.494,5,20,0.25,15,23,0.652,6,47,31,11,7,12,14,-32,97.0,103.0,-6.0,-14,36.0,39.0,-3.0,-5,84.0,94.0,-10.0,-0.14400000000000002,0.429,0.415,0.014000000000000012,0,7.0,6.0,1.0,-2,24.0,22.0,2.0,0.028000000000000025,0.292,0.273,0.01899999999999996,-4,18.0,19.0,-1.0,-8,25.0,26.0,-1.0,0.08099999999999996,0.72,0.731,-0.01100000000000001,-2,5.0,13.0,-8.0,-8,43.0,53.0,-10.0,-15,21.0,19.0,2.0,-2,5.0,7.0,-2.0,-2,10.0,3.0,7.0,8,13.0,10.0,3.0,6,22.0,23.0,-1.0
2,PHI,3,2016-11-01,Home,ORL,L,101,103,40,81,0.494,9,20,0.45,12,16,0.75,7,42,28,5,8,15,20,42,93,0.452,6,25,0.24,13,17,0.765,12,39,29,7,6,10,15,-2,84.5,103.5,-19.0,-2,32.0,40.5,-8.5,-12,82.0,89.5,-7.5,0.04199999999999998,0.38949999999999996,0.4545,-0.065,3,6.0,5.5,0.5,-5,21.0,21.0,0.0,0.21000000000000002,0.28500000000000003,0.2615,0.023499999999999993,-1,14.5,17.0,-2.5,-1,20.0,24.5,-4.5,-0.015000000000000013,0.7264999999999999,0.6915,0.034999999999999976,-5,4.5,9.5,-5.0,3,41.0,50.0,-9.0,-1,18.5,25.0,-6.5,-2,7.0,9.0,-2.0,2,7.5,5.0,2.5,5,16.5,11.0,5.5,5,21.0,18.5,2.5
3,PHI,4,2016-11-02,Away,CHO,L,93,109,34,86,0.395,12,38,0.316,13,15,0.867,8,37,23,8,2,17,24,39,79,0.494,13,34,0.382,18,26,0.6920000000000001,9,44,25,8,3,15,17,-16,90.0,103.33333333333333,-13.333333333333334,-5,34.666666666666664,41.0,-6.333333333333333,7,81.66666666666667,90.66666666666667,-9.0,-0.09899999999999998,0.4243333333333333,0.45366666666666666,-0.02933333333333334,-1,7.0,5.666666666666667,1.3333333333333333,4,20.666666666666668,22.333333333333332,-1.6666666666666667,-0.066,0.34,0.25433333333333336,0.08566666666666667,-5,13.666666666666666,15.666666666666666,-2.0,-11,18.666666666666668,22.0,-3.3333333333333335,0.17499999999999993,0.7343333333333333,0.7160000000000001,0.018333333333333313,-1,5.333333333333333,10.333333333333334,-5.0,-7,41.333333333333336,46.333333333333336,-5.0,-2,21.666666666666668,26.333333333333332,-4.666666666666667,0,6.333333333333333,8.333333333333334,-2.0,-1,7.666666666666667,5.333333333333333,2.3333333333333335,2,16.0,10.666666666666666,5.333333333333333,7,20.666666666666668,17.333333333333332,3.3333333333333335
4,PHI,5,2016-11-05,Home,CLE,L,101,102,40,87,0.46,14,38,0.368,7,12,0.583,5,45,21,9,9,17,23,37,91,0.407,14,38,0.368,14,18,0.778,11,49,23,10,5,16,15,-1,90.75,104.75,-14.0,3,34.5,40.5,-6.0,-4,82.75,87.75,-5.0,0.05300000000000005,0.417,0.46375,-0.04675,0,8.25,7.5,0.75,0,25.0,25.25,-0.25,0.0,0.334,0.28625,0.04775,-7,13.5,16.25,-2.75,-6,17.75,23.0,-5.25,-0.19500000000000006,0.7675,0.7100000000000001,0.05749999999999997,-6,6.0,10.0,-4.0,-4,40.25,45.75,-5.5,-2,22.0,26.0,-4.0,-1,6.75,8.25,-1.5,4,6.25,4.75,1.5,1,16.25,11.75,4.5,8,21.5,17.25,4.25
5,PHI,6,2016-11-07,Home,UTA,L,84,109,31,77,0.403,7,21,0.333,15,22,0.682,9,42,16,5,2,18,19,43,85,0.506,11,19,0.579,12,20,0.6,10,45,20,10,11,10,22,-25,92.8,104.2,-11.4,-12,35.6,39.8,-4.2,-8,83.6,88.4,-4.8,-0.10299999999999998,0.42560000000000003,0.4524,-0.02679999999999999,-4,9.4,8.8,0.6,2,27.6,27.8,-0.2,-0.24599999999999994,0.34080000000000005,0.3026,0.0382,3,12.2,15.8,-3.6,2,16.6,22.0,-5.4,0.08200000000000007,0.7305999999999999,0.7236,0.006999999999999962,-1,5.8,10.2,-4.4,-3,41.2,46.4,-5.2,-4,21.8,25.4,-3.6,-5,7.2,8.6,-1.4,-9,6.8,4.8,2.0,8,16.4,12.6,3.8,-3,21.8,16.8,5.0
6,PHI,7,2016-11-09,Away,IND,L,115,122,46,95,0.484,14,36,0.389,9,19,0.474,10,43,23,11,6,17,21,49,90,0.544,9,19,0.474,15,20,0.75,7,43,25,9,6,16,17,-7,91.33333333333333,105.0,-13.666666666666666,-3,34.833333333333336,40.333333333333336,-5.5,5,82.5,87.83333333333333,-5.333333333333333,-0.06000000000000005,0.42183333333333334,0.4613333333333333,-0.039499999999999987,5,9.0,9.166666666666666,-0.16666666666666666,17,26.5,26.333333333333332,0.16666666666666666,-0.08499999999999996,0.3395000000000001,0.3486666666666666,-0.009166666666666656,-6,12.666666666666666,15.166666666666666,-2.5,-1,17.5,21.666666666666668,-4.166666666666667,-0.276,0.7225,0.703,0.01949999999999998,3,6.333333333333333,10.166666666666666,-3.8333333333333335,0,41.333333333333336,46.166666666666664,-4.833333333333333,-2,20.833333333333332,24.5,-3.6666666666666665,2,6.833333333333333,8.833333333333334,-2.0,0,6.0,5.833333333333333,0.16666666666666666,1,16.666666666666668,12.166666666666666,4.5,4,21.333333333333332,17.666666666666668,3.6666666666666665
7,PHI,8,2016-11-11,Home,IND,W,109,105,36,86,0.419,11,32,0.344,26,31,0.8390000000000001,13,54,24,7,6,19,21,39,88,0.443,5,19,0.263,22,23,0.957,4,40,23,14,3,13,28,4,94.71428571428571,107.42857142857143,-12.714285714285714,-3,36.42857142857143,41.57142857142857,-5.142857142857143,-2,84.28571428571429,88.14285714285714,-3.857142857142857,-0.02400000000000002,0.4307142857142857,0.47314285714285714,-0.04242857142857143,6,9.714285714285714,9.142857142857142,0.5714285714285714,13,27.857142857142858,25.285714285714285,2.5714285714285716,0.08099999999999996,0.3465714285714286,0.36657142857142855,-0.019999999999999987,4,12.142857142857142,15.142857142857142,-3.0,8,17.714285714285715,21.428571428571427,-3.7142857142857144,-0.11799999999999988,0.687,0.7097142857142857,-0.022714285714285735,9,6.857142857142857,9.714285714285714,-2.857142857142857,14,41.57142857142857,45.714285714285715,-4.142857142857143,1,21.142857142857142,24.571428571428573,-3.4285714285714284,-7,7.428571428571429,8.857142857142858,-1.4285714285714286,3,6.0,5.857142857142857,0.14285714285714285,6,16.714285714285715,12.714285714285714,4.0,-7,21.285714285714285,17.571428571428573,3.7142857142857144
8,PHI,9,2016-11-12,Away,ATL,L,96,117,36,83,0.434,11,29,0.379,13,20,0.65,10,39,21,14,4,19,20,48,95,0.505,13,32,0.406,8,14,0.5710000000000001,15,52,31,10,6,16,14,-21,96.5,107.125,-10.625,-12,36.375,41.25,-4.875,-12,84.5,88.125,-3.625,-0.07100000000000001,0.42925,0.469375,-0.040125,-2,9.875,8.625,1.25,-3,28.375,24.5,3.875,-0.027000000000000024,0.34625,0.35362499999999997,-0.007374999999999993,5,13.875,16.0,-2.125,6,19.375,21.625,-2.25,0.07899999999999996,0.7060000000000001,0.740625,-0.034625,-5,7.625,9.0,-1.375,-13,43.125,45.0,-1.875,-10,21.5,24.375,-2.875,4,7.375,9.5,-2.125,-2,6.0,5.5,0.5,3,17.0,12.75,4.25,6,21.25,18.875,2.375
9,PHI,10,2016-11-14,Away,HOU,L,88,115,34,90,0.378,5,22,0.227,15,17,0.882,10,39,18,10,7,12,17,44,91,0.484,17,40,0.425,10,17,0.588,16,55,20,6,10,17,19,-27,96.44444444444444,108.22222222222223,-11.777777777777779,-10,36.333333333333336,42.0,-5.666666666666667,-1,84.33333333333333,88.88888888888889,-4.555555555555555,-0.10599999999999998,0.4297777777777778,0.47333333333333333,-0.043555555555555556,-12,10.0,9.11111111111111,0.8888888888888888,-18,28.444444444444443,25.333333333333332,3.111111111111111,-0.19799999999999998,0.3498888888888889,0.35944444444444446,-0.009555555555555552,5,13.777777777777779,15.11111111111111,-1.3333333333333333,0,19.444444444444443,20.77777777777778,-1.3333333333333333,0.29400000000000004,0.6997777777777778,0.7217777777777777,-0.022000000000000006,-6,7.888888888888889,9.666666666666666,-1.7777777777777777,-16,42.666666666666664,45.77777777777778,-3.111111111111111,-2,21.444444444444443,25.11111111111111,-3.6666666666666665,4,8.11111111111111,9.555555555555555,-1.4444444444444444,-3,5.777777777777778,5.555555555555555,0.2222222222222222,-5,17.22222222222222,13.11111111111111,4.111111111111111,-2,21.11111111111111,18.333333333333332,2.7777777777777777
