,Unnamed: 0,Unnamed: 0.1.1.1.1.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,cumalitive_Points,cumalitive_Opp.Points,cumalitive_differential_Points,average_Points,average_Opp.{},average_Points_differential,differential_FieldGoals,cumalitive_FieldGoals,cumalitive_Opp.FieldGoals,cumalitive_differential_FieldGoals,average_FieldGoals,average_FieldGoals_differential,differential_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted,cumalitive_Opp.FieldGoalsAttempted,cumalitive_differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_FieldGoalsAttempted_differential,differential_FieldGoals.,cumalitive_FieldGoals.,cumalitive_Opp.FieldGoals.,cumalitive_differential_FieldGoals.,average_FieldGoals.,average_FieldGoals._differential,differential_3PointShots,cumalitive_3PointShots,cumalitive_Opp.3PointShots,cumalitive_differential_3PointShots,average_3PointShots,average_3PointShots_differential,differential_3PointShotsAttempted,cumalitive_3PointShotsAttempted,cumalitive_Opp.3PointShotsAttempted,cumalitive_differential_3PointShotsAttempted,average_3PointShotsAttempted,average_3PointShotsAttempted_differential,differential_3PointShots.,cumalitive_3PointShots.,cumalitive_Opp.3PointShots.,cumalitive_differential_3PointShots.,average_3PointShots.,average_3PointShots._differential,differential_FreeThrows,cumalitive_FreeThrows,cumalitive_Opp.FreeThrows,cumalitive_differential_FreeThrows,average_FreeThrows,average_FreeThrows_differential,differential_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted,cumalitive_Opp.FreeThrowsAttempted,cumalitive_differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_FreeThrowsAttempted_differential,differential_FreeThrows.,cumalitive_FreeThrows.,cumalitive_Opp.FreeThrows.,cumalitive_differential_FreeThrows.,average_FreeThrows.,average_FreeThrows._differential,differential_OffRebounds,cumalitive_OffRebounds,cumalitive_Opp.OffRebounds,cumalitive_differential_OffRebounds,average_OffRebounds,average_OffRebounds_differential,differential_TotalRebounds,cumalitive_TotalRebounds,cumalitive_Opp.TotalRebounds,cumalitive_differential_TotalRebounds,average_TotalRebounds,average_TotalRebounds_differential,differential_Assists,cumalitive_Assists,cumalitive_Opp.Assists,cumalitive_differential_Assists,average_Assists,average_Assists_differential,differential_Steals,cumalitive_Steals,cumalitive_Opp.Steals,cumalitive_differential_Steals,average_Steals,average_Steals_differential,differential_Blocks,cumalitive_Blocks,cumalitive_Opp.Blocks,cumalitive_differential_Blocks,average_Blocks,average_Blocks_differential,differential_Turnovers,cumalitive_Turnovers,cumalitive_Opp.Turnovers,cumalitive_differential_Turnovers,average_Turnovers,average_Turnovers_differential,differential_TotalFouls,cumalitive_TotalFouls,cumalitive_Opp.TotalFouls,cumalitive_differential_TotalFouls,average_TotalFouls,average_TotalFouls_differential
0,0,1504,PHI,1,2017-10-18,Away,WAS,L,115,120,43,93,0.462,15,35,0.429,14,19,0.737,11,48,25,6,6,17,28,42,97,0.433,6,22,0.273,30,38,0.789,16,52,21,8,10,9,20,-5,115,120,-5,115.0,20.0,-5.0,1,43,42,1,43.0,1.0,-4,93,97,-4,93.0,-4.0,0.029000000000000026,0.462,0.433,0.029000000000000026,0.462,0.029000000000000026,9,15,6,9,15.0,9.0,13,35,22,13,35.0,13.0,0.15599999999999997,0.429,0.273,0.15599999999999997,0.429,0.15599999999999997,-16,14,30,-16,14.0,-16.0,-19,19,38,-19,19.0,-19.0,-0.052000000000000046,0.737,0.789,-0.052000000000000046,0.737,-0.052000000000000046,-5,11,16,-5,11.0,-5.0,-4,48,52,-4,48.0,-4.0,4,25,21,4,25.0,4.0,-2,6,8,-2,6.0,-2.0,-4,6,10,-4,6.0,-4.0,8,17,9,8,17.0,8.0,8,28,20,8,28.0,8.0
1,1,2504,PHI,2,2017-10-20,Home,BOS,L,92,102,35,92,0.38,10,32,0.313,12,16,0.75,14,47,20,7,4,16,30,35,84,0.41700000000000004,10,29,0.345,22,32,0.688,14,55,16,4,5,19,24,-10,207,222,-15,103.5,22.0,-7.5,0,78,77,1,39.0,0.5,8,185,181,4,92.5,2.0,-0.03700000000000003,0.8420000000000001,0.8500000000000001,-0.008000000000000007,0.42100000000000004,-0.0040000000000000036,0,25,16,9,12.5,4.5,3,67,51,16,33.5,8.0,-0.03199999999999997,0.742,0.618,0.124,0.371,0.062,-10,26,52,-26,13.0,-13.0,-16,35,70,-35,17.5,-17.5,0.062000000000000055,1.487,1.4769999999999999,0.010000000000000009,0.7435,0.0050000000000000044,0,25,30,-5,12.5,-2.5,-8,95,107,-12,47.5,-6.0,4,45,37,8,22.5,4.0,3,13,12,1,6.5,0.5,-1,10,15,-5,5.0,-2.5,-3,33,28,5,16.5,2.5,6,58,44,14,29.0,7.0
2,2,3504,PHI,3,2017-10-21,Away,TOR,L,94,128,32,82,0.39,8,24,0.33299999999999996,22,36,0.611,8,41,18,5,4,20,26,42,89,0.47200000000000003,13,44,0.295,31,37,0.838,8,51,23,5,10,13,29,-34,301,350,-49,100.33333333333333,24.333333333333332,-16.333333333333332,-10,110,119,-9,36.666666666666664,-3.0,-7,267,270,-3,89.0,-1.0,-0.08200000000000002,1.2320000000000002,1.322,-0.09000000000000002,0.41066666666666674,-0.03000000000000001,-5,33,29,4,11.0,1.3333333333333333,-20,91,95,-4,30.333333333333332,-1.3333333333333333,0.03799999999999998,1.075,0.913,0.16199999999999998,0.35833333333333334,0.05399999999999999,-9,48,83,-35,16.0,-11.666666666666666,-1,71,107,-36,23.666666666666668,-12.0,-0.22699999999999998,2.098,2.315,-0.21699999999999997,0.6993333333333333,-0.07233333333333332,0,33,38,-5,11.0,-1.6666666666666667,-10,136,158,-22,45.333333333333336,-7.333333333333333,-5,63,60,3,21.0,1.0,0,18,17,1,6.0,0.3333333333333333,-6,14,25,-11,4.666666666666667,-3.6666666666666665,7,53,41,12,17.666666666666668,4.0,-3,84,73,11,28.0,3.6666666666666665
3,3,4504,PHI,4,2017-10-23,Away,DET,W,97,86,35,75,0.467,9,24,0.375,18,24,0.75,8,49,25,11,0,21,24,33,85,0.38799999999999996,6,30,0.2,14,19,0.737,9,39,14,5,2,14,21,11,398,436,-38,99.5,23.5,-9.5,2,145,152,-7,36.25,-1.75,-10,342,355,-13,85.5,-3.25,0.07900000000000007,1.6990000000000003,1.71,-0.010999999999999954,0.42475000000000007,-0.0027499999999999886,3,42,35,7,10.5,1.75,-6,115,125,-10,28.75,-2.5,0.175,1.45,1.113,0.33699999999999997,0.3625,0.08424999999999999,4,66,97,-31,16.5,-7.75,5,95,126,-31,23.75,-7.75,0.013000000000000012,2.848,3.052,-0.20399999999999996,0.712,-0.05099999999999999,-1,41,47,-6,10.25,-1.5,10,185,197,-12,46.25,-3.0,11,88,74,14,22.0,3.5,6,29,22,7,7.25,1.75,-2,14,27,-13,3.5,-3.25,7,74,55,19,18.5,4.75,3,108,94,14,27.0,3.5
4,4,5504,PHI,5,2017-10-25,Home,HOU,L,104,105,43,97,0.44299999999999995,12,36,0.33299999999999996,6,10,0.6,12,43,29,14,7,14,19,36,75,0.48,12,39,0.308,21,24,0.875,7,40,22,11,13,19,13,-1,502,541,-39,100.4,21.4,-7.8,7,188,188,0,37.6,0.0,22,439,430,9,87.8,1.8,-0.03700000000000003,2.1420000000000003,2.19,-0.04799999999999999,0.42840000000000006,-0.009599999999999997,0,54,47,7,10.8,1.4,-3,151,164,-13,30.2,-2.6,0.024999999999999967,1.783,1.421,0.36199999999999993,0.3566,0.07239999999999999,-15,72,118,-46,14.4,-9.2,-14,105,150,-45,21.0,-9.0,-0.275,3.448,3.927,-0.479,0.6896,-0.0958,5,53,54,-1,10.6,-0.2,3,228,237,-9,45.6,-1.8,7,117,96,21,23.4,4.2,3,43,33,10,8.6,2.0,-6,21,40,-19,4.2,-3.8,-5,88,74,14,17.6,2.8,6,127,107,20,25.4,4.0
5,5,6504,PHI,6,2017-10-28,Away,DAL,W,112,110,43,87,0.494,16,35,0.457,10,14,0.7140000000000001,11,42,25,10,1,13,21,38,74,0.514,19,40,0.475,15,19,0.789,3,33,22,7,2,17,15,2,614,651,-37,102.33333333333333,20.333333333333332,-6.166666666666667,5,231,226,5,38.5,0.8333333333333334,13,526,504,22,87.66666666666667,3.6666666666666665,-0.020000000000000018,2.636,2.7039999999999997,-0.068,0.43933333333333335,-0.011333333333333334,-3,70,66,4,11.666666666666666,0.6666666666666666,-5,186,204,-18,31.0,-3.0,-0.01799999999999996,2.2399999999999998,1.896,0.344,0.3733333333333333,0.057333333333333326,-5,82,133,-51,13.666666666666666,-8.5,-5,119,169,-50,19.833333333333332,-8.333333333333334,-0.07499999999999996,4.162,4.716,-0.5539999999999999,0.6936666666666667,-0.09233333333333332,8,64,57,7,10.666666666666666,1.1666666666666667,9,270,270,0,45.0,0.0,3,142,118,24,23.666666666666668,4.0,3,53,40,13,8.833333333333334,2.1666666666666665,-1,22,42,-20,3.6666666666666665,-3.3333333333333335,-4,101,91,10,16.833333333333332,1.6666666666666667,6,148,122,26,24.666666666666668,4.333333333333333
6,6,7504,PHI,7,2017-10-30,Away,HOU,W,115,107,44,80,0.55,10,24,0.41700000000000004,17,24,0.708,7,48,27,10,4,19,31,33,83,0.39799999999999996,13,47,0.27699999999999997,28,38,0.737,10,35,17,12,3,15,23,8,729,758,-29,104.14285714285714,20.714285714285715,-4.142857142857143,11,275,259,16,39.285714285714285,2.2857142857142856,-3,606,587,19,86.57142857142857,2.7142857142857144,0.15200000000000008,3.186,3.102,0.08400000000000007,0.4551428571428571,0.01200000000000001,-3,80,79,1,11.428571428571429,0.14285714285714285,-23,210,251,-41,30.0,-5.857142857142857,0.14000000000000007,2.657,2.173,0.48400000000000004,0.37957142857142856,0.06914285714285714,-11,99,161,-62,14.142857142857142,-8.857142857142858,-14,143,207,-64,20.428571428571427,-9.142857142857142,-0.029000000000000026,4.87,5.453,-0.583,0.6957142857142857,-0.08328571428571428,-3,71,67,4,10.142857142857142,0.5714285714285714,13,318,305,13,45.42857142857143,1.8571428571428572,10,169,135,34,24.142857142857142,4.857142857142857,-2,63,52,11,9.0,1.5714285714285714,1,26,45,-19,3.7142857142857144,-2.7142857142857144,4,120,106,14,17.142857142857142,2.0,8,179,145,34,25.571428571428573,4.857142857142857
7,7,8307,PHI,8,2017-11-01,Home,ATL,W,119,109,46,99,0.465,13,35,0.371,14,25,0.56,15,53,36,10,4,16,26,41,94,0.436,8,23,0.348,19,27,0.7040000000000001,12,49,22,11,4,18,28,10,848,867,-19,106.0,21.625,-2.375,5,321,300,21,40.125,2.625,5,705,681,24,88.125,3.0,0.029000000000000026,3.651,3.538,0.1130000000000001,0.456375,0.014125000000000013,5,93,87,6,11.625,0.75,12,245,274,-29,30.625,-3.625,0.02300000000000002,3.028,2.521,0.5070000000000001,0.3785,0.06337500000000001,-5,113,180,-67,14.125,-8.375,-2,168,234,-66,21.0,-8.25,-0.14400000000000002,5.43,6.157,-0.727,0.67875,-0.090875,3,86,79,7,10.75,0.875,4,371,354,17,46.375,2.125,14,205,157,48,25.625,6.0,-1,73,63,10,9.125,1.25,0,30,49,-19,3.75,-2.375,-2,136,124,12,17.0,1.5,-2,205,173,32,25.625,4.0
8,8,9112,PHI,9,2017-11-03,Home,IND,W,121,110,46,92,0.5,18,36,0.5,11,14,0.7859999999999999,12,50,34,7,9,18,20,45,97,0.46399999999999997,8,28,0.28600000000000003,12,19,0.632,8,40,25,6,6,11,18,11,969,977,-8,107.66666666666667,21.22222222222222,-0.8888888888888888,1,367,345,22,40.77777777777778,2.4444444444444446,-5,797,778,19,88.55555555555556,2.111111111111111,0.03600000000000003,4.151,4.002,0.14900000000000013,0.4612222222222222,0.01655555555555557,10,111,95,16,12.333333333333334,1.7777777777777777,8,281,302,-21,31.22222222222222,-2.3333333333333335,0.21399999999999997,3.528,2.807,0.7210000000000001,0.392,0.08011111111111112,-1,124,192,-68,13.777777777777779,-7.555555555555555,-5,182,253,-71,20.22222222222222,-7.888888888888889,0.15399999999999991,6.215999999999999,6.789,-0.5730000000000001,0.6906666666666665,-0.06366666666666668,4,98,87,11,10.88888888888889,1.2222222222222223,10,421,394,27,46.77777777777778,3.0,9,239,182,57,26.555555555555557,6.333333333333333,1,80,69,11,8.88888888888889,1.2222222222222223,3,39,55,-16,4.333333333333333,-1.7777777777777777,7,154,135,19,17.11111111111111,2.111111111111111,2,225,191,34,25.0,3.7777777777777777
9,9,10112,PHI,10,2017-11-07,Away,UTA,W,104,97,34,81,0.42,12,27,0.444,24,30,0.8,8,56,23,5,6,22,34,30,99,0.303,9,39,0.231,28,35,0.8,14,45,15,14,6,12,23,7,1073,1074,-1,107.3,21.4,-0.1,4,401,375,26,40.1,2.6,-18,878,877,1,87.8,0.1,0.11699999999999999,4.571,4.305,0.2660000000000001,0.45709999999999995,0.026600000000000013,3,123,104,19,12.3,1.9,-12,308,341,-33,30.8,-3.3,0.213,3.972,3.038,0.934,0.3972,0.09340000000000001,-4,148,220,-72,14.8,-7.2,-5,212,288,-76,21.2,-7.6,0.0,7.015999999999999,7.5889999999999995,-0.5730000000000001,0.7015999999999999,-0.057300000000000004,-6,106,101,5,10.6,0.5,11,477,439,38,47.7,3.8,8,262,197,65,26.2,6.5,-9,85,83,2,8.5,0.2,0,45,61,-16,4.5,-1.6,10,176,147,29,17.6,2.9,11,259,214,45,25.9,4.5
