,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,PHO,1,2015-10-28,Home,DAL,L,95,111,34,87,0.391,6,24,0.25,21,33,0.636,13,53,15,3,3,18,30,40,85,0.471,10,21,0.476,21,31,0.677,6,48,24,7,3,8,25,-16,0.0,0.0,0.0,-6,0.0,0.0,0.0,2,0.0,0.0,0.0,-0.07999999999999996,0.0,0.0,0.0,-4,0.0,0.0,0.0,3,0.0,0.0,0.0,-0.22599999999999998,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,-0.041000000000000036,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,-9,0.0,0.0,0.0,-4,0.0,0.0,0.0,0,0.0,0.0,0.0,10,0.0,0.0,0.0,5,0.0,0.0,0.0
1,PHO,2,2015-10-30,Home,POR,W,110,92,37,83,0.446,4,18,0.222,32,42,0.762,11,55,17,13,7,19,17,34,86,0.395,9,24,0.375,15,19,0.789,11,42,17,9,5,23,33,18,95.0,111.0,-16.0,3,34.0,40.0,-6.0,-3,87.0,85.0,2.0,0.05099999999999999,0.391,0.471,-0.07999999999999996,-5,6.0,10.0,-4.0,-6,24.0,21.0,3.0,-0.153,0.25,0.476,-0.22599999999999998,17,21.0,21.0,0.0,23,33.0,31.0,2.0,-0.027000000000000024,0.636,0.677,-0.041000000000000036,0,13.0,6.0,7.0,13,53.0,48.0,5.0,0,15.0,24.0,-9.0,4,3.0,7.0,-4.0,2,3.0,3.0,0.0,-4,18.0,8.0,10.0,-16,30.0,25.0,5.0
2,PHO,3,2015-10-31,Away,POR,W,101,90,39,94,0.415,11,32,0.344,12,16,0.75,11,48,16,11,6,13,20,33,79,0.418,8,30,0.267,16,28,0.5710000000000001,10,45,20,7,5,16,20,11,102.5,101.5,1.0,6,35.5,37.0,-1.5,15,85.0,85.5,-0.5,-0.0030000000000000027,0.4185,0.433,-0.014499999999999985,3,5.0,9.5,-4.5,2,21.0,22.5,-1.5,0.07699999999999996,0.236,0.4255,-0.1895,-4,26.5,18.0,8.5,-12,37.5,25.0,12.5,0.17899999999999994,0.6990000000000001,0.7330000000000001,-0.03400000000000003,1,12.0,8.5,3.5,3,54.0,45.0,9.0,-4,16.0,20.5,-4.5,4,8.0,8.0,0.0,1,5.0,4.0,1.0,-3,18.5,15.5,3.0,0,23.5,29.0,-5.5
3,PHO,4,2015-11-02,Away,LAC,L,96,102,36,98,0.3670000000000001,9,30,0.3,15,21,0.7140000000000001,16,55,23,8,1,9,20,37,81,0.457,8,26,0.308,20,23,0.87,3,46,20,4,5,11,18,-6,102.0,97.66666666666667,4.333333333333333,-1,36.666666666666664,35.666666666666664,1.0,17,88.0,83.33333333333333,4.666666666666667,-0.08999999999999991,0.41733333333333333,0.428,-0.010666666666666658,1,7.0,9.0,-2.0,4,24.666666666666668,25.0,-0.3333333333333333,-0.008000000000000007,0.27199999999999996,0.37266666666666665,-0.10066666666666668,-5,21.666666666666668,17.333333333333332,4.333333333333333,-2,30.333333333333332,26.0,4.333333333333333,-0.15599999999999992,0.7160000000000001,0.6790000000000002,0.03699999999999996,13,11.666666666666666,9.0,2.6666666666666665,9,52.0,45.0,7.0,3,16.0,20.333333333333332,-4.333333333333333,4,9.0,7.666666666666667,1.3333333333333333,-4,5.333333333333333,4.333333333333333,1.0,-2,16.666666666666668,15.666666666666666,1.0,2,22.333333333333332,26.0,-3.6666666666666665
4,PHO,5,2015-11-04,Home,SAC,W,118,97,45,83,0.542,14,23,0.609,14,22,0.636,9,41,27,14,4,18,11,40,84,0.476,11,24,0.458,6,12,0.5,7,33,25,9,4,17,22,21,100.5,98.75,1.75,5,36.5,36.0,0.5,-1,90.5,82.75,7.75,0.06600000000000006,0.40475000000000005,0.43525,-0.03049999999999997,3,7.5,8.75,-1.25,-1,26.0,25.25,0.75,0.15099999999999997,0.27899999999999997,0.3565,-0.07750000000000001,8,20.0,18.0,2.0,10,28.0,25.25,2.75,0.136,0.7155,0.7267500000000001,-0.01125000000000001,2,12.75,7.5,5.25,8,52.75,45.25,7.5,2,17.75,20.25,-2.5,5,8.75,6.75,2.0,0,4.25,4.5,-0.25,1,14.75,14.5,0.25,-11,21.75,24.0,-2.25
5,PHO,6,2015-11-06,Home,DET,L,92,100,37,92,0.402,10,30,0.333,8,13,0.615,11,46,14,8,3,16,29,37,74,0.5,8,22,0.364,18,36,0.5,6,47,15,8,3,15,21,-8,104.0,98.4,5.6,0,38.2,36.8,1.4,18,89.0,83.0,6.0,-0.09799999999999998,0.4322000000000001,0.4434,-0.011199999999999965,2,8.8,9.2,-0.4,8,25.4,25.0,0.4,-0.030999999999999972,0.345,0.37679999999999997,-0.031800000000000016,-10,18.8,15.6,3.2,-23,26.8,22.6,4.2,0.11499999999999999,0.6996,0.6814000000000001,0.018199999999999994,5,12.0,7.4,4.6,-1,50.4,42.8,7.6,-1,19.6,21.2,-1.6,0,9.8,7.2,2.6,0,4.2,4.4,-0.2,1,15.4,15.0,0.4,8,19.6,23.6,-4.0
6,PHO,7,2015-11-08,Away,OKC,L,103,124,38,84,0.452,7,16,0.438,20,26,0.769,7,33,18,7,1,23,25,49,94,0.521,4,20,0.2,22,30,0.733,17,52,26,14,8,15,25,-21,102.0,98.66666666666667,3.3333333333333335,-11,38.0,36.833333333333336,1.1666666666666667,-10,89.5,81.5,8.0,-0.069,0.42716666666666675,0.45283333333333337,-0.025666666666666633,3,9.0,9.0,0.0,-4,26.166666666666668,24.5,1.6666666666666667,0.238,0.34299999999999997,0.37466666666666665,-0.031666666666666676,-2,17.0,16.0,1.0,-4,24.5,24.833333333333332,-0.3333333333333333,0.03600000000000003,0.6855000000000001,0.6511666666666668,0.03433333333333333,-10,11.833333333333334,7.166666666666667,4.666666666666667,-19,49.666666666666664,43.5,6.166666666666667,-8,18.666666666666668,20.166666666666668,-1.5,-7,9.5,7.333333333333333,2.1666666666666665,-7,4.0,4.166666666666667,-0.16666666666666666,8,15.5,15.0,0.5,0,21.166666666666668,23.166666666666668,-2.0
7,PHO,8,2015-11-12,Home,LAC,W,118,104,44,83,0.53,14,30,0.467,16,21,0.762,9,46,22,10,3,19,23,40,90,0.444,9,26,0.34600000000000003,15,28,0.536,12,37,17,13,3,14,17,14,102.14285714285714,102.28571428571429,-0.14285714285714285,4,38.0,38.57142857142857,-0.5714285714285714,-7,88.71428571428571,83.28571428571429,5.428571428571429,0.08600000000000002,0.43071428571428577,0.4625714285714286,-0.03185714285714283,5,8.714285714285714,8.285714285714286,0.42857142857142855,4,24.714285714285715,23.857142857142858,0.8571428571428571,0.121,0.3565714285714286,0.3497142857142857,0.006857142857142847,1,17.428571428571427,16.857142857142858,0.5714285714285714,-7,24.714285714285715,25.571428571428573,-0.8571428571428571,0.22599999999999998,0.6974285714285715,0.6628571428571429,0.03457142857142857,-3,11.142857142857142,8.571428571428571,2.5714285714285716,9,47.285714285714285,44.714285714285715,2.5714285714285716,5,18.571428571428573,21.0,-2.4285714285714284,-3,9.142857142857142,8.285714285714286,0.8571428571428571,0,3.5714285714285716,4.714285714285714,-1.1428571428571428,5,16.571428571428573,15.0,1.5714285714285714,6,21.714285714285715,23.428571428571427,-1.7142857142857142
8,PHO,9,2015-11-14,Home,DEN,W,105,81,37,84,0.44,11,24,0.458,20,26,0.769,10,57,19,4,1,20,13,34,98,0.34700000000000003,6,35,0.171,7,8,0.875,9,42,13,8,6,10,20,24,104.125,102.5,1.625,3,38.75,38.75,0.0,-14,88.0,84.125,3.875,0.09299999999999997,0.4431250000000001,0.46025,-0.017124999999999974,5,9.375,8.375,1.0,-11,25.375,24.125,1.25,0.28700000000000003,0.370375,0.34925,0.02112499999999999,13,17.25,16.625,0.625,18,24.25,25.875,-1.625,-0.10599999999999998,0.7055,0.647,0.058499999999999996,1,10.875,9.0,1.875,15,47.125,43.75,3.375,6,19.0,20.5,-1.5,-4,9.25,8.875,0.375,-5,3.5,4.5,-1.0,10,16.875,14.875,2.0,-7,21.875,22.625,-0.75
9,PHO,10,2015-11-16,Home,LAL,W,120,101,45,93,0.484,11,30,0.3670000000000001,19,25,0.76,18,50,23,13,6,10,16,37,77,0.481,9,20,0.45,18,20,0.9,7,37,12,5,2,16,23,19,104.22222222222223,100.11111111111111,4.111111111111111,8,38.55555555555556,38.22222222222222,0.3333333333333333,16,87.55555555555556,85.66666666666667,1.8888888888888888,0.0030000000000000027,0.4427777777777779,0.44766666666666666,-0.004888888888888869,2,9.555555555555555,8.11111111111111,1.4444444444444444,10,25.22222222222222,25.333333333333332,-0.1111111111111111,-0.08299999999999991,0.3801111111111111,0.32944444444444443,0.050666666666666665,1,17.555555555555557,15.555555555555555,2.0,5,24.444444444444443,23.88888888888889,0.5555555555555556,-0.14,0.7125555555555556,0.6723333333333333,0.04022222222222222,11,10.777777777777779,9.0,1.7777777777777777,13,48.22222222222222,43.55555555555556,4.666666666666667,11,19.0,19.666666666666668,-0.6666666666666666,8,8.666666666666666,8.777777777777779,-0.1111111111111111,4,3.2222222222222223,4.666666666666667,-1.4444444444444444,-6,17.22222222222222,14.333333333333334,2.888888888888889,-7,20.88888888888889,22.333333333333332,-1.4444444444444444
10,PHO,11,2015-11-18,Home,CHI,L,97,103,37,91,0.407,8,27,0.29600000000000004,15,21,0.7140000000000001,14,43,16,12,4,12,14,41,83,0.494,9,19,0.474,12,14,0.857,11,47,24,7,2,19,17,-6,105.8,100.2,5.6,-4,39.2,38.1,1.1,8,88.1,84.8,3.3,-0.08700000000000002,0.44690000000000013,0.45099999999999996,-0.004099999999999981,-1,9.7,8.2,1.5,8,25.7,24.8,0.9,-0.17799999999999994,0.3788,0.3415,0.03730000000000001,3,17.7,15.8,1.9,7,24.5,23.5,1.0,-0.1429999999999999,0.7173,0.6951,0.022199999999999998,3,11.5,8.8,2.7,-4,48.4,42.9,5.5,-8,19.4,18.9,0.5,5,9.1,8.4,0.7,2,3.5,4.4,-0.9,-7,16.5,14.5,2.0,-3,20.4,22.4,-2.0
11,PHO,12,2015-11-20,Away,DEN,W,114,107,40,79,0.506,15,27,0.556,19,25,0.76,10,42,22,7,7,19,26,41,90,0.456,5,24,0.208,20,26,0.769,14,38,24,8,4,11,22,7,105.0,100.45454545454545,4.545454545454546,-1,39.0,38.36363636363637,0.6363636363636364,-11,88.36363636363636,84.63636363636364,3.727272727272727,0.04999999999999999,0.4432727272727274,0.4549090909090909,-0.011636363636363622,10,9.545454545454545,8.272727272727273,1.2727272727272727,3,25.818181818181817,24.272727272727273,1.5454545454545454,0.3480000000000001,0.3712727272727273,0.35354545454545455,0.017727272727272737,-1,17.454545454545453,15.454545454545455,2.0,-1,24.181818181818183,22.636363636363637,1.5454545454545454,-0.009000000000000008,0.7170000000000001,0.7098181818181819,0.0071818181818181885,-4,11.727272727272727,9.0,2.727272727272727,4,47.90909090909091,43.27272727272727,4.636363636363637,-2,19.09090909090909,19.363636363636363,-0.2727272727272727,-1,9.363636363636363,8.272727272727273,1.0909090909090908,3,3.5454545454545454,4.181818181818182,-0.6363636363636364,8,16.09090909090909,14.909090909090908,1.1818181818181819,4,19.818181818181817,21.90909090909091,-2.090909090909091
12,PHO,13,2015-11-22,Away,NOP,L,116,122,35,90,0.389,17,36,0.472,29,33,0.879,11,46,17,6,4,15,29,39,85,0.459,11,30,0.3670000000000001,33,40,0.825,10,49,23,11,6,14,26,-6,105.75,101.0,4.75,-4,39.083333333333336,38.583333333333336,0.5,5,87.58333333333333,85.08333333333333,2.5,-0.07,0.4485000000000001,0.455,-0.0064999999999999876,6,10.0,8.0,2.0,6,25.916666666666668,24.25,1.6666666666666667,0.10499999999999987,0.3866666666666667,0.3414166666666667,0.04525000000000001,-4,17.583333333333332,15.833333333333334,1.75,-7,24.25,22.916666666666668,1.3333333333333333,0.05400000000000005,0.7205833333333334,0.71475,0.005833333333333339,1,11.583333333333334,9.416666666666666,2.1666666666666665,-3,47.416666666666664,42.833333333333336,4.583333333333333,-6,19.333333333333332,19.75,-0.4166666666666667,-5,9.166666666666666,8.25,0.9166666666666666,-2,3.8333333333333335,4.166666666666667,-0.3333333333333333,1,16.333333333333332,14.583333333333334,1.75,3,20.333333333333332,21.916666666666668,-1.5833333333333333
13,PHO,14,2015-11-23,Away,SAS,L,84,98,34,73,0.466,7,19,0.368,9,10,0.9,9,37,23,13,3,28,17,42,82,0.512,9,20,0.45,5,10,0.5,11,38,21,18,3,20,20,-14,106.53846153846153,102.61538461538461,3.923076923076923,-8,38.76923076923077,38.61538461538461,0.15384615384615385,-9,87.76923076923077,85.07692307692308,2.6923076923076925,-0.045999999999999985,0.44392307692307703,0.4553076923076923,-0.011384615384615373,-2,10.538461538461538,8.23076923076923,2.3076923076923075,-1,26.692307692307693,24.692307692307693,2.0,-0.08200000000000002,0.3932307692307692,0.3433846153846154,0.049846153846153846,4,18.46153846153846,17.153846153846153,1.3076923076923077,0,24.923076923076923,24.23076923076923,0.6923076923076923,0.4,0.7327692307692307,0.7232307692307691,0.009538461538461548,-2,11.538461538461538,9.461538461538462,2.076923076923077,-1,47.30769230769231,43.30769230769231,4.0,2,19.153846153846153,20.0,-0.8461538461538461,-5,8.923076923076923,8.461538461538462,0.46153846153846156,0,3.8461538461538463,4.3076923076923075,-0.46153846153846156,8,16.23076923076923,14.538461538461538,1.6923076923076923,-3,21.0,22.23076923076923,-1.2307692307692308
14,PHO,15,2015-11-25,Home,NOP,L,114,120,44,96,0.458,10,26,0.385,16,20,0.8,11,44,25,8,5,10,26,42,81,0.519,10,22,0.455,26,34,0.765,5,42,20,4,6,14,23,-6,104.92857142857143,102.28571428571429,2.642857142857143,2,38.42857142857143,38.857142857142854,-0.42857142857142855,15,86.71428571428571,84.85714285714286,1.8571428571428572,-0.061,0.4455000000000001,0.4593571428571428,-0.013857142857142846,0,10.285714285714286,8.285714285714286,2.0,4,26.142857142857142,24.357142857142858,1.7857142857142858,-0.07,0.39142857142857146,0.35100000000000003,0.04042857142857143,-10,17.785714285714285,16.285714285714285,1.5,-14,23.857142857142858,23.214285714285715,0.6428571428571429,0.03500000000000003,0.7447142857142858,0.7072857142857142,0.037428571428571436,6,11.357142857142858,9.571428571428571,1.7857142857142858,2,46.57142857142857,42.92857142857143,3.642857142857143,5,19.428571428571427,20.071428571428573,-0.6428571428571429,4,9.214285714285714,9.142857142857142,0.07142857142857142,-1,3.7857142857142856,4.214285714285714,-0.42857142857142855,-4,17.071428571428573,14.928571428571429,2.142857142857143,3,20.714285714285715,22.071428571428573,-1.3571428571428572
