,Unnamed: 0,Unnamed: 0.1.1.1.1.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,cumalitive_Points,cumalitive_Opp.Points,cumalitive_differential_Points,average_Points,average_Opp.{},average_Points_differential,differential_FieldGoals,cumalitive_FieldGoals,cumalitive_Opp.FieldGoals,cumalitive_differential_FieldGoals,average_FieldGoals,average_FieldGoals_differential,differential_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted,cumalitive_Opp.FieldGoalsAttempted,cumalitive_differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_FieldGoalsAttempted_differential,differential_FieldGoals.,cumalitive_FieldGoals.,cumalitive_Opp.FieldGoals.,cumalitive_differential_FieldGoals.,average_FieldGoals.,average_FieldGoals._differential,differential_3PointShots,cumalitive_3PointShots,cumalitive_Opp.3PointShots,cumalitive_differential_3PointShots,average_3PointShots,average_3PointShots_differential,differential_3PointShotsAttempted,cumalitive_3PointShotsAttempted,cumalitive_Opp.3PointShotsAttempted,cumalitive_differential_3PointShotsAttempted,average_3PointShotsAttempted,average_3PointShotsAttempted_differential,differential_3PointShots.,cumalitive_3PointShots.,cumalitive_Opp.3PointShots.,cumalitive_differential_3PointShots.,average_3PointShots.,average_3PointShots._differential,differential_FreeThrows,cumalitive_FreeThrows,cumalitive_Opp.FreeThrows,cumalitive_differential_FreeThrows,average_FreeThrows,average_FreeThrows_differential,differential_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted,cumalitive_Opp.FreeThrowsAttempted,cumalitive_differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_FreeThrowsAttempted_differential,differential_FreeThrows.,cumalitive_FreeThrows.,cumalitive_Opp.FreeThrows.,cumalitive_differential_FreeThrows.,average_FreeThrows.,average_FreeThrows._differential,differential_OffRebounds,cumalitive_OffRebounds,cumalitive_Opp.OffRebounds,cumalitive_differential_OffRebounds,average_OffRebounds,average_OffRebounds_differential,differential_TotalRebounds,cumalitive_TotalRebounds,cumalitive_Opp.TotalRebounds,cumalitive_differential_TotalRebounds,average_TotalRebounds,average_TotalRebounds_differential,differential_Assists,cumalitive_Assists,cumalitive_Opp.Assists,cumalitive_differential_Assists,average_Assists,average_Assists_differential,differential_Steals,cumalitive_Steals,cumalitive_Opp.Steals,cumalitive_differential_Steals,average_Steals,average_Steals_differential,differential_Blocks,cumalitive_Blocks,cumalitive_Opp.Blocks,cumalitive_differential_Blocks,average_Blocks,average_Blocks_differential,differential_Turnovers,cumalitive_Turnovers,cumalitive_Opp.Turnovers,cumalitive_differential_Turnovers,average_Turnovers,average_Turnovers_differential,differential_TotalFouls,cumalitive_TotalFouls,cumalitive_Opp.TotalFouls,cumalitive_differential_TotalFouls,average_TotalFouls,average_TotalFouls_differential
0,0,1505,PHO,1,2017-10-18,Home,POR,L,76,124,28,89,0.315,7,27,0.259,13,18,0.722,10,33,10,9,8,16,22,44,90,0.489,14,24,0.583,22,28,0.7859999999999999,15,57,22,8,7,16,20,-48,76,124,-48,76.0,20.0,-48.0,-16,28,44,-16,28.0,-16.0,-1,89,90,-1,89.0,-1.0,-0.174,0.315,0.489,-0.174,0.315,-0.174,-7,7,14,-7,7.0,-7.0,3,27,24,3,27.0,3.0,-0.32399999999999995,0.259,0.583,-0.32399999999999995,0.259,-0.32399999999999995,-9,13,22,-9,13.0,-9.0,-10,18,28,-10,18.0,-10.0,-0.06399999999999995,0.722,0.7859999999999999,-0.06399999999999995,0.722,-0.06399999999999995,-5,10,15,-5,10.0,-5.0,-24,33,57,-24,33.0,-24.0,-12,10,22,-12,10.0,-12.0,1,9,8,1,9.0,1.0,1,8,7,1,8.0,1.0,0,16,16,0,16.0,0.0,2,22,20,2,22.0,2.0
1,1,2505,PHO,2,2017-10-20,Home,LAL,L,130,132,45,92,0.489,14,29,0.483,26,38,0.684,10,50,17,8,9,19,25,48,93,0.516,12,26,0.462,24,33,0.727,5,42,22,8,3,18,31,-2,206,256,-50,103.0,25.5,-25.0,-3,73,92,-19,36.5,-9.5,-1,181,183,-2,90.5,-1.0,-0.027000000000000024,0.804,1.005,-0.201,0.402,-0.1005,2,21,26,-5,10.5,-2.5,3,56,50,6,28.0,3.0,0.020999999999999963,0.742,1.045,-0.303,0.371,-0.1515,2,39,46,-7,19.5,-3.5,5,56,61,-5,28.0,-2.5,-0.04299999999999993,1.4060000000000001,1.513,-0.10699999999999987,0.7030000000000001,-0.053499999999999936,5,20,20,0,10.0,0.0,8,83,99,-16,41.5,-8.0,-5,27,44,-17,13.5,-8.5,0,17,16,1,8.5,0.5,6,17,10,7,8.5,3.5,1,35,34,1,17.5,0.5,-6,47,51,-4,23.5,-2.0
2,2,3505,PHO,3,2017-10-21,Away,LAC,L,88,130,27,71,0.38,6,24,0.25,28,38,0.737,4,36,19,8,3,19,27,48,88,0.545,12,26,0.462,22,30,0.733,10,52,26,11,2,12,32,-42,294,386,-92,98.0,27.666666666666668,-30.666666666666668,-21,100,140,-40,33.333333333333336,-13.333333333333334,-17,252,271,-19,84.0,-6.333333333333333,-0.16500000000000004,1.1840000000000002,1.5499999999999998,-0.36600000000000005,0.3946666666666667,-0.12200000000000001,-6,27,38,-11,9.0,-3.6666666666666665,-2,80,76,4,26.666666666666668,1.3333333333333333,-0.21200000000000002,0.992,1.507,-0.515,0.33066666666666666,-0.17166666666666666,6,67,68,-1,22.333333333333332,-0.3333333333333333,8,94,91,3,31.333333333333332,1.0,0.0040000000000000036,2.1430000000000002,2.246,-0.10299999999999987,0.7143333333333334,-0.03433333333333329,-6,24,30,-6,8.0,-2.0,-16,119,151,-32,39.666666666666664,-10.666666666666666,-7,46,70,-24,15.333333333333334,-8.0,-3,25,27,-2,8.333333333333334,-0.6666666666666666,1,20,12,8,6.666666666666667,2.6666666666666665,7,54,46,8,18.0,2.6666666666666665,-5,74,83,-9,24.666666666666668,-3.0
3,3,4505,PHO,4,2017-10-23,Home,SAC,W,117,115,42,77,0.545,10,30,0.33299999999999996,23,27,0.852,6,45,20,6,5,20,25,43,99,0.434,9,22,0.409,20,29,0.69,13,37,19,13,2,9,25,2,411,501,-90,102.75,27.0,-22.5,-1,142,183,-41,35.5,-10.25,-22,329,370,-41,82.25,-10.25,0.11100000000000004,1.729,1.9839999999999998,-0.255,0.43225,-0.06375,1,37,47,-10,9.25,-2.5,8,110,98,12,27.5,3.0,-0.07600000000000001,1.325,1.916,-0.591,0.33125,-0.14775,3,90,88,2,22.5,0.5,-2,121,120,1,30.25,0.25,0.16200000000000003,2.995,2.936,0.05900000000000016,0.74875,0.01475000000000004,-7,30,43,-13,7.5,-3.25,8,164,188,-24,41.0,-6.0,1,66,89,-23,16.5,-5.75,-7,31,40,-9,7.75,-2.25,3,25,14,11,6.25,2.75,11,74,55,19,18.5,4.75,0,99,108,-9,24.75,-2.25
4,4,5505,PHO,5,2017-10-25,Home,UTA,W,97,88,42,96,0.43799999999999994,6,19,0.316,7,9,0.778,16,55,18,8,5,16,25,32,77,0.41600000000000004,6,25,0.24,18,25,0.72,7,44,20,8,10,23,19,9,508,589,-81,101.6,25.4,-16.2,10,184,215,-31,36.8,-6.2,19,425,447,-22,85.0,-4.4,0.02199999999999991,2.167,2.4,-0.2330000000000001,0.43339999999999995,-0.046600000000000016,0,43,53,-10,8.6,-2.0,-6,129,123,6,25.8,1.2,0.07600000000000001,1.641,2.1559999999999997,-0.5149999999999999,0.3282,-0.10299999999999998,-11,97,106,-9,19.4,-1.8,-16,130,145,-15,26.0,-3.0,0.05800000000000005,3.773,3.6559999999999997,0.11700000000000021,0.7546,0.023400000000000042,9,46,50,-4,9.2,-0.8,11,219,232,-13,43.8,-2.6,-2,84,109,-25,16.8,-5.0,0,39,48,-9,7.8,-1.8,-5,30,24,6,6.0,1.2,-7,90,78,12,18.0,2.4,6,124,127,-3,24.8,-0.6
5,5,6505,PHO,6,2017-10-28,Away,POR,L,107,114,37,87,0.425,9,26,0.34600000000000003,24,30,0.8,12,46,21,12,7,17,23,40,91,0.44,11,26,0.423,23,28,0.821,12,53,27,8,7,14,26,-7,615,703,-88,102.5,25.5,-14.666666666666666,-3,221,255,-34,36.833333333333336,-5.666666666666667,-4,512,538,-26,85.33333333333333,-4.333333333333333,-0.015000000000000013,2.5919999999999996,2.84,-0.2480000000000001,0.43199999999999994,-0.041333333333333354,-2,52,64,-12,8.666666666666666,-2.0,0,155,149,6,25.833333333333332,1.0,-0.07699999999999996,1.987,2.5789999999999997,-0.5919999999999999,0.33116666666666666,-0.09866666666666664,1,121,129,-8,20.166666666666668,-1.3333333333333333,2,160,173,-13,26.666666666666668,-2.1666666666666665,-0.020999999999999908,4.573,4.476999999999999,0.09600000000000031,0.7621666666666668,0.016000000000000052,0,58,62,-4,9.666666666666666,-0.6666666666666666,-7,265,285,-20,44.166666666666664,-3.3333333333333335,-6,105,136,-31,17.5,-5.166666666666667,4,51,56,-5,8.5,-0.8333333333333334,0,37,31,6,6.166666666666667,1.0,3,107,92,15,17.833333333333332,2.5,-3,147,153,-6,24.5,-1.0
6,6,7505,PHO,7,2017-10-31,Away,BRK,W,122,114,45,96,0.469,10,22,0.455,22,24,0.917,10,66,18,5,5,18,26,42,102,0.41200000000000003,9,31,0.29,21,30,0.7,7,44,15,9,4,7,22,8,737,817,-80,105.28571428571429,25.0,-11.428571428571429,3,266,297,-31,38.0,-4.428571428571429,-6,608,640,-32,86.85714285714286,-4.571428571428571,0.05699999999999994,3.0609999999999995,3.252,-0.19100000000000017,0.4372857142857142,-0.02728571428571431,1,62,73,-11,8.857142857142858,-1.5714285714285714,-9,177,180,-3,25.285714285714285,-0.42857142857142855,0.16500000000000004,2.442,2.8689999999999998,-0.4269999999999998,0.34885714285714287,-0.06099999999999998,1,143,150,-7,20.428571428571427,-1.0,-6,184,203,-19,26.285714285714285,-2.7142857142857144,0.21700000000000008,5.49,5.177,0.3130000000000004,0.7842857142857144,0.04471428571428577,3,68,69,-1,9.714285714285714,-0.14285714285714285,22,331,329,2,47.285714285714285,0.2857142857142857,3,123,151,-28,17.571428571428573,-4.0,-4,56,65,-9,8.0,-1.2857142857142858,1,42,35,7,6.0,1.0,11,125,99,26,17.857142857142858,3.7142857142857144,4,173,175,-2,24.714285714285715,-0.2857142857142857
7,7,8308,PHO,8,2017-11-01,Away,WAS,W,122,116,41,83,0.494,9,24,0.375,31,38,0.816,11,45,23,5,5,9,24,41,92,0.446,10,30,0.33299999999999996,24,30,0.8,15,45,20,5,4,12,28,6,859,933,-74,107.375,25.375,-9.25,0,307,338,-31,38.375,-3.875,-9,691,732,-41,86.375,-5.125,0.04799999999999999,3.5549999999999997,3.698,-0.14300000000000018,0.44437499999999996,-0.017875000000000023,-1,71,83,-12,8.875,-1.5,-6,201,210,-9,25.125,-1.125,0.04200000000000004,2.817,3.202,-0.3849999999999998,0.352125,-0.04812499999999997,7,174,174,0,21.75,0.0,8,222,233,-11,27.75,-1.375,0.015999999999999903,6.306,5.976999999999999,0.3290000000000003,0.78825,0.041125000000000037,-4,79,84,-5,9.875,-0.625,0,376,374,2,47.0,0.25,3,146,171,-25,18.25,-3.125,0,61,70,-9,7.625,-1.125,1,47,39,8,5.875,1.0,-3,134,111,23,16.75,2.875,-4,197,203,-6,24.625,-0.75
8,8,9113,PHO,9,2017-11-03,Away,NYK,L,107,120,34,97,0.35100000000000003,9,32,0.281,30,37,0.8109999999999999,20,47,17,7,3,10,25,45,87,0.517,8,26,0.308,22,25,0.88,9,49,24,5,7,12,24,-13,966,1053,-87,107.33333333333333,25.22222222222222,-9.666666666666666,-11,341,383,-42,37.888888888888886,-4.666666666666667,10,788,819,-31,87.55555555555556,-3.4444444444444446,-0.16599999999999998,3.9059999999999997,4.215,-0.30900000000000016,0.43399999999999994,-0.034333333333333355,1,80,91,-11,8.88888888888889,-1.2222222222222223,6,233,236,-3,25.88888888888889,-0.3333333333333333,-0.02699999999999997,3.0980000000000003,3.51,-0.41199999999999976,0.34422222222222226,-0.04577777777777775,8,204,196,8,22.666666666666668,0.8888888888888888,12,259,258,1,28.77777777777778,0.1111111111111111,-0.06900000000000006,7.117,6.856999999999999,0.26000000000000023,0.7907777777777778,0.028888888888888915,11,99,93,6,11.0,0.6666666666666666,-2,423,423,0,47.0,0.0,-7,163,195,-32,18.11111111111111,-3.5555555555555554,2,68,75,-7,7.555555555555555,-0.7777777777777778,-4,50,46,4,5.555555555555555,0.4444444444444444,-2,144,123,21,16.0,2.3333333333333335,1,222,227,-5,24.666666666666668,-0.5555555555555556
9,9,10113,PHO,10,2017-11-05,Away,SAS,L,95,112,37,81,0.457,8,23,0.348,13,22,0.591,11,45,23,5,4,18,16,44,88,0.5,11,22,0.5,13,18,0.722,8,43,21,9,4,9,19,-17,1061,1165,-104,106.1,24.6,-10.4,-7,378,427,-49,37.8,-4.9,-7,869,907,-38,86.9,-3.8,-0.04299999999999998,4.3629999999999995,4.715,-0.35200000000000015,0.43629999999999997,-0.035200000000000016,-3,88,102,-14,8.8,-1.4,1,256,258,-2,25.6,-0.2,-0.15200000000000002,3.446,4.01,-0.5639999999999998,0.3446,-0.056399999999999985,0,217,209,8,21.7,0.8,4,281,276,5,28.1,0.5,-0.131,7.708,7.578999999999999,0.12900000000000023,0.7708,0.012900000000000023,3,110,101,9,11.0,0.9,2,468,466,2,46.8,0.2,2,186,216,-30,18.6,-3.0,-4,73,84,-11,7.3,-1.1,0,54,50,4,5.4,0.4,9,162,132,30,16.2,3.0,-3,238,246,-8,23.8,-0.8
