,Unnamed: 0,Unnamed: 0.1.1.1.1.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,cumalitive_Points,cumalitive_Opp.Points,cumalitive_differential_Points,average_Points,average_Opp.{},average_Points_differential,differential_FieldGoals,cumalitive_FieldGoals,cumalitive_Opp.FieldGoals,cumalitive_differential_FieldGoals,average_FieldGoals,average_FieldGoals_differential,differential_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted,cumalitive_Opp.FieldGoalsAttempted,cumalitive_differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_FieldGoalsAttempted_differential,differential_FieldGoals.,cumalitive_FieldGoals.,cumalitive_Opp.FieldGoals.,cumalitive_differential_FieldGoals.,average_FieldGoals.,average_FieldGoals._differential,differential_3PointShots,cumalitive_3PointShots,cumalitive_Opp.3PointShots,cumalitive_differential_3PointShots,average_3PointShots,average_3PointShots_differential,differential_3PointShotsAttempted,cumalitive_3PointShotsAttempted,cumalitive_Opp.3PointShotsAttempted,cumalitive_differential_3PointShotsAttempted,average_3PointShotsAttempted,average_3PointShotsAttempted_differential,differential_3PointShots.,cumalitive_3PointShots.,cumalitive_Opp.3PointShots.,cumalitive_differential_3PointShots.,average_3PointShots.,average_3PointShots._differential,differential_FreeThrows,cumalitive_FreeThrows,cumalitive_Opp.FreeThrows,cumalitive_differential_FreeThrows,average_FreeThrows,average_FreeThrows_differential,differential_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted,cumalitive_Opp.FreeThrowsAttempted,cumalitive_differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_FreeThrowsAttempted_differential,differential_FreeThrows.,cumalitive_FreeThrows.,cumalitive_Opp.FreeThrows.,cumalitive_differential_FreeThrows.,average_FreeThrows.,average_FreeThrows._differential,differential_OffRebounds,cumalitive_OffRebounds,cumalitive_Opp.OffRebounds,cumalitive_differential_OffRebounds,average_OffRebounds,average_OffRebounds_differential,differential_TotalRebounds,cumalitive_TotalRebounds,cumalitive_Opp.TotalRebounds,cumalitive_differential_TotalRebounds,average_TotalRebounds,average_TotalRebounds_differential,differential_Assists,cumalitive_Assists,cumalitive_Opp.Assists,cumalitive_differential_Assists,average_Assists,average_Assists_differential,differential_Steals,cumalitive_Steals,cumalitive_Opp.Steals,cumalitive_differential_Steals,average_Steals,average_Steals_differential,differential_Blocks,cumalitive_Blocks,cumalitive_Opp.Blocks,cumalitive_differential_Blocks,average_Blocks,average_Blocks_differential,differential_Turnovers,cumalitive_Turnovers,cumalitive_Opp.Turnovers,cumalitive_differential_Turnovers,average_Turnovers,average_Turnovers_differential,differential_TotalFouls,cumalitive_TotalFouls,cumalitive_Opp.TotalFouls,cumalitive_differential_TotalFouls,average_TotalFouls,average_TotalFouls_differential
0,0,1108,POR,1,2014-10-29,Home,OKC,W,106,89,39,87,0.44799999999999995,11,29,0.379,17,22,0.773,13,42,23,4,9,10,19,33,81,0.40700000000000003,2,16,0.125,21,26,0.8079999999999999,14,43,19,9,5,13,28,17,106,89,17,106.0,28.0,17.0,6,39,33,6,39.0,6.0,6,87,81,6,87.0,6.0,0.040999999999999925,0.44799999999999995,0.40700000000000003,0.040999999999999925,0.44799999999999995,0.040999999999999925,9,11,2,9,11.0,9.0,13,29,16,13,29.0,13.0,0.254,0.379,0.125,0.254,0.379,0.254,-4,17,21,-4,17.0,-4.0,-4,22,26,-4,22.0,-4.0,-0.03499999999999992,0.773,0.8079999999999999,-0.03499999999999992,0.773,-0.03499999999999992,-1,13,14,-1,13.0,-1.0,-1,42,43,-1,42.0,-1.0,4,23,19,4,23.0,4.0,-5,4,9,-5,4.0,-5.0,4,9,5,4,9.0,4.0,-3,10,13,-3,10.0,-3.0,-9,19,28,-9,19.0,-9.0
1,1,2108,POR,2,2014-10-31,Away,SAC,L,94,103,34,83,0.41,9,26,0.34600000000000003,17,19,0.895,10,38,20,5,8,10,26,34,81,0.42,4,10,0.4,31,35,0.8859999999999999,14,49,14,6,2,10,24,-9,200,192,8,100.0,26.0,4.0,0,73,67,6,36.5,3.0,2,170,162,8,85.0,4.0,-0.010000000000000009,0.8579999999999999,0.827,0.030999999999999917,0.42899999999999994,0.015499999999999958,5,20,6,14,10.0,7.0,16,55,26,29,27.5,14.5,-0.05399999999999999,0.7250000000000001,0.525,0.2,0.36250000000000004,0.1,-14,34,52,-18,17.0,-9.0,-16,41,61,-20,20.5,-10.0,0.009000000000000119,1.6680000000000001,1.694,-0.0259999999999998,0.8340000000000001,-0.0129999999999999,-4,23,28,-5,11.5,-2.5,-11,80,92,-12,40.0,-6.0,6,43,33,10,21.5,5.0,-1,9,15,-6,4.5,-3.0,6,17,7,10,8.5,5.0,0,20,23,-3,10.0,-1.5,2,45,52,-7,22.5,-3.5
2,2,3108,POR,3,2014-11-02,Home,GSW,L,90,95,37,92,0.402,7,27,0.259,9,14,0.643,17,56,20,9,2,19,19,36,81,0.444,6,19,0.316,17,21,0.81,7,41,22,11,7,17,16,-5,290,287,3,96.66666666666667,22.666666666666668,1.0,1,110,103,7,36.666666666666664,2.3333333333333335,11,262,243,19,87.33333333333333,6.333333333333333,-0.04199999999999998,1.2599999999999998,1.271,-0.011000000000000065,0.41999999999999993,-0.0036666666666666883,1,27,12,15,9.0,5.0,8,82,45,37,27.333333333333332,12.333333333333334,-0.056999999999999995,0.9840000000000001,0.841,0.14300000000000002,0.328,0.04766666666666667,-8,43,69,-26,14.333333333333334,-8.666666666666666,-7,55,82,-27,18.333333333333332,-9.0,-0.16700000000000004,2.311,2.504,-0.19299999999999984,0.7703333333333333,-0.06433333333333328,10,40,35,5,13.333333333333334,1.6666666666666667,15,136,133,3,45.333333333333336,1.0,-2,63,55,8,21.0,2.6666666666666665,-2,18,26,-8,6.0,-2.6666666666666665,-5,19,14,5,6.333333333333333,1.6666666666666667,2,39,40,-1,13.0,-0.3333333333333333,3,64,68,-4,21.333333333333332,-1.3333333333333333
3,3,4108,POR,4,2014-11-04,Home,CLE,W,101,82,37,75,0.493,8,25,0.32,19,25,0.76,9,48,21,7,4,11,20,31,85,0.365,9,21,0.429,11,14,0.7859999999999999,13,41,18,5,3,14,19,19,391,369,22,97.75,21.75,5.5,6,147,134,13,36.75,3.25,-10,337,328,9,84.25,2.25,0.128,1.7529999999999997,1.636,0.11699999999999994,0.4382499999999999,0.029249999999999984,-1,35,21,14,8.75,3.5,4,107,66,41,26.75,10.25,-0.10899999999999999,1.304,1.27,0.03400000000000003,0.326,0.008500000000000008,8,62,80,-18,15.5,-4.5,11,80,96,-16,20.0,-4.0,-0.025999999999999912,3.0709999999999997,3.29,-0.21899999999999975,0.7677499999999999,-0.05474999999999994,-4,49,48,1,12.25,0.25,7,184,174,10,46.0,2.5,3,84,73,11,21.0,2.75,2,25,31,-6,6.25,-1.5,1,23,17,6,5.75,1.5,-3,50,54,-4,12.5,-1.0,1,84,87,-3,21.0,-0.75
4,4,5108,POR,5,2014-11-06,Home,DAL,W,108,87,40,77,0.519,12,30,0.4,16,19,0.8420000000000001,12,53,25,3,6,17,21,33,90,0.3670000000000001,5,23,0.217,16,16,1.0,8,34,14,6,4,7,17,21,499,456,43,99.8,20.8,8.6,7,187,167,20,37.4,4.0,-13,414,418,-4,82.8,-0.8,0.1519999999999999,2.272,2.003,0.26899999999999985,0.45439999999999997,0.05379999999999997,7,47,26,21,9.4,4.2,7,137,89,48,27.4,9.6,0.18300000000000002,1.7040000000000002,1.487,0.21700000000000005,0.34080000000000005,0.04340000000000001,0,78,96,-18,15.6,-3.6,3,99,112,-13,19.8,-2.6,-0.15799999999999992,3.913,4.29,-0.37699999999999967,0.7826,-0.07539999999999994,4,61,56,5,12.2,1.0,19,237,208,29,47.4,5.8,11,109,87,22,21.8,4.4,-3,28,37,-9,5.6,-1.8,2,29,21,8,5.8,1.6,10,67,61,6,13.4,1.2,4,105,104,1,21.0,0.2
5,5,6108,POR,6,2014-11-08,Away,LAC,L,102,106,36,80,0.45,10,25,0.4,20,25,0.8,9,43,25,2,3,16,26,40,81,0.494,5,12,0.41700000000000004,21,30,0.7,8,37,17,8,4,7,19,-4,601,562,39,100.16666666666667,20.5,6.5,-4,223,207,16,37.166666666666664,2.6666666666666665,-1,494,499,-5,82.33333333333333,-0.8333333333333334,-0.043999999999999984,2.722,2.497,0.22499999999999987,0.45366666666666666,0.03749999999999998,5,57,31,26,9.5,4.333333333333333,13,162,101,61,27.0,10.166666666666666,-0.017000000000000015,2.104,1.9040000000000001,0.20000000000000004,0.3506666666666667,0.03333333333333334,-1,98,117,-19,16.333333333333332,-3.1666666666666665,-5,124,142,-18,20.666666666666668,-3.0,0.10000000000000009,4.713,4.99,-0.2769999999999996,0.7855,-0.0461666666666666,1,70,64,6,11.666666666666666,1.0,6,280,245,35,46.666666666666664,5.833333333333333,8,134,104,30,22.333333333333332,5.0,-6,30,45,-15,5.0,-2.5,-1,32,25,7,5.333333333333333,1.1666666666666667,9,83,68,15,13.833333333333334,2.5,7,131,123,8,21.833333333333332,1.3333333333333333
6,6,7108,POR,7,2014-11-09,Home,DEN,W,116,100,45,100,0.45,16,31,0.516,10,14,0.7140000000000001,16,51,27,7,11,10,21,36,91,0.396,5,13,0.385,23,30,0.767,18,55,14,5,7,15,22,16,717,662,55,102.42857142857143,20.714285714285715,7.857142857142857,9,268,243,25,38.285714285714285,3.5714285714285716,9,594,590,4,84.85714285714286,0.5714285714285714,0.05399999999999999,3.172,2.893,0.27899999999999986,0.4531428571428572,0.039857142857142834,11,73,36,37,10.428571428571429,5.285714285714286,18,193,114,79,27.571428571428573,11.285714285714286,0.131,2.62,2.289,0.33100000000000007,0.3742857142857143,0.0472857142857143,-13,108,140,-32,15.428571428571429,-4.571428571428571,-16,138,172,-34,19.714285714285715,-4.857142857142857,-0.052999999999999936,5.4270000000000005,5.757000000000001,-0.3299999999999995,0.7752857142857144,-0.04714285714285708,-2,86,82,4,12.285714285714286,0.5714285714285714,-4,331,300,31,47.285714285714285,4.428571428571429,13,161,118,43,23.0,6.142857142857143,2,37,50,-13,5.285714285714286,-1.8571428571428572,4,43,32,11,6.142857142857143,1.5714285714285714,-5,93,83,10,13.285714285714286,1.4285714285714286,-1,152,145,7,21.714285714285715,1.0
7,7,843,POR,8,2014-11-11,Home,CHO,W,102,100,40,93,0.43,8,25,0.32,14,16,0.875,15,48,25,6,4,12,21,35,75,0.467,7,16,0.43799999999999994,23,27,0.852,6,38,16,5,3,13,16,2,819,762,57,102.375,20.125,7.125,5,308,278,30,38.5,3.75,18,687,665,22,85.875,2.75,-0.03700000000000003,3.6020000000000003,3.36,0.24199999999999983,0.45025000000000004,0.03024999999999998,1,81,43,38,10.125,4.75,9,218,130,88,27.25,11.0,-0.11799999999999994,2.94,2.7270000000000003,0.21300000000000013,0.3675,0.026625000000000017,-9,122,163,-41,15.25,-5.125,-11,154,199,-45,19.25,-5.625,0.02300000000000002,6.3020000000000005,6.609000000000001,-0.3069999999999995,0.7877500000000001,-0.03837499999999994,9,101,88,13,12.625,1.625,10,379,338,41,47.375,5.125,9,186,134,52,23.25,6.5,1,43,55,-12,5.375,-1.5,1,47,35,12,5.875,1.5,-1,105,96,9,13.125,1.125,5,173,161,12,21.625,1.5
8,8,924,POR,9,2014-11-12,Away,DEN,W,130,113,45,88,0.511,16,33,0.485,24,29,0.828,12,46,30,7,9,14,21,39,90,0.433,8,23,0.348,27,33,0.818,15,47,21,10,2,12,24,17,949,875,74,105.44444444444444,20.555555555555557,8.222222222222221,6,353,317,36,39.22222222222222,4.0,-2,775,755,20,86.11111111111111,2.2222222222222223,0.07800000000000001,4.113,3.7929999999999997,0.31999999999999984,0.4570000000000001,0.035555555555555535,8,97,51,46,10.777777777777779,5.111111111111111,10,251,153,98,27.88888888888889,10.88888888888889,0.137,3.425,3.075,0.35000000000000014,0.38055555555555554,0.0388888888888889,-3,146,190,-44,16.22222222222222,-4.888888888888889,-4,183,232,-49,20.333333333333332,-5.444444444444445,0.010000000000000009,7.130000000000001,7.4270000000000005,-0.2969999999999995,0.7922222222222223,-0.032999999999999946,-3,113,103,10,12.555555555555555,1.1111111111111112,-1,425,385,40,47.22222222222222,4.444444444444445,9,216,155,61,24.0,6.777777777777778,-3,50,65,-15,5.555555555555555,-1.6666666666666667,7,56,37,19,6.222222222222222,2.111111111111111,2,119,108,11,13.222222222222221,1.2222222222222223,-3,194,185,9,21.555555555555557,1.0
9,9,1024,POR,10,2014-11-15,Home,BRK,W,97,87,33,78,0.423,11,26,0.423,20,27,0.741,13,47,26,6,3,14,16,35,89,0.39299999999999996,1,19,0.053,16,17,0.941,12,43,15,7,2,9,24,10,1046,962,84,104.6,20.9,8.4,-2,386,352,34,38.6,3.4,-11,853,844,9,85.3,0.9,0.030000000000000027,4.5360000000000005,4.186,0.34999999999999987,0.45360000000000006,0.03499999999999999,10,108,52,56,10.8,5.6,7,277,172,105,27.7,10.5,0.37,3.848,3.128,0.7200000000000002,0.3848,0.07200000000000002,4,166,206,-40,16.6,-4.0,10,210,249,-39,21.0,-3.9,-0.19999999999999996,7.871,8.368,-0.49699999999999944,0.7871,-0.049699999999999946,1,126,115,11,12.6,1.1,4,472,428,44,47.2,4.4,11,242,170,72,24.2,7.2,-1,56,72,-16,5.6,-1.6,1,59,39,20,5.9,2.0,5,133,117,16,13.3,1.6,-8,210,209,1,21.0,0.1
10,10,1128,POR,11,2014-11-17,Home,NOP,W,102,93,38,76,0.5,7,19,0.368,19,23,0.826,10,43,20,7,1,18,21,38,85,0.447,5,19,0.263,12,19,0.632,13,41,16,11,4,11,23,9,1148,1055,93,104.36363636363636,21.09090909090909,8.454545454545455,0,424,390,34,38.54545454545455,3.090909090909091,-9,929,929,0,84.45454545454545,0.0,0.05299999999999999,5.0360000000000005,4.633,0.40299999999999986,0.45781818181818185,0.03663636363636363,2,115,57,58,10.454545454545455,5.2727272727272725,0,296,191,105,26.90909090909091,9.545454545454545,0.10499999999999998,4.216,3.391,0.8250000000000002,0.38327272727272726,0.07500000000000001,7,185,218,-33,16.818181818181817,-3.0,4,233,268,-35,21.181818181818183,-3.1818181818181817,0.19399999999999995,8.697000000000001,9.0,-0.3029999999999995,0.7906363636363637,-0.027545454545454498,-3,136,128,8,12.363636363636363,0.7272727272727273,2,515,469,46,46.81818181818182,4.181818181818182,4,262,186,76,23.818181818181817,6.909090909090909,-4,63,83,-20,5.7272727272727275,-1.8181818181818181,-3,60,43,17,5.454545454545454,1.5454545454545454,7,151,128,23,13.727272727272727,2.090909090909091,-2,231,232,-1,21.0,-0.09090909090909091
11,11,1226,POR,12,2014-11-21,Home,CHI,W,105,87,39,79,0.494,9,16,0.563,18,22,0.818,6,46,26,8,5,17,19,30,83,0.361,8,22,0.364,19,28,0.679,11,48,14,9,2,14,18,18,1253,1142,111,104.41666666666667,20.833333333333332,9.25,9,463,420,43,38.583333333333336,3.5833333333333335,-4,1008,1012,-4,84.0,-0.3333333333333333,0.133,5.53,4.994,0.5359999999999998,0.4608333333333334,0.04466666666666665,1,124,65,59,10.333333333333334,4.916666666666667,-6,312,213,99,26.0,8.25,0.19899999999999995,4.779,3.755,1.024,0.39825,0.08533333333333333,-1,203,237,-34,16.916666666666668,-2.8333333333333335,-6,255,296,-41,21.25,-3.4166666666666665,0.1389999999999999,9.515,9.679,-0.1639999999999996,0.7929166666666667,-0.013666666666666633,-5,142,139,3,11.833333333333334,0.25,-2,561,517,44,46.75,3.6666666666666665,12,288,200,88,24.0,7.333333333333333,-1,71,92,-21,5.916666666666667,-1.75,3,65,45,20,5.416666666666667,1.6666666666666667,3,168,142,26,14.0,2.1666666666666665,1,250,250,0,20.833333333333332,0.0
12,12,1324,POR,13,2014-11-23,Away,BOS,W,94,88,37,86,0.43,7,19,0.368,13,15,0.867,10,55,20,7,3,16,13,37,95,0.389,5,23,0.217,9,12,0.75,12,46,17,12,1,8,15,6,1347,1230,117,103.61538461538461,20.384615384615383,9.0,0,500,457,43,38.46153846153846,3.3076923076923075,-9,1094,1107,-13,84.15384615384616,-1.0,0.04099999999999998,5.96,5.383,0.5769999999999997,0.4584615384615385,0.04438461538461536,2,131,70,61,10.076923076923077,4.6923076923076925,-4,331,236,95,25.46153846153846,7.3076923076923075,0.151,5.147,3.972,1.175,0.39592307692307693,0.09038461538461538,4,216,246,-30,16.615384615384617,-2.3076923076923075,3,270,308,-38,20.76923076923077,-2.923076923076923,0.11699999999999999,10.382000000000001,10.429,-0.0469999999999996,0.7986153846153847,-0.0036153846153845846,-2,152,151,1,11.692307692307692,0.07692307692307693,9,616,563,53,47.38461538461539,4.076923076923077,3,308,217,91,23.692307692307693,7.0,-5,78,104,-26,6.0,-2.0,2,68,46,22,5.230769230769231,1.6923076923076923,8,184,150,34,14.153846153846153,2.6153846153846154,-2,263,265,-2,20.23076923076923,-0.15384615384615385
13,13,1424,POR,14,2014-11-24,Away,PHI,W,114,104,44,89,0.494,7,27,0.259,19,23,0.826,18,52,30,6,5,15,19,42,84,0.5,0,8,0.0,20,24,0.833,7,29,28,11,6,10,20,10,1461,1334,127,104.35714285714286,20.357142857142858,9.071428571428571,2,544,499,45,38.857142857142854,3.2142857142857144,5,1183,1191,-8,84.5,-0.5714285714285714,-0.006000000000000005,6.454,5.883,0.5709999999999997,0.46099999999999997,0.040785714285714265,7,138,70,68,9.857142857142858,4.857142857142857,19,358,244,114,25.571428571428573,8.142857142857142,0.259,5.406000000000001,3.972,1.4340000000000002,0.3861428571428572,0.10242857142857144,-1,235,266,-31,16.785714285714285,-2.2142857142857144,-1,293,332,-39,20.928571428571427,-2.7857142857142856,-0.007000000000000006,11.208000000000002,11.262,-0.053999999999999604,0.8005714285714287,-0.003857142857142829,11,170,158,12,12.142857142857142,0.8571428571428571,23,668,592,76,47.714285714285715,5.428571428571429,2,338,245,93,24.142857142857142,6.642857142857143,-5,84,115,-31,6.0,-2.2142857142857144,-1,73,52,21,5.214285714285714,1.5,5,199,160,39,14.214285714285714,2.7857142857142856,-1,282,285,-3,20.142857142857142,-0.21428571428571427
14,14,1524,POR,15,2014-11-26,Away,CHO,W,105,97,39,92,0.424,12,27,0.444,15,20,0.75,10,50,21,4,7,8,18,41,94,0.436,5,15,0.33299999999999996,10,15,0.667,10,47,29,3,5,6,20,8,1566,1431,135,104.4,20.333333333333332,9.0,-2,583,540,43,38.86666666666667,2.8666666666666667,-2,1275,1285,-10,85.0,-0.6666666666666666,-0.01200000000000001,6.878,6.319,0.5589999999999997,0.45853333333333335,0.03726666666666665,7,150,75,75,10.0,5.0,12,385,259,126,25.666666666666668,8.4,0.11100000000000004,5.8500000000000005,4.305,1.5450000000000002,0.39,0.10300000000000001,5,250,276,-26,16.666666666666668,-1.7333333333333334,5,313,347,-34,20.866666666666667,-2.2666666666666666,0.08299999999999996,11.958000000000002,11.929,0.02900000000000036,0.7972000000000001,0.0019333333333333572,0,180,168,12,12.0,0.8,3,718,639,79,47.86666666666667,5.266666666666667,-8,359,274,85,23.933333333333334,5.666666666666667,1,88,118,-30,5.866666666666666,-2.0,2,80,57,23,5.333333333333333,1.5333333333333334,2,207,166,41,13.8,2.7333333333333334,-2,300,305,-5,20.0,-0.3333333333333333
15,15,1624,POR,16,2014-11-28,Home,MEM,L,99,112,39,97,0.402,8,28,0.28600000000000003,13,18,0.722,15,45,22,6,6,7,18,45,84,0.536,6,13,0.462,16,26,0.615,8,46,28,7,4,9,14,-13,1665,1543,122,104.0625,19.9375,7.625,-6,622,585,37,38.875,2.3125,13,1372,1369,3,85.75,0.1875,-0.134,7.28,6.855,0.4249999999999997,0.455,0.026562499999999982,2,158,81,77,9.875,4.8125,15,413,272,141,25.8125,8.8125,-0.176,6.136000000000001,4.7669999999999995,1.3690000000000002,0.38350000000000006,0.08556250000000001,-3,263,292,-29,16.4375,-1.8125,-8,331,373,-42,20.6875,-2.625,0.10699999999999998,12.680000000000001,12.544,0.13600000000000034,0.7925000000000001,0.008500000000000021,7,195,176,19,12.1875,1.1875,-1,763,685,78,47.6875,4.875,-6,381,302,79,23.8125,4.9375,-1,94,125,-31,5.875,-1.9375,2,86,61,25,5.375,1.5625,-2,214,175,39,13.375,2.4375,4,318,319,-1,19.875,-0.0625
16,16,1724,POR,17,2014-11-30,Home,MIN,W,107,93,39,86,0.45299999999999996,12,33,0.364,17,25,0.68,15,54,27,8,9,18,17,39,90,0.433,2,9,0.222,13,20,0.65,11,43,24,12,4,14,23,14,1772,1636,136,104.23529411764706,20.11764705882353,8.0,0,661,624,37,38.88235294117647,2.176470588235294,-4,1458,1459,-1,85.76470588235294,-0.058823529411764705,0.019999999999999962,7.7330000000000005,7.288,0.4449999999999997,0.4548823529411765,0.026176470588235273,10,170,83,87,10.0,5.117647058823529,24,446,281,165,26.235294117647058,9.705882352941176,0.142,6.500000000000001,4.989,1.5110000000000001,0.3823529411764706,0.08888235294117648,4,280,305,-25,16.470588235294116,-1.4705882352941178,5,356,393,-37,20.941176470588236,-2.176470588235294,0.030000000000000027,13.360000000000001,13.194,0.16600000000000037,0.7858823529411766,0.009764705882352964,4,210,187,23,12.352941176470589,1.3529411764705883,11,817,728,89,48.05882352941177,5.235294117647059,3,408,326,82,24.0,4.823529411764706,-4,102,137,-35,6.0,-2.0588235294117645,5,95,65,30,5.588235294117647,1.7647058823529411,4,232,189,43,13.647058823529411,2.5294117647058822,-6,335,342,-7,19.705882352941178,-0.4117647058823529
17,17,1824,POR,18,2014-12-02,Away,DEN,W,105,103,43,86,0.5,5,22,0.22699999999999998,14,17,0.8240000000000001,4,37,26,7,5,12,19,41,81,0.506,7,20,0.35,14,19,0.737,7,41,21,8,2,14,19,2,1877,1739,138,104.27777777777777,20.055555555555557,7.666666666666667,2,704,665,39,39.111111111111114,2.1666666666666665,5,1544,1540,4,85.77777777777777,0.2222222222222222,-0.006000000000000005,8.233,7.7940000000000005,0.43899999999999967,0.4573888888888889,0.02438888888888887,-2,175,90,85,9.722222222222221,4.722222222222222,2,468,301,167,26.0,9.277777777777779,-0.123,6.727000000000001,5.3389999999999995,1.3880000000000001,0.3737222222222223,0.07711111111111112,0,294,319,-25,16.333333333333332,-1.3888888888888888,-2,373,412,-39,20.72222222222222,-2.1666666666666665,0.08700000000000008,14.184000000000001,13.931000000000001,0.25300000000000045,0.788,0.01405555555555558,-3,214,194,20,11.88888888888889,1.1111111111111112,-4,854,769,85,47.44444444444444,4.722222222222222,5,434,347,87,24.11111111111111,4.833333333333333,-1,109,145,-36,6.055555555555555,-2.0,3,100,67,33,5.555555555555555,1.8333333333333333,-2,244,203,41,13.555555555555555,2.2777777777777777,0,354,361,-7,19.666666666666668,-0.3888888888888889
18,18,1924,POR,19,2014-12-04,Home,IND,W,88,82,33,83,0.39799999999999996,4,21,0.19,18,23,0.7829999999999999,5,48,20,9,5,12,16,36,91,0.396,5,18,0.278,5,8,0.625,11,51,19,5,5,17,19,6,1965,1821,144,103.42105263157895,20.0,7.578947368421052,-3,737,701,36,38.78947368421053,1.894736842105263,-8,1627,1631,-4,85.63157894736842,-0.21052631578947367,0.0019999999999999463,8.631,8.190000000000001,0.4409999999999996,0.45426315789473687,0.023210526315789452,-1,179,95,84,9.421052631578947,4.421052631578948,3,489,319,170,25.736842105263158,8.947368421052632,-0.08800000000000002,6.917000000000002,5.616999999999999,1.3,0.36405263157894746,0.06842105263157895,13,312,324,-12,16.42105263157895,-0.631578947368421,15,396,420,-24,20.842105263157894,-1.263157894736842,0.15799999999999992,14.967,14.556000000000001,0.41100000000000037,0.7877368421052632,0.02163157894736844,-6,219,205,14,11.526315789473685,0.7368421052631579,-3,902,820,82,47.473684210526315,4.315789473684211,1,454,366,88,23.894736842105264,4.631578947368421,4,118,150,-32,6.2105263157894735,-1.6842105263157894,0,105,72,33,5.526315789473684,1.736842105263158,-5,256,220,36,13.473684210526315,1.894736842105263,-3,370,380,-10,19.473684210526315,-0.5263157894736842
19,19,2024,POR,20,2014-12-07,Away,NYK,W,103,99,36,85,0.424,10,28,0.35700000000000004,21,29,0.7240000000000001,16,44,21,8,2,9,17,41,79,0.519,5,19,0.263,12,14,0.857,4,37,20,6,4,13,23,4,2068,1920,148,103.4,20.15,7.4,-5,773,742,31,38.65,1.55,6,1712,1710,2,85.6,0.1,-0.09500000000000003,9.055,8.709000000000001,0.3459999999999996,0.45275,0.01729999999999998,5,189,100,89,9.45,4.45,9,517,338,179,25.85,8.95,0.09400000000000003,7.274000000000002,5.879999999999999,1.3940000000000001,0.3637000000000001,0.06970000000000001,9,333,336,-3,16.65,-0.15,15,425,434,-9,21.25,-0.45,-0.1329999999999999,15.691,15.413,0.27800000000000047,0.7845500000000001,0.013900000000000023,12,235,209,26,11.75,1.3,7,946,857,89,47.3,4.45,1,475,386,89,23.75,4.45,2,126,156,-30,6.3,-1.5,-2,107,76,31,5.35,1.55,-4,265,233,32,13.25,1.6,-6,387,403,-16,19.35,-0.8
20,20,2128,POR,21,2014-12-09,Away,DET,W,98,86,41,84,0.488,9,21,0.429,7,8,0.875,10,47,25,4,7,13,12,34,97,0.35100000000000003,5,22,0.22699999999999998,13,16,0.813,17,47,23,7,2,6,8,12,2166,2006,160,103.14285714285714,19.571428571428573,7.619047619047619,7,814,776,38,38.76190476190476,1.8095238095238095,-13,1796,1807,-11,85.52380952380952,-0.5238095238095238,0.13699999999999996,9.543,9.060000000000002,0.48299999999999954,0.4544285714285714,0.02299999999999998,4,198,105,93,9.428571428571429,4.428571428571429,-1,538,360,178,25.61904761904762,8.476190476190476,0.202,7.703000000000002,6.106999999999999,1.596,0.3668095238095239,0.076,-6,340,349,-9,16.19047619047619,-0.42857142857142855,-8,433,450,-17,20.61904761904762,-0.8095238095238095,0.062000000000000055,16.566000000000003,16.226,0.3400000000000005,0.7888571428571429,0.016190476190476217,-7,245,226,19,11.666666666666666,0.9047619047619048,0,993,904,89,47.285714285714285,4.238095238095238,2,500,409,91,23.80952380952381,4.333333333333333,-3,130,163,-33,6.190476190476191,-1.5714285714285714,5,114,78,36,5.428571428571429,1.7142857142857142,7,278,239,39,13.238095238095237,1.8571428571428572,4,399,411,-12,19.0,-0.5714285714285714
