,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,POR,1,2016-10-25,Home,UTA,W,113,104,39,75,0.52,13,19,0.684,22,22,1.0,5,34,22,5,3,12,18,40,82,0.488,8,24,0.333,16,16,1.0,6,31,19,9,5,11,19,9,0.0,0.0,0.0,-1,0.0,0.0,0.0,-7,0.0,0.0,0.0,0.03200000000000003,0.0,0.0,0.0,5,0.0,0.0,0.0,-5,0.0,0.0,0.0,0.35100000000000003,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,-4,0.0,0.0,0.0,-2,0.0,0.0,0.0,1,0.0,0.0,0.0,-1,0.0,0.0,0.0
1,POR,2,2016-10-27,Home,LAC,L,106,114,39,85,0.459,4,18,0.222,24,32,0.75,9,48,18,4,4,14,34,37,91,0.407,8,29,0.276,32,46,0.696,15,48,12,10,4,7,25,-8,113.0,104.0,9.0,2,39.0,40.0,-1.0,-6,75.0,82.0,-7.0,0.052000000000000046,0.52,0.488,0.03200000000000003,-4,13.0,8.0,5.0,-11,19.0,24.0,-5.0,-0.05400000000000002,0.684,0.333,0.35100000000000003,-8,22.0,16.0,6.0,-14,22.0,16.0,6.0,0.05400000000000005,1.0,1.0,0.0,-6,5.0,6.0,-1.0,0,34.0,31.0,3.0,6,22.0,19.0,3.0,-6,5.0,9.0,-4.0,0,3.0,5.0,-2.0,7,12.0,11.0,1.0,9,18.0,19.0,-1.0
2,POR,3,2016-10-29,Away,DEN,W,115,113,45,98,0.459,10,32,0.313,15,21,0.7140000000000001,5,45,23,10,8,15,30,38,100,0.38,6,23,0.261,31,39,0.795,16,61,19,10,5,17,21,2,109.5,109.0,0.5,7,39.0,38.5,0.5,-2,80.0,86.5,-6.5,0.07900000000000001,0.48950000000000005,0.4475,0.04200000000000004,4,8.5,8.0,0.5,9,18.5,26.5,-8.0,0.05199999999999999,0.453,0.3045,0.14850000000000002,-16,23.0,24.0,-1.0,-18,27.0,31.0,-4.0,-0.08099999999999996,0.875,0.848,0.027000000000000024,-11,7.0,10.5,-3.5,-16,41.0,39.5,1.5,4,20.0,15.5,4.5,0,4.5,9.5,-5.0,3,3.5,4.5,-1.0,-2,13.0,9.0,4.0,9,26.0,22.0,4.0
3,POR,4,2016-11-01,Home,GSW,L,104,127,37,86,0.43,14,39,0.359,16,21,0.762,6,32,23,12,4,18,17,50,89,0.562,10,26,0.385,17,23,0.7390000000000001,7,45,36,14,4,16,19,-23,111.33333333333333,110.33333333333333,1.0,-13,41.0,38.333333333333336,2.6666666666666665,-3,86.0,91.0,-5.0,-0.13200000000000006,0.4793333333333334,0.425,0.054333333333333365,4,9.0,7.333333333333333,1.6666666666666667,13,23.0,25.333333333333332,-2.3333333333333335,-0.026000000000000023,0.4063333333333334,0.29,0.11633333333333334,-1,20.333333333333332,26.333333333333332,-6.0,-2,25.0,33.666666666666664,-8.666666666666666,0.02299999999999991,0.8213333333333334,0.8303333333333334,-0.008999999999999972,-1,6.333333333333333,12.333333333333334,-6.0,-13,42.333333333333336,46.666666666666664,-4.333333333333333,-13,21.0,16.666666666666668,4.333333333333333,-2,6.333333333333333,9.666666666666666,-3.3333333333333335,0,5.0,4.666666666666667,0.3333333333333333,2,13.666666666666666,11.666666666666666,2.0,-2,27.333333333333332,21.666666666666668,5.666666666666667
4,POR,5,2016-11-02,Away,PHO,L,115,118,42,101,0.416,12,33,0.364,19,21,0.905,10,53,25,8,8,14,23,44,103,0.4270000000000001,5,16,0.313,25,30,0.833,14,59,15,10,5,12,20,-3,109.5,114.5,-5.0,-2,40.0,41.25,-1.25,-2,86.0,90.5,-4.5,-0.01100000000000012,0.467,0.45925,0.007750000000000007,7,10.25,8.0,2.25,17,27.0,25.5,1.5,0.05099999999999999,0.3945,0.31375,0.08075,-6,19.25,24.0,-4.75,-9,24.0,31.0,-7.0,0.07200000000000006,0.8065,0.8075000000000001,-0.0010000000000000009,-4,6.25,11.0,-4.75,-6,39.75,46.25,-6.5,10,21.5,21.5,0.0,-2,7.75,10.75,-3.0,3,4.75,4.5,0.25,2,14.75,12.75,2.0,3,24.75,21.0,3.75
5,POR,6,2016-11-04,Away,DAL,W,105,95,36,80,0.45,12,31,0.387,21,26,0.8079999999999999,7,42,21,9,3,14,20,34,83,0.41,10,28,0.35700000000000004,17,20,0.85,7,44,18,5,3,12,21,10,110.6,115.2,-4.6,2,40.4,41.8,-1.4,-3,89.0,93.0,-4.0,0.040000000000000036,0.45680000000000004,0.45280000000000004,0.003999999999999981,2,10.6,7.4,3.2,3,28.2,23.6,4.6,0.02999999999999997,0.3884,0.3136,0.0748,4,19.2,24.2,-5.0,6,23.4,30.8,-7.4,-0.04200000000000004,0.8262,0.8126000000000001,0.013600000000000011,0,7.0,11.6,-4.6,-2,42.4,48.8,-6.4,3,22.2,20.2,2.0,4,7.8,10.6,-2.8,0,5.4,4.6,0.8,2,14.6,12.6,2.0,-1,24.4,20.8,3.6
6,POR,7,2016-11-06,Away,MEM,W,100,94,32,71,0.451,14,33,0.424,22,27,0.815,5,37,19,7,5,15,25,31,81,0.383,6,26,0.231,26,32,0.813,12,44,15,9,5,13,20,6,109.66666666666667,111.83333333333333,-2.1666666666666665,1,39.666666666666664,40.5,-0.8333333333333334,-10,87.5,91.33333333333333,-3.8333333333333335,0.068,0.4556666666666667,0.4456666666666667,0.00999999999999999,8,10.833333333333334,7.833333333333333,3.0,7,28.666666666666668,24.333333333333332,4.333333333333333,0.19299999999999998,0.3881666666666667,0.3208333333333333,0.06733333333333333,-4,19.5,23.0,-3.5,-5,23.833333333333332,29.0,-5.166666666666667,0.0020000000000000018,0.8231666666666667,0.8188333333333334,0.0043333333333333375,-7,7.0,10.833333333333334,-3.8333333333333335,-7,42.333333333333336,48.0,-5.666666666666667,4,22.0,19.833333333333332,2.1666666666666665,-2,8.0,9.666666666666666,-1.6666666666666667,0,5.0,4.333333333333333,0.6666666666666666,2,14.5,12.5,2.0,5,23.666666666666668,20.833333333333332,2.8333333333333335
7,POR,8,2016-11-08,Home,PHO,W,124,121,45,81,0.556,14,31,0.452,20,28,0.7140000000000001,7,35,22,5,4,20,27,43,86,0.5,7,21,0.333,28,33,0.848,15,41,18,10,2,16,27,3,108.28571428571429,109.28571428571429,-1.0,2,38.57142857142857,39.142857142857146,-0.5714285714285714,-5,85.14285714285714,89.85714285714286,-4.714285714285714,0.05600000000000005,0.45500000000000007,0.4367142857142858,0.018285714285714277,7,11.285714285714286,7.571428571428571,3.7142857142857144,10,29.285714285714285,24.571428571428573,4.714285714285714,0.119,0.3932857142857143,0.30799999999999994,0.08528571428571428,-8,19.857142857142858,23.428571428571427,-3.5714285714285716,-5,24.285714285714285,29.428571428571427,-5.142857142857143,-0.1339999999999999,0.822,0.818,0.0040000000000000036,-8,6.714285714285714,11.0,-4.285714285714286,-6,41.57142857142857,47.42857142857143,-5.857142857142857,4,21.571428571428573,19.142857142857142,2.4285714285714284,-5,7.857142857142857,9.571428571428571,-1.7142857142857142,2,5.0,4.428571428571429,0.5714285714285714,4,14.571428571428571,12.571428571428571,2.0,0,23.857142857142858,20.714285714285715,3.142857142857143
8,POR,9,2016-11-09,Away,LAC,L,80,111,31,88,0.35200000000000004,6,30,0.2,12,14,0.857,11,47,16,4,3,14,23,38,87,0.4370000000000001,11,32,0.344,24,33,0.727,14,55,24,9,7,7,15,-31,110.25,110.75,-0.5,-7,39.375,39.625,-0.25,1,84.625,89.375,-4.75,-0.08500000000000008,0.46762500000000007,0.44462500000000005,0.023,-5,11.625,7.5,4.125,-2,29.5,24.125,5.375,-0.14399999999999996,0.400625,0.311125,0.0895,-12,19.875,24.0,-4.125,-19,24.75,29.875,-5.125,0.13,0.8085,0.82175,-0.013249999999999984,-3,6.75,11.5,-4.75,-8,40.75,46.625,-5.875,-8,21.625,19.0,2.625,-5,7.5,9.625,-2.125,-4,4.875,4.125,0.75,7,15.25,13.0,2.25,8,24.25,21.5,2.75
9,POR,10,2016-11-11,Home,SAC,W,122,120,45,86,0.523,13,33,0.394,19,27,0.7040000000000001,7,36,29,8,4,11,24,43,88,0.489,6,21,0.28600000000000003,28,35,0.8,13,48,18,7,3,15,21,2,106.88888888888889,110.77777777777777,-3.888888888888889,2,38.44444444444444,39.44444444444444,-1.0,-2,85.0,89.11111111111111,-4.111111111111111,0.03400000000000003,0.4547777777777779,0.4437777777777778,0.01099999999999999,7,11.0,7.888888888888889,3.111111111111111,12,29.555555555555557,25.0,4.555555555555555,0.10799999999999998,0.37833333333333335,0.31477777777777777,0.06355555555555556,-9,19.0,24.0,-5.0,-8,23.555555555555557,30.22222222222222,-6.666666666666667,-0.09599999999999997,0.8138888888888889,0.8112222222222223,0.0026666666666666813,-6,7.222222222222222,11.777777777777779,-4.555555555555555,-12,41.44444444444444,47.55555555555556,-6.111111111111111,11,21.0,19.555555555555557,1.4444444444444444,1,7.111111111111111,9.555555555555555,-2.4444444444444446,1,4.666666666666667,4.444444444444445,0.2222222222222222,-4,15.11111111111111,12.333333333333334,2.7777777777777777,3,24.11111111111111,20.77777777777778,3.3333333333333335
