,Unnamed: 0,Unnamed: 0.1.1.1.1.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,cumalitive_Points,cumalitive_Opp.Points,cumalitive_differential_Points,average_Points,average_Opp.{},average_Points_differential,differential_FieldGoals,cumalitive_FieldGoals,cumalitive_Opp.FieldGoals,cumalitive_differential_FieldGoals,average_FieldGoals,average_FieldGoals_differential,differential_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted,cumalitive_Opp.FieldGoalsAttempted,cumalitive_differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_FieldGoalsAttempted_differential,differential_FieldGoals.,cumalitive_FieldGoals.,cumalitive_Opp.FieldGoals.,cumalitive_differential_FieldGoals.,average_FieldGoals.,average_FieldGoals._differential,differential_3PointShots,cumalitive_3PointShots,cumalitive_Opp.3PointShots,cumalitive_differential_3PointShots,average_3PointShots,average_3PointShots_differential,differential_3PointShotsAttempted,cumalitive_3PointShotsAttempted,cumalitive_Opp.3PointShotsAttempted,cumalitive_differential_3PointShotsAttempted,average_3PointShotsAttempted,average_3PointShotsAttempted_differential,differential_3PointShots.,cumalitive_3PointShots.,cumalitive_Opp.3PointShots.,cumalitive_differential_3PointShots.,average_3PointShots.,average_3PointShots._differential,differential_FreeThrows,cumalitive_FreeThrows,cumalitive_Opp.FreeThrows,cumalitive_differential_FreeThrows,average_FreeThrows,average_FreeThrows_differential,differential_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted,cumalitive_Opp.FreeThrowsAttempted,cumalitive_differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_FreeThrowsAttempted_differential,differential_FreeThrows.,cumalitive_FreeThrows.,cumalitive_Opp.FreeThrows.,cumalitive_differential_FreeThrows.,average_FreeThrows.,average_FreeThrows._differential,differential_OffRebounds,cumalitive_OffRebounds,cumalitive_Opp.OffRebounds,cumalitive_differential_OffRebounds,average_OffRebounds,average_OffRebounds_differential,differential_TotalRebounds,cumalitive_TotalRebounds,cumalitive_Opp.TotalRebounds,cumalitive_differential_TotalRebounds,average_TotalRebounds,average_TotalRebounds_differential,differential_Assists,cumalitive_Assists,cumalitive_Opp.Assists,cumalitive_differential_Assists,average_Assists,average_Assists_differential,differential_Steals,cumalitive_Steals,cumalitive_Opp.Steals,cumalitive_differential_Steals,average_Steals,average_Steals_differential,differential_Blocks,cumalitive_Blocks,cumalitive_Opp.Blocks,cumalitive_differential_Blocks,average_Blocks,average_Blocks_differential,differential_Turnovers,cumalitive_Turnovers,cumalitive_Opp.Turnovers,cumalitive_differential_Turnovers,average_Turnovers,average_Turnovers_differential,differential_TotalFouls,cumalitive_TotalFouls,cumalitive_Opp.TotalFouls,cumalitive_differential_TotalFouls,average_TotalFouls,average_TotalFouls_differential
0,0,1109,SAC,1,2014-10-29,Home,GSW,L,77,95,24,78,0.308,3,18,0.16699999999999998,26,35,0.743,15,50,13,11,3,26,26,33,75,0.44,6,27,0.222,23,32,0.7190000000000001,7,44,21,12,8,22,32,-18,77,95,-18,77.0,32.0,-18.0,-9,24,33,-9,24.0,-9.0,3,78,75,3,78.0,3.0,-0.132,0.308,0.44,-0.132,0.308,-0.132,-3,3,6,-3,3.0,-3.0,-9,18,27,-9,18.0,-9.0,-0.05500000000000002,0.16699999999999998,0.222,-0.05500000000000002,0.16699999999999998,-0.05500000000000002,3,26,23,3,26.0,3.0,3,35,32,3,35.0,3.0,0.02399999999999991,0.743,0.7190000000000001,0.02399999999999991,0.743,0.02399999999999991,8,15,7,8,15.0,8.0,6,50,44,6,50.0,6.0,-8,13,21,-8,13.0,-8.0,-1,11,12,-1,11.0,-1.0,-5,3,8,-5,3.0,-5.0,4,26,22,4,26.0,4.0,-6,26,32,-6,26.0,-6.0
1,1,2109,SAC,2,2014-10-31,Home,POR,W,103,94,34,81,0.42,4,10,0.4,31,35,0.8859999999999999,14,49,14,6,2,10,24,34,83,0.41,9,26,0.34600000000000003,17,19,0.895,10,38,20,5,8,10,26,9,180,189,-9,90.0,29.0,-4.5,0,58,67,-9,29.0,-4.5,-2,159,158,1,79.5,0.5,0.010000000000000009,0.728,0.85,-0.122,0.364,-0.061,-5,7,15,-8,3.5,-4.0,-16,28,53,-25,14.0,-12.5,0.05399999999999999,0.567,0.5680000000000001,-0.0010000000000000286,0.2835,-0.0005000000000000143,14,57,40,17,28.5,8.5,16,70,51,19,35.0,9.5,-0.009000000000000119,1.629,1.614,0.014999999999999791,0.8145,0.007499999999999896,4,29,17,12,14.5,6.0,11,99,82,17,49.5,8.5,-6,27,41,-14,13.5,-7.0,1,17,17,0,8.5,0.0,-6,5,16,-11,2.5,-5.5,0,36,32,4,18.0,2.0,-2,50,58,-8,25.0,-4.0
2,2,3109,SAC,3,2014-11-02,Away,LAC,W,98,92,34,68,0.5,3,10,0.3,27,33,0.818,9,46,21,4,11,19,22,33,88,0.375,9,31,0.29,17,21,0.81,11,35,23,10,7,8,25,6,278,281,-3,92.66666666666667,27.666666666666668,-1.0,1,92,100,-8,30.666666666666668,-2.6666666666666665,-20,227,246,-19,75.66666666666667,-6.333333333333333,0.125,1.228,1.225,0.0030000000000000027,0.4093333333333333,0.0010000000000000009,-6,10,24,-14,3.3333333333333335,-4.666666666666667,-21,38,84,-46,12.666666666666666,-15.333333333333334,0.010000000000000009,0.867,0.8580000000000001,0.00899999999999998,0.289,0.0029999999999999936,10,84,57,27,28.0,9.0,12,103,72,31,34.333333333333336,10.333333333333334,0.007999999999999896,2.447,2.4240000000000004,0.022999999999999687,0.8156666666666667,0.007666666666666562,-2,38,28,10,12.666666666666666,3.3333333333333335,11,145,117,28,48.333333333333336,9.333333333333334,-2,48,64,-16,16.0,-5.333333333333333,-6,21,27,-6,7.0,-2.0,4,16,23,-7,5.333333333333333,-2.3333333333333335,11,55,40,15,18.333333333333332,5.0,-3,72,83,-11,24.0,-3.6666666666666665
3,3,4109,SAC,4,2014-11-03,Away,DEN,W,110,105,34,81,0.42,2,9,0.222,40,47,0.851,14,50,21,8,5,15,28,36,93,0.387,5,24,0.20800000000000002,28,33,0.848,15,42,22,4,7,15,35,5,388,386,2,97.0,29.5,0.5,-2,126,136,-10,31.5,-2.5,-12,308,339,-31,77.0,-7.75,0.032999999999999974,1.648,1.612,0.035999999999999976,0.412,0.008999999999999994,-3,12,29,-17,3.0,-4.25,-15,47,108,-61,11.75,-15.25,0.013999999999999985,1.089,1.066,0.022999999999999965,0.27225,0.005749999999999991,12,124,85,39,31.0,9.75,14,150,105,45,37.5,11.25,0.0030000000000000027,3.298,3.2720000000000002,0.02599999999999969,0.8245,0.0064999999999999225,-1,52,43,9,13.0,2.25,8,195,159,36,48.75,9.0,-1,69,86,-17,17.25,-4.25,4,29,31,-2,7.25,-0.5,-2,21,30,-9,5.25,-2.25,0,70,55,15,17.5,3.75,-7,100,118,-18,25.0,-4.5
4,4,5109,SAC,5,2014-11-05,Home,DEN,W,131,109,42,76,0.5529999999999999,8,20,0.4,39,50,0.78,9,40,21,8,3,13,30,37,82,0.451,9,28,0.321,26,31,0.8390000000000001,7,32,24,4,5,14,37,22,519,495,24,103.8,31.0,4.8,5,168,173,-5,33.6,-1.0,-6,384,421,-37,76.8,-7.4,0.10199999999999992,2.2009999999999996,2.063,0.1379999999999999,0.4401999999999999,0.02759999999999998,-1,20,38,-18,4.0,-3.6,-8,67,136,-69,13.4,-13.8,0.07900000000000001,1.4889999999999999,1.387,0.10199999999999998,0.29779999999999995,0.020399999999999995,13,163,111,52,32.6,10.4,19,200,136,64,40.0,12.8,-0.05900000000000005,4.078,4.111000000000001,-0.03300000000000036,0.8156000000000001,-0.006600000000000073,2,61,50,11,12.2,2.2,8,235,191,44,47.0,8.8,-3,90,110,-20,18.0,-4.0,4,37,35,2,7.4,0.4,-2,24,35,-11,4.8,-2.2,-1,83,69,14,16.6,2.8,-7,130,155,-25,26.0,-5.0
5,5,6109,SAC,6,2014-11-07,Away,PHO,W,114,112,39,91,0.429,3,16,0.188,33,39,0.846,13,60,16,6,4,15,27,42,98,0.429,10,31,0.32299999999999995,18,25,0.72,9,42,19,7,7,12,33,2,633,607,26,105.5,31.333333333333332,4.333333333333333,-3,207,215,-8,34.5,-1.3333333333333333,-7,475,519,-44,79.16666666666667,-7.333333333333333,0.0,2.6299999999999994,2.492,0.1379999999999999,0.43833333333333324,0.022999999999999982,-7,23,48,-25,3.8333333333333335,-4.166666666666667,-15,83,167,-84,13.833333333333334,-14.0,-0.13499999999999995,1.6769999999999998,1.71,-0.032999999999999974,0.27949999999999997,-0.005499999999999995,15,196,129,67,32.666666666666664,11.166666666666666,14,239,161,78,39.833333333333336,13.0,0.126,4.924,4.831,0.09299999999999964,0.8206666666666668,0.01549999999999994,4,74,59,15,12.333333333333334,2.5,18,295,233,62,49.166666666666664,10.333333333333334,-3,106,129,-23,17.666666666666668,-3.8333333333333335,-1,43,42,1,7.166666666666667,0.16666666666666666,-3,28,42,-14,4.666666666666667,-2.3333333333333335,3,98,81,17,16.333333333333332,2.8333333333333335,-6,157,188,-31,26.166666666666668,-5.166666666666667
6,6,7109,SAC,7,2014-11-09,Away,OKC,L,93,101,36,80,0.45,6,24,0.25,15,22,0.682,9,37,23,11,2,10,24,36,78,0.462,6,18,0.33299999999999996,23,27,0.852,11,40,16,5,6,14,22,-8,726,708,18,103.71428571428571,30.0,2.5714285714285716,0,243,251,-8,34.714285714285715,-1.1428571428571428,2,555,597,-42,79.28571428571429,-6.0,-0.01200000000000001,3.0799999999999996,2.954,0.1259999999999999,0.43999999999999995,0.017999999999999985,0,29,54,-25,4.142857142857143,-3.5714285714285716,6,107,185,-78,15.285714285714286,-11.142857142857142,-0.08299999999999996,1.9269999999999998,2.043,-0.11599999999999994,0.27528571428571424,-0.016571428571428563,-8,211,152,59,30.142857142857142,8.428571428571429,-5,261,188,73,37.285714285714285,10.428571428571429,-0.16999999999999993,5.606000000000001,5.683000000000001,-0.07700000000000029,0.8008571428571429,-0.011000000000000041,-2,83,70,13,11.857142857142858,1.8571428571428572,-3,332,273,59,47.42857142857143,8.428571428571429,7,129,145,-16,18.428571428571427,-2.2857142857142856,6,54,47,7,7.714285714285714,1.0,-4,30,48,-18,4.285714285714286,-2.5714285714285716,-4,108,95,13,15.428571428571429,1.8571428571428572,2,181,210,-29,25.857142857142858,-4.142857142857143
7,7,844,SAC,8,2014-11-11,Away,DAL,L,98,106,32,72,0.444,9,19,0.474,25,32,0.7809999999999999,12,43,17,5,1,20,32,38,80,0.475,10,27,0.37,20,24,0.833,9,33,23,8,8,11,29,-8,824,814,10,103.0,29.875,1.25,-6,275,289,-14,34.375,-1.75,-8,627,677,-50,78.375,-6.25,-0.030999999999999972,3.5239999999999996,3.4290000000000003,0.09499999999999992,0.44049999999999995,0.01187499999999999,-1,38,64,-26,4.75,-3.25,-8,126,212,-86,15.75,-10.75,0.10399999999999998,2.401,2.4130000000000003,-0.011999999999999955,0.300125,-0.0014999999999999944,5,236,172,64,29.5,8.0,8,293,212,81,36.625,10.125,-0.052000000000000046,6.3870000000000005,6.516000000000001,-0.12900000000000034,0.7983750000000001,-0.016125000000000042,3,95,79,16,11.875,2.0,10,375,306,69,46.875,8.625,-6,146,168,-22,18.25,-2.75,-3,59,55,4,7.375,0.5,-7,31,56,-25,3.875,-3.125,9,128,106,22,16.0,2.75,3,213,239,-26,26.625,-3.25
8,8,925,SAC,9,2014-11-13,Away,MEM,L,110,111,37,77,0.48100000000000004,7,13,0.5379999999999999,29,34,0.853,13,44,12,6,5,14,26,39,77,0.506,6,9,0.667,27,34,0.794,8,30,24,9,4,9,25,-1,934,925,9,103.77777777777777,29.333333333333332,1.0,-2,312,328,-16,34.666666666666664,-1.7777777777777777,0,704,754,-50,78.22222222222223,-5.555555555555555,-0.024999999999999967,4.005,3.9350000000000005,0.06999999999999995,0.445,0.007777777777777772,1,45,70,-25,5.0,-2.7777777777777777,4,139,221,-82,15.444444444444445,-9.11111111111111,-0.12900000000000011,2.9389999999999996,3.08,-0.14100000000000007,0.3265555555555555,-0.015666666666666676,2,265,199,66,29.444444444444443,7.333333333333333,0,327,246,81,36.333333333333336,9.0,0.05899999999999994,7.24,7.3100000000000005,-0.0700000000000004,0.8044444444444445,-0.007777777777777822,5,108,87,21,12.0,2.3333333333333335,14,419,336,83,46.55555555555556,9.222222222222221,-12,158,192,-34,17.555555555555557,-3.7777777777777777,-3,65,64,1,7.222222222222222,0.1111111111111111,1,36,60,-24,4.0,-2.6666666666666665,5,142,115,27,15.777777777777779,3.0,1,239,264,-25,26.555555555555557,-2.7777777777777777
9,9,1025,SAC,10,2014-11-15,Home,SAS,W,94,91,37,86,0.43,0,12,0.0,20,24,0.833,8,42,19,5,6,9,18,34,80,0.425,7,24,0.292,16,18,0.889,7,38,24,6,8,14,25,3,1028,1016,12,102.8,28.9,1.2,3,349,362,-13,34.9,-1.3,6,790,834,-44,79.0,-4.4,0.0050000000000000044,4.435,4.36,0.07499999999999996,0.44349999999999995,0.007499999999999995,-7,45,77,-32,4.5,-3.2,-12,151,245,-94,15.1,-9.4,-0.292,2.9389999999999996,3.372,-0.43300000000000005,0.29389999999999994,-0.043300000000000005,4,285,215,70,28.5,7.0,6,351,264,87,35.1,8.7,-0.05600000000000005,8.073,8.199,-0.12600000000000044,0.8073,-0.012600000000000045,1,116,94,22,11.6,2.2,4,461,374,87,46.1,8.7,-5,177,216,-39,17.7,-3.9,-1,70,70,0,7.0,0.0,-2,42,68,-26,4.2,-2.6,-5,151,129,22,15.1,2.2,-7,257,289,-32,25.7,-3.2
