,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,SAC,1,2017-10-18,Home,HOU,L,100,105,42,88,0.477,8,23,0.348,8,10,0.8,9,42,19,5,4,17,20,33,83,0.398,12,45,0.267,27,29,0.931,12,44,19,7,3,14,14,-5,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,0.07899999999999996,0.0,0.0,0.0,-4,0.0,0.0,0.0,-22,0.0,0.0,0.0,0.08099999999999996,0.0,0.0,0.0,-19,0.0,0.0,0.0,-19,0.0,0.0,0.0,-0.131,0.0,0.0,0.0,-3,0.0,0.0,0.0,-2,0.0,0.0,0.0,0,0.0,0.0,0.0,-2,0.0,0.0,0.0,1,0.0,0.0,0.0,3,0.0,0.0,0.0,6,0.0,0.0,0.0
1,SAC,2,2017-10-20,Away,DAL,W,93,88,37,87,0.425,10,23,0.435,9,13,0.6920000000000001,16,57,20,8,3,14,18,31,75,0.413,11,33,0.333,15,21,0.7140000000000001,7,36,19,8,7,12,13,5,100.0,105.0,-5.0,6,42.0,33.0,9.0,12,88.0,83.0,5.0,0.01200000000000001,0.477,0.398,0.07899999999999996,-1,8.0,12.0,-4.0,-10,23.0,45.0,-22.0,0.10199999999999998,0.348,0.267,0.08099999999999996,-6,8.0,27.0,-19.0,-8,10.0,29.0,-19.0,-0.02200000000000002,0.8,0.931,-0.131,9,9.0,12.0,-3.0,21,42.0,44.0,-2.0,1,19.0,19.0,0.0,0,5.0,7.0,-2.0,-4,4.0,3.0,1.0,2,17.0,14.0,3.0,5,20.0,14.0,6.0
2,SAC,3,2017-10-21,Away,DEN,L,79,96,31,85,0.365,8,22,0.364,9,13,0.6920000000000001,12,39,15,6,3,13,21,37,85,0.435,10,30,0.333,12,20,0.6,18,58,25,7,2,16,19,-17,96.5,96.5,0.0,-6,39.5,32.0,7.5,0,87.5,79.0,8.5,-0.07,0.45099999999999996,0.40549999999999997,0.045499999999999985,-2,9.0,11.5,-2.5,-8,23.0,39.0,-16.0,0.030999999999999972,0.39149999999999996,0.30000000000000004,0.09149999999999997,-3,8.5,21.0,-12.5,-7,11.5,25.0,-13.5,0.09200000000000008,0.746,0.8225,-0.07650000000000001,-6,12.5,9.5,3.0,-19,49.5,40.0,9.5,-10,19.5,19.0,0.5,-1,6.5,7.5,-1.0,1,3.5,5.0,-1.5,-3,15.5,13.0,2.5,2,19.0,13.5,5.5
3,SAC,4,2017-10-23,Away,PHO,L,115,117,43,99,0.434,9,22,0.409,20,29,0.69,13,37,19,13,2,9,25,42,77,0.545,10,30,0.333,23,27,0.852,6,45,20,6,5,20,25,-2,90.66666666666667,96.33333333333333,-5.666666666666667,1,36.666666666666664,33.666666666666664,3.0,22,86.66666666666667,81.0,5.666666666666667,-0.11100000000000004,0.4223333333333333,0.41533333333333333,0.006999999999999988,-1,8.666666666666666,11.0,-2.3333333333333335,-8,22.666666666666668,36.0,-13.333333333333334,0.07599999999999996,0.38233333333333325,0.311,0.0713333333333333,-3,8.666666666666666,18.0,-9.333333333333334,2,12.0,23.333333333333332,-11.333333333333334,-0.16200000000000003,0.7280000000000001,0.7483333333333334,-0.020333333333333314,7,12.333333333333334,12.333333333333334,0.0,-8,46.0,46.0,0.0,-1,18.0,21.0,-3.0,7,6.333333333333333,7.333333333333333,-1.0,-3,3.3333333333333335,4.0,-0.6666666666666666,-11,14.666666666666666,14.0,0.6666666666666666,0,19.666666666666668,15.333333333333334,4.333333333333333
4,SAC,5,2017-10-26,Home,NOP,L,106,114,38,81,0.469,7,20,0.35,23,25,0.92,5,34,25,7,5,12,17,42,86,0.488,13,32,0.406,17,23,0.7390000000000001,10,47,22,5,3,15,24,-8,96.75,101.5,-4.75,-4,38.25,35.75,2.5,-5,89.75,80.0,9.75,-0.019000000000000017,0.42524999999999996,0.44775,-0.02250000000000002,-6,8.75,10.75,-2.0,-12,22.5,34.5,-12.0,-0.05600000000000005,0.38899999999999996,0.3165,0.07249999999999997,6,11.5,19.25,-7.75,2,16.25,24.25,-8.0,0.18099999999999994,0.7185,0.77425,-0.055749999999999994,-5,12.5,10.75,1.75,-13,43.75,45.75,-2.0,3,18.25,20.75,-2.5,2,8.0,7.0,1.0,2,3.0,4.25,-1.25,-3,13.25,15.5,-2.25,-7,21.0,17.75,3.25
5,SAC,6,2017-10-29,Home,WAS,L,83,110,32,82,0.39,6,22,0.273,13,16,0.813,11,43,13,8,2,17,20,40,85,0.471,17,34,0.5,13,20,0.65,13,49,28,9,3,15,18,-27,98.6,104.0,-5.4,-8,38.2,37.0,1.2,-3,88.0,81.2,6.8,-0.08099999999999996,0.434,0.4558,-0.02180000000000002,-11,8.4,11.2,-2.8,-12,22.0,34.0,-12.0,-0.22699999999999998,0.38119999999999993,0.33440000000000003,0.04679999999999997,0,13.8,18.8,-5.0,-4,18.0,24.0,-6.0,0.16299999999999992,0.7588,0.7672000000000001,-0.008400000000000008,-2,11.0,10.6,0.4,-6,41.8,46.0,-4.2,-15,19.6,21.0,-1.4,-1,7.8,6.6,1.2,-1,3.4,4.0,-0.6,2,13.0,15.4,-2.4,2,20.2,19.0,1.2
6,SAC,7,2017-10-31,Away,IND,L,83,101,37,88,0.42,2,14,0.14300000000000002,7,14,0.5,9,45,15,8,5,14,18,36,85,0.424,12,29,0.414,17,22,0.773,14,53,25,8,7,14,17,-18,96.0,105.0,-9.0,1,37.166666666666664,37.5,-0.3333333333333333,3,87.0,81.83333333333333,5.166666666666667,-0.0040000000000000036,0.4266666666666667,0.4583333333333333,-0.031666666666666676,-10,8.0,12.166666666666666,-4.166666666666667,-15,22.0,34.0,-12.0,-0.27099999999999996,0.36316666666666664,0.36200000000000004,0.0011666666666666399,-10,13.666666666666666,17.833333333333332,-4.166666666666667,-8,17.666666666666668,23.333333333333332,-5.666666666666667,-0.273,0.7678333333333334,0.7476666666666668,0.02016666666666665,-5,11.0,11.0,0.0,-8,42.0,46.5,-4.5,-10,18.5,22.166666666666668,-3.6666666666666665,0,7.833333333333333,7.0,0.8333333333333334,-2,3.1666666666666665,3.8333333333333335,-0.6666666666666666,0,13.666666666666666,15.333333333333334,-1.6666666666666667,1,20.166666666666668,18.833333333333332,1.3333333333333333
7,SAC,8,2017-11-01,Away,BOS,L,86,113,35,81,0.4320000000000001,6,20,0.3,10,12,0.833,7,26,24,10,5,15,18,40,82,0.488,17,41,0.415,16,19,0.8420000000000001,16,52,30,10,3,16,19,-27,94.14285714285714,104.42857142857143,-10.285714285714286,-5,37.142857142857146,37.285714285714285,-0.14285714285714285,-1,87.14285714285714,82.28571428571429,4.857142857142857,-0.05599999999999988,0.4257142857142857,0.4534285714285714,-0.027714285714285723,-11,7.142857142857143,12.142857142857142,-5.0,-21,20.857142857142858,33.285714285714285,-12.428571428571429,-0.11499999999999999,0.33171428571428574,0.3694285714285715,-0.037714285714285735,-6,12.714285714285714,17.714285714285715,-5.0,-7,17.142857142857142,23.142857142857142,-6.0,-0.009000000000000119,0.7295714285714286,0.7512857142857143,-0.021714285714285735,-9,10.714285714285714,11.428571428571429,-0.7142857142857143,-26,42.42857142857143,47.42857142857143,-5.0,-6,18.0,22.571428571428573,-4.571428571428571,0,7.857142857142857,7.142857142857143,0.7142857142857143,2,3.4285714285714284,4.285714285714286,-0.8571428571428571,-1,13.714285714285714,15.142857142857142,-1.4285714285714286,-1,19.857142857142858,18.571428571428573,1.2857142857142858
8,SAC,9,2017-11-04,Away,DET,L,99,108,40,76,0.526,10,21,0.476,9,13,0.6920000000000001,3,32,24,6,1,17,23,40,79,0.506,13,24,0.542,15,22,0.682,8,35,28,10,3,14,19,-9,93.125,105.5,-12.375,0,36.875,37.625,-0.75,-3,86.375,82.25,4.125,0.020000000000000018,0.4265,0.45775,-0.031249999999999993,-3,7.0,12.75,-5.75,-3,20.75,34.25,-13.5,-0.06600000000000006,0.32775,0.37512500000000004,-0.047375000000000014,-6,12.375,17.5,-5.125,-9,16.5,22.625,-6.125,0.010000000000000009,0.7425,0.7626250000000001,-0.020125000000000032,-5,10.25,12.0,-1.75,-3,40.375,48.0,-7.625,-4,18.75,23.5,-4.75,-4,8.125,7.5,0.625,-2,3.625,4.125,-0.5,3,13.875,15.25,-1.375,4,19.625,18.625,1.0
9,SAC,10,2017-11-07,Home,OKC,W,94,86,37,79,0.468,9,24,0.375,11,12,0.917,5,47,21,6,5,23,24,29,86,0.337,10,37,0.27,18,23,0.7829999999999999,9,44,15,16,2,14,17,8,93.77777777777777,105.77777777777777,-12.0,8,37.22222222222222,37.888888888888886,-0.6666666666666666,-7,85.22222222222223,81.88888888888889,3.3333333333333335,0.131,0.43755555555555553,0.46311111111111114,-0.025555555555555547,-1,7.333333333333333,12.777777777777779,-5.444444444444445,-13,20.77777777777778,33.111111111111114,-12.333333333333334,0.10499999999999998,0.3442222222222222,0.39366666666666666,-0.049444444444444464,-7,12.0,17.22222222222222,-5.222222222222222,-11,16.11111111111111,22.555555555555557,-6.444444444444445,0.13400000000000012,0.7368888888888889,0.7536666666666668,-0.016777777777777805,-4,9.444444444444445,11.555555555555555,-2.111111111111111,3,39.44444444444444,46.55555555555556,-7.111111111111111,6,19.333333333333332,24.0,-4.666666666666667,-10,7.888888888888889,7.777777777777778,0.1111111111111111,3,3.3333333333333335,4.0,-0.6666666666666666,9,14.222222222222221,15.11111111111111,-0.8888888888888888,7,20.0,18.666666666666668,1.3333333333333333
