,Unnamed: 0,Unnamed: 0.1.1.1.1.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,cumalitive_Points,cumalitive_Opp.Points,cumalitive_differential_Points,average_Points,average_Opp.{},average_Points_differential,differential_FieldGoals,cumalitive_FieldGoals,cumalitive_Opp.FieldGoals,cumalitive_differential_FieldGoals,average_FieldGoals,average_FieldGoals_differential,differential_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted,cumalitive_Opp.FieldGoalsAttempted,cumalitive_differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_FieldGoalsAttempted_differential,differential_FieldGoals.,cumalitive_FieldGoals.,cumalitive_Opp.FieldGoals.,cumalitive_differential_FieldGoals.,average_FieldGoals.,average_FieldGoals._differential,differential_3PointShots,cumalitive_3PointShots,cumalitive_Opp.3PointShots,cumalitive_differential_3PointShots,average_3PointShots,average_3PointShots_differential,differential_3PointShotsAttempted,cumalitive_3PointShotsAttempted,cumalitive_Opp.3PointShotsAttempted,cumalitive_differential_3PointShotsAttempted,average_3PointShotsAttempted,average_3PointShotsAttempted_differential,differential_3PointShots.,cumalitive_3PointShots.,cumalitive_Opp.3PointShots.,cumalitive_differential_3PointShots.,average_3PointShots.,average_3PointShots._differential,differential_FreeThrows,cumalitive_FreeThrows,cumalitive_Opp.FreeThrows,cumalitive_differential_FreeThrows,average_FreeThrows,average_FreeThrows_differential,differential_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted,cumalitive_Opp.FreeThrowsAttempted,cumalitive_differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_FreeThrowsAttempted_differential,differential_FreeThrows.,cumalitive_FreeThrows.,cumalitive_Opp.FreeThrows.,cumalitive_differential_FreeThrows.,average_FreeThrows.,average_FreeThrows._differential,differential_OffRebounds,cumalitive_OffRebounds,cumalitive_Opp.OffRebounds,cumalitive_differential_OffRebounds,average_OffRebounds,average_OffRebounds_differential,differential_TotalRebounds,cumalitive_TotalRebounds,cumalitive_Opp.TotalRebounds,cumalitive_differential_TotalRebounds,average_TotalRebounds,average_TotalRebounds_differential,differential_Assists,cumalitive_Assists,cumalitive_Opp.Assists,cumalitive_differential_Assists,average_Assists,average_Assists_differential,differential_Steals,cumalitive_Steals,cumalitive_Opp.Steals,cumalitive_differential_Steals,average_Steals,average_Steals_differential,differential_Blocks,cumalitive_Blocks,cumalitive_Opp.Blocks,cumalitive_differential_Blocks,average_Blocks,average_Blocks_differential,differential_Turnovers,cumalitive_Turnovers,cumalitive_Opp.Turnovers,cumalitive_differential_Turnovers,average_Turnovers,average_Turnovers_differential,differential_TotalFouls,cumalitive_TotalFouls,cumalitive_Opp.TotalFouls,cumalitive_differential_TotalFouls,average_TotalFouls,average_TotalFouls_differential
0,0,1130,SAS,1,2014-10-28,Home,DAL,W,101,100,37,70,0.529,14,28,0.5,13,16,0.813,9,38,23,5,3,20,20,38,78,0.48700000000000004,8,21,0.381,16,19,0.8420000000000001,9,33,17,9,3,10,20,1,101,100,1,101.0,20.0,1.0,-1,37,38,-1,37.0,-1.0,-8,70,78,-8,70.0,-8.0,0.04199999999999998,0.529,0.48700000000000004,0.04199999999999998,0.529,0.04199999999999998,6,14,8,6,14.0,6.0,7,28,21,7,28.0,7.0,0.119,0.5,0.381,0.119,0.5,0.119,-3,13,16,-3,13.0,-3.0,-3,16,19,-3,16.0,-3.0,-0.029000000000000137,0.813,0.8420000000000001,-0.029000000000000137,0.813,-0.029000000000000137,0,9,9,0,9.0,0.0,5,38,33,5,38.0,5.0,6,23,17,6,23.0,6.0,-4,5,9,-4,5.0,-4.0,0,3,3,0,3.0,0.0,10,20,10,10,20.0,10.0,0,20,20,0,20.0,0.0
1,1,2130,SAS,2,2014-10-31,Away,PHO,L,89,94,32,78,0.41,8,25,0.32,17,23,0.7390000000000001,5,45,20,3,3,12,25,35,87,0.402,2,18,0.111,22,26,0.846,12,50,15,2,5,7,21,-5,190,194,-4,95.0,20.5,-2.0,-3,69,73,-4,34.5,-2.0,-9,148,165,-17,74.0,-8.5,0.007999999999999952,0.9390000000000001,0.889,0.04999999999999993,0.46950000000000003,0.024999999999999967,6,22,10,12,11.0,6.0,7,53,39,14,26.5,7.0,0.20900000000000002,0.8200000000000001,0.492,0.328,0.41000000000000003,0.164,-5,30,38,-8,15.0,-4.0,-3,39,45,-6,19.5,-3.0,-0.10699999999999987,1.552,1.6880000000000002,-0.136,0.776,-0.068,-7,14,21,-7,7.0,-3.5,-5,83,83,0,41.5,0.0,5,43,32,11,21.5,5.5,1,8,11,-3,4.0,-1.5,-2,6,8,-2,3.0,-1.0,5,32,17,15,16.0,7.5,4,45,41,4,22.5,2.0
2,2,3130,SAS,3,2014-11-05,Home,ATL,W,94,92,31,69,0.449,5,17,0.294,27,38,0.711,11,50,25,7,9,19,15,38,92,0.413,8,25,0.32,8,11,0.727,10,37,26,14,5,13,25,2,284,286,-2,94.66666666666667,22.0,-0.6666666666666666,-7,100,111,-11,33.333333333333336,-3.6666666666666665,-23,217,257,-40,72.33333333333333,-13.333333333333334,0.03600000000000003,1.3880000000000001,1.302,0.08599999999999997,0.4626666666666667,0.028666666666666656,-3,27,18,9,9.0,3.0,-8,70,64,6,23.333333333333332,2.0,-0.026000000000000023,1.114,0.812,0.302,0.37133333333333335,0.10066666666666667,19,57,46,11,19.0,3.6666666666666665,27,77,56,21,25.666666666666668,7.0,-0.016000000000000014,2.263,2.415,-0.15200000000000002,0.7543333333333333,-0.05066666666666667,1,25,31,-6,8.333333333333334,-2.0,13,133,120,13,44.333333333333336,4.333333333333333,-1,68,58,10,22.666666666666668,3.3333333333333335,-7,15,25,-10,5.0,-3.3333333333333335,4,15,13,2,5.0,0.6666666666666666,6,51,30,21,17.0,7.0,-10,60,66,-6,20.0,-2.0
3,3,4130,SAS,4,2014-11-06,Away,HOU,L,81,98,31,90,0.344,2,20,0.1,17,19,0.895,12,41,17,12,1,14,24,34,72,0.47200000000000003,10,27,0.37,20,33,0.606,8,44,18,7,6,21,20,-17,365,384,-19,91.25,21.5,-4.75,-3,131,145,-14,32.75,-3.5,18,307,329,-22,76.75,-5.5,-0.12800000000000006,1.7320000000000002,1.774,-0.04200000000000009,0.43300000000000005,-0.010500000000000023,-8,29,28,1,7.25,0.25,-7,90,91,-1,22.5,-0.25,-0.27,1.2140000000000002,1.182,0.03199999999999997,0.30350000000000005,0.007999999999999993,-3,74,66,8,18.5,2.0,-14,96,89,7,24.0,1.75,0.28900000000000003,3.158,3.021,0.137,0.7895,0.03425,4,37,39,-2,9.25,-0.5,-3,174,164,10,43.5,2.5,-1,85,76,9,21.25,2.25,5,27,32,-5,6.75,-1.25,-5,16,19,-3,4.0,-0.75,-7,65,51,14,16.25,3.5,4,84,86,-2,21.0,-0.5
4,4,5130,SAS,5,2014-11-08,Home,NOP,L,99,100,36,80,0.45,5,18,0.278,22,29,0.759,17,49,15,4,7,18,17,40,85,0.47100000000000003,8,21,0.381,12,14,0.857,6,30,22,11,9,11,20,-1,464,484,-20,92.8,21.2,-4.0,-4,167,185,-18,33.4,-3.6,-5,387,414,-27,77.4,-5.4,-0.02100000000000002,2.1820000000000004,2.245,-0.06300000000000011,0.43640000000000007,-0.012600000000000023,-3,34,36,-2,6.8,-0.4,-3,108,112,-4,21.6,-0.8,-0.10299999999999998,1.4920000000000002,1.563,-0.07100000000000001,0.29840000000000005,-0.0142,10,96,78,18,19.2,3.6,15,125,103,22,25.0,4.4,-0.09799999999999998,3.917,3.878,0.039000000000000035,0.7834,0.007800000000000007,11,54,45,9,10.8,1.8,19,223,194,29,44.6,5.8,-7,100,98,2,20.0,0.4,-7,31,43,-12,6.2,-2.4,-2,23,28,-5,4.6,-1.0,7,83,62,21,16.6,4.2,-3,101,106,-5,20.2,-1.0
5,5,6130,SAS,6,2014-11-10,Away,LAC,W,89,85,33,83,0.39799999999999996,2,19,0.105,21,27,0.778,10,39,20,11,4,8,17,33,74,0.446,5,22,0.22699999999999998,14,17,0.8240000000000001,8,44,26,6,8,15,20,4,553,569,-16,92.16666666666667,21.0,-2.6666666666666665,0,200,218,-18,33.333333333333336,-3.0,9,470,488,-18,78.33333333333333,-3.0,-0.04800000000000004,2.5800000000000005,2.6910000000000003,-0.11100000000000015,0.4300000000000001,-0.018500000000000027,-3,36,41,-5,6.0,-0.8333333333333334,-3,127,134,-7,21.166666666666668,-1.1666666666666667,-0.12199999999999998,1.5970000000000002,1.79,-0.193,0.2661666666666667,-0.03216666666666667,7,117,92,25,19.5,4.166666666666667,10,152,120,32,25.333333333333332,5.333333333333333,-0.04600000000000004,4.695,4.702,-0.007000000000000006,0.7825000000000001,-0.0011666666666666676,2,64,53,11,10.666666666666666,1.8333333333333333,-5,262,238,24,43.666666666666664,4.0,-6,120,124,-4,20.0,-0.6666666666666666,5,42,49,-7,7.0,-1.1666666666666667,-4,27,36,-9,4.5,-1.5,-7,91,77,14,15.166666666666666,2.3333333333333335,-3,118,126,-8,19.666666666666668,-1.3333333333333333
6,6,7130,SAS,7,2014-11-11,Away,GSW,W,113,100,46,93,0.495,10,25,0.4,11,15,0.733,8,36,28,9,1,8,19,38,70,0.5429999999999999,7,20,0.35,17,20,0.85,1,38,23,5,4,19,16,13,666,669,-3,95.14285714285714,20.285714285714285,-0.42857142857142855,8,246,256,-10,35.142857142857146,-1.4285714285714286,23,563,558,5,80.42857142857143,0.7142857142857143,-0.04799999999999993,3.0750000000000006,3.234,-0.15900000000000009,0.4392857142857144,-0.022714285714285725,3,46,48,-2,6.571428571428571,-0.2857142857142857,5,152,154,-2,21.714285714285715,-0.2857142857142857,0.050000000000000044,1.9970000000000003,2.14,-0.14299999999999996,0.2852857142857143,-0.020428571428571424,-6,128,109,19,18.285714285714285,2.7142857142857144,-5,167,140,27,23.857142857142858,3.857142857142857,-0.11699999999999999,5.428,5.552,-0.124,0.7754285714285715,-0.017714285714285714,7,72,54,18,10.285714285714286,2.5714285714285716,-2,298,276,22,42.57142857142857,3.142857142857143,5,148,147,1,21.142857142857142,0.14285714285714285,4,51,54,-3,7.285714285714286,-0.42857142857142855,-3,28,40,-12,4.0,-1.7142857142857142,-11,99,96,3,14.142857142857142,0.42857142857142855,3,137,142,-5,19.571428571428573,-0.7142857142857143
7,7,845,SAS,8,2014-11-14,Away,LAL,W,93,80,33,80,0.413,10,23,0.435,17,20,0.85,7,44,28,9,2,10,23,28,75,0.373,2,12,0.16699999999999998,22,31,0.71,11,46,17,6,5,13,13,13,759,749,10,94.875,19.375,1.25,5,279,284,-5,34.875,-0.625,5,643,633,10,80.375,1.25,0.03999999999999998,3.4880000000000004,3.607,-0.1190000000000001,0.43600000000000005,-0.014875000000000013,8,56,50,6,7.0,0.75,11,175,166,9,21.875,1.125,0.268,2.4320000000000004,2.307,0.12500000000000006,0.30400000000000005,0.015625000000000007,-5,145,131,14,18.125,1.75,-11,187,171,16,23.375,2.0,0.14,6.278,6.262,0.016000000000000014,0.78475,0.0020000000000000018,-4,79,65,14,9.875,1.75,-2,342,322,20,42.75,2.5,11,176,164,12,22.0,1.5,3,60,60,0,7.5,0.0,-3,30,45,-15,3.75,-1.875,-3,109,109,0,13.625,0.0,10,160,155,5,20.0,0.625
8,8,926,SAS,9,2014-11-15,Away,SAC,L,91,94,34,80,0.425,7,24,0.292,16,18,0.889,7,38,24,6,8,14,25,37,86,0.43,0,12,0.0,20,24,0.833,8,42,19,5,6,9,18,-3,850,843,7,94.44444444444444,19.22222222222222,0.7777777777777778,-3,313,321,-8,34.77777777777778,-0.8888888888888888,-6,723,719,4,80.33333333333333,0.4444444444444444,-0.0050000000000000044,3.9130000000000003,4.037,-0.12400000000000011,0.4347777777777778,-0.01377777777777779,7,63,50,13,7.0,1.4444444444444444,12,199,178,21,22.11111111111111,2.3333333333333335,0.292,2.724,2.307,0.41700000000000004,0.3026666666666667,0.04633333333333334,-4,161,151,10,17.88888888888889,1.1111111111111112,-6,205,195,10,22.77777777777778,1.1111111111111112,0.05600000000000005,7.167,7.095,0.07200000000000006,0.7963333333333333,0.008000000000000007,-1,86,73,13,9.555555555555555,1.4444444444444444,-4,380,364,16,42.22222222222222,1.7777777777777777,5,200,183,17,22.22222222222222,1.8888888888888888,1,66,65,1,7.333333333333333,0.1111111111111111,2,38,51,-13,4.222222222222222,-1.4444444444444444,5,123,118,5,13.666666666666666,0.5555555555555556,7,185,173,12,20.555555555555557,1.3333333333333333
9,9,1026,SAS,10,2014-11-17,Home,PHI,W,100,75,36,81,0.444,10,26,0.385,18,21,0.857,6,52,27,9,8,17,17,27,83,0.325,4,26,0.154,17,24,0.708,5,39,15,11,4,13,18,25,950,918,32,95.0,19.1,3.2,9,349,348,1,34.9,0.1,-2,804,802,2,80.4,0.2,0.119,4.357,4.362,-0.0050000000000001155,0.43570000000000003,-0.0005000000000000115,6,73,54,19,7.3,1.9,0,225,204,21,22.5,2.1,0.231,3.109,2.461,0.648,0.3109,0.0648,1,179,168,11,17.9,1.1,-3,226,219,7,22.6,0.7,0.14900000000000002,8.024,7.803,0.22100000000000009,0.8023999999999999,0.02210000000000001,1,92,78,14,9.2,1.4,13,432,403,29,43.2,2.9,12,227,198,29,22.7,2.9,-2,75,76,-1,7.5,-0.1,4,46,55,-9,4.6,-0.9,4,140,131,9,14.0,0.9,-1,202,191,11,20.2,1.1
