,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,SAS,1,2017-10-18,Home,MIN,W,107,99,41,89,0.461,8,21,0.381,17,19,0.895,12,50,22,8,11,11,18,37,85,0.435,8,19,0.421,17,23,0.7390000000000001,11,42,23,7,4,13,16,8,0.0,0.0,0.0,4,0.0,0.0,0.0,4,0.0,0.0,0.0,0.026000000000000023,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,-0.03999999999999998,0.0,0.0,0.0,0,0.0,0.0,0.0,-4,0.0,0.0,0.0,0.15599999999999992,0.0,0.0,0.0,1,0.0,0.0,0.0,8,0.0,0.0,0.0,-1,0.0,0.0,0.0,1,0.0,0.0,0.0,7,0.0,0.0,0.0,-2,0.0,0.0,0.0,2,0.0,0.0,0.0
1,SAS,2,2017-10-21,Away,CHI,W,87,77,38,93,0.409,1,12,0.083,10,16,0.625,14,52,25,8,3,11,14,31,82,0.378,8,28,0.28600000000000003,7,9,0.778,8,48,18,3,5,19,15,10,107.0,99.0,8.0,7,41.0,37.0,4.0,11,89.0,85.0,4.0,0.030999999999999972,0.461,0.435,0.026000000000000023,-7,8.0,8.0,0.0,-16,21.0,19.0,2.0,-0.203,0.381,0.421,-0.03999999999999998,3,17.0,17.0,0.0,7,19.0,23.0,-4.0,-0.15300000000000002,0.895,0.7390000000000001,0.15599999999999992,6,12.0,11.0,1.0,4,50.0,42.0,8.0,7,22.0,23.0,-1.0,5,8.0,7.0,1.0,-2,11.0,4.0,7.0,-8,11.0,13.0,-2.0,-1,18.0,16.0,2.0
2,SAS,3,2017-10-23,Home,TOR,W,101,97,40,90,0.444,5,20,0.25,16,23,0.696,18,55,19,4,12,20,22,34,80,0.425,10,37,0.27,19,24,0.792,5,34,17,11,4,14,30,4,97.0,88.0,9.0,6,39.5,34.0,5.5,10,91.0,83.5,7.5,0.019000000000000017,0.435,0.4065,0.028499999999999998,-5,4.5,8.0,-3.5,-17,16.5,23.5,-7.0,-0.020000000000000018,0.232,0.35350000000000004,-0.1215,-3,13.5,12.0,1.5,-1,17.5,16.0,1.5,-0.09600000000000009,0.76,0.7585000000000001,0.0014999999999999458,13,13.0,9.5,3.5,21,51.0,45.0,6.0,2,23.5,20.5,3.0,-7,8.0,5.0,3.0,8,7.0,4.5,2.5,6,11.0,16.0,-5.0,-8,16.0,15.5,0.5
3,SAS,4,2017-10-25,Away,MIA,W,117,100,42,76,0.5529999999999999,10,17,0.588,23,30,0.767,8,44,18,6,3,13,20,37,80,0.463,9,26,0.34600000000000003,17,18,0.944,4,32,19,6,2,9,25,17,98.33333333333333,91.0,7.333333333333333,5,39.666666666666664,34.0,5.666666666666667,-4,90.66666666666667,82.33333333333333,8.333333333333334,0.08999999999999991,0.438,0.4126666666666667,0.025333333333333336,1,4.666666666666667,8.666666666666666,-4.0,-9,17.666666666666668,28.0,-10.333333333333334,0.24199999999999994,0.238,0.3256666666666667,-0.08766666666666667,6,14.333333333333334,14.333333333333334,0.0,12,19.333333333333332,18.666666666666668,0.6666666666666666,-0.17699999999999994,0.7386666666666667,0.7696666666666667,-0.031000000000000066,4,14.666666666666666,8.0,6.666666666666667,12,52.333333333333336,41.333333333333336,11.0,-1,22.0,19.333333333333332,2.6666666666666665,0,6.666666666666667,7.0,-0.3333333333333333,1,8.666666666666666,4.333333333333333,4.333333333333333,4,14.0,15.333333333333334,-1.3333333333333333,-5,18.0,20.333333333333332,-2.3333333333333335
4,SAS,5,2017-10-27,Away,ORL,L,87,114,30,89,0.337,4,24,0.16699999999999998,23,27,0.852,17,49,19,8,8,17,15,48,84,0.5710000000000001,11,23,0.478,7,14,0.5,6,45,22,9,7,17,24,-27,103.0,93.25,9.75,-18,40.25,34.75,5.5,5,87.0,81.75,5.25,-0.23400000000000004,0.46675,0.42525,0.04149999999999998,-7,6.0,8.75,-2.75,1,17.5,27.5,-10.0,-0.311,0.3255,0.33075000000000004,-0.0052500000000000185,16,16.5,15.0,1.5,13,22.0,18.5,3.5,0.352,0.74575,0.81325,-0.06750000000000003,11,13.0,7.0,6.0,4,50.25,39.0,11.25,-3,21.0,19.25,1.75,-1,6.5,6.75,-0.25,1,7.25,3.75,3.5,0,13.75,13.75,0.0,-9,18.5,21.5,-3.0
5,SAS,6,2017-10-29,Away,IND,L,94,97,36,90,0.4,9,28,0.321,13,18,0.722,12,44,19,12,8,15,11,36,77,0.468,10,22,0.455,15,20,0.75,6,44,21,9,3,19,20,-3,99.8,97.4,2.4,0,38.2,37.4,0.8,13,87.4,82.2,5.2,-0.068,0.4408,0.4544,-0.013600000000000024,-1,5.6,9.2,-3.6,6,18.8,26.6,-7.8,-0.134,0.2938,0.3602,-0.06640000000000001,-2,17.8,13.4,4.4,-2,23.0,17.6,5.4,-0.028000000000000025,0.767,0.7506,0.01639999999999997,6,13.8,6.8,7.0,0,50.0,40.2,9.8,-2,20.6,19.8,0.8,3,6.8,7.2,-0.4,5,7.4,4.4,3.0,-4,14.4,14.4,0.0,-9,17.8,22.0,-4.2
6,SAS,7,2017-10-30,Away,BOS,L,94,108,36,87,0.414,12,26,0.462,10,20,0.5,12,40,24,8,4,11,14,42,88,0.477,11,31,0.355,13,16,0.813,15,54,24,10,6,13,22,-14,98.83333333333333,97.33333333333333,1.5,-6,37.833333333333336,37.166666666666664,0.6666666666666666,-1,87.83333333333333,81.33333333333333,6.5,-0.063,0.434,0.4566666666666667,-0.022666666666666686,1,6.166666666666667,9.333333333333334,-3.1666666666666665,-5,20.333333333333332,25.833333333333332,-5.5,0.10700000000000004,0.29833333333333334,0.37600000000000006,-0.07766666666666668,-3,17.0,13.666666666666666,3.3333333333333335,4,22.166666666666668,18.0,4.166666666666667,-0.31299999999999994,0.7595000000000001,0.7505000000000001,0.008999999999999972,-3,13.5,6.666666666666667,6.833333333333333,-14,49.0,40.833333333333336,8.166666666666666,0,20.333333333333332,20.0,0.3333333333333333,-2,7.666666666666667,7.5,0.16666666666666666,-2,7.5,4.166666666666667,3.3333333333333335,-2,14.5,15.166666666666666,-0.6666666666666666,-8,16.666666666666668,21.666666666666668,-5.0
7,SAS,8,2017-11-02,Home,GSW,L,92,112,34,87,0.391,7,24,0.292,17,23,0.7390000000000001,14,46,19,6,8,16,10,43,83,0.518,14,28,0.5,12,16,0.75,5,41,30,11,12,14,20,-20,98.14285714285714,98.85714285714286,-0.7142857142857143,-9,37.57142857142857,37.857142857142854,-0.2857142857142857,4,87.71428571428571,82.28571428571429,5.428571428571429,-0.127,0.43114285714285716,0.4595714285714286,-0.028428571428571445,-7,7.0,9.571428571428571,-2.5714285714285716,-4,21.142857142857142,26.571428571428573,-5.428571428571429,-0.20800000000000002,0.32171428571428573,0.37300000000000005,-0.05128571428571429,5,16.0,13.571428571428571,2.4285714285714284,7,21.857142857142858,17.714285714285715,4.142857142857143,-0.010999999999999899,0.7224285714285715,0.7594285714285715,-0.03700000000000002,9,13.285714285714286,7.857142857142857,5.428571428571429,5,47.714285714285715,42.714285714285715,5.0,-11,20.857142857142858,20.571428571428573,0.2857142857142857,-5,7.714285714285714,7.857142857142857,-0.14285714285714285,-4,7.0,4.428571428571429,2.5714285714285716,2,14.0,14.857142857142858,-0.8571428571428571,-10,16.285714285714285,21.714285714285715,-5.428571428571429
8,SAS,9,2017-11-03,Home,CHO,W,108,101,39,83,0.47,9,27,0.333,21,26,0.8079999999999999,7,45,31,7,6,15,26,33,80,0.413,8,24,0.333,27,42,0.643,11,46,16,11,1,12,20,7,97.375,100.5,-3.125,6,37.125,38.5,-1.375,3,87.625,82.375,5.25,0.056999999999999995,0.42612500000000003,0.46687500000000004,-0.040750000000000015,1,7.0,10.125,-3.125,3,21.5,26.75,-5.25,0.0,0.318,0.388875,-0.07087500000000001,-6,16.125,13.375,2.75,-16,22.0,17.5,4.5,0.16499999999999992,0.7245,0.75825,-0.03375,-4,13.375,7.5,5.875,-1,47.5,42.5,5.0,15,20.625,21.75,-1.125,-4,7.5,8.25,-0.75,5,7.125,5.375,1.75,3,14.25,14.75,-0.5,6,15.5,21.5,-6.0
9,SAS,10,2017-11-05,Home,PHO,W,112,95,44,88,0.5,11,22,0.5,13,18,0.722,8,43,21,9,4,9,19,37,81,0.457,8,23,0.348,13,22,0.591,11,45,23,5,4,18,16,17,98.55555555555556,100.55555555555556,-2.0,7,37.333333333333336,37.888888888888886,-0.5555555555555556,7,87.11111111111111,82.11111111111111,5.0,0.04299999999999998,0.43100000000000005,0.46088888888888896,-0.029888888888888902,3,7.222222222222222,9.88888888888889,-2.6666666666666665,-1,22.11111111111111,26.444444444444443,-4.333333333333333,0.15200000000000002,0.3196666666666667,0.3826666666666667,-0.063,0,16.666666666666668,14.88888888888889,1.7777777777777777,-4,22.444444444444443,20.22222222222222,2.2222222222222223,0.131,0.7337777777777778,0.7454444444444444,-0.011666666666666678,-3,12.666666666666666,7.888888888888889,4.777777777777778,-2,47.22222222222222,42.888888888888886,4.333333333333333,-2,21.77777777777778,21.11111111111111,0.6666666666666666,4,7.444444444444445,8.555555555555555,-1.1111111111111112,0,7.0,4.888888888888889,2.111111111111111,-9,14.333333333333334,14.444444444444445,-0.1111111111111111,3,16.666666666666668,21.333333333333332,-4.666666666666667
