,Unnamed: 0,Unnamed: 0.1.1.1.1.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,cumalitive_Points,cumalitive_Opp.Points,cumalitive_differential_Points,average_Points,average_Opp.{},average_Points_differential,differential_FieldGoals,cumalitive_FieldGoals,cumalitive_Opp.FieldGoals,cumalitive_differential_FieldGoals,average_FieldGoals,average_FieldGoals_differential,differential_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted,cumalitive_Opp.FieldGoalsAttempted,cumalitive_differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_FieldGoalsAttempted_differential,differential_FieldGoals.,cumalitive_FieldGoals.,cumalitive_Opp.FieldGoals.,cumalitive_differential_FieldGoals.,average_FieldGoals.,average_FieldGoals._differential,differential_3PointShots,cumalitive_3PointShots,cumalitive_Opp.3PointShots,cumalitive_differential_3PointShots,average_3PointShots,average_3PointShots_differential,differential_3PointShotsAttempted,cumalitive_3PointShotsAttempted,cumalitive_Opp.3PointShotsAttempted,cumalitive_differential_3PointShotsAttempted,average_3PointShotsAttempted,average_3PointShotsAttempted_differential,differential_3PointShots.,cumalitive_3PointShots.,cumalitive_Opp.3PointShots.,cumalitive_differential_3PointShots.,average_3PointShots.,average_3PointShots._differential,differential_FreeThrows,cumalitive_FreeThrows,cumalitive_Opp.FreeThrows,cumalitive_differential_FreeThrows,average_FreeThrows,average_FreeThrows_differential,differential_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted,cumalitive_Opp.FreeThrowsAttempted,cumalitive_differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_FreeThrowsAttempted_differential,differential_FreeThrows.,cumalitive_FreeThrows.,cumalitive_Opp.FreeThrows.,cumalitive_differential_FreeThrows.,average_FreeThrows.,average_FreeThrows._differential,differential_OffRebounds,cumalitive_OffRebounds,cumalitive_Opp.OffRebounds,cumalitive_differential_OffRebounds,average_OffRebounds,average_OffRebounds_differential,differential_TotalRebounds,cumalitive_TotalRebounds,cumalitive_Opp.TotalRebounds,cumalitive_differential_TotalRebounds,average_TotalRebounds,average_TotalRebounds_differential,differential_Assists,cumalitive_Assists,cumalitive_Opp.Assists,cumalitive_differential_Assists,average_Assists,average_Assists_differential,differential_Steals,cumalitive_Steals,cumalitive_Opp.Steals,cumalitive_differential_Steals,average_Steals,average_Steals_differential,differential_Blocks,cumalitive_Blocks,cumalitive_Opp.Blocks,cumalitive_differential_Blocks,average_Blocks,average_Blocks_differential,differential_Turnovers,cumalitive_Turnovers,cumalitive_Opp.Turnovers,cumalitive_differential_Turnovers,average_Turnovers,average_Turnovers_differential,differential_TotalFouls,cumalitive_TotalFouls,cumalitive_Opp.TotalFouls,cumalitive_differential_TotalFouls,average_TotalFouls,average_TotalFouls_differential
0,0,1132,TOR,1,2014-10-29,Home,ATL,W,109,102,37,90,0.41100000000000003,8,26,0.308,27,33,0.818,16,48,26,13,9,9,22,40,80,0.5,13,22,0.591,9,17,0.529,10,42,26,6,8,17,24,7,109,102,7,109.0,24.0,7.0,-3,37,40,-3,37.0,-3.0,10,90,80,10,90.0,10.0,-0.08899999999999997,0.41100000000000003,0.5,-0.08899999999999997,0.41100000000000003,-0.08899999999999997,-5,8,13,-5,8.0,-5.0,4,26,22,4,26.0,4.0,-0.283,0.308,0.591,-0.283,0.308,-0.283,18,27,9,18,27.0,18.0,16,33,17,16,33.0,16.0,0.2889999999999999,0.818,0.529,0.2889999999999999,0.818,0.2889999999999999,6,16,10,6,16.0,6.0,6,48,42,6,48.0,6.0,0,26,26,0,26.0,0.0,7,13,6,7,13.0,7.0,1,9,8,1,9.0,1.0,-8,9,17,-8,9.0,-8.0,-2,22,24,-2,22.0,-2.0
1,1,2132,TOR,2,2014-11-01,Away,ORL,W,108,95,33,83,0.39799999999999996,4,21,0.19,38,48,0.792,15,50,13,4,4,7,21,38,81,0.469,7,20,0.35,12,24,0.5,9,40,25,3,7,14,37,13,217,197,20,108.5,30.5,10.0,-5,70,78,-8,35.0,-4.0,2,173,161,12,86.5,6.0,-0.07100000000000001,0.8089999999999999,0.969,-0.15999999999999998,0.40449999999999997,-0.07999999999999999,-3,12,20,-8,6.0,-4.0,1,47,42,5,23.5,2.5,-0.15999999999999998,0.498,0.941,-0.44299999999999995,0.249,-0.22149999999999997,26,65,21,44,32.5,22.0,24,81,41,40,40.5,20.0,0.29200000000000004,1.6099999999999999,1.029,0.581,0.8049999999999999,0.2905,6,31,19,12,15.5,6.0,10,98,82,16,49.0,8.0,-12,39,51,-12,19.5,-6.0,1,17,9,8,8.5,4.0,-3,13,15,-2,6.5,-1.0,-7,16,31,-15,8.0,-7.5,-16,43,61,-18,21.5,-9.0
2,2,3132,TOR,3,2014-11-02,Away,MIA,L,102,107,37,79,0.46799999999999997,4,16,0.25,24,39,0.615,9,28,11,8,5,10,28,35,70,0.5,9,24,0.375,28,38,0.737,11,43,22,6,6,16,29,-5,319,304,15,106.33333333333333,30.0,5.0,2,107,113,-6,35.666666666666664,-2.0,9,252,231,21,84.0,7.0,-0.03200000000000003,1.277,1.4689999999999999,-0.192,0.42566666666666664,-0.064,-5,16,29,-13,5.333333333333333,-4.333333333333333,-8,63,66,-3,21.0,-1.0,-0.125,0.748,1.3159999999999998,-0.568,0.24933333333333332,-0.18933333333333333,-4,89,49,40,29.666666666666668,13.333333333333334,1,120,79,41,40.0,13.666666666666666,-0.122,2.2249999999999996,1.766,0.45899999999999996,0.7416666666666666,0.153,-2,40,30,10,13.333333333333334,3.3333333333333335,-15,126,125,1,42.0,0.3333333333333333,-11,50,73,-23,16.666666666666668,-7.666666666666667,2,25,15,10,8.333333333333334,3.3333333333333335,-1,18,21,-3,6.0,-1.0,-6,26,47,-21,8.666666666666666,-7.0,-1,71,90,-19,23.666666666666668,-6.333333333333333
3,3,4132,TOR,4,2014-11-04,Home,OKC,W,100,88,32,81,0.395,8,31,0.258,28,33,0.848,12,39,23,6,3,10,24,34,65,0.523,6,21,0.28600000000000003,14,25,0.56,6,41,23,4,3,19,27,12,419,392,27,104.75,29.25,6.75,-2,139,147,-8,34.75,-2.0,16,333,296,37,83.25,9.25,-0.128,1.672,1.992,-0.32,0.418,-0.08,2,24,35,-11,6.0,-2.75,10,94,87,7,23.5,1.75,-0.028000000000000025,1.006,1.6019999999999999,-0.596,0.2515,-0.149,14,117,63,54,29.25,13.5,8,153,104,49,38.25,12.25,0.2879999999999999,3.0729999999999995,2.326,0.7469999999999999,0.7682499999999999,0.18674999999999997,6,52,36,16,13.0,4.0,-2,165,166,-1,41.25,-0.25,0,73,96,-23,18.25,-5.75,2,31,19,12,7.75,3.0,0,21,24,-3,5.25,-0.75,-9,36,66,-30,9.0,-7.5,-3,95,117,-22,23.75,-5.5
4,4,5132,TOR,5,2014-11-05,Away,BOS,W,110,107,42,87,0.483,7,16,0.43799999999999994,19,23,0.826,6,24,18,11,4,7,18,40,78,0.513,10,26,0.385,17,18,0.9440000000000001,17,55,22,5,3,27,25,3,529,499,30,105.8,28.4,6.0,2,181,187,-6,36.2,-1.2,9,420,374,46,84.0,9.2,-0.030000000000000027,2.155,2.505,-0.35000000000000003,0.43099999999999994,-0.07,-3,31,45,-14,6.2,-2.8,-10,110,113,-3,22.0,-0.6,0.052999999999999936,1.444,1.9869999999999999,-0.543,0.2888,-0.1086,2,136,80,56,27.2,11.2,5,176,122,54,35.2,10.8,-0.1180000000000001,3.8989999999999996,3.27,0.6289999999999998,0.7797999999999999,0.12579999999999997,-11,58,53,5,11.6,1.0,-31,189,221,-32,37.8,-6.4,-4,91,118,-27,18.2,-5.4,6,42,24,18,8.4,3.6,1,25,27,-2,5.0,-0.4,-20,43,93,-50,8.6,-10.0,-7,113,142,-29,22.6,-5.8
5,5,6132,TOR,6,2014-11-07,Home,WAS,W,103,84,35,80,0.43799999999999994,9,22,0.409,24,31,0.774,10,49,19,5,3,13,27,30,83,0.361,3,19,0.158,21,32,0.6559999999999999,16,50,19,7,5,13,29,19,632,583,49,105.33333333333333,28.5,8.166666666666666,5,216,217,-1,36.0,-0.16666666666666666,-3,500,457,43,83.33333333333333,7.166666666666667,0.07699999999999996,2.593,2.8659999999999997,-0.2730000000000001,0.43216666666666664,-0.04550000000000001,6,40,48,-8,6.666666666666667,-1.3333333333333333,3,132,132,0,22.0,0.0,0.251,1.853,2.145,-0.29200000000000004,0.30883333333333335,-0.04866666666666667,3,160,101,59,26.666666666666668,9.833333333333334,-1,207,154,53,34.5,8.833333333333334,0.1180000000000001,4.673,3.926,0.7469999999999999,0.7788333333333334,0.12449999999999999,-6,68,69,-1,11.333333333333334,-0.16666666666666666,-1,238,271,-33,39.666666666666664,-5.5,0,110,137,-27,18.333333333333332,-4.5,-2,47,31,16,7.833333333333333,2.6666666666666665,-2,28,32,-4,4.666666666666667,-0.6666666666666666,0,56,106,-50,9.333333333333334,-8.333333333333334,-2,140,171,-31,23.333333333333332,-5.166666666666667
6,6,7132,TOR,7,2014-11-09,Home,PHI,W,120,88,43,76,0.5660000000000001,7,17,0.41200000000000003,27,30,0.9,4,39,23,12,8,20,17,33,87,0.379,10,34,0.294,12,18,0.667,11,31,19,11,6,17,23,32,752,671,81,107.42857142857143,27.714285714285715,11.571428571428571,10,259,250,9,37.0,1.2857142857142858,-11,576,544,32,82.28571428571429,4.571428571428571,0.18700000000000006,3.159,3.2449999999999997,-0.08600000000000002,0.45128571428571423,-0.012285714285714289,-3,47,58,-11,6.714285714285714,-1.5714285714285714,-17,149,166,-17,21.285714285714285,-2.4285714285714284,0.11800000000000005,2.265,2.439,-0.174,0.32357142857142857,-0.024857142857142855,15,187,113,74,26.714285714285715,10.571428571428571,12,237,172,65,33.857142857142854,9.285714285714286,0.23299999999999998,5.573,4.593,0.9799999999999999,0.7961428571428572,0.13999999999999999,-7,72,80,-8,10.285714285714286,-1.1428571428571428,8,277,302,-25,39.57142857142857,-3.5714285714285716,4,133,156,-23,19.0,-3.2857142857142856,1,59,42,17,8.428571428571429,2.4285714285714284,2,36,38,-2,5.142857142857143,-0.2857142857142857,3,76,123,-47,10.857142857142858,-6.714285714285714,-6,157,194,-37,22.428571428571427,-5.285714285714286
7,7,846,TOR,8,2014-11-11,Home,ORL,W,104,100,35,77,0.455,9,21,0.429,25,30,0.833,5,40,16,9,1,12,17,39,81,0.48100000000000004,12,25,0.48,10,16,0.625,6,39,26,8,5,16,24,4,856,771,85,107.0,27.25,10.625,-4,294,289,5,36.75,0.625,-4,653,625,28,81.625,3.5,-0.026000000000000023,3.614,3.7259999999999995,-0.11200000000000004,0.45175,-0.014000000000000005,-3,56,70,-14,7.0,-1.75,-4,170,191,-21,21.25,-2.625,-0.05099999999999999,2.694,2.919,-0.22499999999999998,0.33675,-0.028124999999999997,15,212,123,89,26.5,11.125,14,267,188,79,33.375,9.875,0.20799999999999996,6.406000000000001,5.218,1.1879999999999997,0.8007500000000001,0.14849999999999997,-1,77,86,-9,9.625,-1.125,1,317,341,-24,39.625,-3.0,-10,149,182,-33,18.625,-4.125,1,68,50,18,8.5,2.25,-4,37,43,-6,4.625,-0.75,-4,88,139,-51,11.0,-6.375,-7,174,218,-44,21.75,-5.5
8,8,927,TOR,9,2014-11-13,Home,CHI,L,93,100,35,89,0.39299999999999996,8,25,0.32,15,21,0.7140000000000001,13,38,17,11,7,14,28,37,77,0.48100000000000004,4,15,0.267,22,32,0.688,13,48,26,7,7,19,18,-7,949,871,78,105.44444444444444,26.22222222222222,8.666666666666666,-2,329,326,3,36.55555555555556,0.3333333333333333,12,742,702,40,82.44444444444444,4.444444444444445,-0.08800000000000008,4.007,4.207,-0.20000000000000012,0.4452222222222222,-0.022222222222222237,4,64,74,-10,7.111111111111111,-1.1111111111111112,10,195,206,-11,21.666666666666668,-1.2222222222222223,0.05299999999999999,3.014,3.186,-0.172,0.33488888888888885,-0.01911111111111111,-7,227,145,82,25.22222222222222,9.11111111111111,-11,288,220,68,32.0,7.555555555555555,0.026000000000000134,7.120000000000001,5.906,1.214,0.7911111111111112,0.1348888888888889,0,90,99,-9,10.0,-1.0,-10,355,389,-34,39.44444444444444,-3.7777777777777777,-9,166,208,-42,18.444444444444443,-4.666666666666667,4,79,57,22,8.777777777777779,2.4444444444444446,0,44,50,-6,4.888888888888889,-0.6666666666666666,-5,102,158,-56,11.333333333333334,-6.222222222222222,10,202,236,-34,22.444444444444443,-3.7777777777777777
9,9,1027,TOR,10,2014-11-15,Home,UTA,W,111,93,43,84,0.512,8,21,0.381,17,23,0.7390000000000001,13,42,15,6,5,8,19,33,75,0.44,5,16,0.313,22,30,0.733,10,38,22,5,3,11,21,18,1060,964,96,106.0,25.7,9.6,10,372,359,13,37.2,1.3,9,826,777,49,82.6,4.9,0.07200000000000001,4.519,4.647,-0.1280000000000001,0.4519,-0.012800000000000011,3,72,79,-7,7.2,-0.7,5,216,222,-6,21.6,-0.6,0.068,3.3949999999999996,3.499,-0.10399999999999998,0.33949999999999997,-0.010399999999999998,-5,244,167,77,24.4,7.7,-7,311,250,61,31.1,6.1,0.006000000000000116,7.859000000000001,6.638999999999999,1.2200000000000002,0.7859,0.12200000000000003,3,103,109,-6,10.3,-0.6,4,397,427,-30,39.7,-3.0,-7,181,230,-49,18.1,-4.9,1,85,62,23,8.5,2.3,2,49,53,-4,4.9,-0.4,-3,110,169,-59,11.0,-5.9,-2,221,257,-36,22.1,-3.6
