,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,TOR,1,2016-10-26,Home,DET,W,109,91,41,86,0.477,3,18,0.16699999999999998,24,29,0.828,14,51,17,8,0,11,22,35,84,0.417,4,22,0.182,17,22,0.773,8,40,17,8,0,13,24,18,0.0,0.0,0.0,6,0.0,0.0,0.0,2,0.0,0.0,0.0,0.06,0.0,0.0,0.0,-1,0.0,0.0,0.0,-4,0.0,0.0,0.0,-0.015000000000000013,0.0,0.0,0.0,7,0.0,0.0,0.0,7,0.0,0.0,0.0,0.05499999999999994,0.0,0.0,0.0,6,0.0,0.0,0.0,11,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-2,0.0,0.0,0.0,-2,0.0,0.0,0.0
1,TOR,2,2016-10-28,Home,CLE,L,91,94,35,90,0.389,4,16,0.25,17,18,0.944,18,51,12,9,3,18,20,33,79,0.418,12,32,0.375,16,22,0.727,9,40,20,8,3,17,15,-3,109.0,91.0,18.0,2,41.0,35.0,6.0,11,86.0,84.0,2.0,-0.02899999999999997,0.477,0.417,0.06,-8,3.0,4.0,-1.0,-16,18.0,22.0,-4.0,-0.125,0.16699999999999998,0.182,-0.015000000000000013,1,24.0,17.0,7.0,-4,29.0,22.0,7.0,0.21699999999999997,0.828,0.773,0.05499999999999994,9,14.0,8.0,6.0,11,51.0,40.0,11.0,-8,17.0,17.0,0.0,1,8.0,8.0,0.0,0,0.0,0.0,0.0,1,11.0,13.0,-2.0,5,22.0,24.0,-2.0
2,TOR,3,2016-10-31,Home,DEN,W,105,102,41,88,0.466,4,16,0.25,19,25,0.76,11,43,16,7,9,7,28,33,81,0.407,9,22,0.409,27,35,0.7709999999999999,11,46,14,2,9,8,18,3,100.0,92.5,7.5,8,38.0,34.0,4.0,7,88.0,81.5,6.5,0.05900000000000005,0.433,0.4175,0.015500000000000014,-5,3.5,8.0,-4.5,-6,17.0,27.0,-10.0,-0.15899999999999997,0.2085,0.27849999999999997,-0.07,-8,20.5,16.5,4.0,-10,23.5,22.0,1.5,-0.010999999999999899,0.8859999999999999,0.75,0.13599999999999995,0,16.0,8.5,7.5,-3,51.0,40.0,11.0,2,14.5,18.5,-4.0,5,8.5,8.0,0.5,0,1.5,1.5,0.0,-1,14.5,15.0,-0.5,10,21.0,19.5,1.5
3,TOR,4,2016-11-02,Away,WAS,W,113,103,43,77,0.5579999999999999,10,25,0.4,17,25,0.68,4,31,21,16,2,13,24,42,72,0.583,3,10,0.3,16,24,0.667,6,36,21,8,5,20,20,10,101.66666666666667,95.66666666666667,6.0,1,39.0,33.666666666666664,5.333333333333333,5,88.0,81.33333333333333,6.666666666666667,-0.025000000000000022,0.444,0.414,0.030000000000000027,7,3.6666666666666665,8.333333333333334,-4.666666666666667,15,16.666666666666668,25.333333333333332,-8.666666666666666,0.10000000000000003,0.22233333333333336,0.322,-0.09966666666666667,1,20.0,20.0,0.0,1,24.0,26.333333333333332,-2.3333333333333335,0.013000000000000012,0.844,0.757,0.08700000000000001,-2,14.333333333333334,9.333333333333334,5.0,-5,48.333333333333336,42.0,6.333333333333333,0,15.0,17.0,-2.0,8,8.0,6.0,2.0,-3,4.0,4.0,0.0,-7,12.0,12.666666666666666,-0.6666666666666666,4,23.333333333333332,19.0,4.333333333333333
4,TOR,5,2016-11-04,Home,MIA,W,96,87,37,84,0.44,6,25,0.24,16,18,0.889,13,50,14,7,5,15,16,34,88,0.386,9,28,0.321,10,15,0.667,12,43,19,10,5,13,22,9,104.5,97.5,7.0,3,40.0,35.75,4.25,-4,85.25,79.0,6.25,0.05399999999999999,0.47250000000000003,0.45625,0.016250000000000014,-3,5.25,7.0,-1.75,-3,18.75,21.5,-2.75,-0.08100000000000002,0.26675000000000004,0.3165,-0.04974999999999999,6,19.25,19.0,0.25,3,24.25,25.75,-1.5,0.22199999999999998,0.803,0.7344999999999999,0.0685,1,11.75,8.5,3.25,7,44.0,40.5,3.5,-5,16.5,18.0,-1.5,-3,10.0,6.5,3.5,0,3.5,4.25,-0.75,2,12.25,14.5,-2.25,-6,23.5,19.25,4.25
5,TOR,6,2016-11-06,Home,SAC,L,91,96,30,84,0.35700000000000004,7,30,0.233,24,31,0.774,13,43,22,6,5,6,26,34,78,0.436,5,16,0.313,23,31,0.742,13,47,21,4,5,9,22,-5,102.8,95.4,7.4,-4,39.4,35.4,4.0,6,85.0,80.8,4.2,-0.07899999999999996,0.466,0.4422,0.02380000000000001,2,5.4,7.4,-2.0,14,20.0,22.8,-2.8,-0.07999999999999999,0.2614,0.3174,-0.055999999999999994,1,18.6,17.2,1.4,0,23.0,23.6,-0.6,0.03200000000000003,0.8202,0.7209999999999999,0.0992,0,12.0,9.2,2.8,-4,45.2,41.0,4.2,1,16.0,18.2,-2.2,2,9.4,7.2,2.2,0,3.8,4.4,-0.6,-3,12.8,14.2,-1.4,4,22.0,19.8,2.2
6,TOR,7,2016-11-09,Away,OKC,W,112,102,43,83,0.518,11,26,0.423,15,22,0.682,7,35,25,10,6,11,24,31,74,0.419,12,34,0.353,28,31,0.903,11,39,18,6,5,19,21,10,100.83333333333333,95.5,5.333333333333333,12,37.833333333333336,35.166666666666664,2.6666666666666665,9,84.83333333333333,80.33333333333333,4.5,0.09900000000000003,0.44783333333333336,0.44116666666666665,0.006666666666666682,-1,5.666666666666667,7.0,-1.3333333333333333,-8,21.666666666666668,21.666666666666668,0.0,0.07,0.2566666666666667,0.31666666666666665,-0.06,-13,19.5,18.166666666666668,1.3333333333333333,-9,24.333333333333332,24.833333333333332,-0.5,-0.22099999999999997,0.8125,0.7244999999999999,0.08800000000000001,-4,12.166666666666666,9.833333333333334,2.3333333333333335,-4,44.833333333333336,42.0,2.8333333333333335,7,17.0,18.666666666666668,-1.6666666666666667,4,8.833333333333334,6.666666666666667,2.1666666666666665,1,4.0,4.5,-0.5,-8,11.666666666666666,13.333333333333334,-1.6666666666666667,3,22.666666666666668,20.166666666666668,2.5
7,TOR,8,2016-11-11,Away,CHO,W,113,111,43,90,0.478,6,22,0.273,21,22,0.955,8,45,18,8,5,5,21,38,93,0.409,17,41,0.415,18,24,0.75,18,57,22,1,4,11,16,2,102.42857142857143,96.42857142857143,6.0,5,38.57142857142857,34.57142857142857,4.0,-3,84.57142857142857,79.42857142857143,5.142857142857143,0.069,0.45785714285714285,0.438,0.019857142857142875,-11,6.428571428571429,7.714285714285714,-1.2857142857142858,-19,22.285714285714285,23.428571428571427,-1.1428571428571428,-0.14199999999999996,0.28042857142857147,0.3218571428571429,-0.041428571428571426,3,18.857142857142858,19.571428571428573,-0.7142857142857143,-2,24.0,25.714285714285715,-1.7142857142857142,0.20499999999999996,0.7938571428571429,0.75,0.043857142857142865,-10,11.428571428571429,10.0,1.4285714285714286,-12,43.42857142857143,41.57142857142857,1.8571428571428572,-4,18.142857142857142,18.571428571428573,-0.42857142857142855,7,9.0,6.571428571428571,2.4285714285714284,1,4.285714285714286,4.571428571428571,-0.2857142857142857,-6,11.571428571428571,14.142857142857142,-2.5714285714285716,5,22.857142857142858,20.285714285714285,2.5714285714285716
8,TOR,9,2016-11-12,Home,NYK,W,118,107,39,83,0.47,7,22,0.318,33,38,0.868,11,44,18,10,6,11,20,44,97,0.454,7,23,0.304,12,16,0.75,17,49,19,3,2,16,23,11,103.75,98.25,5.5,-5,39.125,35.0,4.125,-14,85.25,81.125,4.125,0.01599999999999996,0.460375,0.43437499999999996,0.026000000000000016,0,6.375,8.875,-2.5,-1,22.25,25.625,-3.375,0.014000000000000012,0.2795,0.3335,-0.05399999999999999,21,19.125,19.375,-0.25,22,23.75,25.5,-1.75,0.118,0.8140000000000001,0.75,0.064,-6,11.0,11.0,0.0,-5,43.625,43.5,0.125,-1,18.125,19.0,-0.875,7,8.875,5.875,3.0,4,4.375,4.5,-0.125,-5,10.75,13.75,-3.0,-3,22.625,19.75,2.875
9,TOR,10,2016-11-15,Away,CLE,L,117,121,46,96,0.479,13,29,0.448,12,18,0.667,12,40,24,11,5,8,25,44,83,0.53,13,33,0.394,20,28,0.7140000000000001,10,46,26,4,7,17,18,-4,105.33333333333333,99.22222222222223,6.111111111111111,2,39.111111111111114,36.0,3.111111111111111,13,85.0,82.88888888888889,2.111111111111111,-0.051000000000000045,0.4614444444444444,0.43655555555555553,0.024888888888888898,0,6.444444444444445,8.666666666666666,-2.2222222222222223,-4,22.22222222222222,25.333333333333332,-3.111111111111111,0.05399999999999999,0.2837777777777778,0.3302222222222222,-0.046444444444444434,-8,20.666666666666668,18.555555555555557,2.111111111111111,-10,25.333333333333332,24.444444444444443,0.8888888888888888,-0.04700000000000004,0.8200000000000001,0.75,0.07,2,11.0,11.666666666666666,-0.6666666666666666,-6,43.666666666666664,44.111111111111114,-0.4444444444444444,-2,18.11111111111111,19.0,-0.8888888888888888,7,9.0,5.555555555555555,3.4444444444444446,-2,4.555555555555555,4.222222222222222,0.3333333333333333,-9,10.777777777777779,14.0,-3.2222222222222223,7,22.333333333333332,20.11111111111111,2.2222222222222223
10,TOR,11,2016-11-16,Home,GSW,L,121,127,37,82,0.451,10,25,0.4,37,41,0.902,13,46,16,8,1,14,22,44,87,0.506,13,36,0.361,26,28,0.929,7,35,33,9,7,12,25,-6,106.5,101.4,5.1,-7,39.8,36.8,3.0,-5,86.1,82.9,3.2,-0.05499999999999999,0.46319999999999995,0.44589999999999996,0.017300000000000003,-3,7.1,9.1,-2.0,-11,22.9,26.1,-3.2,0.039000000000000035,0.3002,0.3366,-0.036399999999999995,11,19.8,18.7,1.1,13,24.6,24.8,-0.2,-0.027000000000000024,0.8047000000000001,0.7464000000000001,0.0583,6,11.1,11.5,-0.4,11,43.3,44.3,-1.0,-17,18.7,19.7,-1.0,-1,9.2,5.4,3.8,-6,4.6,4.5,0.1,2,10.5,14.3,-3.8,-3,22.6,19.9,2.7
11,TOR,12,2016-11-18,Away,DEN,W,113,111,43,94,0.457,8,23,0.348,19,31,0.613,6,44,23,8,2,11,25,39,83,0.47,4,25,0.16,29,39,0.7440000000000001,9,59,29,7,4,19,26,2,107.81818181818181,103.72727272727273,4.090909090909091,4,39.54545454545455,37.45454545454545,2.090909090909091,11,85.72727272727273,83.27272727272727,2.4545454545454546,-0.012999999999999956,0.46209090909090905,0.45136363636363636,0.010727272727272731,4,7.363636363636363,9.454545454545455,-2.090909090909091,-2,23.09090909090909,27.0,-3.909090909090909,0.18799999999999997,0.3092727272727273,0.33881818181818185,-0.029545454545454538,-10,21.363636363636363,19.363636363636363,2.0,-8,26.09090909090909,25.09090909090909,1.0,-0.13100000000000012,0.8135454545454546,0.763,0.05054545454545454,-3,11.272727272727273,11.090909090909092,0.18181818181818182,-15,43.54545454545455,43.45454545454545,0.09090909090909091,-6,18.454545454545453,20.90909090909091,-2.4545454545454546,1,9.090909090909092,5.7272727272727275,3.3636363636363638,-2,4.2727272727272725,4.7272727272727275,-0.45454545454545453,-8,10.818181818181818,14.090909090909092,-3.272727272727273,-1,22.545454545454547,20.363636363636363,2.1818181818181817
12,TOR,13,2016-11-20,Away,SAC,L,99,102,34,85,0.4,9,24,0.375,22,24,0.917,16,48,16,7,6,15,21,36,81,0.444,11,27,0.407,19,25,0.76,4,37,26,8,8,13,18,-3,108.25,104.33333333333333,3.9166666666666665,-2,39.833333333333336,37.583333333333336,2.25,4,86.41666666666667,83.25,3.1666666666666665,-0.043999999999999984,0.4616666666666666,0.45291666666666663,0.008750000000000008,-2,7.416666666666667,9.0,-1.5833333333333333,-3,23.083333333333332,26.833333333333332,-3.75,-0.03199999999999997,0.3125,0.3239166666666667,-0.01141666666666666,3,21.166666666666668,20.166666666666668,1.0,-1,26.5,26.25,0.25,0.15700000000000003,0.7968333333333333,0.7614166666666667,0.03541666666666665,12,10.833333333333334,10.916666666666666,-0.08333333333333333,11,43.583333333333336,44.75,-1.1666666666666667,-10,18.833333333333332,21.583333333333332,-2.75,-1,9.0,5.833333333333333,3.1666666666666665,-2,4.083333333333333,4.666666666666667,-0.5833333333333334,2,10.833333333333334,14.5,-3.6666666666666665,3,22.75,20.833333333333332,1.9166666666666667
