,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential,cumalitive_Points,cumalitive_Points_differential,cumalitive_FieldGoals,cumalitive_FieldGoals_differential,cumalitive_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted_differential,cumalitive_FieldGoals.,cumalitive_FieldGoals._differential,cumalitive_3PointShots,cumalitive_3PointShots_differential,cumalitive_3PointShotsAttempted,cumalitive_3PointShotsAttempted_differential,cumalitive_3PointShots.,cumalitive_3PointShots._differential,cumalitive_FreeThrows,cumalitive_FreeThrows_differential,cumalitive_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted_differential,cumalitive_FreeThrows.,cumalitive_FreeThrows._differential,cumalitive_OffRebounds,cumalitive_OffRebounds_differential,cumalitive_TotalRebounds,cumalitive_TotalRebounds_differential,cumalitive_Assists,cumalitive_Assists_differential,cumalitive_Steals,cumalitive_Steals_differential,cumalitive_Blocks,cumalitive_Blocks_differential,cumalitive_Turnovers,cumalitive_Turnovers_differential,cumalitive_TotalFouls,cumalitive_TotalFouls_differential
2214,2214,9594,1509,TOR,1,2017-10-19,Home,CHI,W,117,100,39,83,0.47,13,29,0.44799999999999995,26,28,0.929,13,49,26,10,4,17,19,37,89,0.41600000000000004,10,32,0.313,16,19,0.8420000000000001,10,39,22,7,2,19,23,2017-10-19,17,2,-6,0.053999999999999986,3,-3,0.135,10,9,0.08699999999999998,3,10,4,3,2,-2,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2215,2215,9595,2509,TOR,2,2017-10-21,Home,PHI,W,128,94,42,89,0.47200000000000003,13,44,0.295,31,37,0.838,8,51,23,5,10,13,29,32,82,0.39,8,24,0.33299999999999996,22,36,0.611,8,41,18,5,4,20,26,2017-10-21,34,10,7,0.08199999999999996,5,20,-0.038000000000000034,9,1,0.227,0,10,5,0,6,-7,3,117.0,17.0,39.0,2.0,83.0,-6.0,0.47,0.053999999999999986,13.0,3.0,29.0,-3.0,0.44799999999999995,0.135,26.0,10.0,28.0,9.0,0.929,0.08699999999999998,13.0,3.0,49.0,10.0,26.0,4.0,10.0,3.0,4.0,2.0,17.0,-2.0,19.0,-4.0
2216,2216,9596,3509,TOR,3,2017-10-23,Away,SAS,L,97,101,34,80,0.425,10,37,0.27,19,24,0.792,5,34,17,11,4,14,30,40,90,0.444,5,20,0.25,16,23,0.696,18,55,19,4,12,20,22,2017-10-23,-4,-6,-10,-0.019000000000000017,5,17,0.020000000000000014,3,1,0.09600000000000007,-13,-21,-2,7,-8,-6,8,245.0,51.0,81.0,12.0,172.0,1.0,0.942,0.13599999999999995,26.0,8.0,73.0,17.0,0.7429999999999999,0.09699999999999998,57.0,19.0,65.0,10.0,1.767,0.314,21.0,3.0,100.0,20.0,49.0,9.0,15.0,3.0,14.0,8.0,30.0,-9.0,48.0,-1.0
2217,2217,9597,4509,TOR,4,2017-10-25,Away,GSW,L,112,117,43,94,0.457,8,34,0.235,18,19,0.9470000000000001,17,42,30,10,6,16,16,43,77,0.5579999999999999,12,26,0.462,19,22,0.8640000000000001,6,37,32,10,7,17,15,2017-10-25,-5,0,17,-0.10099999999999992,-4,8,-0.22700000000000006,-1,-3,0.08299999999999985,11,5,-2,0,-1,-1,1,342.0,47.0,115.0,6.0,252.0,-9.0,1.367,0.11699999999999994,36.0,13.0,110.0,34.0,1.013,0.11699999999999999,76.0,22.0,89.0,11.0,2.559,0.4100000000000001,26.0,-10.0,134.0,-1.0,66.0,7.0,26.0,10.0,18.0,0.0,44.0,-15.0,78.0,7.0
2218,2218,9598,5509,TOR,5,2017-10-27,Away,LAL,W,101,92,40,93,0.43,7,29,0.24100000000000002,14,20,0.7,9,40,27,12,4,12,24,36,79,0.456,3,23,0.13,17,24,0.708,9,49,20,7,6,21,22,2017-10-27,9,4,14,-0.026000000000000027,4,6,0.111,-3,-4,-0.008000000000000007,0,-9,7,5,-2,-9,2,454.0,42.0,158.0,6.0,346.0,8.0,1.824,0.016000000000000014,44.0,9.0,144.0,42.0,1.2479999999999998,-0.11000000000000007,94.0,21.0,108.0,8.0,3.5060000000000002,0.49299999999999994,43.0,1.0,176.0,4.0,96.0,5.0,36.0,10.0,24.0,-1.0,60.0,-16.0,94.0,8.0
2219,2219,9599,6509,TOR,6,2017-10-30,Away,POR,W,99,85,39,87,0.44799999999999995,8,24,0.33299999999999996,13,17,0.765,8,47,17,10,9,9,14,31,80,0.38799999999999996,8,26,0.308,15,19,0.789,6,38,13,5,7,13,15,2017-10-30,14,8,7,0.06,0,-2,0.025000000000000026,-2,-2,-0.024000000000000018,2,9,4,5,2,-4,-1,555.0,51.0,198.0,10.0,439.0,22.0,2.254,-0.010000000000000012,51.0,13.0,173.0,48.0,1.4889999999999999,0.0009999999999999315,108.0,18.0,128.0,4.0,4.206,0.48499999999999993,52.0,1.0,216.0,-5.0,123.0,12.0,48.0,15.0,28.0,-3.0,72.0,-25.0,118.0,10.0
2220,2220,9600,7509,TOR,7,2017-11-01,Away,DEN,L,111,129,42,85,0.494,11,31,0.355,16,25,0.64,9,38,20,7,4,13,25,47,88,0.534,16,32,0.5,19,29,0.655,9,43,35,9,4,12,20,2017-11-01,-18,-5,-3,-0.040000000000000036,-5,-1,-0.14500000000000002,-3,-4,-0.015000000000000013,0,-5,-15,-2,0,1,5,654.0,65.0,237.0,18.0,526.0,29.0,2.702,0.04999999999999999,59.0,13.0,197.0,46.0,1.8219999999999998,0.025999999999999957,121.0,16.0,145.0,2.0,4.971,0.4609999999999999,60.0,3.0,263.0,4.0,140.0,16.0,58.0,20.0,37.0,-1.0,81.0,-29.0,132.0,9.0
2221,2221,9601,8312,TOR,8,2017-11-03,Away,UTA,W,109,100,38,71,0.535,11,30,0.3670000000000001,22,28,0.7859999999999999,5,39,20,9,4,16,27,35,80,0.43799999999999994,8,23,0.348,22,24,0.917,10,33,11,9,5,13,25,2017-11-03,9,3,-9,0.09700000000000003,3,7,0.019000000000000128,0,4,-0.13100000000000012,-5,6,9,0,-1,3,2,765.0,47.0,279.0,13.0,611.0,26.0,3.1959999999999997,0.009999999999999953,70.0,8.0,228.0,45.0,2.1769999999999996,-0.11900000000000006,137.0,13.0,170.0,-2.0,5.611,0.4459999999999999,69.0,3.0,301.0,-1.0,160.0,1.0,65.0,18.0,41.0,-1.0,94.0,-28.0,157.0,14.0
2222,2222,9602,9117,TOR,9,2017-11-05,Home,WAS,L,96,107,37,80,0.46299999999999997,5,24,0.20800000000000002,17,27,0.63,9,36,17,7,8,13,24,40,85,0.47100000000000003,11,23,0.478,16,23,0.696,11,46,19,9,3,17,26,2017-11-05,-11,-3,-5,-0.007999999999999952,-6,1,-0.27,1,4,-0.06599999999999995,-2,-10,-2,-2,5,-4,-2,874.0,56.0,317.0,16.0,682.0,17.0,3.731,0.10699999999999998,81.0,11.0,258.0,52.0,2.5439999999999996,-0.09999999999999994,159.0,13.0,198.0,2.0,6.396999999999999,0.3149999999999998,74.0,-2.0,340.0,5.0,180.0,10.0,74.0,18.0,45.0,-2.0,110.0,-25.0,184.0,16.0
2223,2223,9603,10117,TOR,10,2017-11-07,Home,CHI,W,119,114,44,81,0.5429999999999999,13,25,0.52,18,24,0.75,7,37,22,5,0,15,22,40,80,0.5,11,29,0.379,23,28,0.821,8,37,26,10,2,13,23,2017-11-07,5,4,1,0.042999999999999934,2,-4,0.141,-5,-4,-0.07099999999999995,-1,0,-4,-5,-2,2,-1,970.0,45.0,354.0,13.0,762.0,12.0,4.194,0.09900000000000003,86.0,5.0,282.0,53.0,2.752,-0.36999999999999994,176.0,14.0,225.0,6.0,7.026999999999999,0.24899999999999983,83.0,-4.0,376.0,-5.0,197.0,8.0,81.0,16.0,53.0,3.0,123.0,-29.0,208.0,14.0
