,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,average_Points,average_Opp.Points,average_differential_Points,differential_FieldGoals,average_FieldGoals,average_Opp.FieldGoals,average_differential_FieldGoals,differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_Opp.FieldGoalsAttempted,average_differential_FieldGoalsAttempted,differential_FieldGoals.,average_FieldGoals.,average_Opp.FieldGoals.,average_differential_FieldGoals.,differential_3PointShots,average_3PointShots,average_Opp.3PointShots,average_differential_3PointShots,differential_3PointShotsAttempted,average_3PointShotsAttempted,average_Opp.3PointShotsAttempted,average_differential_3PointShotsAttempted,differential_3PointShots.,average_3PointShots.,average_Opp.3PointShots.,average_differential_3PointShots.,differential_FreeThrows,average_FreeThrows,average_Opp.FreeThrows,average_differential_FreeThrows,differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_Opp.FreeThrowsAttempted,average_differential_FreeThrowsAttempted,differential_FreeThrows.,average_FreeThrows.,average_Opp.FreeThrows.,average_differential_FreeThrows.,differential_OffRebounds,average_OffRebounds,average_Opp.OffRebounds,average_differential_OffRebounds,differential_TotalRebounds,average_TotalRebounds,average_Opp.TotalRebounds,average_differential_TotalRebounds,differential_Assists,average_Assists,average_Opp.Assists,average_differential_Assists,differential_Steals,average_Steals,average_Opp.Steals,average_differential_Steals,differential_Blocks,average_Blocks,average_Opp.Blocks,average_differential_Blocks,differential_Turnovers,average_Turnovers,average_Opp.Turnovers,average_differential_Turnovers,differential_TotalFouls,average_TotalFouls,average_Opp.TotalFouls,average_differential_TotalFouls
0,WAS,1,2014-10-29,Away,MIA,L,95,107,36,75,0.48,6,19,0.316,17,24,0.708,7,36,20,7,2,14,20,39,81,0.481,9,28,0.321,20,23,0.87,12,44,20,9,3,14,17,-12,0.0,0.0,0.0,-3,0.0,0.0,0.0,-6,0.0,0.0,0.0,-0.0010000000000000009,0.0,0.0,0.0,-3,0.0,0.0,0.0,-9,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,-3,0.0,0.0,0.0,1,0.0,0.0,0.0,-0.16200000000000003,0.0,0.0,0.0,-5,0.0,0.0,0.0,-8,0.0,0.0,0.0,0,0.0,0.0,0.0,-2,0.0,0.0,0.0,-1,0.0,0.0,0.0,0,0.0,0.0,0.0,3,0.0,0.0,0.0
1,WAS,2,2014-10-30,Away,ORL,W,105,98,39,80,0.488,7,13,0.5379999999999999,20,26,0.769,6,37,22,10,0,12,25,37,72,0.514,6,15,0.4,18,24,0.75,3,33,20,4,1,18,23,7,95.0,107.0,-12.0,2,36.0,39.0,-3.0,8,75.0,81.0,-6.0,-0.026000000000000023,0.48,0.481,-0.0010000000000000009,1,6.0,9.0,-3.0,-2,19.0,28.0,-9.0,0.1379999999999999,0.316,0.321,-0.0050000000000000044,2,17.0,20.0,-3.0,2,24.0,23.0,1.0,0.019000000000000017,0.708,0.87,-0.16200000000000003,3,7.0,12.0,-5.0,4,36.0,44.0,-8.0,2,20.0,20.0,0.0,6,7.0,9.0,-2.0,-1,2.0,3.0,-1.0,-6,14.0,14.0,0.0,2,20.0,17.0,3.0
2,WAS,3,2014-11-01,Home,MIL,W,108,97,40,73,0.5479999999999999,4,13,0.308,24,33,0.727,6,34,28,18,5,19,21,34,80,0.425,9,22,0.409,20,24,0.833,16,42,18,11,3,27,28,11,100.0,102.5,-2.5,6,37.5,38.0,-0.5,-7,77.5,76.5,1.0,0.12299999999999994,0.484,0.4975,-0.013500000000000012,-5,6.5,7.5,-1.0,-9,16.0,21.5,-5.5,-0.10099999999999998,0.42699999999999994,0.36050000000000004,0.06649999999999995,4,18.5,19.0,-0.5,9,25.0,23.5,1.5,-0.10599999999999998,0.7384999999999999,0.81,-0.07150000000000001,-10,6.5,7.5,-1.0,-8,36.5,38.5,-2.0,10,21.0,20.0,1.0,7,8.5,6.5,2.0,2,1.0,2.0,-1.0,-8,13.0,16.0,-3.0,-7,22.5,20.0,2.5
3,WAS,4,2014-11-04,Away,NYK,W,98,83,39,80,0.488,8,18,0.444,12,19,0.632,10,41,26,8,4,12,25,30,81,0.37,8,15,0.5329999999999999,15,19,0.789,15,43,16,5,4,18,23,15,102.66666666666667,100.66666666666667,2.0,9,38.333333333333336,36.666666666666664,1.6666666666666667,-1,76.0,77.66666666666667,-1.6666666666666667,0.118,0.5053333333333333,0.47333333333333333,0.03199999999999997,0,5.666666666666667,8.0,-2.3333333333333335,3,15.0,21.666666666666668,-6.666666666666667,-0.08899999999999991,0.3873333333333333,0.3766666666666667,0.010666666666666639,-3,20.333333333333332,19.333333333333332,1.0,0,27.666666666666668,23.666666666666668,4.0,-0.15700000000000003,0.7346666666666666,0.8176666666666668,-0.083,-5,6.333333333333333,10.333333333333334,-4.0,-2,35.666666666666664,39.666666666666664,-4.0,10,23.333333333333332,19.333333333333332,4.0,3,11.666666666666666,8.0,3.6666666666666665,0,2.3333333333333335,2.3333333333333335,0.0,-6,15.0,19.666666666666668,-4.666666666666667,2,22.0,22.666666666666668,-0.6666666666666666
4,WAS,5,2014-11-05,Home,IND,W,96,94,34,91,0.374,7,17,0.412,21,23,0.913,7,43,24,7,7,12,22,35,90,0.389,8,27,0.29600000000000004,16,20,0.8,14,57,22,3,9,18,27,2,101.5,96.25,5.25,-1,38.5,35.0,3.5,1,77.0,78.5,-1.5,-0.015000000000000013,0.501,0.4475,0.05349999999999998,-1,6.25,8.0,-1.75,-10,15.75,20.0,-4.25,0.11599999999999994,0.40149999999999997,0.41575,-0.014249999999999999,5,18.25,18.25,0.0,3,25.5,22.5,3.0,0.11299999999999999,0.709,0.8105000000000001,-0.1015,-7,7.25,11.5,-4.25,-14,37.0,40.5,-3.5,2,24.0,18.5,5.5,4,10.75,7.25,3.5,-2,2.75,2.75,0.0,-6,14.25,19.25,-5.0,-5,22.75,22.75,0.0
5,WAS,6,2014-11-07,Away,TOR,L,84,103,30,83,0.361,3,19,0.158,21,32,0.6559999999999999,16,50,19,7,5,13,29,35,80,0.438,9,22,0.409,24,31,0.774,10,49,19,5,3,13,27,-19,100.4,95.8,4.6,-5,37.6,35.0,2.6,3,79.8,80.8,-1.0,-0.07700000000000001,0.4756,0.4358000000000001,0.03979999999999998,-6,6.4,8.0,-1.6,-3,16.0,21.4,-5.4,-0.251,0.40359999999999996,0.39180000000000004,0.011799999999999988,-3,18.8,17.8,1.0,1,25.0,22.0,3.0,-0.1180000000000001,0.7497999999999999,0.8084000000000001,-0.058600000000000006,6,7.2,12.0,-4.8,1,38.2,43.8,-5.6,0,24.0,19.2,4.8,2,10.0,6.4,3.6,2,3.6,4.0,-0.4,0,13.8,19.0,-5.2,2,22.6,23.6,-1.0
6,WAS,7,2014-11-08,Away,IND,W,97,90,39,81,0.481,2,11,0.182,17,23,0.7390000000000001,13,49,23,8,4,14,25,33,77,0.429,8,24,0.333,16,25,0.64,8,38,11,5,3,18,24,7,97.66666666666667,97.0,0.6666666666666666,6,36.333333333333336,35.0,1.3333333333333333,4,80.33333333333333,80.66666666666667,-0.3333333333333333,0.05199999999999999,0.45649999999999996,0.43616666666666676,0.020333333333333314,-6,5.833333333333333,8.166666666666666,-2.3333333333333335,-13,16.5,21.5,-5.0,-0.15100000000000002,0.36266666666666664,0.39466666666666667,-0.03200000000000001,1,19.166666666666668,18.833333333333332,0.3333333333333333,-2,26.166666666666668,23.5,2.6666666666666665,0.09900000000000009,0.7341666666666665,0.8026666666666668,-0.06850000000000002,5,8.666666666666666,11.666666666666666,-3.0,11,40.166666666666664,44.666666666666664,-4.5,12,23.166666666666668,19.166666666666668,4.0,3,9.5,6.166666666666667,3.3333333333333335,1,3.8333333333333335,3.8333333333333335,0.0,-4,13.666666666666666,18.0,-4.333333333333333,1,23.666666666666668,24.166666666666668,-0.5
7,WAS,8,2014-11-12,Home,DET,W,107,103,40,83,0.482,3,11,0.273,24,33,0.727,11,46,27,10,6,11,22,38,81,0.469,9,22,0.409,18,22,0.818,7,39,19,5,6,13,25,4,97.57142857142857,96.0,1.5714285714285714,2,36.714285714285715,34.714285714285715,2.0,2,80.42857142857143,80.14285714285714,0.2857142857142857,0.013000000000000012,0.45999999999999996,0.43514285714285716,0.024857142857142838,-6,5.285714285714286,8.142857142857142,-2.857142857142857,-11,15.714285714285714,21.857142857142858,-6.142857142857143,-0.13599999999999995,0.3368571428571428,0.38585714285714284,-0.04900000000000001,6,18.857142857142858,18.428571428571427,0.42857142857142855,11,25.714285714285715,23.714285714285715,2.0,-0.09099999999999997,0.7348571428571428,0.7794285714285715,-0.04457142857142858,4,9.285714285714286,11.142857142857142,-1.8571428571428572,7,41.42857142857143,43.714285714285715,-2.2857142857142856,8,23.142857142857142,18.0,5.142857142857143,5,9.285714285714286,6.0,3.2857142857142856,0,3.857142857142857,3.7142857142857144,0.14285714285714285,-2,13.714285714285714,18.0,-4.285714285714286,-3,23.857142857142858,24.142857142857142,-0.2857142857142857
8,WAS,9,2014-11-15,Home,ORL,W,98,93,42,84,0.5,3,10,0.3,11,16,0.688,9,40,31,5,8,11,16,37,78,0.474,7,17,0.412,12,18,0.667,9,40,14,5,2,15,21,5,98.75,96.875,1.875,5,37.125,35.125,2.0,6,80.75,80.25,0.5,0.026000000000000023,0.46275,0.439375,0.023374999999999986,-4,5.0,8.25,-3.25,-7,15.125,21.875,-6.75,-0.11199999999999999,0.328875,0.38875,-0.059875000000000005,-1,19.5,18.375,1.125,-2,26.625,23.5,3.125,0.020999999999999908,0.7338749999999999,0.78425,-0.050375,0,9.5,10.625,-1.125,0,42.0,43.125,-1.125,17,23.625,18.125,5.5,0,9.375,5.875,3.5,6,4.125,4.0,0.125,-4,13.375,17.375,-4.0,-5,23.625,24.25,-0.625
9,WAS,10,2014-11-19,Home,DAL,L,102,105,37,84,0.44,10,22,0.455,18,21,0.857,9,42,25,8,3,13,27,34,82,0.415,12,28,0.429,25,29,0.862,10,44,18,5,5,12,19,-3,98.66666666666667,96.44444444444444,2.2222222222222223,3,37.666666666666664,35.333333333333336,2.3333333333333335,2,81.11111111111111,80.0,1.1111111111111112,0.025000000000000022,0.4668888888888889,0.4432222222222222,0.023666666666666655,-2,4.777777777777778,8.11111111111111,-3.3333333333333335,-6,14.555555555555555,21.333333333333332,-6.777777777777778,0.026000000000000023,0.3256666666666666,0.3913333333333333,-0.06566666666666666,-7,18.555555555555557,17.666666666666668,0.8888888888888888,-8,25.444444444444443,22.88888888888889,2.5555555555555554,-0.0050000000000000044,0.7287777777777777,0.7712222222222223,-0.04244444444444446,-1,9.444444444444445,10.444444444444445,-1.0,-2,41.77777777777778,42.77777777777778,-1.0,7,24.444444444444443,17.666666666666668,6.777777777777778,3,8.88888888888889,5.777777777777778,3.111111111111111,-2,4.555555555555555,3.7777777777777777,0.7777777777777778,1,13.11111111111111,17.11111111111111,-4.0,8,22.77777777777778,23.88888888888889,-1.1111111111111112
