,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential,cumalitive_Points,cumalitive_Points_differential,cumalitive_FieldGoals,cumalitive_FieldGoals_differential,cumalitive_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted_differential,cumalitive_FieldGoals.,cumalitive_FieldGoals._differential,cumalitive_3PointShots,cumalitive_3PointShots_differential,cumalitive_3PointShotsAttempted,cumalitive_3PointShotsAttempted_differential,cumalitive_3PointShots.,cumalitive_3PointShots._differential,cumalitive_FreeThrows,cumalitive_FreeThrows_differential,cumalitive_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted_differential,cumalitive_FreeThrows.,cumalitive_FreeThrows._differential,cumalitive_OffRebounds,cumalitive_OffRebounds_differential,cumalitive_TotalRebounds,cumalitive_TotalRebounds_differential,cumalitive_Assists,cumalitive_Assists_differential,cumalitive_Steals,cumalitive_Steals_differential,cumalitive_Blocks,cumalitive_Blocks_differential,cumalitive_Turnovers,cumalitive_Turnovers_differential,cumalitive_TotalFouls,cumalitive_TotalFouls_differential
2378,2378,9758,1601,WAS,1,2017-10-18,Home,PHI,W,120,115,42,97,0.433,6,22,0.273,30,38,0.789,16,52,21,8,10,9,20,43,93,0.462,15,35,0.429,14,19,0.737,11,48,25,6,6,17,28,2017-10-18,5,-1,4,-0.029000000000000026,-9,-13,-0.15599999999999994,16,19,0.05200000000000005,5,4,-4,2,4,-8,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2379,2379,9759,2601,WAS,2,2017-10-20,Home,DET,W,115,111,40,75,0.5329999999999999,6,17,0.353,29,35,0.8290000000000001,7,37,25,12,7,16,18,43,87,0.494,10,23,0.435,15,20,0.75,10,33,19,12,1,19,32,2017-10-20,4,-3,-12,0.03899999999999992,-4,-6,-0.08200000000000003,14,15,0.07900000000000007,-3,4,6,0,6,-3,-14,120.0,5.0,42.0,-1.0,97.0,4.0,0.433,-0.029000000000000026,6.0,-9.0,22.0,-13.0,0.273,-0.15599999999999994,30.0,16.0,38.0,19.0,0.789,0.05200000000000005,16.0,5.0,52.0,4.0,21.0,-4.0,8.0,2.0,10.0,4.0,9.0,-8.0,20.0,-8.0
2380,2380,9760,3601,WAS,3,2017-10-23,Away,DEN,W,109,104,37,84,0.44,9,30,0.3,26,28,0.929,10,38,24,13,3,15,24,39,80,0.488,8,23,0.348,18,23,0.7829999999999999,9,44,27,5,2,23,22,2017-10-23,5,-2,4,-0.04799999999999999,1,7,-0.04799999999999999,8,5,0.14600000000000013,1,-6,-3,8,1,-8,2,235.0,9.0,82.0,-4.0,172.0,-8.0,0.966,0.009999999999999891,12.0,-13.0,39.0,-19.0,0.626,-0.238,59.0,30.0,73.0,34.0,1.618,0.13100000000000012,23.0,2.0,89.0,8.0,46.0,2.0,20.0,2.0,17.0,10.0,25.0,-11.0,38.0,-22.0
2381,2381,9761,4601,WAS,4,2017-10-25,Away,LAL,L,99,102,39,95,0.41100000000000003,6,26,0.231,15,23,0.652,7,45,20,11,5,13,19,41,92,0.446,7,30,0.233,13,16,0.813,6,53,27,9,5,21,26,2017-10-25,-3,-2,3,-0.03500000000000003,-1,-4,-0.0020000000000000018,2,7,-0.16099999999999992,1,-8,-7,2,0,-8,-7,344.0,14.0,119.0,-6.0,256.0,-4.0,1.406,-0.038000000000000096,21.0,-12.0,69.0,-12.0,0.9259999999999999,-0.286,85.0,38.0,101.0,39.0,2.547,0.27700000000000025,33.0,3.0,127.0,2.0,70.0,-1.0,33.0,10.0,20.0,11.0,40.0,-19.0,62.0,-20.0
2382,2382,9762,5601,WAS,5,2017-10-27,Away,GSW,L,117,120,43,97,0.44299999999999995,15,33,0.455,16,22,0.727,12,41,30,7,6,14,21,46,95,0.484,10,38,0.263,18,20,0.9,15,53,33,7,13,17,20,2017-10-27,-3,-3,2,-0.04099999999999998,5,-5,0.192,-2,2,-0.17300000000000004,-3,-12,-3,0,-7,-3,1,443.0,11.0,158.0,-8.0,351.0,-1.0,1.817,-0.07300000000000012,27.0,-13.0,95.0,-16.0,1.157,-0.288,100.0,40.0,124.0,46.0,3.1990000000000003,0.11600000000000033,40.0,4.0,172.0,-6.0,90.0,-8.0,44.0,12.0,25.0,11.0,53.0,-27.0,81.0,-27.0
2383,2383,9763,6601,WAS,6,2017-10-29,Away,SAC,W,110,83,40,85,0.47100000000000003,17,34,0.5,13,20,0.65,13,49,28,9,3,15,18,32,82,0.39,6,22,0.273,13,16,0.813,11,43,13,8,2,17,20,2017-10-29,27,8,3,0.08099999999999996,11,12,0.227,0,4,-0.16299999999999992,2,6,15,1,1,-2,-2,560.0,8.0,201.0,-11.0,448.0,1.0,2.26,-0.1140000000000001,42.0,-8.0,128.0,-21.0,1.612,-0.09599999999999997,116.0,38.0,146.0,48.0,3.926,-0.05699999999999972,52.0,1.0,213.0,-18.0,120.0,-11.0,51.0,12.0,31.0,4.0,67.0,-30.0,102.0,-26.0
2384,2384,9764,7601,WAS,7,2017-11-01,Home,PHO,L,116,122,41,92,0.446,10,30,0.33299999999999996,24,30,0.8,15,45,20,5,4,12,28,41,83,0.494,9,24,0.375,31,38,0.816,11,45,23,5,5,9,24,2017-11-01,-6,0,9,-0.04799999999999999,1,6,-0.04199999999999998,-7,-8,-0.015999999999999903,4,0,-3,0,-1,3,4,670.0,35.0,241.0,-3.0,533.0,4.0,2.731,-0.03300000000000014,59.0,3.0,162.0,-9.0,2.112,0.13100000000000003,129.0,38.0,166.0,52.0,4.5760000000000005,-0.21999999999999964,65.0,3.0,262.0,-12.0,148.0,4.0,60.0,13.0,34.0,5.0,82.0,-32.0,120.0,-28.0
2385,2385,9765,8314,WAS,8,2017-11-03,Home,CLE,L,122,130,45,84,0.536,11,28,0.39299999999999996,21,31,0.677,9,37,25,5,2,16,24,46,82,0.561,12,27,0.444,26,28,0.929,8,34,20,11,4,14,27,2017-11-03,-8,-1,2,-0.025000000000000026,-1,1,-0.05099999999999999,-5,3,-0.252,1,3,5,-6,-2,2,-3,786.0,29.0,282.0,-3.0,625.0,13.0,3.177,-0.08100000000000013,69.0,4.0,192.0,-3.0,2.4450000000000003,0.08900000000000005,153.0,31.0,196.0,44.0,5.376,-0.23599999999999954,80.0,7.0,307.0,-12.0,168.0,1.0,65.0,13.0,38.0,4.0,94.0,-29.0,148.0,-24.0
2386,2386,9766,9119,WAS,9,2017-11-05,Away,TOR,W,107,96,40,85,0.47100000000000003,11,23,0.478,16,23,0.696,11,46,19,9,3,17,26,37,80,0.46299999999999997,5,24,0.20800000000000002,17,27,0.63,9,36,17,7,8,13,24,2017-11-05,11,3,5,0.007999999999999952,6,-1,0.27,-1,-4,0.06599999999999995,2,10,2,2,-5,4,2,908.0,21.0,327.0,-4.0,709.0,15.0,3.713,-0.10600000000000015,80.0,3.0,220.0,-2.0,2.838,0.03800000000000006,174.0,26.0,227.0,47.0,6.053000000000001,-0.48799999999999955,89.0,8.0,344.0,-9.0,193.0,6.0,70.0,7.0,40.0,2.0,110.0,-27.0,172.0,-27.0
2387,2387,9767,10119,WAS,10,2017-11-07,Home,DAL,L,99,113,32,75,0.4270000000000001,10,25,0.4,25,32,0.7809999999999999,3,39,21,5,5,15,19,43,91,0.473,11,30,0.3670000000000001,16,20,0.8,11,53,26,6,8,11,23,2017-11-07,-14,-11,-16,-0.045999999999999874,-1,-5,0.03299999999999992,9,12,-0.019000000000000128,-8,-14,-5,-1,-3,4,-4,1015.0,32.0,367.0,-1.0,794.0,20.0,4.184,-0.0980000000000002,91.0,9.0,243.0,-3.0,3.316,0.30800000000000005,190.0,25.0,250.0,43.0,6.7490000000000006,-0.4219999999999996,100.0,10.0,390.0,1.0,212.0,8.0,79.0,9.0,43.0,-3.0,127.0,-23.0,198.0,-25.0
